Region,Work_load,primary_key,Work_1989
PT: Portugal,Mão-de-obra agrícola total,PT: PortugalMão-de-obra agrícola total,367393
,Mão-de-obra agrícola familiar,,294415
,Produtor,,160354
,Cônjuge,,90170
,Outros membros da família,,43891
,Mão-de-obra agrícola não familiar,,72978
,Permanente,,41369
,Eventual,,27621
,Mão-de-obra não contratada pelo produtor,,3989
1: Continente,Mão-de-obra agrícola total,1: ContinenteMão-de-obra agrícola total,341502
,Mão-de-obra agrícola familiar,,272783
,Produtor,,147342
,Cônjuge,,85775
,Outros membros da família,,39666
,Mão-de-obra agrícola não familiar,,68718
,Permanente,,38960
,Eventual,,26000
,Mão-de-obra não contratada pelo produtor,,3759
11: Norte,Mão-de-obra agrícola total,11: NorteMão-de-obra agrícola total,148088
,Mão-de-obra agrícola familiar,,127088
,Produtor,,65654
,Cônjuge,,40011
,Outros membros da família,,21423
,Mão-de-obra agrícola não familiar,,21001
,Permanente,,9768
,Eventual,,10148
,Mão-de-obra não contratada pelo produtor,,1085
111: Alto Minho,Mão-de-obra agrícola total,111: Alto MinhoMão-de-obra agrícola total,19355
,Mão-de-obra agrícola familiar,,18145
,Produtor,,9191
,Cônjuge,,5569
,Outros membros da família,,3385
,Mão-de-obra agrícola não familiar,,1209
,Permanente,,677
,Eventual,,472
,Mão-de-obra não contratada pelo produtor,,61
1111601: Arcos de Valdevez,Mão-de-obra agrícola total,1111601: Arcos de ValdevezMão-de-obra agrícola total,3196
,Mão-de-obra agrícola familiar,,3062
,Produtor,,1597
,Cônjuge,,1015
,Outros membros da família,,450
,Mão-de-obra agrícola não familiar,,135
,Permanente,,62
,Eventual,,66
,Mão-de-obra não contratada pelo produtor,,7
111160101: Aboim das Choças,Mão-de-obra agrícola total,111160101: Aboim das ChoçasMão-de-obra agrícola total,51
,Mão-de-obra agrícola familiar,,50
,Produtor,,24
,Cônjuge,,19
,Outros membros da família,,8
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160102: Aguiã,Mão-de-obra agrícola total,111160102: AguiãMão-de-obra agrícola total,68
,Mão-de-obra agrícola familiar,,66
,Produtor,,38
,Cônjuge,,20
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160104: Ázere,Mão-de-obra agrícola total,111160104: ÁzereMão-de-obra agrícola total,31
,Mão-de-obra agrícola familiar,,29
,Produtor,,17
,Cônjuge,,10
,Outros membros da família,,2
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160105: Cabana Maior,Mão-de-obra agrícola total,111160105: Cabana MaiorMão-de-obra agrícola total,34
,Mão-de-obra agrícola familiar,,33
,Produtor,,19
,Cônjuge,,11
,Outros membros da família,,3
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160106: Cabreiro,Mão-de-obra agrícola total,111160106: CabreiroMão-de-obra agrícola total,178
,Mão-de-obra agrícola familiar,,177
,Produtor,,90
,Cônjuge,,57
,Outros membros da família,,30
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160108: Cendufe,Mão-de-obra agrícola total,111160108: CendufeMão-de-obra agrícola total,72
,Mão-de-obra agrícola familiar,,69
,Produtor,,32
,Cônjuge,,30
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,3
,Permanente,,0
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,0
111160109: Couto,Mão-de-obra agrícola total,111160109: CoutoMão-de-obra agrícola total,41
,Mão-de-obra agrícola familiar,,38
,Produtor,,19
,Cônjuge,,13
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,3
,Permanente,,1
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160113: Gavieira,Mão-de-obra agrícola total,111160113: GavieiraMão-de-obra agrícola total,137
,Mão-de-obra agrícola familiar,,135
,Produtor,,72
,Cônjuge,,49
,Outros membros da família,,14
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160115: Gondoriz,Mão-de-obra agrícola total,111160115: GondorizMão-de-obra agrícola total,175
,Mão-de-obra agrícola familiar,,170
,Produtor,,80
,Cônjuge,,51
,Outros membros da família,,39
,Mão-de-obra agrícola não familiar,,5
,Permanente,,1
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,1
111160142: Jolda (São Paio),Mão-de-obra agrícola total,111160142: Jolda (São Paio)Mão-de-obra agrícola total,53
,Mão-de-obra agrícola familiar,,48
,Produtor,,22
,Cônjuge,,17
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,5
,Permanente,,2
,Eventual,,3
