Region,Work_load,primary_key,Work_1989
,Mão-de-obra agrícola familiar,,30
,Produtor,,13
,Cônjuge,,10
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,6
,Permanente,,6
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160128: Prozelo,Mão-de-obra agrícola total,111160128: ProzeloMão-de-obra agrícola total,82
,Mão-de-obra agrícola familiar,,80
,Produtor,,46
,Cônjuge,,33
,Outros membros da família,,2
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160131: Rio de Moinhos,Mão-de-obra agrícola total,111160131: Rio de MoinhosMão-de-obra agrícola total,60
,Mão-de-obra agrícola familiar,,58
,Produtor,,35
,Cônjuge,,17
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160130: Rio Frio,Mão-de-obra agrícola total,111160130: Rio FrioMão-de-obra agrícola total,43
,Mão-de-obra agrícola familiar,,41
,Produtor,,26
,Cônjuge,,12
,Outros membros da família,,4
,Mão-de-obra agrícola não familiar,,2
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160133: Sabadim,Mão-de-obra agrícola total,111160133: SabadimMão-de-obra agrícola total,49
,Mão-de-obra agrícola familiar,,48
,Produtor,,26
,Cônjuge,,19
,Outros membros da família,,3
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160144: Senharei,Mão-de-obra agrícola total,111160144: SenhareiMão-de-obra agrícola total,44
,Mão-de-obra agrícola familiar,,43
,Produtor,,22
,Cônjuge,,15
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,1
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160145: Sistelo,Mão-de-obra agrícola total,111160145: SisteloMão-de-obra agrícola total,93
,Mão-de-obra agrícola familiar,,92
,Produtor,,51
,Cônjuge,,27
,Outros membros da família,,15
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,1
111160146: Soajo,Mão-de-obra agrícola total,111160146: SoajoMão-de-obra agrícola total,112
,Mão-de-obra agrícola familiar,,101
,Produtor,,61
,Cônjuge,,27
,Outros membros da família,,13
,Mão-de-obra agrícola não familiar,,11
,Permanente,,8
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,1
111160152: União das freguesias de Alvora e Loureda,Mão-de-obra agrícola total,111160152: União das freguesias de Alvora e LouredaMão-de-obra agrícola total,30
,Mão-de-obra agrícola familiar,,29
,Produtor,,11
,Cônjuge,,10
,Outros membros da família,,8
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
