primary_key,codes,Sex,year,No
639,111160217,MF,2009,65
640,111160217,MF,2019,67
641,111160217,M,1989,96
642,111160217,M,1999,39
643,111160217,M,2009,27
644,111160217,M,2019,32
645,111160217,F,1989,127
646,111160217,F,1999,58
647,111160217,F,2009,38
648,111160217,F,2019,35
649,111160218,MF,1989,312
650,111160218,MF,1999,165
651,111160218,MF,2009,73
652,111160218,MF,2019,48
653,111160218,M,1989,144
654,111160218,M,1999,81
655,111160218,M,2009,36
656,111160218,M,2019,25
657,111160218,F,1989,168
658,111160218,F,1999,84
659,111160218,F,2009,37
660,111160218,F,2019,23
661,111160220,MF,1989,170
662,111160220,MF,1999,61
663,111160220,MF,2009,31
664,111160220,MF,2019,53
665,111160220,M,1989,86
666,111160220,M,1999,33
667,111160220,M,2009,19
668,111160220,M,2019,32
669,111160220,F,1989,84
670,111160220,F,1999,28
671,111160220,F,2009,12
672,111160220,F,2019,21
673,1111603,MF,1989,8210
674,1111603,MF,1999,4130
675,1111603,MF,2009,2729
676,1111603,MF,2019,2360
677,1111603,M,1989,3814
678,1111603,M,1999,1895
679,1111603,M,2009,1258
680,1111603,M,2019,1153
681,1111603,F,1989,4396
682,1111603,F,1999,2235
683,1111603,F,2009,1471
684,1111603,F,2019,1207
685,111160301,MF,1989,460
686,111160301,MF,1999,340
687,111160301,MF,2009,255
688,111160301,MF,2019,243
689,111160301,M,1989,216
690,111160301,M,1999,158
691,111160301,M,2009,111
692,111160301,M,2019,120
693,111160301,F,1989,244
694,111160301,F,1999,182
695,111160301,F,2009,144
696,111160301,F,2019,123
697,111160304,MF,1989,328
698,111160304,MF,1999,205
699,111160304,MF,2009,77
700,111160304,MF,2019,46
701,111160304,M,1989,142
702,111160304,M,1999,85
703,111160304,M,2009,33
704,111160304,M,2019,19
705,111160304,F,1989,186
706,111160304,F,1999,120
707,111160304,F,2009,44
708,111160304,F,2019,27
709,111160305,MF,1989,532
710,111160305,MF,1999,113
711,111160305,MF,2009,97
712,111160305,MF,2019,65
713,111160305,M,1989,256
714,111160305,M,1999,55
715,111160305,M,2009,47
716,111160305,M,2019,33
717,111160305,F,1989,276
718,111160305,F,1999,58
719,111160305,F,2009,50
720,111160305,F,2019,32
721,111160307,MF,1989,444
722,111160307,MF,1999,216
723,111160307,MF,2009,103
724,111160307,MF,2019,83
725,111160307,M,1989,206
726,111160307,M,1999,104
727,111160307,M,2009,49
728,111160307,M,2019,38
729,111160307,F,1989,238
730,111160307,F,1999,112
731,111160307,F,2009,54
732,111160307,F,2019,45
733,111160308,MF,1989,296
734,111160308,MF,1999,147
735,111160308,MF,2009,95
736,111160308,MF,2019,61
737,111160308,M,1989,126
738,111160308,M,1999,57
739,111160308,M,2009,38
740,111160308,M,2019,31
741,111160308,F,1989,170
742,111160308,F,1999,90
743,111160308,F,2009,57
744,111160308,F,2019,30
745,111160311,MF,1989,1067
746,111160311,MF,1999,576
747,111160311,MF,2009,468
748,111160311,MF,2019,474
749,111160311,M,1989,509
750,111160311,M,1999,277
751,111160311,M,2009,228
752,111160311,M,2019,237
753,111160311,F,1989,558
754,111160311,F,1999,299
755,111160311,F,2009,240
756,111160311,F,2019,237
757,111160313,MF,1989,434
758,111160313,MF,1999,239
759,111160313,MF,2009,172
760,111160313,MF,2019,171
761,111160313,M,1989,215
762,111160313,M,1999,117
763,111160313,M,2009,88
764,111160313,M,2019,81
765,111160313,F,1989,219
766,111160313,F,1999,122
767,111160313,F,2009,84
768,111160313,F,2019,90
769,111160317,MF,1989,553
770,111160317,MF,1999,275
771,111160317,MF,2009,196
772,111160317,MF,2019,188
773,111160317,M,1989,267
774,111160317,M,1999,134
775,111160317,M,2009,90
776,111160317,M,2019,95
777,111160317,F,1989,286
778,111160317,F,1999,141
779,111160317,F,2009,106
780,111160317,F,2019,93
781,111160319,MF,1989,1100
782,111160319,MF,1999,608
783,111160319,MF,2009,368
784,111160319,MF,2019,290
785,111160319,M,1989,486
786,111160319,M,1999,259
787,111160319,M,2009,140
788,111160319,M,2019,128
789,111160319,F,1989,614
790,111160319,F,1999,349
791,111160319,F,2009,228
792,111160319,F,2019,162
793,111160320,MF,1989,778
794,111160320,MF,1999,320
795,111160320,MF,2009,182
796,111160320,MF,2019,148
797,111160320,M,1989,375
798,111160320,M,1999,153
799,111160320,M,2009,92
800,111160320,M,2019,76
801,111160320,F,1989,403
802,111160320,F,1999,167
803,111160320,F,2009,90
804,111160320,F,2019,72
805,111160321,MF,1989,833
806,111160321,MF,1999,522
807,111160321,MF,2009,227
808,111160321,MF,2019,157
809,111160321,M,1989,360
810,111160321,M,1999,230
811,111160321,M,2009,98
812,111160321,M,2019,69
813,111160321,F,1989,473
814,111160321,F,1999,292
815,111160321,F,2009,129
816,111160321,F,2019,88
817,111160322,MF,1989,406
818,111160322,MF,1999,226
819,111160322,MF,2009,201
820,111160322,MF,2019,194
821,111160322,M,1989,197
822,111160322,M,1999,113
823,111160322,M,2009,107
824,111160322,M,2019,103
825,111160322,F,1989,209
826,111160322,F,1999,113
827,111160322,F,2009,94
828,111160322,F,2019,91
829,111160323,MF,1989,979
830,111160323,MF,1999,343
831,111160323,MF,2009,288
832,111160323,MF,2019,240
833,111160323,M,1989,459
834,111160323,M,1999,153
835,111160323,M,2009,137
836,111160323,M,2019,123
837,111160323,F,1989,520
838,111160323,F,1999,190
839,111160323,F,2009,151
840,111160323,F,2019,117
841,1111604,MF,1989,12467
842,1111604,MF,1999,7285
843,1111604,MF,2009,5841
844,1111604,MF,2019,4341
845,1111604,M,1989,5791
846,1111604,M,1999,3397
847,1111604,M,2009,2779
848,1111604,M,2019,2159
849,1111604,F,1989,6676
850,1111604,F,1999,3888
851,1111604,F,2009,3062
852,1111604,F,2019,2182
853,111160401,MF,1989,285
854,111160401,MF,1999,199
855,111160401,MF,2009,105
856,111160401,MF,2019,83
857,111160401,M,1989,124
858,111160401,M,1999,93
859,111160401,M,2009,51
860,111160401,M,2019,42
861,111160401,F,1989,161
862,111160401,F,1999,106
863,111160401,F,2009,54
864,111160401,F,2019,41
865,111160404,MF,1989,707
866,111160404,MF,1999,359
867,111160404,MF,2009,286
868,111160404,MF,2019,252
869,111160404,M,1989,330
870,111160404,M,1999,175
871,111160404,M,2009,144
872,111160404,M,2019,132
873,111160404,F,1989,377
874,111160404,F,1999,184
875,111160404,F,2009,142
876,111160404,F,2019,120
877,111160405,MF,1989,301
878,111160405,MF,1999,162
879,111160405,MF,2009,152
880,111160405,MF,2019,113
881,111160405,M,1989,144
882,111160405,M,1999,82
883,111160405,M,2009,72
884,111160405,M,2019,55
885,111160405,F,1989,157
886,111160405,F,1999,80
887,111160405,F,2009,80
888,111160405,F,2019,58
889,111160406,MF,1989,360
890,111160406,MF,1999,204
891,111160406,MF,2009,215
892,111160406,MF,2019,124
893,111160406,M,1989,158
894,111160406,M,1999,95
895,111160406,M,2009,110
896,111160406,M,2019,70
897,111160406,F,1989,202
898,111160406,F,1999,109
899,111160406,F,2009,105
900,111160406,F,2019,54
901,111160407,MF,1989,279
902,111160407,MF,1999,153
903,111160407,MF,2009,139
904,111160407,MF,2019,87
905,111160407,M,1989,131
906,111160407,M,1999,68
907,111160407,M,2009,60
908,111160407,M,2019,59
909,111160407,F,1989,148
910,111160407,F,1999,85
911,111160407,F,2009,79
912,111160407,F,2019,28
913,111160410,MF,1989,294
914,111160410,MF,1999,180
915,111160410,MF,2009,135
916,111160410,MF,2019,164
917,111160410,M,1989,130
918,111160410,M,1999,82
919,111160410,M,2009,61
920,111160410,M,2019,75
921,111160410,F,1989,164
922,111160410,F,1999,98
923,111160410,F,2009,74
924,111160410,F,2019,89
925,111160411,MF,1989,755
926,111160411,MF,1999,460
927,111160411,MF,2009,354
928,111160411,MF,2019,276
929,111160411,M,1989,359
930,111160411,M,1999,215
931,111160411,M,2009,170
932,111160411,M,2019,135
933,111160411,F,1989,396
934,111160411,F,1999,245
935,111160411,F,2009,184
936,111160411,F,2019,141
937,111160415,MF,1989,1308
938,111160415,MF,1999,790
939,111160415,MF,2009,604
940,111160415,MF,2019,499
941,111160415,M,1989,608
942,111160415,M,1999,358
943,111160415,M,2009,266
944,111160415,M,2019,246
945,111160415,F,1989,700
946,111160415,F,1999,432
947,111160415,F,2009,338
948,111160415,F,2019,253
949,111160418,MF,1989,504
950,111160418,MF,1999,346
951,111160418,MF,2009,223
952,111160418,MF,2019,180
953,111160418,M,1989,234
954,111160418,M,1999,162
955,111160418,M,2009,108
956,111160418,M,2019,83
957,111160418,F,1989,270
958,111160418,F,1999,184
959,111160418,F,2009,115
960,111160418,F,2019,97
961,111160420,MF,1989,723
962,111160420,MF,1999,503
963,111160420,MF,2009,374
964,111160420,MF,2019,286
965,111160420,M,1989,338
966,111160420,M,1999,245
967,111160420,M,2009,198
968,111160420,M,2019,152
969,111160420,F,1989,385
970,111160420,F,1999,258
971,111160420,F,2009,176
972,111160420,F,2019,134
973,111160421,MF,1989,213
974,111160421,MF,1999,150
975,111160421,MF,2009,145
976,111160421,MF,2019,78
977,111160421,M,1989,92
978,111160421,M,1999,68
979,111160421,M,2009,67
980,111160421,M,2019,36
981,111160421,F,1989,121
982,111160421,F,1999,82
983,111160421,F,2009,78
984,111160421,F,2019,42
985,111160422,MF,1989,288
986,111160422,MF,1999,154
987,111160422,MF,2009,137
988,111160422,MF,2019,70
989,111160422,M,1989,134
990,111160422,M,1999,71
991,111160422,M,2009,65
992,111160422,M,2019,36
993,111160422,F,1989,154
994,111160422,F,1999,83
995,111160422,F,2009,72
996,111160422,F,2019,34
997,111160423,MF,1989,308
998,111160423,MF,1999,141
999,111160423,MF,2009,116
1000,111160423,MF,2019,50
1001,111160423,M,1989,132
1002,111160423,M,1999,69
1003,111160423,M,2009,57
1004,111160423,M,2019,27
1005,111160423,F,1989,176
1006,111160423,F,1999,72
1007,111160423,F,2009,59
1008,111160423,F,2019,23
1009,111160424,MF,1989,1002
1010,111160424,MF,1999,473
1011,111160424,MF,2009,396
1012,111160424,MF,2019,266
1013,111160424,M,1989,426
1014,111160424,M,1999,191
1015,111160424,M,2009,152
1016,111160424,M,2019,121
1017,111160424,F,1989,576
1018,111160424,F,1999,282
1019,111160424,F,2009,244
1020,111160424,F,2019,145
1021,111160427,MF,1989,204
1022,111160427,MF,1999,185
1023,111160427,MF,2009,159
1024,111160427,MF,2019,129
1025,111160427,M,1989,106
1026,111160427,M,1999,91
1027,111160427,M,2009,76
1028,111160427,M,2019,65
1029,111160427,F,1989,98
1030,111160427,F,1999,94
1031,111160427,F,2009,83
1032,111160427,F,2019,64
1033,111160428,MF,1989,969
1034,111160428,MF,1999,574
1035,111160428,MF,2009,443
1036,111160428,MF,2019,225
1037,111160428,M,1989,477
1038,111160428,M,1999,273
1039,111160428,M,2009,204
1040,111160428,M,2019,104
