primary_key,codes,age,year,No
13312,119030880,25 - 34 years,2019,12
13313,119030880,35 - 44 years,1989,35
13314,119030880,35 - 44 years,1999,22
13315,119030880,35 - 44 years,2009,23
13316,119030880,35 - 44 years,2019,32
13317,119030880,45 - 54 years,1989,58
13318,119030880,45 - 54 years,1999,20
13319,119030880,45 - 54 years,2009,13
13320,119030880,45 - 54 years,2019,29
13321,119030880,55 - 64 years,1989,47
13322,119030880,55 - 64 years,1999,34
13323,119030880,55 - 64 years,2009,21
13324,119030880,55 - 64 years,2019,22
13325,119030880,65 and more years,1989,53
13326,119030880,65 and more years,1999,41
13327,119030880,65 and more years,2009,28
13328,119030880,65 and more years,2019,31
13329,119030881,Total,1989,208
13330,119030881,Total,1999,118
13331,119030881,Total,2009,89
13332,119030881,Total,2019,79
13333,119030881,16 - 24 years,1989,102
13334,119030881,16 - 24 years,1999,43
13335,119030881,16 - 24 years,2009,20
13336,119030881,16 - 24 years,2019,15
13337,119030881,25 - 34 years,1989,25
13338,119030881,25 - 34 years,1999,18
13339,119030881,25 - 34 years,2009,9
13340,119030881,25 - 34 years,2019,8
13341,119030881,35 - 44 years,1989,18
13342,119030881,35 - 44 years,1999,19
13343,119030881,35 - 44 years,2009,15
13344,119030881,35 - 44 years,2019,8
13345,119030881,45 - 54 years,1989,12
13346,119030881,45 - 54 years,1999,12
13347,119030881,45 - 54 years,2009,20
13348,119030881,45 - 54 years,2019,13
13349,119030881,55 - 64 years,1989,35
13350,119030881,55 - 64 years,1999,14
13351,119030881,55 - 64 years,2009,12
13352,119030881,55 - 64 years,2019,17
13353,119030881,65 and more years,1989,16
13354,119030881,65 and more years,1999,12
13355,119030881,65 and more years,2009,13
13356,119030881,65 and more years,2019,18
13357,119030882,Total,1989,266
13358,119030882,Total,1999,96
13359,119030882,Total,2009,49
13360,119030882,Total,2019,49
13361,119030882,16 - 24 years,1989,102
13362,119030882,16 - 24 years,1999,25
13363,119030882,16 - 24 years,2009,8
13364,119030882,16 - 24 years,2019,9
13365,119030882,25 - 34 years,1989,58
13366,119030882,25 - 34 years,1999,19
13367,119030882,25 - 34 years,2009,6
13368,119030882,25 - 34 years,2019,4
13369,119030882,35 - 44 years,1989,25
13370,119030882,35 - 44 years,1999,9
13371,119030882,35 - 44 years,2009,10
13372,119030882,35 - 44 years,2019,6
13373,119030882,45 - 54 years,1989,27
13374,119030882,45 - 54 years,1999,11
13375,119030882,45 - 54 years,2009,7
13376,119030882,45 - 54 years,2019,9
13377,119030882,55 - 64 years,1989,33
13378,119030882,55 - 64 years,1999,20
13379,119030882,55 - 64 years,2009,8
13380,119030882,55 - 64 years,2019,6
13381,119030882,65 and more years,1989,21
13382,119030882,65 and more years,1999,12
13383,119030882,65 and more years,2009,10
13384,119030882,65 and more years,2019,15
13385,119030883,Total,1989,528
13386,119030883,Total,1999,245
13387,119030883,Total,2009,168
13388,119030883,Total,2019,187
13389,119030883,16 - 24 years,1989,268
13390,119030883,16 - 24 years,1999,87
13391,119030883,16 - 24 years,2009,39
13392,119030883,16 - 24 years,2019,40
13393,119030883,25 - 34 years,1989,52
13394,119030883,25 - 34 years,1999,36
13395,119030883,25 - 34 years,2009,20
13396,119030883,25 - 34 years,2019,20
13397,119030883,35 - 44 years,1989,38
13398,119030883,35 - 44 years,1999,17
13399,119030883,35 - 44 years,2009,25
13400,119030883,35 - 44 years,2019,24
13401,119030883,45 - 54 years,1989,46
13402,119030883,45 - 54 years,1999,23
13403,119030883,45 - 54 years,2009,18
13404,119030883,45 - 54 years,2019,24
13405,119030883,55 - 64 years,1989,61
13406,119030883,55 - 64 years,1999,26
13407,119030883,55 - 64 years,2009,25
13408,119030883,55 - 64 years,2019,30
13409,119030883,65 and more years,1989,63
13410,119030883,65 and more years,1999,56
13411,119030883,65 and more years,2009,41
13412,119030883,65 and more years,2019,49
13413,119030884,Total,1989,7
13414,119030884,Total,1999,
13415,119030884,Total,2009,4
13416,119030884,Total,2019,
13417,119030884,16 - 24 years,1989,1
13418,119030884,16 - 24 years,1999,
13419,119030884,16 - 24 years,2009,
13420,119030884,16 - 24 years,2019,
13421,119030884,25 - 34 years,1989,
13422,119030884,25 - 34 years,1999,
13423,119030884,25 - 34 years,2009,
13424,119030884,25 - 34 years,2019,
13425,119030884,35 - 44 years,1989,
13426,119030884,35 - 44 years,1999,
13427,119030884,35 - 44 years,2009,2
13428,119030884,35 - 44 years,2019,
13429,119030884,45 - 54 years,1989,2
13430,119030884,45 - 54 years,1999,
13431,119030884,45 - 54 years,2009,1
13432,119030884,45 - 54 years,2019,
13433,119030884,55 - 64 years,1989,2
13434,119030884,55 - 64 years,1999,
13435,119030884,55 - 64 years,2009,
13436,119030884,55 - 64 years,2019,
13437,119030884,65 and more years,1989,2
13438,119030884,65 and more years,1999,
13439,119030884,65 and more years,2009,1
13440,119030884,65 and more years,2019,
13441,119030885,Total,1989,203
13442,119030885,Total,1999,83
13443,119030885,Total,2009,51
13444,119030885,Total,2019,48
13445,119030885,16 - 24 years,1989,107
13446,119030885,16 - 24 years,1999,30
13447,119030885,16 - 24 years,2009,8
13448,119030885,16 - 24 years,2019,4
13449,119030885,25 - 34 years,1989,20
13450,119030885,25 - 34 years,1999,11
13451,119030885,25 - 34 years,2009,7
13452,119030885,25 - 34 years,2019,3
13453,119030885,35 - 44 years,1989,11
13454,119030885,35 - 44 years,1999,8
13455,119030885,35 - 44 years,2009,5
13456,119030885,35 - 44 years,2019,4
13457,119030885,45 - 54 years,1989,27
13458,119030885,45 - 54 years,1999,4
13459,119030885,45 - 54 years,2009,6
13460,119030885,45 - 54 years,2019,10
13461,119030885,55 - 64 years,1989,25
13462,119030885,55 - 64 years,1999,21
13463,119030885,55 - 64 years,2009,7
13464,119030885,55 - 64 years,2019,12
13465,119030885,65 and more years,1989,13
13466,119030885,65 and more years,1999,9
13467,119030885,65 and more years,2009,18
13468,119030885,65 and more years,2019,15
13469,119030886,Total,1989,388
13470,119030886,Total,1999,216
13471,119030886,Total,2009,79
13472,119030886,Total,2019,85
13473,119030886,16 - 24 years,1989,199
13474,119030886,16 - 24 years,1999,73
13475,119030886,16 - 24 years,2009,14
13476,119030886,16 - 24 years,2019,10
13477,119030886,25 - 34 years,1989,28
13478,119030886,25 - 34 years,1999,26
13479,119030886,25 - 34 years,2009,6
13480,119030886,25 - 34 years,2019,7
13481,119030886,35 - 44 years,1989,25
13482,119030886,35 - 44 years,1999,24
13483,119030886,35 - 44 years,2009,11
13484,119030886,35 - 44 years,2019,6
13485,119030886,45 - 54 years,1989,43
13486,119030886,45 - 54 years,1999,23
13487,119030886,45 - 54 years,2009,8
13488,119030886,45 - 54 years,2019,17
13489,119030886,55 - 64 years,1989,56
13490,119030886,55 - 64 years,1999,25
13491,119030886,55 - 64 years,2009,14
13492,119030886,55 - 64 years,2019,18
13493,119030886,65 and more years,1989,37
13494,119030886,65 and more years,1999,45
13495,119030886,65 and more years,2009,26
13496,119030886,65 and more years,2019,27
13497,119030887,Total,1989,458
13498,119030887,Total,1999,227
13499,119030887,Total,2009,173
13500,119030887,Total,2019,103
13501,119030887,16 - 24 years,1989,225
13502,119030887,16 - 24 years,1999,78
13503,119030887,16 - 24 years,2009,37
13504,119030887,16 - 24 years,2019,7
13505,119030887,25 - 34 years,1989,50
13506,119030887,25 - 34 years,1999,34
13507,119030887,25 - 34 years,2009,19
13508,119030887,25 - 34 years,2019,8
13509,119030887,35 - 44 years,1989,33
13510,119030887,35 - 44 years,1999,16
13511,119030887,35 - 44 years,2009,21
13512,119030887,35 - 44 years,2019,10
13513,119030887,45 - 54 years,1989,43
13514,119030887,45 - 54 years,1999,24
13515,119030887,45 - 54 years,2009,21
13516,119030887,45 - 54 years,2019,18
13517,119030887,55 - 64 years,1989,57
13518,119030887,55 - 64 years,1999,35
13519,119030887,55 - 64 years,2009,27
13520,119030887,55 - 64 years,2019,17
13521,119030887,65 and more years,1989,50
13522,119030887,65 and more years,1999,40
13523,119030887,65 and more years,2009,48
13524,119030887,65 and more years,2019,43
13525,119030888,Total,1989,406
13526,119030888,Total,1999,176
13527,119030888,Total,2009,126
13528,119030888,Total,2019,161
13529,119030888,16 - 24 years,1989,233
13530,119030888,16 - 24 years,1999,65
13531,119030888,16 - 24 years,2009,18
13532,119030888,16 - 24 years,2019,21
13533,119030888,25 - 34 years,1989,34
13534,119030888,25 - 34 years,1999,16
13535,119030888,25 - 34 years,2009,18
13536,119030888,25 - 34 years,2019,21
13537,119030888,35 - 44 years,1989,22
13538,119030888,35 - 44 years,1999,25
13539,119030888,35 - 44 years,2009,21
13540,119030888,35 - 44 years,2019,23
13541,119030888,45 - 54 years,1989,51
13542,119030888,45 - 54 years,1999,7
13543,119030888,45 - 54 years,2009,25
13544,119030888,45 - 54 years,2019,30
13545,119030888,55 - 64 years,1989,42
13546,119030888,55 - 64 years,1999,30
13547,119030888,55 - 64 years,2009,14
13548,119030888,55 - 64 years,2019,31
13549,119030888,65 and more years,1989,24
13550,119030888,65 and more years,1999,33
13551,119030888,65 and more years,2009,30
13552,119030888,65 and more years,2019,35
13553,119030889,Total,1989,466
13554,119030889,Total,1999,165
13555,119030889,Total,2009,62
13556,119030889,Total,2019,76
13557,119030889,16 - 24 years,1989,246
13558,119030889,16 - 24 years,1999,59
13559,119030889,16 - 24 years,2009,15
13560,119030889,16 - 24 years,2019,12
13561,119030889,25 - 34 years,1989,51
13562,119030889,25 - 34 years,1999,22
13563,119030889,25 - 34 years,2009,6
13564,119030889,25 - 34 years,2019,1
13565,119030889,35 - 44 years,1989,34
13566,119030889,35 - 44 years,1999,11
13567,119030889,35 - 44 years,2009,12
13568,119030889,35 - 44 years,2019,11
13569,119030889,45 - 54 years,1989,45
13570,119030889,45 - 54 years,1999,13
13571,119030889,45 - 54 years,2009,5
13572,119030889,45 - 54 years,2019,15
13573,119030889,55 - 64 years,1989,39
13574,119030889,55 - 64 years,1999,31
13575,119030889,55 - 64 years,2009,7
13576,119030889,55 - 64 years,2019,8
13577,119030889,65 and more years,1989,51
13578,119030889,65 and more years,1999,29
13579,119030889,65 and more years,2009,17
13580,119030889,65 and more years,2019,29
13581,119030890,Total,1989,815
13582,119030890,Total,1999,288
13583,119030890,Total,2009,186
13584,119030890,Total,2019,131
13585,119030890,16 - 24 years,1989,376
13586,119030890,16 - 24 years,1999,97
13587,119030890,16 - 24 years,2009,45
13588,119030890,16 - 24 years,2019,28
13589,119030890,25 - 34 years,1989,110
13590,119030890,25 - 34 years,1999,42
13591,119030890,25 - 34 years,2009,26
13592,119030890,25 - 34 years,2019,7
13593,119030890,35 - 44 years,1989,55
13594,119030890,35 - 44 years,1999,34
13595,119030890,35 - 44 years,2009,21
13596,119030890,35 - 44 years,2019,19
13597,119030890,45 - 54 years,1989,72
13598,119030890,45 - 54 years,1999,27
13599,119030890,45 - 54 years,2009,33
13600,119030890,45 - 54 years,2019,18
13601,119030890,55 - 64 years,1989,112
13602,119030890,55 - 64 years,1999,31
13603,119030890,55 - 64 years,2009,22
13604,119030890,55 - 64 years,2019,33
13605,119030890,65 and more years,1989,90
13606,119030890,65 and more years,1999,57
13607,119030890,65 and more years,2009,39
13608,119030890,65 and more years,2019,26
13609,119030891,Total,1989,556
13610,119030891,Total,1999,303
13611,119030891,Total,2009,98
13612,119030891,Total,2019,90
13613,119030891,16 - 24 years,1989,290
13614,119030891,16 - 24 years,1999,129
13615,119030891,16 - 24 years,2009,28
13616,119030891,16 - 24 years,2019,9
13617,119030891,25 - 34 years,1989,69
13618,119030891,25 - 34 years,1999,33
13619,119030891,25 - 34 years,2009,17
13620,119030891,25 - 34 years,2019,8
13621,119030891,35 - 44 years,1989,46
13622,119030891,35 - 44 years,1999,39
13623,119030891,35 - 44 years,2009,4
13624,119030891,35 - 44 years,2019,14
13625,119030891,45 - 54 years,1989,48
13626,119030891,45 - 54 years,1999,36
13627,119030891,45 - 54 years,2009,18
13628,119030891,45 - 54 years,2019,8
13629,119030891,55 - 64 years,1989,58
13630,119030891,55 - 64 years,1999,25
13631,119030891,55 - 64 years,2009,20
13632,119030891,55 - 64 years,2019,24
13633,119030891,65 and more years,1989,45
13634,119030891,65 and more years,1999,41
13635,119030891,65 and more years,2009,11
13636,119030891,65 and more years,2019,27
13637,119030871,Total,1989,318
13638,119030871,Total,1999,109
13639,119030871,Total,2009,65
13640,119030871,Total,2019,30
13641,119030871,16 - 24 years,1989,156
13642,119030871,16 - 24 years,1999,25
13643,119030871,16 - 24 years,2009,19
13644,119030871,16 - 24 years,2019,2
13645,119030871,25 - 34 years,1989,36
13646,119030871,25 - 34 years,1999,21
13647,119030871,25 - 34 years,2009,6
13648,119030871,25 - 34 years,2019,1
13649,119030871,35 - 44 years,1989,25
13650,119030871,35 - 44 years,1999,20
13651,119030871,35 - 44 years,2009,7
13652,119030871,35 - 44 years,2019,
13653,119030871,45 - 54 years,1989,39
13654,119030871,45 - 54 years,1999,9
13655,119030871,45 - 54 years,2009,12
13656,119030871,45 - 54 years,2019,8
13657,119030871,55 - 64 years,1989,34
13658,119030871,55 - 64 years,1999,17
13659,119030871,55 - 64 years,2009,11
13660,119030871,55 - 64 years,2019,8
13661,119030871,65 and more years,1989,28
13662,119030871,65 and more years,1999,17
13663,119030871,65 and more years,2009,10
13664,119030871,65 and more years,2019,11
13665,1191705,Total,1989,4786
13666,1191705,Total,1999,2898
13667,1191705,Total,2009,2046
13668,1191705,Total,2019,1392
13669,1191705,16 - 24 years,1989,2281
13670,1191705,16 - 24 years,1999,1047
13671,1191705,16 - 24 years,2009,452
13672,1191705,16 - 24 years,2019,182
13673,1191705,25 - 34 years,1989,460
13674,1191705,25 - 34 years,1999,292
13675,1191705,25 - 34 years,2009,181
13676,1191705,25 - 34 years,2019,86
13677,1191705,35 - 44 years,1989,395
13678,1191705,35 - 44 years,1999,291
13679,1191705,35 - 44 years,2009,262
13680,1191705,35 - 44 years,2019,136
13681,1191705,45 - 54 years,1989,633
13682,1191705,45 - 54 years,1999,337
13683,1191705,45 - 54 years,2009,291
13684,1191705,45 - 54 years,2019,246
13685,1191705,55 - 64 years,1989,572
13686,1191705,55 - 64 years,1999,476
13687,1191705,55 - 64 years,2009,324
13688,1191705,55 - 64 years,2019,301
13689,1191705,65 and more years,1989,445
13690,1191705,65 and more years,1999,455
13691,1191705,65 and more years,2009,536
13692,1191705,65 and more years,2019,441
13693,119170501,Total,1989,840
13694,119170501,Total,1999,541
13695,119170501,Total,2009,381
13696,119170501,Total,2019,351
13697,119170501,16 - 24 years,1989,368
13698,119170501,16 - 24 years,1999,197
13699,119170501,16 - 24 years,2009,94
13700,119170501,16 - 24 years,2019,44
13701,119170501,25 - 34 years,1989,86
13702,119170501,25 - 34 years,1999,71
13703,119170501,25 - 34 years,2009,41
13704,119170501,25 - 34 years,2019,25
13705,119170501,35 - 44 years,1989,56
13706,119170501,35 - 44 years,1999,58
13707,119170501,35 - 44 years,2009,48
13708,119170501,35 - 44 years,2019,43
13709,119170501,45 - 54 years,1989,124
13710,119170501,45 - 54 years,1999,50
13711,119170501,45 - 54 years,2009,67
13712,119170501,45 - 54 years,2019,67
13713,119170501,55 - 64 years,1989,116
13714,119170501,55 - 64 years,1999,81
13715,119170501,55 - 64 years,2009,45
13716,119170501,55 - 64 years,2019,77
13717,119170501,65 and more years,1989,90
13718,119170501,65 and more years,1999,84
13719,119170501,65 and more years,2009,86
13720,119170501,65 and more years,2019,95
13721,119170502,Total,1989,712
13722,119170502,Total,1999,460
13723,119170502,Total,2009,436
13724,119170502,Total,2019,215
13725,119170502,16 - 24 years,1989,328
13726,119170502,16 - 24 years,1999,158
13727,119170502,16 - 24 years,2009,98
13728,119170502,16 - 24 years,2019,21
13729,119170502,25 - 34 years,1989,69
13730,119170502,25 - 34 years,1999,52
13731,119170502,25 - 34 years,2009,24
13732,119170502,25 - 34 years,2019,12
13733,119170502,35 - 44 years,1989,51
13734,119170502,35 - 44 years,1999,42
13735,119170502,35 - 44 years,2009,69
13736,119170502,35 - 44 years,2019,12
13737,119170502,45 - 54 years,1989,75
13738,119170502,45 - 54 years,1999,53
13739,119170502,45 - 54 years,2009,68
13740,119170502,45 - 54 years,2019,55
13741,119170502,55 - 64 years,1989,104
13742,119170502,55 - 64 years,1999,62
13743,119170502,55 - 64 years,2009,59
13744,119170502,55 - 64 years,2019,51
13745,119170502,65 and more years,1989,85
13746,119170502,65 and more years,1999,93
13747,119170502,65 and more years,2009,118
13748,119170502,65 and more years,2019,64
13749,119170505,Total,1989,887
13750,119170505,Total,1999,460
13751,119170505,Total,2009,342
13752,119170505,Total,2019,214
13753,119170505,16 - 24 years,1989,381
13754,119170505,16 - 24 years,1999,148
13755,119170505,16 - 24 years,2009,63
13756,119170505,16 - 24 years,2019,40
13757,119170505,25 - 34 years,1989,82
13758,119170505,25 - 34 years,1999,52
13759,119170505,25 - 34 years,2009,33
13760,119170505,25 - 34 years,2019,8
13761,119170505,35 - 44 years,1989,73
13762,119170505,35 - 44 years,1999,44
13763,119170505,35 - 44 years,2009,42
13764,119170505,35 - 44 years,2019,18
13765,119170505,45 - 54 years,1989,152
13766,119170505,45 - 54 years,1999,59
13767,119170505,45 - 54 years,2009,41
13768,119170505,45 - 54 years,2019,32
13769,119170505,55 - 64 years,1989,117
13770,119170505,55 - 64 years,1999,88
13771,119170505,55 - 64 years,2009,59
13772,119170505,55 - 64 years,2019,47
13773,119170505,65 and more years,1989,82
13774,119170505,65 and more years,1999,69
13775,119170505,65 and more years,2009,104
13776,119170505,65 and more years,2019,69
13777,119170509,Total,1989,568
13778,119170509,Total,1999,316
13779,119170509,Total,2009,191
13780,119170509,Total,2019,146
13781,119170509,16 - 24 years,1989,280
13782,119170509,16 - 24 years,1999,116
13783,119170509,16 - 24 years,2009,29
13784,119170509,16 - 24 years,2019,22
13785,119170509,25 - 34 years,1989,75
13786,119170509,25 - 34 years,1999,14
13787,119170509,25 - 34 years,2009,20
13788,119170509,25 - 34 years,2019,9
13789,119170509,35 - 44 years,1989,63
13790,119170509,35 - 44 years,1999,31
13791,119170509,35 - 44 years,2009,13
13792,119170509,35 - 44 years,2019,14
13793,119170509,45 - 54 years,1989,68
13794,119170509,45 - 54 years,1999,45
13795,119170509,45 - 54 years,2009,21
13796,119170509,45 - 54 years,2019,19
13797,119170509,55 - 64 years,1989,53
13798,119170509,55 - 64 years,1999,61
13799,119170509,55 - 64 years,2009,45
13800,119170509,55 - 64 years,2019,31
13801,119170509,65 and more years,1989,29
13802,119170509,65 and more years,1999,49
13803,119170509,65 and more years,2009,63
13804,119170509,65 and more years,2019,51
13805,119170510,Total,1989,780
13806,119170510,Total,1999,467
13807,119170510,Total,2009,290
13808,119170510,Total,2019,177
13809,119170510,16 - 24 years,1989,387
13810,119170510,16 - 24 years,1999,152
13811,119170510,16 - 24 years,2009,67
13812,119170510,16 - 24 years,2019,12
13813,119170510,25 - 34 years,1989,57
13814,119170510,25 - 34 years,1999,36
13815,119170510,25 - 34 years,2009,22
13816,119170510,25 - 34 years,2019,12
13817,119170510,35 - 44 years,1989,70
13818,119170510,35 - 44 years,1999,48
13819,119170510,35 - 44 years,2009,42
13820,119170510,35 - 44 years,2019,12
13821,119170510,45 - 54 years,1989,103
13822,119170510,45 - 54 years,1999,57
13823,119170510,45 - 54 years,2009,36
13824,119170510,45 - 54 years,2019,27
13825,119170510,55 - 64 years,1989,89
13826,119170510,55 - 64 years,1999,89
13827,119170510,55 - 64 years,2009,49
13828,119170510,55 - 64 years,2019,42
13829,119170510,65 and more years,1989,74
13830,119170510,65 and more years,1999,85
13831,119170510,65 and more years,2009,74
13832,119170510,65 and more years,2019,72
13833,119170508,Total,1989,999
13834,119170508,Total,1999,654
13835,119170508,Total,2009,406
13836,119170508,Total,2019,289
13837,119170508,16 - 24 years,1989,537
13838,119170508,16 - 24 years,1999,276
13839,119170508,16 - 24 years,2009,101
13840,119170508,16 - 24 years,2019,43
13841,119170508,25 - 34 years,1989,91
13842,119170508,25 - 34 years,1999,67
13843,119170508,25 - 34 years,2009,41
13844,119170508,25 - 34 years,2019,20
13845,119170508,35 - 44 years,1989,82
13846,119170508,35 - 44 years,1999,68
13847,119170508,35 - 44 years,2009,48
13848,119170508,35 - 44 years,2019,37
13849,119170508,45 - 54 years,1989,111
13850,119170508,45 - 54 years,1999,73
13851,119170508,45 - 54 years,2009,58
13852,119170508,45 - 54 years,2019,46
13853,119170508,55 - 64 years,1989,93
13854,119170508,55 - 64 years,1999,95
13855,119170508,55 - 64 years,2009,67
13856,119170508,55 - 64 years,2019,53
13857,119170508,65 and more years,1989,85
13858,119170508,65 and more years,1999,75
13859,119170508,65 and more years,2009,91
13860,119170508,65 and more years,2019,90
13861,1190309,Total,1989,7878
13862,1190309,Total,1999,4033
13863,1190309,Total,2009,2093
13864,1190309,Total,2019,2395
13865,1190309,16 - 24 years,1989,3529
13866,1190309,16 - 24 years,1999,1324
13867,1190309,16 - 24 years,2009,363
13868,1190309,16 - 24 years,2019,299
13869,1190309,25 - 34 years,1989,694
13870,1190309,25 - 34 years,1999,474
13871,1190309,25 - 34 years,2009,209
13872,1190309,25 - 34 years,2019,166
13873,1190309,35 - 44 years,1989,648
13874,1190309,35 - 44 years,1999,405
13875,1190309,35 - 44 years,2009,210
13876,1190309,35 - 44 years,2019,270
13877,1190309,45 - 54 years,1989,920
13878,1190309,45 - 54 years,1999,453
13879,1190309,45 - 54 years,2009,347
13880,1190309,45 - 54 years,2019,448
13881,1190309,55 - 64 years,1989,1066
13882,1190309,55 - 64 years,1999,584
13883,1190309,55 - 64 years,2009,351
13884,1190309,55 - 64 years,2019,475
13885,1190309,65 and more years,1989,1021
13886,1190309,65 and more years,1999,793
13887,1190309,65 and more years,2009,613
13888,1190309,65 and more years,2019,737
13889,119030906,Total,1989,249
13890,119030906,Total,1999,162
13891,119030906,Total,2009,97
13892,119030906,Total,2019,127
13893,119030906,16 - 24 years,1989,120
13894,119030906,16 - 24 years,1999,58
13895,119030906,16 - 24 years,2009,17
13896,119030906,16 - 24 years,2019,20
13897,119030906,25 - 34 years,1989,17
13898,119030906,25 - 34 years,1999,19
13899,119030906,25 - 34 years,2009,12
13900,119030906,25 - 34 years,2019,11
13901,119030906,35 - 44 years,1989,29
13902,119030906,35 - 44 years,1999,17
13903,119030906,35 - 44 years,2009,7
13904,119030906,35 - 44 years,2019,12
13905,119030906,45 - 54 years,1989,29
13906,119030906,45 - 54 years,1999,14
13907,119030906,45 - 54 years,2009,17
13908,119030906,45 - 54 years,2019,17
13909,119030906,55 - 64 years,1989,26
13910,119030906,55 - 64 years,1999,25
13911,119030906,55 - 64 years,2009,11
13912,119030906,55 - 64 years,2019,34
13913,119030906,65 and more years,1989,28
13914,119030906,65 and more years,1999,29
13915,119030906,65 and more years,2009,33
13916,119030906,65 and more years,2019,33
13917,119030908,Total,1989,255
13918,119030908,Total,1999,184
13919,119030908,Total,2009,123
13920,119030908,Total,2019,158
13921,119030908,16 - 24 years,1989,116
13922,119030908,16 - 24 years,1999,69
13923,119030908,16 - 24 years,2009,31
13924,119030908,16 - 24 years,2019,27
13925,119030908,25 - 34 years,1989,31
13926,119030908,25 - 34 years,1999,23
13927,119030908,25 - 34 years,2009,8
13928,119030908,25 - 34 years,2019,22
13929,119030908,35 - 44 years,1989,19
13930,119030908,35 - 44 years,1999,25
13931,119030908,35 - 44 years,2009,21
13932,119030908,35 - 44 years,2019,16
13933,119030908,45 - 54 years,1989,27
13934,119030908,45 - 54 years,1999,17
13935,119030908,45 - 54 years,2009,21
13936,119030908,45 - 54 years,2019,34
13937,119030908,55 - 64 years,1989,37
13938,119030908,55 - 64 years,1999,28
13939,119030908,55 - 64 years,2009,15
13940,119030908,55 - 64 years,2019,29
13941,119030908,65 and more years,1989,25
13942,119030908,65 and more years,1999,22
13943,119030908,65 and more years,2009,27
13944,119030908,65 and more years,2019,30
13945,119030912,Total,1989,200
13946,119030912,Total,1999,86
13947,119030912,Total,2009,13
13948,119030912,Total,2019,40
13949,119030912,16 - 24 years,1989,93
13950,119030912,16 - 24 years,1999,23
13951,119030912,16 - 24 years,2009,3
13952,119030912,16 - 24 years,2019,4
13953,119030912,25 - 34 years,1989,19
13954,119030912,25 - 34 years,1999,10
13955,119030912,25 - 34 years,2009,3
13956,119030912,25 - 34 years,2019,5
13957,119030912,35 - 44 years,1989,13
13958,119030912,35 - 44 years,1999,3
13959,119030912,35 - 44 years,2009,2
13960,119030912,35 - 44 years,2019,5
13961,119030912,45 - 54 years,1989,30
13962,119030912,45 - 54 years,1999,9
13963,119030912,45 - 54 years,2009,2
13964,119030912,45 - 54 years,2019,7
13965,119030912,55 - 64 years,1989,26
13966,119030912,55 - 64 years,1999,21
13967,119030912,55 - 64 years,2009,3
13968,119030912,55 - 64 years,2019,7
13969,119030912,65 and more years,1989,19
13970,119030912,65 and more years,1999,20
13971,119030912,65 and more years,2009,
13972,119030912,65 and more years,2019,12
13973,119030913,Total,1989,785
13974,119030913,Total,1999,159
13975,119030913,Total,2009,83
13976,119030913,Total,2019,56
13977,119030913,16 - 24 years,1989,347
13978,119030913,16 - 24 years,1999,41
13979,119030913,16 - 24 years,2009,13
13980,119030913,16 - 24 years,2019,3
13981,119030913,25 - 34 years,1989,64
13982,119030913,25 - 34 years,1999,23
13983,119030913,25 - 34 years,2009,7
13984,119030913,25 - 34 years,2019,2
13985,119030913,35 - 44 years,1989,76
13986,119030913,35 - 44 years,1999,11
13987,119030913,35 - 44 years,2009,9
13988,119030913,35 - 44 years,2019,7
13989,119030913,45 - 54 years,1989,82
13990,119030913,45 - 54 years,1999,23
13991,119030913,45 - 54 years,2009,8
13992,119030913,45 - 54 years,2019,9
13993,119030913,55 - 64 years,1989,106
13994,119030913,55 - 64 years,1999,26
13995,119030913,55 - 64 years,2009,14
13996,119030913,55 - 64 years,2019,7
13997,119030913,65 and more years,1989,110
13998,119030913,65 and more years,1999,35
13999,119030913,65 and more years,2009,32
14000,119030913,65 and more years,2019,28
14001,119030914,Total,1989,339
14002,119030914,Total,1999,191
14003,119030914,Total,2009,89
14004,119030914,Total,2019,145
14005,119030914,16 - 24 years,1989,172
14006,119030914,16 - 24 years,1999,73
14007,119030914,16 - 24 years,2009,13
14008,119030914,16 - 24 years,2019,19
14009,119030914,25 - 34 years,1989,38
14010,119030914,25 - 34 years,1999,27
14011,119030914,25 - 34 years,2009,7
14012,119030914,25 - 34 years,2019,14
14013,119030914,35 - 44 years,1989,16
14014,119030914,35 - 44 years,1999,18
14015,119030914,35 - 44 years,2009,9
14016,119030914,35 - 44 years,2019,23
14017,119030914,45 - 54 years,1989,37
14018,119030914,45 - 54 years,1999,17
14019,119030914,45 - 54 years,2009,13
14020,119030914,45 - 54 years,2019,22
14021,119030914,55 - 64 years,1989,47
14022,119030914,55 - 64 years,1999,27
14023,119030914,55 - 64 years,2009,9
14024,119030914,55 - 64 years,2019,22
14025,119030914,65 and more years,1989,29
14026,119030914,65 and more years,1999,29
14027,119030914,65 and more years,2009,38
14028,119030914,65 and more years,2019,45
14029,119030915,Total,1989,303
14030,119030915,Total,1999,108
14031,119030915,Total,2009,53
14032,119030915,Total,2019,65
14033,119030915,16 - 24 years,1989,149
14034,119030915,16 - 24 years,1999,35
14035,119030915,16 - 24 years,2009,10
14036,119030915,16 - 24 years,2019,12
14037,119030915,25 - 34 years,1989,26
14038,119030915,25 - 34 years,1999,18
14039,119030915,25 - 34 years,2009,2
14040,119030915,25 - 34 years,2019,2
14041,119030915,35 - 44 years,1989,26
14042,119030915,35 - 44 years,1999,6
14043,119030915,35 - 44 years,2009,9
14044,119030915,35 - 44 years,2019,11
14045,119030915,45 - 54 years,1989,29
14046,119030915,45 - 54 years,1999,15
14047,119030915,45 - 54 years,2009,10
