primary_key,codes,year,vt_euros
430,111160714,2019,952988
431,111160714,1999,951790
432,111160714,2009,611406
433,111160716,2019,1652746
434,111160716,1999,1818648
435,111160716,2009,1667045
436,111160717,2019,371483
437,111160717,1999,457587
438,111160717,2009,180817
439,111160718,2019,598910
440,111160718,1999,720235
441,111160718,2009,406208
442,111160719,2019,250874
443,111160719,1999,209704
444,111160719,2009,134127
445,111160721,2019,1015390
446,111160721,1999,724201
447,111160721,2009,719688
448,111160758,2019,639075
449,111160758,1999,976697
450,111160758,2009,611801
451,111160724,2019,224920
452,111160724,1999,456206
453,111160724,2009,317533
454,111160726,2019,358805
455,111160726,1999,382616
456,111160726,2009,260920
457,111160727,2019,202844
458,111160727,1999,350689
459,111160727,2009,360572
460,111160728,2019,281213
461,111160728,1999,400807
462,111160728,2009,259507
463,111160729,2019,137365
464,111160729,1999,227488
465,111160729,2009,100890
466,111160759,2019,242782
467,111160759,1999,348279
468,111160759,2009,350843
469,111160760,2019,632449
470,111160760,1999,925803
471,111160760,2009,850750
472,111160734,2019,2640791
473,111160734,1999,1733567
474,111160734,2009,1705570
475,111160744,2019,392345
476,111160744,1999,476162
477,111160744,2009,354727
478,111160747,2019,251984
479,111160747,1999,383439
480,111160747,2009,214215
481,111160737,2019,866638
482,111160737,1999,1117523
483,111160737,2009,806112
484,111160739,2019,439048
485,111160739,1999,643953
486,111160739,2009,319472
487,111160740,2019,527066
488,111160740,1999,263212
489,111160740,2009,161668
490,111160742,2019,62328
491,111160742,1999,167792
492,111160742,2009,41489
493,111160743,2019,146039
494,111160743,1999,177950
495,111160743,2009,91527
496,111160703,2019,290893
497,111160703,1999,528631
498,111160703,2009,281991
499,111160745,2019,182665
500,111160745,1999,260883
501,111160745,2009,123391
502,111160746,2019,128985
503,111160746,1999,450272
504,111160746,2009,178181
505,111160750,2019,185054
506,111160750,1999,206843
507,111160750,2009,150050
508,1111608,2019,4101833
509,1111608,1999,4785345
510,1111608,2009,3635085
511,111160802,2019,74095
512,111160802,1999,87720
513,111160802,2009,78968
514,111160803,2019,686718
515,111160803,1999,793421
516,111160803,2009,499691
517,111160805,2019,487956
518,111160805,1999,338521
519,111160805,2009,554023
520,111160806,2019,61055
521,111160806,1999,103827
522,111160806,2009,59488
523,111160808,2019,376297
524,111160808,1999,284794
525,111160808,2009,449341
526,111160812,2019,441591
527,111160812,1999,789890
528,111160812,2009,293808
529,111160817,2019,258610
530,111160817,1999,1193248
531,111160817,2009,645529
532,111160818,2019,76074
533,111160818,1999,257611
534,111160818,2009,172030
535,111160819,2019,858262
536,111160819,1999,382124
537,111160819,2009,331453
538,111160820,2019,223019
539,111160820,1999,294548
540,111160820,2009,231389
541,111160816,2019,558156
542,111160816,1999,259641
543,111160816,2009,319364
544,1111609,2019,16334535
545,1111609,1999,19335975
546,1111609,2009,14870632
547,111160901,2019,375175
548,111160901,1999,365073
549,111160901,2009,461813
550,111160902,2019,350786
551,111160902,1999,898136
552,111160902,2009,475172
553,111160903,2019,313001
554,111160903,1999,196226
555,111160903,2009,68074
556,111160904,2019,557939
557,111160904,1999,471952
558,111160904,2009,317865
559,111160905,2019,295520
560,111160905,1999,249242
561,111160905,2009,336396
562,111160908,2019,1299735
563,111160908,1999,841116
564,111160908,2009,1152576
565,111160910,2019,336824
566,111160910,1999,543042
567,111160910,2009,275341
568,111160940,2019,559556
569,111160940,1999,358933
570,111160940,2009,1093773
571,111160911,2019,171900
572,111160911,1999,86000
573,111160911,2009,41024
574,111160914,2019,292650
575,111160914,1999,499630
576,111160914,2009,333328
577,111160915,2019,241330
578,111160915,1999,656688
579,111160915,2009,300805
580,111160920,2019,370742
581,111160920,1999,557131
582,111160920,2009,300528
583,111160922,2019,765109
584,111160922,1999,193366
585,111160922,2009,257147
586,111160925,2019,351088
587,111160925,1999,621232
588,111160925,2009,464355
589,111160926,2019,612941
590,111160926,1999,1326044
591,111160926,2009,641221
592,111160928,2019,660367
593,111160928,1999,1088768
594,111160928,2009,502168
595,111160923,2019,247046
596,111160923,1999,1062937
597,111160923,2009,913893
598,111160941,2019,1431401
599,111160941,1999,1952767
600,111160941,2009,1192374
601,111160942,2019,916478
602,111160942,1999,452559
603,111160942,2009,323142
604,111160943,2019,981500
605,111160943,1999,1594580
606,111160943,2009,663256
607,111160944,2019,972278
608,111160944,1999,723276
609,111160944,2009,1352992
610,111160945,2019,834630
611,111160945,1999,868739
612,111160945,2009,902906
613,111160946,2019,665700
614,111160946,1999,1345716
615,111160946,2009,660315
616,111160947,2019,487099
617,111160947,1999,940995
618,111160947,2009,778005
619,111160948,2019,426299
620,111160948,1999,399894
621,111160948,2009,257654
622,111160938,2019,470853
623,111160938,1999,246462
624,111160938,2009,358047
625,111160935,2019,1346591
626,111160935,1999,795471
627,111160935,2009,446462
628,1111610,2019,2058865
629,1111610,1999,2782996
630,1111610,2009,1796054
631,111161003,2019,106249
632,111161003,1999,302387
633,111161003,2009,198905
634,111161004,2019,600855
635,111161004,1999,318315
636,111161004,2009,380698
637,111161006,2019,129801
638,111161006,1999,165185
639,111161006,2009,65551
640,111161007,2019,56713
641,111161007,1999,173079
642,111161007,2009,64227
643,111161009,2019,224916
644,111161009,1999,82280
645,111161009,2009,126518
646,111161012,2019,57270
647,111161012,1999,70605
648,111161012,2009,77768
649,111161013,2019,92153
650,111161013,1999,176587
651,111161013,2009,67374
652,111161016,2019,217354
653,111161016,1999,642306
654,111161016,2009,246940
655,111161017,2019,68966
656,111161017,1999,164174
657,111161017,2009,67820
658,111161018,2019,437496
659,111161018,1999,520861
660,111161018,2009,453561
661,111161019,2019,67093
662,111161019,1999,167218
663,111161019,2009,46692
664,112,2019,178855342
665,112,1999,146124059
666,112,2009,138161282
667,1120301,2019,14949691
668,1120301,1999,10475932
669,1120301,2009,9469324
670,112030102,2019,414139
671,112030102,1999,318141
672,112030102,2009,372685
673,112030104,2019,48332
674,112030104,1999,362706
675,112030104,2009,27738
676,112030119,2019,221135
677,112030119,1999,297904
678,112030119,2009,145209
679,112030120,2019,355345
680,112030120,1999,269637
681,112030120,2009,177605
682,112030105,2019,317293
683,112030105,1999,321291
684,112030105,2009,200584
685,112030107,2019,3939525
686,112030107,1999,4237371
687,112030107,2009,5183076
688,112030108,2019,647132
689,112030108,1999,357231
690,112030108,2009,345414
691,112030111,2019,323254
692,112030111,1999,365142
693,112030111,2009,222971
694,112030112,2019,369647
695,112030112,1999,361508
696,112030112,2009,195446
697,112030113,2019,397289
698,112030113,1999,206629
699,112030113,2009,104177
700,112030118,2019,702422
701,112030118,1999,838623
702,112030118,2009,570836
703,112030125,2019,554860
704,112030125,1999,334770
705,112030125,2009,448660
706,112030126,2019,312483
707,112030126,1999,521333
708,112030126,2009,230184
709,112030127,2019,5211897
710,112030127,1999,1004401
711,112030127,2009,752754
712,112030128,2019,272288
713,112030128,1999,217737
714,112030128,2009,109763
715,112030129,2019,862651
716,112030129,1999,461508
717,112030129,2009,382221
718,1120302,2019,103023486
719,1120302,1999,83270642
720,1120302,2009,84158539
721,112030201,2019,1816477
722,112030201,1999,1198324
723,112030201,2009,1124434
724,112030202,2019,730213
725,112030202,1999,502585
726,112030202,2009,492986
727,112030203,2019,963184
728,112030203,1999,546564
729,112030203,2009,553103
730,112030205,2019,401014
731,112030205,1999,440447
732,112030205,2009,245636
733,112030206,2019,1402761
734,112030206,1999,809520
735,112030206,2009,739309
736,112030208,2019,796637
737,112030208,1999,1227076
738,112030208,2009,835946
739,112030209,2019,441092
740,112030209,1999,497974
741,112030209,2009,281288
742,112030210,2019,54766
743,112030210,1999,228240
744,112030210,2009,56990
745,112030212,2019,138992
746,112030212,1999,477030
747,112030212,2009,316031
748,112030213,2019,1069050
749,112030213,1999,320139
750,112030213,2009,552443
751,112030215,2019,2610284
752,112030215,1999,1861567
753,112030215,2009,1792428
754,112030216,2019,2299805
755,112030216,1999,1352285
756,112030216,2009,902967
757,112030218,2019,508816
758,112030218,1999,550189
759,112030218,2009,349467
760,112030220,2019,790794
761,112030220,1999,1079505
762,112030220,2009,727878
763,112030221,2019,580861
764,112030221,1999,759994
765,112030221,2009,746506
766,112030224,2019,2186093
767,112030224,1999,1375847
768,112030224,2009,1496562
769,112030228,2019,6672136
770,112030228,1999,4427213
771,112030228,2009,5821269
772,112030234,2019,1168574
773,112030234,1999,990749
774,112030234,2009,1583218
775,112030235,2019,1032071
776,112030235,1999,1178415
777,112030235,2009,940829
778,112030268,2019,51627
779,112030268,1999,248771
780,112030268,2009,151854
781,112030272,2019,38895
782,112030272,1999,280566
783,112030272,2009,304484
784,112030237,2019,846549
785,112030237,1999,697650
786,112030237,2009,733137
787,112030242,2019,264547
788,112030242,1999,439234
789,112030242,2009,266631
790,112030243,2019,1430936
791,112030243,1999,1078491
792,112030243,2009,1239913
793,112030244,2019,5936708
794,112030244,1999,4662574
795,112030244,2009,5468485
796,112030245,2019,3185510
797,112030245,1999,1519697
798,112030245,2009,2608411
799,112030247,2019,474371
800,112030247,1999,525754
801,112030247,2009,342956
802,112030252,2019,411748
803,112030252,1999,284684
804,112030252,2009,446894
805,112030254,2019,348159
806,112030254,1999,450624
807,112030254,2009,425717
808,112030255,2019,677775
809,112030255,1999,790133
810,112030255,2009,655191
811,112030256,2019,849190
812,112030256,1999,705747
813,112030256,2009,657235
814,112030257,2019,2333140
815,112030257,1999,2673361
816,112030257,2009,3181410
817,112030259,2019,384339
818,112030259,1999,343126
819,112030259,2009,412525
820,112030260,2019,434209
821,112030260,1999,612663
822,112030260,2009,485584
823,112030261,2019,1026749
824,112030261,1999,606032
825,112030261,2009,654635
826,112030263,2019,3935111
827,112030263,1999,1342402
828,112030263,2009,1669655
829,112030265,2019,828995
830,112030265,1999,504352
831,112030265,2009,709990
832,112030264,2019,3302651
833,112030264,1999,2650869
834,112030264,2009,2177709
835,112030279,2019,217919
836,112030279,1999,444642
837,112030279,2009,347225
838,112030277,2019,343422
839,112030277,1999,416993
840,112030277,2009,290563
841,112030282,2019,1461683
842,112030282,1999,1251371
843,112030282,2009,1094395
844,112030290,2019,506625
845,112030290,1999,789030
846,112030290,2009,529659
847,112030291,2019,2210549
848,112030291,1999,1431483
849,112030291,2009,1703009
850,112030292,2019,1100365
851,112030292,1999,1516814
852,112030292,2009,733818
853,112030293,2019,923510
854,112030293,1999,1505738
855,112030293,2009,1795547
856,112030294,2019,805633
857,112030294,1999,993021
858,112030294,2009,660597
859,112030295,2019,2387091
860,112030295,1999,2623740
861,112030295,2009,2205793
862,112030296,2019,10746311
863,112030296,1999,8549248
864,112030296,2009,8867660
865,112030297,2019,854114
866,112030297,1999,981778
867,112030297,2009,746075
868,112030298,2019,259039
869,112030298,1999,432364
870,112030298,2009,276525
871,112030299,2019,710829
872,112030299,1999,744743
873,112030299,2009,574291
874,1120302FA,2019,4822637
875,1120302FA,1999,3544594
876,1120302FA,2009,4297044
877,1120302FB,2019,5421315
878,1120302FB,1999,3132934
879,1120302FB,2009,3662983
880,1120302FC,2019,1233793
881,1120302FC,1999,1153295
882,1120302FC,2009,941480
883,1120302FD,2019,1936674
884,1120302FD,1999,1382532
885,1120302FD,2009,1455377
886,1120302FE,2019,2285164
887,1120302FE,1999,1831342
888,1120302FE,2009,2007554
889,1120302FF,2019,304331
890,1120302FF,1999,364995
891,1120302FF,2009,316236
892,1120302FG,2019,7049371
893,1120302FG,1999,4821401
894,1120302FG,2009,4828549
895,1120302FH,2019,2190025
896,1120302FH,1999,2539775
897,1120302FH,2009,2628644
898,112030283,2019,787624
899,112030283,1999,411353
900,112030283,2009,377707
901,112030287,2019,2040631
902,112030287,1999,2167062
903,112030287,2009,1666105
904,1120303,2019,17837631
905,1120303,1999,18727458
906,1120303,2009,13804594
907,112030301,2019,736328
908,112030301,1999,1105383
909,112030301,2009,712440
910,112030349,1999,12528
911,112030351,2019,38956
912,112030351,1999,53198
913,112030351,2009,22789
914,112030312,2019,515512
915,112030312,1999,738610
916,112030312,2009,457504
917,112030313,2019,503702
918,112030313,1999,597098
919,112030313,2009,295352
920,112030315,2019,483483
921,112030315,1999,204974
922,112030315,2009,286757
923,112030319,2019,18099
924,112030319,1999,81519
925,112030319,2009,26797
926,112030322,2019,110438
927,112030322,1999,130915
928,112030322,2009,74321
929,112030325,2019,722622
930,112030325,1999,412215
931,112030325,2009,380992
932,112030330,2019,341389
933,112030330,1999,200298
934,112030330,2009,89234
935,112030331,2019,1013354
936,112030331,1999,650391
937,112030331,2009,482035
938,112030334,2019,1149532
939,112030334,1999,1055700
940,112030334,2009,1084577
941,112030336,2019,319636
942,112030336,1999,516837
943,112030336,2009,301583
944,112030338,2019,377568
945,112030338,1999,316294
946,112030338,2009,244524
947,112030354,2019,811939
948,112030354,1999,1054535
949,112030354,2009,519267
950,112030355,2019,621742
951,112030355,1999,514453
952,112030355,2009,460153
953,112030356,2019,93826
954,112030356,1999,194243
955,112030356,2009,135168
956,112030357,2019,59618
957,112030357,1999,201925
958,112030357,2009,87043
959,112030363,2019,1313184
960,112030363,1999,1218721
961,112030363,2009,1269358
962,112030364,2019,79748
963,112030364,1999,180357
964,112030364,2009,68915
965,112030365,2009,4023
966,112030366,2019,482463
967,112030366,1999,626180
968,112030366,2009,448074
969,112030367,2019,438009
970,112030367,1999,489591
971,112030367,2009,307375
972,112030368,2019,971735
973,112030368,1999,608809
974,112030368,2009,579407
975,112030369,2019,1948346
976,112030369,1999,1439002
977,112030369,2009,1445842
978,112030370,2019,278329
979,112030370,1999,281682
980,112030370,2009,309735
981,112030371,2019,235444
982,112030371,1999,370598
983,112030371,2009,168247
984,112030372,2019,505072
985,112030372,1999,348429
986,112030372,2009,390028
987,112030373,2019,224737
988,112030373,1999,388367
989,112030373,2009,283970
990,112030374,2019,943970
991,112030374,1999,638070
992,112030374,2009,602605
993,112030375,2019,644004
994,112030375,1999,1119133
995,112030375,2009,600014
996,112030376,2019,261059
997,112030376,1999,437133
998,112030376,2009,505315
999,112030377,2019,180911
1000,112030377,1999,353159
1001,112030377,2009,138943
1002,112030378,2019,190119
1003,112030378,1999,150235
1004,112030378,2009,72950
1005,112030379,2019,752236
1006,112030379,1999,991100
1007,112030379,2009,525501
1008,112030380,2019,246002
1009,112030380,1999,685872
1010,112030380,2009,213932
1011,112030381,2019,224517
1012,112030381,1999,359902
1013,112030381,2009,209822
1014,1120306,2019,21436483
1015,1120306,1999,15739001
1016,1120306,2009,15315838
1017,112030601,2019,504787
1018,112030601,1999,731446
1019,112030601,2009,276527
1020,112030608,2019,447765
1021,112030608,1999,602585
1022,112030608,2009,620197
1023,112030610,2019,975149
1024,112030610,1999,970187
1025,112030610,2009,1010612
1026,112030616,2019,7272293
1027,112030616,1999,2393911
1028,112030616,2009,3364769
1029,112030617,2019,1188079
1030,112030617,1999,1048417
1031,112030617,2009,829012
1032,112030618,2019,3988736
1033,112030618,1999,3943000
1034,112030618,2009,3688160
1035,112030619,2019,5719775
1036,112030619,1999,4205564
1037,112030619,2009,4461125
1038,112030620,2019,1034123
1039,112030620,1999,1263299
1040,112030620,2009,588212
1041,112030615,2019,305776
1042,112030615,1999,580593
1043,112030615,2009,477224
1044,1120310,2019,4492929
1045,1120310,1999,3510213
1046,1120310,2009,2758312
1047,112031001,2019,320885
1048,112031001,1999,178958
1049,112031001,2009,171412
1050,112031003,2019,291752
1051,112031003,1999,33436
1052,112031003,2009,171102
1053,112031004,2019,335036
1054,112031004,1999,212098
1055,112031004,2009,214812
1056,112031008,2019,471668
1057,112031008,1999,282063
1058,112031008,2009,239194
1059,112031009,2019,324430
1060,112031009,1999,176710
1061,112031009,2009,136462
1062,112031010,2019,150045
1063,112031010,1999,133252
1064,112031010,2009,61959
1065,112031012,2019,53767
1066,112031012,1999,142679
1067,112031012,2009,59844
1068,112031013,2019,297611
1069,112031013,1999,216349
1070,112031013,2009,194103
1071,112031014,2019,333026
1072,112031014,1999,160731
1073,112031014,2009,209745
1074,112031018,2019,443136
1075,112031018,1999,458297
1076,112031018,2009,265194
1077,112031019,2019,683984
1078,112031019,1999,646636
1079,112031019,2009,451134
1080,112031020,2019,344548
1081,112031020,1999,476331
1082,112031020,2009,301651
1083,112031015,2019,182321
1084,112031015,1999,151223
1085,112031015,2009,75971
1086,112031017,2019,260720
1087,112031017,1999,241449
1088,112031017,2009,205729
1089,1120313,2019,17115122
1090,1120313,1999,14400812
1091,1120313,2009,12654676
1092,112031359,2019,290499
1093,112031359,1999,451231
1094,112031359,2009,446976
1095,112031304,2019,729268
1096,112031304,1999,666990
1097,112031304,2009,433865
1098,112031308,2019,2218498
1099,112031308,1999,851201
1100,112031308,2009,1217888
1101,112031309,2019,422117
1102,112031309,1999,377801
1103,112031309,2009,470370
1104,112031311,2019,950785
1105,112031311,1999,700143
1106,112031311,2009,513234
1107,112031313,2019,145581
1108,112031313,1999,215462
1109,112031313,2009,191299
1110,112031316,2019,157196
1111,112031316,1999,238100
1112,112031316,2009,276622
1113,112031317,2019,102961
1114,112031317,1999,259573
1115,112031317,2009,101747
1116,112031323,2019,486204
1117,112031323,1999,630791
1118,112031323,2009,362150
1119,112031324,2019,208847
1120,112031324,1999,157971
1121,112031324,2009,128399
1122,112031325,2019,67626
1123,112031325,1999,147316
1124,112031325,2009,102021
1125,112031328,2019,218668
1126,112031328,1999,233915
1127,112031328,2009,233564
1128,112031330,2019,137715
1129,112031330,1999,155428
1130,112031330,2009,181595
1131,112031331,2019,200296
