primary_key,codes,Livestock,year,No_und
162,111160101,Cattle,1999,62
163,111160101,Cattle,2009,65
164,111160101,Cattle,2019,63
165,111160101,Pigs,1989,35
166,111160101,Pigs,1999,30
167,111160101,Pigs,2009,18
168,111160101,Pigs,2019,4
169,111160101,Sheep,1989,49
170,111160101,Sheep,1999,39
171,111160101,Sheep,2009,58
172,111160101,Sheep,2019,71
173,111160101,Goats,1989,4
174,111160101,Goats,1999,
175,111160101,Goats,2009,12
176,111160101,Goats,2019,32
177,111160101,Equidae,1989,
178,111160101,Equidae,1999,1
179,111160101,Equidae,2009,1
180,111160101,Equidae,2019,
181,111160101,Poultry,1989,925
182,111160101,Poultry,1999,779
183,111160101,Poultry,2009,447
184,111160101,Poultry,2019,389
185,111160101,Rabbits,1989,80
186,111160101,Rabbits,1999,80
187,111160101,Rabbits,2009,92
188,111160101,Rabbits,2019,104
189,111160101,Inhabited hives and traditional cork hives,1989,29
190,111160101,Inhabited hives and traditional cork hives,1999,3
191,111160101,Inhabited hives and traditional cork hives,2009,3
192,111160101,Inhabited hives and traditional cork hives,2019,8
193,111160102,Cattle,1989,130
194,111160102,Cattle,1999,107
195,111160102,Cattle,2009,76
196,111160102,Cattle,2019,52
197,111160102,Pigs,1989,23
198,111160102,Pigs,1999,9
199,111160102,Pigs,2009,9
200,111160102,Pigs,2019,13
201,111160102,Sheep,1989,114
202,111160102,Sheep,1999,151
203,111160102,Sheep,2009,104
204,111160102,Sheep,2019,157
205,111160102,Goats,1989,24
206,111160102,Goats,1999,82
207,111160102,Goats,2009,45
208,111160102,Goats,2019,46
209,111160102,Equidae,1989,
210,111160102,Equidae,1999,7
211,111160102,Equidae,2009,5
212,111160102,Equidae,2019,
213,111160102,Poultry,1989,1022
214,111160102,Poultry,1999,866
215,111160102,Poultry,2009,527
216,111160102,Poultry,2019,562
217,111160102,Rabbits,1989,134
218,111160102,Rabbits,1999,50
219,111160102,Rabbits,2009,121
220,111160102,Rabbits,2019,69
221,111160102,Inhabited hives and traditional cork hives,1989,
222,111160102,Inhabited hives and traditional cork hives,1999,1
223,111160102,Inhabited hives and traditional cork hives,2009,2
224,111160102,Inhabited hives and traditional cork hives,2019,180
225,111160104,Cattle,1989,70
226,111160104,Cattle,1999,69
227,111160104,Cattle,2009,50
228,111160104,Cattle,2019,68
229,111160104,Pigs,1989,3
230,111160104,Pigs,1999,29
231,111160104,Pigs,2009,5
232,111160104,Pigs,2019,19
233,111160104,Sheep,1989,73
234,111160104,Sheep,1999,16
235,111160104,Sheep,2009,38
236,111160104,Sheep,2019,82
237,111160104,Goats,1989,5
238,111160104,Goats,1999,3
239,111160104,Goats,2009,106
240,111160104,Goats,2019,52
241,111160104,Equidae,1989,
242,111160104,Equidae,1999,4
243,111160104,Equidae,2009,14
244,111160104,Equidae,2019,
245,111160104,Poultry,1989,668
246,111160104,Poultry,1999,710
247,111160104,Poultry,2009,393
248,111160104,Poultry,2019,407
249,111160104,Rabbits,1989,27
250,111160104,Rabbits,1999,40
251,111160104,Rabbits,2009,144
252,111160104,Rabbits,2019,85
253,111160104,Inhabited hives and traditional cork hives,1989,1
254,111160104,Inhabited hives and traditional cork hives,1999,1
255,111160104,Inhabited hives and traditional cork hives,2009,13
256,111160104,Inhabited hives and traditional cork hives,2019,
257,111160105,Cattle,1989,281
258,111160105,Cattle,1999,234
259,111160105,Cattle,2009,123
260,111160105,Cattle,2019,110
261,111160105,Pigs,1989,11
262,111160105,Pigs,1999,6
263,111160105,Pigs,2009,5
264,111160105,Pigs,2019,
265,111160105,Sheep,1989,477
266,111160105,Sheep,1999,686
267,111160105,Sheep,2009,213
268,111160105,Sheep,2019,161
269,111160105,Goats,1989,269
270,111160105,Goats,1999,414
271,111160105,Goats,2009,39
272,111160105,Goats,2019,46
273,111160105,Equidae,1989,22
274,111160105,Equidae,1999,59
275,111160105,Equidae,2009,63
276,111160105,Equidae,2019,40
277,111160105,Poultry,1989,1104
278,111160105,Poultry,1999,660
279,111160105,Poultry,2009,280
280,111160105,Poultry,2019,230
281,111160105,Rabbits,1989,57
282,111160105,Rabbits,1999,151
283,111160105,Rabbits,2009,43
284,111160105,Rabbits,2019,5
285,111160105,Inhabited hives and traditional cork hives,1989,2
286,111160105,Inhabited hives and traditional cork hives,1999,21
287,111160105,Inhabited hives and traditional cork hives,2009,6
288,111160105,Inhabited hives and traditional cork hives,2019,
289,111160106,Cattle,1989,872
290,111160106,Cattle,1999,745
291,111160106,Cattle,2009,697
292,111160106,Cattle,2019,699
293,111160106,Pigs,1989,86
294,111160106,Pigs,1999,49
295,111160106,Pigs,2009,12
296,111160106,Pigs,2019,4
297,111160106,Sheep,1989,913
298,111160106,Sheep,1999,487
299,111160106,Sheep,2009,278
300,111160106,Sheep,2019,84
301,111160106,Goats,1989,890
302,111160106,Goats,1999,601
303,111160106,Goats,2009,124
304,111160106,Goats,2019,61
305,111160106,Equidae,1989,125
306,111160106,Equidae,1999,270
307,111160106,Equidae,2009,187
308,111160106,Equidae,2019,118
309,111160106,Poultry,1989,2218
310,111160106,Poultry,1999,1684
311,111160106,Poultry,2009,1202
312,111160106,Poultry,2019,724
313,111160106,Rabbits,1989,28
314,111160106,Rabbits,1999,103
315,111160106,Rabbits,2009,199
316,111160106,Rabbits,2019,82
317,111160106,Inhabited hives and traditional cork hives,1989,27
318,111160106,Inhabited hives and traditional cork hives,1999,210
319,111160106,Inhabited hives and traditional cork hives,2009,22
320,111160106,Inhabited hives and traditional cork hives,2019,23
321,111160108,Cattle,1989,140
322,111160108,Cattle,1999,70
323,111160108,Cattle,2009,28
324,111160108,Cattle,2019,12
325,111160108,Pigs,1989,17
326,111160108,Pigs,1999,27
327,111160108,Pigs,2009,11
328,111160108,Pigs,2019,1
329,111160108,Sheep,1989,72
330,111160108,Sheep,1999,26
331,111160108,Sheep,2009,121
332,111160108,Sheep,2019,120
333,111160108,Goats,1989,37
334,111160108,Goats,1999,54
335,111160108,Goats,2009,41
336,111160108,Goats,2019,37
337,111160108,Equidae,1989,1
338,111160108,Equidae,1999,2
339,111160108,Equidae,2009,1
340,111160108,Equidae,2019,4
341,111160108,Poultry,1989,1181
342,111160108,Poultry,1999,1069
343,111160108,Poultry,2009,618
344,111160108,Poultry,2019,325
345,111160108,Rabbits,1989,74
346,111160108,Rabbits,1999,176
347,111160108,Rabbits,2009,89
348,111160108,Rabbits,2019,22
349,111160108,Inhabited hives and traditional cork hives,1989,5
350,111160108,Inhabited hives and traditional cork hives,1999,6
351,111160108,Inhabited hives and traditional cork hives,2009,6
352,111160108,Inhabited hives and traditional cork hives,2019,
353,111160109,Cattle,1989,131
354,111160109,Cattle,1999,71
355,111160109,Cattle,2009,23
356,111160109,Cattle,2019,47
357,111160109,Pigs,1989,23
358,111160109,Pigs,1999,40
359,111160109,Pigs,2009,7
360,111160109,Pigs,2019,3
361,111160109,Sheep,1989,129
362,111160109,Sheep,1999,118
363,111160109,Sheep,2009,172
364,111160109,Sheep,2019,78
365,111160109,Goats,1989,10
366,111160109,Goats,1999,3
367,111160109,Goats,2009,3
368,111160109,Goats,2019,2
369,111160109,Equidae,1989,2
370,111160109,Equidae,1999,2
371,111160109,Equidae,2009,3
372,111160109,Equidae,2019,11
373,111160109,Poultry,1989,1216
374,111160109,Poultry,1999,1303
375,111160109,Poultry,2009,481
