primary_key,codes,legal_form,year,area_ha
479,111160153,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,14
480,111160153,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
481,111160155,Natural person (sole holder),1989,214
482,111160155,Natural person (sole holder),1999,129
483,111160155,Natural person (sole holder),2009,78
484,111160155,Natural person (sole holder),2019,57
485,111160155,Group of natural persons (group holding),1989,
486,111160155,Group of natural persons (group holding),1999,
487,111160155,Group of natural persons (group holding),2009,
488,111160155,Group of natural persons (group holding),2019,
489,111160155,Fallow land comissions,1989,23
490,111160155,Fallow land comissions,1999,100
491,111160155,Fallow land comissions,2009,80
492,111160155,Fallow land comissions,2019,115
493,111160155,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
494,111160155,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
495,111160155,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
