primary_key,codes,Temp_crop,year,area_ha
379,111160440,Total,2009,13
380,111160440,Total,2019,7
381,1111605,Total,1989,5127
382,1111605,Total,1999,3006
383,1111605,Total,2009,1679
384,1111605,Total,2019,1265
385,111160501,Total,1989,180
386,111160501,Total,1999,149
387,111160501,Total,2009,64
388,111160501,Total,2019,18
389,111160503,Total,1989,370
390,111160503,Total,1999,208
391,111160503,Total,2009,112
392,111160503,Total,2019,86
393,111160505,Total,1989,296
394,111160505,Total,1999,137
395,111160505,Total,2009,51
396,111160505,Total,2019,26
397,111160507,Total,1989,349
398,111160507,Total,1999,225
399,111160507,Total,2009,142
400,111160507,Total,2019,80
401,111160510,Total,1989,272
402,111160510,Total,1999,183
403,111160510,Total,2009,102
404,111160510,Total,2019,64
405,111160513,Total,1989,163
406,111160513,Total,1999,78
407,111160513,Total,2009,54
408,111160513,Total,2019,71
409,111160514,Total,1989,357
410,111160514,Total,1999,176
411,111160514,Total,2009,65
412,111160514,Total,2019,75
413,111160515,Total,1989,185
414,111160515,Total,1999,145
415,111160515,Total,2009,68
416,111160515,Total,2019,61
417,111160519,Total,1989,176
418,111160519,Total,1999,96
419,111160519,Total,2009,68
420,111160519,Total,2019,22
421,111160520,Total,1989,374
422,111160520,Total,1999,227
423,111160520,Total,2009,74
424,111160520,Total,2019,84
425,111160522,Total,1989,527
426,111160522,Total,1999,302
427,111160522,Total,2009,152
428,111160522,Total,2019,244
429,111160523,Total,1989,314
430,111160523,Total,1999,146
431,111160523,Total,2009,63
432,111160523,Total,2019,49
433,111160524,Total,1989,532
434,111160524,Total,1999,349
435,111160524,Total,2009,212
436,111160524,Total,2019,206
437,111160525,Total,1989,495
438,111160525,Total,1999,291
439,111160525,Total,2009,254
440,111160525,Total,2019,56
441,111160526,Total,1989,376
442,111160526,Total,1999,159
443,111160526,Total,2009,102
444,111160526,Total,2019,83
445,111160521,Total,1989,162
446,111160521,Total,1999,134
447,111160521,Total,2009,97
448,111160521,Total,2019,39
449,1111606,Total,1989,4576
450,1111606,Total,1999,1932
451,1111606,Total,2009,951
452,1111606,Total,2019,425
453,111160601,Total,1989,254
454,111160601,Total,1999,92
455,111160601,Total,2009,65
456,111160601,Total,2019,28
457,111160602,Total,1989,238
458,111160602,Total,1999,142
459,111160602,Total,2009,91
460,111160602,Total,2019,25
461,111160603,Total,1989,200
462,111160603,Total,1999,205
463,111160603,Total,2009,45
464,111160603,Total,2019,26
465,111160604,Total,1989,169
466,111160604,Total,1999,23
467,111160604,Total,2009,17
468,111160604,Total,2019,4
469,111160606,Total,1989,239
470,111160606,Total,1999,76
471,111160606,Total,2009,13
472,111160606,Total,2019,18
473,111160611,Total,1989,515
474,111160611,Total,1999,269
475,111160611,Total,2009,84
476,111160611,Total,2019,76
477,111160612,Total,1989,293
478,111160612,Total,1999,44
479,111160612,Total,2009,23
480,111160612,Total,2019,7
481,111160613,Total,1989,186
482,111160613,Total,1999,49
483,111160613,Total,2009,26
484,111160613,Total,2019,5
485,111160614,Total,1989,128
486,111160614,Total,1999,160
487,111160614,Total,2009,98
488,111160614,Total,2019,43
489,111160619,Total,1989,271
490,111160619,Total,1999,104
491,111160619,Total,2009,94
492,111160619,Total,2019,40
493,111160626,Total,1989,574
494,111160626,Total,1999,197
495,111160626,Total,2009,160
496,111160626,Total,2019,37
497,111160627,Total,1989,296
498,111160627,Total,1999,81
499,111160627,Total,2009,54
500,111160627,Total,2019,9
501,111160628,Total,1989,358
502,111160628,Total,1999,161
503,111160628,Total,2009,70
504,111160628,Total,2019,43
505,111160629,Total,1989,150
506,111160629,Total,1999,51
507,111160629,Total,2009,32
508,111160629,Total,2019,8
509,111160630,Total,1989,409
510,111160630,Total,1999,143
511,111160630,Total,2009,39
512,111160630,Total,2019,25
513,111160623,Total,1989,115
514,111160623,Total,1999,64
515,111160623,Total,2009,17
516,111160623,Total,2019,13
517,111160624,Total,1989,181
518,111160624,Total,1999,72
519,111160624,Total,2009,22
520,111160624,Total,2019,18
521,1111607,Total,1989,16941
522,1111607,Total,1999,8540
523,1111607,Total,2009,5809
524,1111607,Total,2019,3590
525,111160701,Total,1989,506
526,111160701,Total,1999,218
527,111160701,Total,2009,167
528,111160701,Total,2019,80
529,111160752,Total,1989,99
530,111160752,Total,1999,89
531,111160752,Total,2009,43
532,111160752,Total,2019,36
533,111160704,Total,1989,672
534,111160704,Total,1999,224
535,111160704,Total,2009,145
536,111160704,Total,2019,63
537,111160753,Total,1989,622
538,111160753,Total,1999,502
539,111160753,Total,2009,387
540,111160753,Total,2019,290
541,111160754,Total,1989,732
542,111160754,Total,1999,446
543,111160754,Total,2009,336
544,111160754,Total,2019,179
545,111160755,Total,1989,415
546,111160755,Total,1999,126
547,111160755,Total,2009,45
548,111160755,Total,2019,22
549,111160707,Total,1989,403
550,111160707,Total,1999,218
551,111160707,Total,2009,157
552,111160707,Total,2019,105
553,111160708,Total,1989,210
554,111160708,Total,1999,81
555,111160708,Total,2009,77
556,111160708,Total,2019,55
557,111160709,Total,1989,147
558,111160709,Total,1999,70
559,111160709,Total,2009,62
560,111160709,Total,2019,15
561,111160710,Total,1989,224
562,111160710,Total,1999,55
563,111160710,Total,2009,22
564,111160710,Total,2019,8
565,111160756,Total,1989,559
566,111160756,Total,1999,331
567,111160756,Total,2009,189
568,111160756,Total,2019,161
569,111160757,Total,1989,459
570,111160757,Total,1999,291
571,111160757,Total,2009,148
572,111160757,Total,2019,85
573,111160713,Total,1989,466
574,111160713,Total,1999,176
575,111160713,Total,2009,125
576,111160713,Total,2019,65
577,111160714,Total,1989,410
578,111160714,Total,1999,265
579,111160714,Total,2009,132
580,111160714,Total,2019,111
581,111160716,Total,1989,1028
582,111160716,Total,1999,728
583,111160716,Total,2009,514
584,111160716,Total,2019,315
585,111160717,Total,1989,174
586,111160717,Total,1999,133
587,111160717,Total,2009,47
588,111160717,Total,2019,36
589,111160718,Total,1989,609
590,111160718,Total,1999,228
591,111160718,Total,2009,164
592,111160718,Total,2019,80
593,111160719,Total,1989,206
594,111160719,Total,1999,71
595,111160719,Total,2009,39
596,111160719,Total,2019,30
597,111160721,Total,1989,473
598,111160721,Total,1999,261
599,111160721,Total,2009,212
600,111160721,Total,2019,213
601,111160758,Total,1989,1054
602,111160758,Total,1999,459
603,111160758,Total,2009,259
604,111160758,Total,2019,167
605,111160724,Total,1989,289
606,111160724,Total,1999,198
607,111160724,Total,2009,130
608,111160724,Total,2019,60
609,111160726,Total,1989,419
610,111160726,Total,1999,100
611,111160726,Total,2009,114
612,111160726,Total,2019,52
613,111160727,Total,1989,379
614,111160727,Total,1999,162
615,111160727,Total,2009,156
616,111160727,Total,2019,64
617,111160728,Total,1989,274
618,111160728,Total,1999,189
619,111160728,Total,2009,154
620,111160728,Total,2019,100
621,111160729,Total,1989,240
622,111160729,Total,1999,94
623,111160729,Total,2009,48
624,111160729,Total,2019,25
625,111160759,Total,1989,382
626,111160759,Total,1999,181
627,111160759,Total,2009,119
628,111160759,Total,2019,99
629,111160760,Total,1989,627
630,111160760,Total,1999,418
631,111160760,Total,2009,367
632,111160760,Total,2019,139
633,111160734,Total,1989,453
634,111160734,Total,1999,383
635,111160734,Total,2009,264
636,111160734,Total,2019,385
637,111160744,Total,1989,312
638,111160744,Total,1999,162
639,111160744,Total,2009,108
640,111160744,Total,2019,76
641,111160747,Total,1989,569
642,111160747,Total,1999,231
643,111160747,Total,2009,117
644,111160747,Total,2019,66
645,111160737,Total,1989,1113
646,111160737,Total,1999,450
647,111160737,Total,2009,359
648,111160737,Total,2019,101
649,111160739,Total,1989,664
650,111160739,Total,1999,244
651,111160739,Total,2009,122
652,111160739,Total,2019,78
653,111160740,Total,1989,183
654,111160740,Total,1999,64
655,111160740,Total,2009,60
656,111160740,Total,2019,20
657,111160742,Total,1989,114
658,111160742,Total,1999,47
659,111160742,Total,2009,16
660,111160742,Total,2019,3
661,111160743,Total,1989,136
662,111160743,Total,1999,76
663,111160743,Total,2009,48
664,111160743,Total,2019,22
665,111160703,Total,1989,428
666,111160703,Total,1999,210
667,111160703,Total,2009,146
668,111160703,Total,2019,70
669,111160745,Total,1989,237
670,111160745,Total,1999,87
671,111160745,Total,2009,55
672,111160745,Total,2019,36
673,111160746,Total,1989,285
674,111160746,Total,1999,155
675,111160746,Total,2009,77
676,111160746,Total,2019,41
677,111160750,Total,1989,369
678,111160750,Total,1999,117
679,111160750,Total,2009,78
680,111160750,Total,2019,39
681,1111608,Total,1989,3257
682,1111608,Total,1999,1507
683,1111608,Total,2009,1147
684,1111608,Total,2019,669
685,111160802,Total,1989,132
686,111160802,Total,1999,49
687,111160802,Total,2009,24
688,111160802,Total,2019,9
689,111160803,Total,1989,616
690,111160803,Total,1999,363
691,111160803,Total,2009,194
692,111160803,Total,2019,173
693,111160805,Total,1989,464
694,111160805,Total,1999,150
695,111160805,Total,2009,188
696,111160805,Total,2019,93
697,111160806,Total,1989,83
698,111160806,Total,1999,32
699,111160806,Total,2009,24
700,111160806,Total,2019,8
701,111160808,Total,1989,264
702,111160808,Total,1999,143
703,111160808,Total,2009,110
704,111160808,Total,2019,100
705,111160812,Total,1989,137
706,111160812,Total,1999,74
707,111160812,Total,2009,74
708,111160812,Total,2019,57
709,111160817,Total,1989,465
710,111160817,Total,1999,208
711,111160817,Total,2009,146
712,111160817,Total,2019,77
713,111160818,Total,1989,266
714,111160818,Total,1999,135
715,111160818,Total,2009,52
716,111160818,Total,2019,6
717,111160819,Total,1989,491
718,111160819,Total,1999,206
719,111160819,Total,2009,172
720,111160819,Total,2019,71
721,111160820,Total,1989,246
722,111160820,Total,1999,87
723,111160820,Total,2009,64
724,111160820,Total,2019,41
725,111160816,Total,1989,91
726,111160816,Total,1999,60
727,111160816,Total,2009,99
728,111160816,Total,2019,34
729,1111609,Total,1989,11559
730,1111609,Total,1999,6066
731,1111609,Total,2009,3928
732,1111609,Total,2019,2875
733,111160901,Total,1989,214
734,111160901,Total,1999,116
735,111160901,Total,2009,108
736,111160901,Total,2019,101
737,111160902,Total,1989,608
738,111160902,Total,1999,275
739,111160902,Total,2009,124
740,111160902,Total,2019,77
741,111160903,Total,1989,143
742,111160903,Total,1999,41
743,111160903,Total,2009,20
744,111160903,Total,2019,22
745,111160904,Total,1989,301
746,111160904,Total,1999,198
747,111160904,Total,2009,119
748,111160904,Total,2019,128
749,111160905,Total,1989,390
750,111160905,Total,1999,104
751,111160905,Total,2009,125
752,111160905,Total,2019,92
753,111160908,Total,1989,293
754,111160908,Total,1999,294
755,111160908,Total,2009,369
756,111160908,Total,2019,246
757,111160910,Total,1989,563
758,111160910,Total,1999,202
759,111160910,Total,2009,136
760,111160910,Total,2019,110
761,111160940,Total,1989,353
762,111160940,Total,1999,169
763,111160940,Total,2009,138
764,111160940,Total,2019,124
765,111160911,Total,1989,73
766,111160911,Total,1999,26
767,111160911,Total,2009,3
768,111160911,Total,2019,10
769,111160914,Total,1989,231
770,111160914,Total,1999,148
771,111160914,Total,2009,127
772,111160914,Total,2019,99
773,111160915,Total,1989,472
774,111160915,Total,1999,289
775,111160915,Total,2009,113
776,111160915,Total,2019,71
777,111160920,Total,1989,258
778,111160920,Total,1999,122
779,111160920,Total,2009,55
780,111160920,Total,2019,99
781,111160922,Total,1989,125
782,111160922,Total,1999,47
783,111160922,Total,2009,27
784,111160922,Total,2019,36
785,111160925,Total,1989,393
786,111160925,Total,1999,138
787,111160925,Total,2009,184
788,111160925,Total,2019,43
789,111160926,Total,1989,559
790,111160926,Total,1999,412
791,111160926,Total,2009,244
792,111160926,Total,2019,160
793,111160928,Total,1989,551
794,111160928,Total,1999,367
795,111160928,Total,2009,189
796,111160928,Total,2019,150
797,111160923,Total,1989,315
798,111160923,Total,1999,98
799,111160923,Total,2009,61
800,111160923,Total,2019,89
801,111160941,Total,1989,773
802,111160941,Total,1999,395
803,111160941,Total,2009,317
804,111160941,Total,2019,170
805,111160942,Total,1989,285
806,111160942,Total,1999,201
807,111160942,Total,2009,86
808,111160942,Total,2019,108
809,111160943,Total,1989,1343
810,111160943,Total,1999,672
811,111160943,Total,2009,258
812,111160943,Total,2019,159
813,111160944,Total,1989,450
814,111160944,Total,1999,257
815,111160944,Total,2009,240
816,111160944,Total,2019,158
817,111160945,Total,1989,718
818,111160945,Total,1999,323
819,111160945,Total,2009,182
820,111160945,Total,2019,103
821,111160946,Total,1989,725
822,111160946,Total,1999,445
823,111160946,Total,2009,210
824,111160946,Total,2019,147
825,111160947,Total,1989,407
826,111160947,Total,1999,256
827,111160947,Total,2009,166
828,111160947,Total,2019,93
829,111160948,Total,1989,272
830,111160948,Total,1999,143
831,111160948,Total,2009,67
832,111160948,Total,2019,78
833,111160938,Total,1989,352
834,111160938,Total,1999,90
835,111160938,Total,2009,107
836,111160938,Total,2019,75
837,111160935,Total,1989,395
838,111160935,Total,1999,242
839,111160935,Total,2009,156
840,111160935,Total,2019,131
841,1111610,Total,1989,2778
842,1111610,Total,1999,1022
843,1111610,Total,2009,623
844,1111610,Total,2019,407
845,111161003,Total,1989,233
846,111161003,Total,1999,109
847,111161003,Total,2009,61
848,111161003,Total,2019,21
849,111161004,Total,1989,477
850,111161004,Total,1999,96
851,111161004,Total,2009,83
852,111161004,Total,2019,62
853,111161006,Total,1989,103
854,111161006,Total,1999,62
855,111161006,Total,2009,38
856,111161006,Total,2019,38
857,111161007,Total,1989,78
858,111161007,Total,1999,20
859,111161007,Total,2009,10
860,111161007,Total,2019,4
861,111161009,Total,1989,314
862,111161009,Total,1999,53
863,111161009,Total,2009,27
864,111161009,Total,2019,26
865,111161012,Total,1989,192
866,111161012,Total,1999,46
867,111161012,Total,2009,40
868,111161012,Total,2019,17
869,111161013,Total,1989,136
870,111161013,Total,1999,68
871,111161013,Total,2009,30
872,111161013,Total,2019,30
873,111161016,Total,1989,430
874,111161016,Total,1999,219
875,111161016,Total,2009,97
876,111161016,Total,2019,84
877,111161017,Total,1989,266
878,111161017,Total,1999,79
879,111161017,Total,2009,33
880,111161017,Total,2019,15
881,111161018,Total,1989,388
882,111161018,Total,1999,229
883,111161018,Total,2009,194
884,111161018,Total,2019,92
885,111161019,Total,1989,161
886,111161019,Total,1999,39
887,111161019,Total,2009,9
888,111161019,Total,2019,17
889,112,Total,1989,63536
890,112,Total,1999,42170
891,112,Total,2009,33614
892,112,Total,2019,28190
893,1120301,Total,1989,4117
894,1120301,Total,1999,2150
895,1120301,Total,2009,1432
896,1120301,Total,2019,1021
897,112030102,Total,1989,127
898,112030102,Total,1999,135
899,112030102,Total,2009,103
900,112030102,Total,2019,67
901,112030104,Total,1989,76
902,112030104,Total,1999,76
903,112030104,Total,2009,19
904,112030104,Total,2019,8
905,112030119,Total,1989,204
906,112030119,Total,1999,96
907,112030119,Total,2009,58
908,112030119,Total,2019,9
909,112030120,Total,1989,262
910,112030120,Total,1999,113
911,112030120,Total,2009,75
912,112030120,Total,2019,33
913,112030105,Total,1989,181
914,112030105,Total,1999,82
915,112030105,Total,2009,74
916,112030105,Total,2019,53
917,112030107,Total,1989,279
918,112030107,Total,1999,210
919,112030107,Total,2009,98
920,112030107,Total,2019,92
921,112030108,Total,1989,239
922,112030108,Total,1999,121
923,112030108,Total,2009,88
924,112030108,Total,2019,71
925,112030111,Total,1989,349
926,112030111,Total,1999,146
927,112030111,Total,2009,93
928,112030111,Total,2019,20
929,112030112,Total,1989,98
930,112030112,Total,1999,109
931,112030112,Total,2009,81
932,112030112,Total,2019,57
933,112030113,Total,1989,145
934,112030113,Total,1999,70
935,112030113,Total,2009,53
936,112030113,Total,2019,81
937,112030118,Total,1989,141
938,112030118,Total,1999,154
939,112030118,Total,2009,157
940,112030118,Total,2019,129
941,112030125,Total,1989,276
942,112030125,Total,1999,69
943,112030125,Total,2009,103
944,112030125,Total,2019,60
945,112030126,Total,1989,656
946,112030126,Total,1999,230
947,112030126,Total,2009,105
948,112030126,Total,2019,47
949,112030127,Total,1989,342
950,112030127,Total,1999,200
951,112030127,Total,2009,110
952,112030127,Total,2019,135
953,112030128,Total,1989,292
954,112030128,Total,1999,102
955,112030128,Total,2009,54
956,112030128,Total,2019,21
957,112030129,Total,1989,451
958,112030129,Total,1999,237
959,112030129,Total,2009,160
960,112030129,Total,2019,138
961,1120302,Total,1989,25452
962,1120302,Total,1999,20386
963,1120302,Total,2009,17770
964,1120302,Total,2019,16377
965,112030201,Total,1989,405
966,112030201,Total,1999,269
967,112030201,Total,2009,292
968,112030201,Total,2019,318
969,112030202,Total,1989,131
970,112030202,Total,1999,125
971,112030202,Total,2009,95
972,112030202,Total,2019,103
973,112030203,Total,1989,298
974,112030203,Total,1999,105
975,112030203,Total,2009,133
976,112030203,Total,2019,207
977,112030205,Total,1989,300
978,112030205,Total,1999,159
979,112030205,Total,2009,101
980,112030205,Total,2019,130
981,112030206,Total,1989,224
982,112030206,Total,1999,191
983,112030206,Total,2009,181
984,112030206,Total,2019,217
985,112030208,Total,1989,328
986,112030208,Total,1999,283
987,112030208,Total,2009,179
988,112030208,Total,2019,193
989,112030209,Total,1989,140
990,112030209,Total,1999,149
991,112030209,Total,2009,77
992,112030209,Total,2019,60
993,112030210,Total,1989,73
