primary_key,codes,year_,avr_value_per_ha
381,111160629,2019,"1643,1"
382,111160630,1999,"595,6"
383,111160630,2009,"520,1"
384,111160630,2019,"248,5"
385,111160623,1999,"1829,8"
386,111160623,2009,"1394,5"
387,111160623,2019,"2139,1"
388,111160624,1999,"1539,5"
389,111160624,2009,"1317,8"
390,111160624,2019,"5597,9"
391,1111607,1999,"2150,7"
392,1111607,2009,"1959,2"
393,1111607,2019,"2566,9"
394,111160701,1999,"2425,5"
395,111160701,2009,"3400,4"
396,111160701,2019,2164
397,111160752,1999,"3742,5"
398,111160752,2009,"5470,3"
399,111160752,2019,"5948,6"
400,111160704,1999,"2150,7"
401,111160704,2009,"1959,6"
402,111160704,2019,"2407,9"
403,111160753,1999,"3757,9"
404,111160753,2009,"3774,4"
405,111160753,2019,4699
406,111160754,1999,"3577,6"
407,111160754,2009,3172
408,111160754,2019,"3051,2"
409,111160755,1999,"1600,5"
410,111160755,2009,"426,6"
411,111160755,2019,"1609,4"
412,111160707,1999,"2054,2"
413,111160707,2009,"1767,2"
414,111160707,2019,"2716,9"
415,111160708,1999,"3263,7"
416,111160708,2009,"4255,2"
417,111160708,2019,"3702,8"
418,111160709,1999,1108
419,111160709,2009,1228
420,111160709,2019,"824,9"
421,111160710,1999,"2599,6"
422,111160710,2009,"1900,4"
423,111160710,2019,"3258,8"
424,111160756,1999,"3316,5"
425,111160756,2009,"2271,4"
426,111160756,2019,"2418,8"
427,111160757,1999,"722,6"
428,111160757,2009,"2504,1"
429,111160757,2019,"859,7"
430,111160713,1999,"1507,9"
431,111160713,2009,"910,6"
432,111160713,2019,"1970,8"
433,111160714,1999,"3413,3"
434,111160714,2009,"2561,1"
435,111160714,2019,"4680,2"
436,111160716,1999,"3819,7"
437,111160716,2009,4138
438,111160716,2019,4296
439,111160717,1999,"1484,2"
440,111160717,2009,"733,5"
441,111160717,2019,"901,7"
442,111160718,1999,"1555,3"
443,111160718,2009,"518,1"
444,111160718,2019,"1153,3"
445,111160719,1999,"2976,6"
446,111160719,2009,"2487,1"
447,111160719,2019,"3549,4"
448,111160721,1999,"4078,6"
449,111160721,2009,"4653,1"
450,111160721,2019,"6310,3"
451,111160758,1999,2752
452,111160758,2009,"2307,2"
453,111160758,2019,"2163,3"
454,111160724,1999,"3482,8"
455,111160724,2009,3055
456,111160724,2019,"3139,6"
457,111160726,1999,"3262,7"
458,111160726,2009,"1938,6"
459,111160726,2019,"3007,6"
460,111160727,1999,"2824,7"
461,111160727,2009,"2508,3"
462,111160727,2019,2327
463,111160728,1999,"2360,7"
464,111160728,2009,"1833,8"
465,111160728,2019,"2044,4"
466,111160729,1999,"360,4"
467,111160729,2009,"672,8"
468,111160729,2019,"896,2"
469,111160759,1999,"569,7"
470,111160759,2009,"582,5"
471,111160759,2019,"831,5"
472,111160760,1999,"3090,5"
473,111160760,2009,"2318,9"
474,111160760,2019,"2262,3"
475,111160734,1999,"6331,5"
476,111160734,2009,"8923,1"
477,111160734,2019,"7295,2"
478,111160744,1999,"1433,5"
479,111160744,2009,"741,1"
480,111160744,2019,"1121,3"
481,111160747,1999,"1371,8"
482,111160747,2009,"1295,4"
483,111160747,2019,"1908,5"
484,111160737,1999,"1950,4"
485,111160737,2009,"1562,9"
486,111160737,2019,"2394,6"
487,111160739,1999,"3027,1"
488,111160739,2009,"1993,7"
489,111160739,2019,"2572,3"
490,111160740,1999,"4735,7"
491,111160740,2009,"2163,1"
492,111160740,2019,"7019,1"
493,111160742,1999,"3341,1"
494,111160742,2009,1718
495,111160742,2019,"3173,5"
496,111160743,1999,"2102,9"
497,111160743,2009,"1557,1"
498,111160743,2019,"2055,7"
499,111160703,1999,"1688,4"
500,111160703,2009,"826,3"
501,111160703,2019,"1984,5"
502,111160745,1999,"3190,1"
503,111160745,2009,2009
504,111160745,2019,"2410,5"
505,111160746,1999,"2146,9"
506,111160746,2009,"1063,8"
507,111160746,2019,"1617,8"
508,111160750,1999,1983
509,111160750,2009,"1438,9"
510,111160750,2019,"2529,8"
511,1111608,1999,"2292,3"
512,1111608,2009,"1317,3"
513,1111608,2019,"2858,9"
514,111160802,1999,"1355,4"
515,111160802,2009,"589,9"
516,111160802,2019,"528,5"
517,111160803,1999,"2357,9"
518,111160803,2009,"852,9"
519,111160803,2019,"2008,5"
520,111160805,1999,"1777,6"
521,111160805,2009,"1063,9"
522,111160805,2019,"2296,9"
523,111160806,1999,"2311,4"
524,111160806,2009,"1865,4"
525,111160806,2019,"2621,5"
526,111160808,1999,"2203,9"
527,111160808,2009,2522
528,111160808,2019,"2903,5"
529,111160812,1999,"7448,3"
530,111160812,2009,"3060,2"
531,111160812,2019,"4224,5"
532,111160817,1999,"2628,3"
533,111160817,2009,"937,6"
534,111160817,2019,1582
535,111160818,1999,"628,4"
536,111160818,2009,"1303,1"
537,111160818,2019,"3073,7"
538,111160819,1999,"2002,3"
539,111160819,2009,"1455,7"
540,111160819,2019,"5193,4"
541,111160820,1999,"3058,3"
542,111160820,2009,3086
543,111160820,2019,"2854,5"
544,111160816,1999,"4016,1"
545,111160816,2009,"3557,2"
546,111160816,2019,"10905,7"
547,1111609,1999,"2719,5"
548,1111609,2009,"2102,4"
549,1111609,2019,"2145,3"
550,111160901,1999,"4792,2"
551,111160901,2009,"2439,3"
552,111160901,2019,"1567,3"
553,111160902,1999,"4148,8"
554,111160902,2009,"4946,6"
555,111160902,2019,"4061,9"
556,111160903,1999,"3607,8"
557,111160903,2009,"223,1"
558,111160903,2019,"1306,7"
559,111160904,1999,"3253,9"
560,111160904,2009,"2464,6"
561,111160904,2019,"4290,8"
562,111160905,1999,"2576,1"
563,111160905,2009,"2061,9"
564,111160905,2019,"1242,6"
565,111160908,1999,"4305,5"
566,111160908,2009,"3215,3"
567,111160908,2019,"2924,2"
568,111160910,1999,"3602,7"
569,111160910,2009,"3007,5"
570,111160910,2019,"3165,9"
571,111160940,1999,3399
572,111160940,2009,"9684,5"
573,111160940,2019,"4648,2"
574,111160911,1999,"2886,9"
575,111160911,2009,"712,2"
576,111160911,2019,"3654,3"
577,111160914,1999,"4564,1"
578,111160914,2009,"1688,6"
579,111160914,2019,"613,7"
580,111160915,1999,"3306,1"
581,111160915,2009,"2166,4"
582,111160915,2019,"2582,4"
583,111160920,1999,"241,9"
584,111160920,2009,"168,2"
585,111160920,2019,338
586,111160922,1999,2979
587,111160922,2009,"5524,1"
588,111160922,2019,"4538,6"
589,111160925,1999,"4830,7"
590,111160925,2009,"794,9"
591,111160925,2019,"277,3"
592,111160926,1999,"4500,6"
593,111160926,2009,"2415,8"
594,111160926,2019,"3440,8"
595,111160928,1999,"4079,6"
596,111160928,2009,"3163,1"
597,111160928,2019,"4227,4"
598,111160923,1999,"12437,8"
599,111160923,2009,"15073,3"
600,111160923,2019,"3017,5"
601,111160941,1999,"5256,4"
602,111160941,2009,"2073,7"
603,111160941,2019,"2109,7"
604,111160942,1999,"3410,7"
605,111160942,2009,"4086,8"
606,111160942,2019,"6356,5"
607,111160943,1999,"2179,8"
608,111160943,2009,"2039,4"
609,111160943,2019,"2901,3"
610,111160944,1999,"4648,3"
611,111160944,2009,"8316,9"
612,111160944,2019,"6738,4"
613,111160945,1999,"3181,7"
614,111160945,2009,"1601,2"
615,111160945,2019,"1831,3"
616,111160946,1999,"3922,3"
617,111160946,2009,"3160,3"
618,111160946,2019,"2834,9"
619,111160947,1999,"4428,4"
620,111160947,2009,"5405,1"
621,111160947,2019,"3498,3"
622,111160948,1999,"3696,2"
623,111160948,2009,"3711,5"
624,111160948,2019,"3512,4"
625,111160938,1999,"2514,4"
626,111160938,2009,"4135,9"
627,111160938,2019,"8396,1"
628,111160935,1999,4920
629,111160935,2009,"3834,6"
630,111160935,2019,"10188,3"
631,1111610,1999,"2888,8"
632,1111610,2009,"1308,5"
633,1111610,2019,"1676,6"
634,111161003,1999,3672
635,111161003,2009,"754,2"
636,111161003,2019,2412
637,111161004,1999,"1642,3"
638,111161004,2009,"995,9"
639,111161004,2019,"3105,2"
640,111161006,1999,"3080,1"
641,111161006,2009,1847
642,111161006,2019,"1229,6"
643,111161007,1999,"8377,5"
644,111161007,2009,"5065,2"
645,111161007,2019,"5300,3"
646,111161009,1999,"2041,2"
647,111161009,2009,"1567,4"
648,111161009,2019,745
649,111161012,1999,"1771,3"
650,111161012,2009,"749,1"
651,111161012,2019,"450,3"
652,111161013,1999,"3265,9"
653,111161013,2009,"818,8"
654,111161013,2019,"640,6"
655,111161016,1999,"3923,7"
656,111161016,2009,"2279,3"
657,111161016,2019,"2232,9"
658,111161017,1999,"1827,2"
659,111161017,2009,"685,6"
660,111161017,2019,"1520,4"
661,111161018,1999,"2814,9"
662,111161018,2009,"2597,1"
663,111161018,2019,"5102,6"
664,111161019,1999,"4172,1"
665,111161019,2009,"1572,7"
666,111161019,2019,"921,3"
667,112,1999,"4017,9"
668,112,2009,"4515,3"
669,112,2019,"6051,7"
670,1120301,1999,"4922,7"
671,1120301,2009,"4911,4"
672,1120301,2019,"7283,2"
673,112030102,1999,"3143,4"
674,112030102,2009,"4385,6"
675,112030102,2019,4381
676,112030104,1999,"5522,3"
677,112030104,2009,"1486,5"
678,112030104,2019,"2345,1"
679,112030119,1999,"3419,1"
680,112030119,2009,"1552,9"
681,112030119,2019,"3666,6"
682,112030120,1999,"2672,1"
683,112030120,2009,"1747,9"
684,112030120,2019,"1571,8"
685,112030105,1999,"3848,7"
686,112030105,2009,"2195,8"
687,112030105,2019,"3739,5"
688,112030107,1999,"16442,4"
689,112030107,2009,22393
690,112030107,2019,"15150,3"
691,112030108,1999,3158
692,112030108,2009,3012
693,112030108,2019,"5179,1"
694,112030111,1999,"2863,2"
695,112030111,2009,"2108,3"
696,112030111,2019,"4541,4"
697,112030112,1999,3819
698,112030112,2009,"2229,8"
699,112030112,2019,"4586,2"
700,112030113,1999,"2409,4"
701,112030113,2009,"1689,3"
702,112030113,2019,"3661,3"
703,112030118,1999,"4041,9"
704,112030118,2009,"3120,2"
705,112030118,2019,"3439,5"
706,112030125,1999,"3879,1"
707,112030125,2009,"3777,2"
708,112030125,2019,"5489,3"
709,112030126,1999,"2976,8"
710,112030126,2009,"1589,9"
711,112030126,2019,"2683,6"
712,112030127,1999,"3581,5"
713,112030127,2009,"3420,4"
714,112030127,2019,"20256,9"
715,112030128,1999,"2655,3"
716,112030128,2009,"1848,2"
717,112030128,2019,"5207,3"
718,112030129,1999,"2570,5"
719,112030129,2009,1814
720,112030129,2019,"4548,2"
721,1120302,1999,"6806,1"
722,1120302,2009,7661
723,1120302,2019,"9894,2"
724,112030201,1999,"6753,4"
725,112030201,2009,"6224,7"
726,112030201,2019,"8460,9"
727,112030202,1999,"7333,8"
728,112030202,2009,"8943,9"
729,112030202,2019,"9464,8"
730,112030203,1999,"5783,7"
731,112030203,2009,"5355,9"
732,112030203,2019,"7704,2"
733,112030205,1999,"4543,5"
734,112030205,2009,"3078,1"
735,112030205,2019,"4421,3"
736,112030206,1999,"7217,5"
737,112030206,2009,"6858,8"
738,112030206,2019,"11892,8"
739,112030208,1999,7454
740,112030208,2009,"7836,7"
741,112030208,2019,"6857,5"
742,112030209,1999,6286
743,112030209,2009,"5504,7"
744,112030209,2019,"10907,3"
745,112030210,1999,"5362,8"
746,112030210,2009,"2260,6"
747,112030210,2019,"2843,5"
748,112030212,1999,"6300,7"
749,112030212,2009,"6013,9"
750,112030212,2019,"4593,3"
751,112030213,1999,"4759,7"
752,112030213,2009,"7993,7"
753,112030213,2019,"10111,1"
754,112030215,1999,"6431,6"
755,112030215,2009,"8440,5"
756,112030215,2019,11177
757,112030216,1999,"8585,4"
758,112030216,2009,"7625,1"
759,112030216,2019,"13203,6"
760,112030218,1999,"4408,2"
761,112030218,2009,"4081,6"
762,112030218,2019,"6682,6"
763,112030220,1999,"9213,2"
764,112030220,2009,"8019,8"
765,112030220,2019,"11477,4"
766,112030221,1999,"8204,6"
767,112030221,2009,"7747,1"
768,112030221,2019,"10328,3"
769,112030224,1999,"6333,9"
770,112030224,2009,10151
771,112030224,2019,"10439,8"
772,112030228,1999,"9541,8"
773,112030228,2009,"11340,2"
774,112030228,2019,"13980,4"
775,112030234,1999,"7395,9"
776,112030234,2009,"9432,9"
777,112030234,2019,"11845,7"
778,112030235,1999,6234
779,112030235,2009,"6758,8"
780,112030235,2019,"8168,3"
781,112030268,1999,"2704,3"
782,112030268,2009,"2994,6"
783,112030268,2019,"3286,2"
784,112030272,1999,"5098,4"
785,112030272,2009,"5126,8"
786,112030272,2019,"2405,4"
787,112030237,1999,"5587,9"
788,112030237,2009,"6369,6"
789,112030237,2019,"9436,5"
790,112030242,1999,"3616,3"
791,112030242,2009,"4803,3"
792,112030242,2019,"6303,2"
793,112030243,1999,"5461,3"
794,112030243,2009,"6805,6"
795,112030243,2019,"9035,4"
796,112030244,1999,"9816,4"
797,112030244,2009,"11301,8"
798,112030244,2019,"12610,6"
799,112030245,1999,"8820,6"
800,112030245,2009,"9760,2"
801,112030245,2019,"12531,5"
802,112030247,1999,"3852,2"
803,112030247,2009,"3653,9"
804,112030247,2019,"5871,7"
805,112030252,1999,"2962,7"
806,112030252,2009,"3801,7"
807,112030252,2019,"4288,6"
808,112030254,1999,"3509,8"
809,112030254,2009,"3988,7"
810,112030254,2019,"5121,5"
811,112030255,1999,"6330,2"
812,112030255,2009,"5905,3"
813,112030255,2019,"5777,1"
814,112030256,1999,"4252,5"
815,112030256,2009,"5847,3"
816,112030256,2019,"6358,6"
817,112030257,1999,"10860,3"
818,112030257,2009,"9414,1"
819,112030257,2019,"8853,8"
820,112030259,1999,"5708,3"
821,112030259,2009,"8588,9"
822,112030259,2019,"8950,6"
823,112030260,1999,"4790,2"
824,112030260,2009,4095
825,112030260,2019,"6312,1"
826,112030261,1999,"3481,3"
827,112030261,2009,"4296,9"
828,112030261,2019,"7760,8"
829,112030263,1999,"5629,5"
830,112030263,2009,"8873,1"
831,112030263,2019,"12119,2"
832,112030265,1999,"4643,7"
833,112030265,2009,"6237,8"
834,112030265,2019,"13451,2"
835,112030264,1999,"7755,8"
836,112030264,2009,"7197,4"
837,112030264,2019,9074
838,112030279,1999,"6944,3"
839,112030279,2009,4836
840,112030279,2019,"6301,9"
841,112030277,1999,"4833,6"
842,112030277,2009,"5498,9"
843,112030277,2019,"7066,3"
844,112030282,1999,"6005,5"
845,112030282,2009,"6989,4"
846,112030282,2019,"8907,3"
847,112030290,1999,"3921,4"
848,112030290,2009,"4030,6"
849,112030290,2019,"5154,9"
850,112030291,1999,"5935,3"
851,112030291,2009,"7194,5"
852,112030291,2019,"8894,5"
853,112030292,1999,"4972,2"
854,112030292,2009,"3880,6"
855,112030292,2019,6081
856,112030293,1999,"5990,6"
857,112030293,2009,"6564,4"
858,112030293,2019,7657
859,112030294,1999,"5362,5"
860,112030294,2009,"5059,7"
861,112030294,2019,"6277,3"
862,112030295,1999,"8316,4"
863,112030295,2009,"7815,6"
864,112030295,2019,8482
865,112030296,1999,"8884,7"
866,112030296,2009,"10292,6"
867,112030296,2019,"13056,1"
868,112030297,1999,"5131,1"
869,112030297,2009,"4329,6"
870,112030297,2019,"6785,7"
871,112030298,1999,"4370,4"
872,112030298,2009,"3174,1"
873,112030298,2019,"4276,7"
874,112030299,1999,"4679,2"
875,112030299,2009,"4564,4"
876,112030299,2019,"7411,4"
877,1120302FA,1999,"8708,4"
878,1120302FA,2009,9991
879,1120302FA,2019,"12322,8"
880,1120302FB,1999,8545
881,1120302FB,2009,"10402,4"
882,1120302FB,2019,"13481,2"
883,1120302FC,1999,"6693,9"
884,1120302FC,2009,"7002,5"
885,1120302FC,2019,"6891,5"
886,1120302FD,1999,"5532,1"
887,1120302FD,2009,"6244,4"
888,1120302FD,2019,"8442,3"
889,1120302FE,1999,"5300,7"
890,1120302FE,2009,"6416,2"
891,1120302FE,2019,"9898,9"
892,1120302FF,1999,"3369,3"
893,1120302FF,2009,"3023,3"
894,1120302FF,2019,"4979,2"
895,1120302FG,1999,7788
896,1120302FG,2009,"8231,4"
897,1120302FG,2019,"11349,3"
898,1120302FH,1999,"6983,4"
899,1120302FH,2009,"6979,7"
