Region,Work_load,primary_key,Work_1989
PT: Portugal,Mão-de-obra agrícola total,PT: PortugalMão-de-obra agrícola total,850031
1: Continente,Mão-de-obra agrícola total,1: ContinenteMão-de-obra agrícola total,810005
11: Norte,Mão-de-obra agrícola total,11: NorteMão-de-obra agrícola total,317855
111: Alto Minho,Mão-de-obra agrícola total,111: Alto MinhoMão-de-obra agrícola total,51652
1111601: Arcos de Valdevez,Mão-de-obra agrícola total,1111601: Arcos de ValdevezMão-de-obra agrícola total,9650
111160101: Aboim das Choças,Mão-de-obra agrícola total,111160101: Aboim das ChoçasMão-de-obra agrícola total,168
111160102: Aguiã,Mão-de-obra agrícola total,111160102: AguiãMão-de-obra agrícola total,183
111160104: Ázere,Mão-de-obra agrícola total,111160104: ÁzereMão-de-obra agrícola total,102
111160105: Cabana Maior,Mão-de-obra agrícola total,111160105: Cabana MaiorMão-de-obra agrícola total,195
111160106: Cabreiro,Mão-de-obra agrícola total,111160106: CabreiroMão-de-obra agrícola total,450
111160108: Cendufe,Mão-de-obra agrícola total,111160108: CendufeMão-de-obra agrícola total,180
111160109: Couto,Mão-de-obra agrícola total,111160109: CoutoMão-de-obra agrícola total,190
111160113: Gavieira,Mão-de-obra agrícola total,111160113: GavieiraMão-de-obra agrícola total,269
111160115: Gondoriz,Mão-de-obra agrícola total,111160115: GondorizMão-de-obra agrícola total,473
111160142: Jolda (São Paio),Mão-de-obra agrícola total,111160142: Jolda (São Paio)Mão-de-obra agrícola total,177
111160121: Miranda,Mão-de-obra agrícola total,111160121: MirandaMão-de-obra agrícola total,308
111160122: Monte Redondo,Mão-de-obra agrícola total,111160122: Monte RedondoMão-de-obra agrícola total,177
111160123: Oliveira,Mão-de-obra agrícola total,111160123: OliveiraMão-de-obra agrícola total,107
111160124: Paçô,Mão-de-obra agrícola total,111160124: PaçôMão-de-obra agrícola total,148
111160125: Padroso,Mão-de-obra agrícola total,111160125: PadrosoMão-de-obra agrícola total,197
111160128: Prozelo,Mão-de-obra agrícola total,111160128: ProzeloMão-de-obra agrícola total,250
111160131: Rio de Moinhos,Mão-de-obra agrícola total,111160131: Rio de MoinhosMão-de-obra agrícola total,284
111160130: Rio Frio,Mão-de-obra agrícola total,111160130: Rio FrioMão-de-obra agrícola total,526
111160133: Sabadim,Mão-de-obra agrícola total,111160133: SabadimMão-de-obra agrícola total,336
111160144: Senharei,Mão-de-obra agrícola total,111160144: SenhareiMão-de-obra agrícola total,276
111160145: Sistelo,Mão-de-obra agrícola total,111160145: SisteloMão-de-obra agrícola total,302
111160146: Soajo,Mão-de-obra agrícola total,111160146: SoajoMão-de-obra agrícola total,509
111160152: União das freguesias de Alvora e Loureda,Mão-de-obra agrícola total,111160152: União das freguesias de Alvora e LouredaMão-de-obra agrícola total,276
"111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Mão-de-obra agrícola total,"111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e ParadaMão-de-obra agrícola total",146
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela,Mão-de-obra agrícola total,111160153: União das freguesias de Arcos de Valdevez (São Paio) e GielaMão-de-obra agrícola total,153
111160155: União das freguesias de Eiras e Mei,Mão-de-obra agrícola total,111160155: União das freguesias de Eiras e MeiMão-de-obra agrícola total,253
111160156: União das freguesias de Grade e Carralcova,Mão-de-obra agrícola total,111160156: União das freguesias de Grade e CarralcovaMão-de-obra agrícola total,360
111160157: União das freguesias de Guilhadeses e Santar,Mão-de-obra agrícola total,111160157: União das freguesias de Guilhadeses e SantarMão-de-obra agrícola total,226
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão,Mão-de-obra agrícola total,111160158: União das freguesias de Jolda (Madalena) e Rio CabrãoMão-de-obra agrícola total,316
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina),Mão-de-obra agrícola total,111160159: União das freguesias de Padreiro (Salvador e Santa Cristina)Mão-de-obra agrícola total,220
111160160: União das freguesias de Portela e Extremo,Mão-de-obra agrícola total,111160160: União das freguesias de Portela e ExtremoMão-de-obra agrícola total,276
111160161: União das freguesias de São Jorge e Ermelo,Mão-de-obra agrícola total,111160161: União das freguesias de São Jorge e ErmeloMão-de-obra agrícola total,395
111160162: União das freguesias de Souto e Tabaçô,Mão-de-obra agrícola total,111160162: União das freguesias de Souto e TabaçôMão-de-obra agrícola total,173
111160163: União das freguesias de Távora (Santa Maria e São Vicente),Mão-de-obra agrícola total,111160163: União das freguesias de Távora (Santa Maria e São Vicente)Mão-de-obra agrícola total,401
"111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá",Mão-de-obra agrícola total,"111160164: União das freguesias de Vilela, São Cosme e São Damião e SáMão-de-obra agrícola total",286
111160149: Vale,Mão-de-obra agrícola total,111160149: ValeMão-de-obra agrícola total,361
1111602: Caminha,Mão-de-obra agrícola total,1111602: CaminhaMão-de-obra agrícola total,1537
111160201: Âncora,Mão-de-obra agrícola total,111160201: ÂncoraMão-de-obra agrícola total,120
111160205: Argela,Mão-de-obra agrícola total,111160205: ArgelaMão-de-obra agrícola total,75
111160209: Dem,Mão-de-obra agrícola total,111160209: DemMão-de-obra agrícola total,176
111160211: Lanhelas,Mão-de-obra agrícola total,111160211: LanhelasMão-de-obra agrícola total,51
111160214: Riba de Âncora,Mão-de-obra agrícola total,111160214: Riba de ÂncoraMão-de-obra agrícola total,188
111160215: Seixas,Mão-de-obra agrícola total,111160215: SeixasMão-de-obra agrícola total,29
