
Statistical table extracted on October 16, 2022 (17:33:44)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;1989;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
PT: Portugal;1401206;2439199;2926278;720522;150890;31152651;480294;366156;
1: Continente;1196077;2380233;2912043;697471;140862;30140943;474660;360832;
11: Norte;461919;226748;423387;196504;54074;5026973;177671;123793;
111: Alto Minho;57562;21096;52735;21401;1576;819931;31987;10868;
1111601: Arcos de Valdevez;9926;1655;8561;7447;499;59077;3358;1283;
111160101: Aboim das Choças;123;35;49;4;- -;925;80;29;
111160102: Aguiã;130;23;114;24;- -;1022;134;- -;
111160104: Ázere;70;3;73;5;- -;668;27;1;
111160105: Cabana Maior;281;11;477;269;22;1104;57;2;
111160106: Cabreiro;872;86;913;890;125;2218;28;27;
111160108: Cendufe;140;17;72;37;1;1181;74;5;
111160109: Couto;131;23;129;10;2;1216;60;1;
111160113: Gavieira;1048;67;31;1239;28;1146;12;303;
111160115: Gondoriz;454;71;666;633;15;2307;90;13;
111160142: Jolda (São Paio);101;36;23;11;- -;1614;102;19;
111160121: Miranda;291;86;215;21;15;1530;126;- -;
111160122: Monte Redondo;146;34;42;46;2;1176;43;7;
111160123: Oliveira;107;27;40;3;1;796;32;2;
111160124: Paçô;168;8;25;1;- -;1118;34;4;
111160125: Padroso;174;88;195;122;1;1046;150;35;
111160128: Prozelo;186;31;108;10;3;1389;122;42;
111160131: Rio de Moinhos;178;60;203;45;- -;1734;104;- -;
111160130: Rio Frio;366;127;513;200;31;2796;67;6;
111160133: Sabadim;247;67;199;58;5;2177;136;12;
111160144: Senharei;212;84;557;237;2;1203;10;- -;
111160145: Sistelo;752;58;537;72;58;1415;90;100;
111160146: Soajo;808;50;652;1114;91;2772;136;345;
111160152: União das freguesias de Alvora e Loureda;287;83;167;87;2;2100;88;17;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;92;16;114;11;- -;1096;91;3;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;143;12;30;3;6;1398;105;18;
111160155: União das freguesias de Eiras e Mei;222;60;99;6;- -;1221;64;3;
111160156: União das freguesias de Grade e Carralcova;356;15;566;210;19;1941;61;1;
111160157: União das freguesias de Guilhadeses e Santar;128;36;31;2;5;1931;74;27;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;210;53;66;21;- -;2082;196;45;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);157;38;45;21;4;1496;82;28;
111160160: União das freguesias de Portela e Extremo;231;71;318;116;- -;1376;110;14;
111160161: União das freguesias de São Jorge e Ermelo;219;33;787;1679;7;2240;131;51;
111160162: União das freguesias de Souto e Tabaçô;123;21;30;17;- -;1533;169;12;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);284;35;69;22;- -;3622;153;80;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;194;55;120;21;1;2417;171;1;
111160149: Vale;295;35;286;180;53;2071;149;30;
1111602: Caminha;2328;1000;2154;737;33;53589;2095;743;
111160201: Âncora;183;39;17;34;2;6745;60;17;
111160205: Argela;138;73;193;9;- -;2011;185;63;
111160209: Dem;261;84;184;4;3;1416;36;42;
111160211: Lanhelas;42;46;184;65;- -;1171;371;- -;
111160214: Riba de Âncora;283;122;61;86;6;3114;198;101;
111160215: Seixas;37;17;48;3;1;680;333;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);241;66;821;217;16;1763;45;142;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;89;20;38;7;- -;4475;25;11;
111160223: União das freguesias de Gondar e Orbacém;288;173;38;29;- -;1703;79;171;
111160224: União das freguesias de Moledo e Cristelo;83;9;56;16;1;600;38;2;
111160225: União das freguesias de Venade e Azevedo;342;61;268;49;1;26349;141;21;
111160217: Vila Praia de Âncora;111;243;11;17;- -;920;154;35;
111160218: Vilar de Mouros;144;18;208;46;2;1881;399;85;
111160220: Vile;86;29;27;155;1;761;31;53;
1111603: Melgaço;3177;1515;7493;3394;222;39734;3349;2376;
111160301: Alvaredo;152;118;159;44;4;5518;222;31;
111160304: Cousso;108;37;445;47;32;1327;123;31;
111160305: Cristoval;98;199;303;53;1;3508;664;142;
111160307: Fiães;190;37;260;262;1;1360;314;127;
111160308: Gave;215;52;326;224;40;843;52;99;
111160311: Paderne;288;108;406;122;18;4368;296;39;
111160313: Penso;126;33;394;87;- -;2242;122;73;
111160317: São Paio;219;159;170;142;2;2961;204;33;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;863;49;2471;975;70;2531;147;1210;
111160320: União das freguesias de Chaviães e Paços;162;297;344;60;1;3803;268;91;
111160321: União das freguesias de Parada do Monte e Cubalhão;472;81;1504;1245;48;2352;343;347;
111160322: União das freguesias de Prado e Remoães;63;101;286;38;- -;3366;210;19;
111160323: União das freguesias de Vila e Roussas;221;244;425;95;5;5555;384;134;
1111604: Monção;5400;2515;13563;888;186;62912;2935;828;
111160401: Abedim;136;64;314;6;1;1076;64;- -;
111160404: Barbeita;226;53;1073;23;1;4960;351;19;
111160405: Barroças e Taias;105;67;184;7;1;1230;16;6;
111160406: Bela;99;75;463;3;- -;2444;85;6;
111160407: Cambeses;64;30;372;- -;1;1559;129;- -;
111160410: Lara;106;98;372;1;- -;1441;80;24;
111160411: Longos Vales;264;130;977;28;3;3789;125;28;
111160415: Merufe;1022;317;1292;78;40;5047;263;88;
111160418: Moreira;159;108;543;38;2;2689;291;39;
111160420: Pias;352;215;692;69;3;4614;180;13;
111160421: Pinheiros;161;36;265;3;- -;1645;81;32;
111160422: Podame;128;54;249;3;- -;1518;48;41;
111160423: Portela;123;70;329;21;- -;1720;134;11;
