
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;119031221: Landim;200;109;91;
;119031223: Louro;351;162;189;
;119031224: Lousado;134;69;65;
;119031225: Mogege;165;72;93;
;119031227: Nine;473;241;232;
;119031239: Oliveira (Santa Maria);212;120;92;
;119031242: Oliveira (São Mateus);55;29;26;
;119031230: Pedome;120;66;54;
;119031232: Pousada de Saramagos;134;69;65;
;119031233: Requião;327;171;156;
;119031234: Riba de Ave;65;35;30;
;119031235: Ribeirão;318;165;153;
;119031250: União das freguesias de Antas e Abade de Vermoim;256;138;118;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;907;462;445;
;119031252: União das freguesias de Avidos e Lagoa;213;115;98;
;119031253: União das freguesias de Carreira e Bente;188;96;92;
;119031254: União das freguesias de Esmeriz e Cabeçudos;297;154;143;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;1026;520;506;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;550;300;250;
;119031257: União das freguesias de Ruivães e Novais;226;119;107;
;119031258: União das freguesias de Seide;211;110;101;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;928;470;458;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;393;206;187;
;119031241: Vale (São Martinho);262;138;124;
;119031247: Vermoim;304;153;151;
;119031249: Vilarinho das Cambas;418;215;203;
;1190314: Vizela;1893;949;944;
;119031404: Infias;227;113;114;
;119031401: Santa Eulália;288;143;145;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);357;188;169;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);786;396;390;
;119031406: Vizela (Santo Adrião);235;109;126;
;11A: Área Metropolitana do Porto;91632;46112;45520;
;11A0104: Arouca;11725;5855;5870;
;11A010402: Alvarenga;704;347;357;
;11A010407: Chave;776;372;404;
;11A010409: Escariz;821;411;410;
;11A010411: Fermedo;542;286;256;
;11A010413: Mansores;860;429;431;
;11A010414: Moldes;952;479;473;
;11A010415: Rossas;859;423;436;
;11A010416: Santa Eulália;963;472;491;
;11A010417: São Miguel do Mato;464;227;237;
;11A010418: Tropeço;698;352;346;
;11A010421: União das freguesias de Arouca e Burgo;1610;806;804;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;386;196;190;
;11A010423: União das freguesias de Canelas e Espiunca;766;392;374;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;341;168;173;
;11A010419: Urrô;743;373;370;
;11A010420: Várzea;240;122;118;
;11A0107: Espinho;299;148;151;
;11A010702: Espinho;- -;- -;- -;
;11A010704: Paramos;43;25;18;
;11A010705: Silvalde;101;50;51;
;11A010706: União das freguesias de Anta e Guetim;155;73;82;
;11A1304: Gondomar;5497;2838;2659;
;11A130412: Baguim do Monte (Rio Tinto);169;91;78;
;11A130405: Lomba;250;124;126;
;11A130408: Rio Tinto;401;209;192;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;835;436;399;
;11A130414: União das freguesias de Foz do Sousa e Covelo;1274;656;618;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;1317;685;632;
;11A130416: União das freguesias de Melres e Medas;1251;637;614;
;11A1306: Maia;3066;1550;1516;
;11A130601: Águas Santas;376;199;177;
;11A130618: Castêlo da Maia;892;449;443;
;11A130619: Cidade da Maia;364;182;182;
;11A130603: Folgosa;373;194;179;
;11A130608: Milheirós;120;62;58;
;11A130609: Moreira;189;90;99;
;11A130620: Nogueira e Silva Escura;299;146;153;
;11A130617: Pedrouços;72;33;39;
;11A130613: São Pedro Fins;223;117;106;
;11A130616: Vila Nova da Telha;158;78;80;
;11A1308: Matosinhos;1910;981;929;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;594;297;297;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;150;82;68;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;918;469;449;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;248;133;115;
;11A0113: Oliveira de Azeméis;8804;4411;4393;
;11A011301: Carregosa;849;418;431;
;11A011302: Cesar;280;143;137;
;11A011303: Fajões;582;301;281;
;11A011304: Loureiro;1289;624;665;
;11A011305: Macieira de Sarnes;136;64;72;
;11A011310: Ossela;727;371;356;
;11A011315: São Martinho da Gândara;589;302;287;
;11A011318: São Roque;205;106;99;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;507;249;258;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;1029;523;506;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;2157;1084;1073;
;11A011319: Vila de Cucujães;454;226;228;
;11A1310: Paredes;11175;5783;5392;
;11A131001: Aguiar de Sousa;455;230;225;
;11A131002: Astromil;156;66;90;
;11A131003: Baltar;493;270;223;
;11A131004: Beire;546;277;269;
;11A131008: Cete;487;236;251;
;11A131009: Cristelo;183;90;93;
;11A131010: Duas Igrejas;551;284;267;
;11A131011: Gandra;921;468;453;
;11A131013: Lordelo;502;246;256;
;11A131014: Louredo;181;92;89;
;11A131017: Parada de Todeia;181;98;83;
;11A131025: Paredes;2853;1478;1375;
;11A131018: Rebordosa;687;360;327;
;11A131019: Recarei;627;328;299;
;11A131020: Sobreira;596;318;278;
;11A131021: Sobrosa;671;359;312;
;11A131022: Vandoma;467;243;224;
;11A131024: Vilela;618;340;278;
;11A1312: Porto;- -;- -;- -;
;11A131202: Bonfim;- -;- -;- -;
;11A131203: Campanhã;- -;- -;- -;
;11A131210: Paranhos;- -;- -;- -;
;11A131211: Ramalde;- -;- -;- -;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;- -;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;- -;- -;
;11A1313: Póvoa de Varzim;9119;4543;4576;
;11A131305: Balazar;629;316;313;
;11A131307: Estela;1716;888;828;
;11A131308: Laundos;249;119;130;
;11A131311: Rates;759;365;394;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;655;345;310;
;11A131314: União das freguesias de Aguçadoura e Navais;2491;1193;1298;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;2620;1317;1303;
;11A0109: Santa Maria da Feira;8557;4157;4400;
;11A010901: Argoncilhe;610;308;302;
;11A010902: Arrifana;228;113;115;
;11A010904: Escapães;108;58;50;
;11A010907: Fiães;88;40;48;
;11A010908: Fornos;114;60;54;
;11A010913: Lourosa;172;87;85;
;11A010914: Milheirós de Poiares;183;88;95;
;11A010916: Mozelos;208;104;104;
;11A010917: Nogueira da Regedoura;46;22;24;
;11A010919: Paços de Brandão;93;44;49;
;11A010921: Rio Meão;90;35;55;
;11A010922: Romariz;991;490;501;
;11A010924: Sanguedo;123;61;62;
;11A010925: Santa Maria de Lamas;34;17;17;
;11A010926: São João de Ver;126;64;62;
;11A010918: São Paio de Oleiros;76;35;41;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;316;150;166;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;2322;1091;1231;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;1288;589;699;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;720;374;346;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;621;327;294;
;11A1314: Santo Tirso;5136;2590;2546;
;11A131401: Agrela;260;126;134;
;11A131402: Água Longa;394;194;200;
;11A131405: Aves;154;71;83;
;11A131413: Monte Córdova;598;326;272;
;11A131430: Negrelos (São Tomé);227;113;114;
;11A131416: Rebordões;120;54;66;
;11A131418: Reguenga;256;132;124;
;11A131419: Roriz;371;177;194;
;11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;404;213;191;
;11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);523;272;251;
;11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;566;282;284;
;11A131436: União das freguesias de Lamelas e Guimarei;351;168;183;
;11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;751;381;370;
;11A131432: Vilarinho;161;81;80;
;11A0116: São João da Madeira;137;70;67;
;11A011601: São João da Madeira;137;70;67;
;11A1318: Trofa;2272;1176;1096;
;11A131806: Covelas;243;126;117;
;11A131808: Muro;104;53;51;
;11A131809: União das freguesias de Alvarelhos e Guidões;424;228;196;
;11A131810: União das freguesias de Bougado (São Martinho e Santiago);1132;577;555;
;11A131811: União das freguesias de Coronado (São Romão e São Mamede);369;192;177;
;11A0119: Vale de Cambra;9104;4585;4519;
;11A011901: Arões;1886;913;973;
;11A011903: Cepelos;1101;560;541;
;11A011905: Junqueira;1063;532;531;
;11A011906: Macieira de Cambra;1326;670;656;
;11A011907: Roge;1127;595;532;
;11A011902: São Pedro de Castelões;1759;897;862;
;11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;842;418;424;
;11A1315: Valongo;2511;1260;1251;
;11A131501: Alfena;499;252;247;
;11A131503: Ermesinde;203;108;95;
;11A131506: União das freguesias de Campo e Sobrado;1213;609;604;
;11A131505: Valongo;596;291;305;
;11A1316: Vila do Conde;6395;3206;3189;
;11A131602: Árvore;162;82;80;
;11A131603: Aveleda;216;99;117;
;11A131604: Azurara;99;55;44;
;11A131607: Fajozes;140;70;70;
;11A131610: Gião;216;112;104;
;11A131611: Guilhabreu;251;127;124;
;11A131612: Junqueira;307;157;150;
;11A131613: Labruge;367;178;189;
;11A131614: Macieira da Maia;205;101;104;
;11A131616: Mindelo;324;155;169;
;11A131617: Modivas;220;105;115;
;11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;765;392;373;
;11A131632: União das freguesias de Fornelo e Vairão;362;176;186;
;11A131633: União das freguesias de Malta e Canidelo;273;134;139;
;11A131634: União das freguesias de Retorta e Tougues;274;138;136;
;11A131635: União das freguesias de Rio Mau e Arcos;857;448;409;
;11A131636: União das freguesias de Touguinha e Touguinhó;298;146;152;
;11A131637: União das freguesias de Vilar e Mosteiró;358;169;189;
;11A131627: Vila Chã;261;136;125;
;11A131628: Vila do Conde;223;111;112;
;11A131630: Vilar de Pinheiro;217;115;102;
;11A1317: Vila Nova de Gaia;5925;2959;2966;
;11A131701: Arcozelo;232;123;109;
;11A131702: Avintes;273;143;130;
;11A131703: Canelas;94;46;48;
;11A131704: Canidelo;168;87;81;
;11A131709: Madalena;232;118;114;
;11A131712: Oliveira do Douro;180;94;86;
;11A131717: São Félix da Marinha;177;87;90;
;11A131725: União das freguesias de Grijó e Sermonde;435;222;213;
;11A131726: União das freguesias de Gulpilhares e Valadares;377;185;192;
;11A131727: União das freguesias de Mafamude e Vilar do Paraíso;376;197;179;
;11A131728: União das freguesias de Pedroso e Seixezelo;1342;680;662;
;11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;1243;591;652;
;11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;132;65;67;
;11A131731: União das freguesias de Serzedo e Perosinho;350;170;180;
;11A131723: Vilar de Andorinho;314;151;163;
;11B: Alto Tâmega;67545;34725;32820;
;11B1702: Boticas;5539;2882;2657;
;11B170217: Alturas do Barroso e Cerdedo;726;378;348;
;11B170218: Ardãos e Bobadela;662;362;300;
;11B170203: Beça;856;442;414;
;11B170219: Boticas e Granja;668;337;331;
;11B170220: Codessoso, Curros e Fiães do Tâmega;420;223;197;
;11B170208: Covas do Barroso;316;160;156;
;11B170210: Dornelas;438;230;208;
;11B170213: Pinho;437;228;209;
;11B170215: Sapiãos;416;209;207;
;11B170221: Vilar e Viveiro;600;313;287;
;11B1703: Chaves;21206;10871;10335;
;11B170301: Águas Frias;948;503;445;
;11B170302: Anelhe;401;203;198;
;11B170305: Bustelo;369;195;174;
;11B170309: Cimo de Vila da Castanheira;743;398;345;
;11B170310: Curalha;371;196;175;
;11B170312: Ervededo;792;412;380;
;11B170313: Faiões;578;299;279;
;11B170314: Lama de Arcos;516;253;263;
;11B170316: Mairos;361;167;194;
;11B170317: Moreiras;352;175;177;
;11B170318: Nogueira da Montanha;690;368;322;
;11B170320: Oura;363;173;190;
;11B170321: Outeiro Seco;509;255;254;
;11B170322: Paradela;314;165;149;
;11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);468;233;235;
;11B170324: Redondelo;579;307;272;
;11B170327: Sanfins;510;267;243;
;11B170329: Santa Leocádia;534;269;265;
;11B170350: Santa Maria Maior;287;143;144;
;11B170330: Santo António de Monforte;383;197;186;
;11B170331: Santo Estêvão;446;226;220;
;11B170333: São Pedro de Agostém;979;509;470;
;11B170334: São Vicente;409;217;192;
;11B170340: Tronco;339;178;161;
;11B170354: União das freguesias da Madalena e Samaiões;1119;567;552;
;11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;921;474;447;
;11B170356: União das freguesias de Calvão e Soutelinho da Raia;649;353;296;
;11B170357: União das freguesias de Loivos e Póvoa de Agrações;784;391;393;
;11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;190;103;87;
;11B170359: União das freguesias de Soutelo e Seara Velha;598;310;288;
;11B170360: União das freguesias de Travancas e Roriz;904;451;453;
;11B170341: Vale de Anta;465;233;232;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);970;481;489;
;11B170343: Vila Verde da Raia;525;272;253;
;11B170344: Vilar de Nantes;192;89;103;
;11B170345: Vilarelho da Raia;709;366;343;
;11B170347: Vilas Boas;192;98;94;
;11B170349: Vilela do Tâmega;378;191;187;
;11B170348: Vilela Seca;369;184;185;
;11B1706: Montalegre;9900;5116;4784;
;11B170601: Cabril;620;313;307;
;11B170603: Cervos;343;175;168;
;11B170604: Chã;774;396;378;
;11B170607: Covelo do Gerês;220;111;109;
;11B170609: Ferral;351;177;174;
;11B170612: Gralhas;217;112;105;
;11B170616: Morgade;285;138;147;
;11B170618: Negrões;197;95;102;
;11B170619: Outeiro;239;120;119;
;11B170623: Pitões das Junias;206;103;103;
;11B170625: Reigoso;264;132;132;
;11B170626: Salto;823;423;400;
;11B170627: Santo André;278;149;129;
;11B170629: Sarraquinhos;474;248;226;
;11B170631: Solveira;154;82;72;
;11B170632: Tourém;152;85;67;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;423;215;208;
;11B170637: União das freguesias de Meixedo e Padornelos;400;210;190;
;11B170638: União das freguesias de Montalegre e Padroso;650;330;320;
;11B170639: União das freguesias de Paradela, Contim e Fiães;425;227;198;
;11B170640: União das freguesias de Sezelhe e Covelães;408;218;190;
;11B170641: União das freguesias de Venda Nova e Pondras;291;148;143;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;749;383;366;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;744;412;332;
;11B170635: Vila da Ponte;213;114;99;
;11B1709: Ribeira de Pena;5380;2770;2610;
;11B170901: Alvadia;304;174;130;
;11B170902: Canedo;588;310;278;
;11B170906: Santa Marinha;539;275;264;
;11B170908: União das freguesias de Cerva e Limões;1832;917;915;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;2117;1094;1023;
;11B1712: Valpaços;16625;8429;8196;
;11B171201: Água Revés e Crasto;548;288;260;
;11B171203: Algeriz;747;386;361;
;11B171205: Bouçoães;724;389;335;
;11B171206: Canaveses;426;224;202;
;11B171232: Carrazedo de Montenegro e Curros;1607;832;775;
;11B171209: Ervões;926;464;462;
;11B171211: Fornos do Pinhal;352;180;172;
;11B171212: Friões;957;482;475;
;11B171233: Lebução, Fiães e Nozelos;733;371;362;
;11B171215: Padrela e Tazem;504;258;246;
;11B171216: Possacos;449;221;228;
;11B171217: Rio Torto;532;268;264;
;11B171219: Santa Maria de Emeres;556;275;281;
;11B171220: Santa Valha;613;309;304;
;11B171221: Santiago da Ribeira de Alhariz;1014;512;502;
;11B171222: São João da Corveira;802;392;410;
;11B171223: São Pedro de Veiga de Lila;427;217;210;
;11B171224: Serapicos;295;156;139;
;11B171234: Sonim e Barreiros;501;259;242;
;11B171235: Tinhela e Alvarelhos;571;299;272;
;11B171227: Vales;389;206;183;
;11B171236: Valpaços e Sanfins;1230;600;630;
;11B171229: Vassal;522;245;277;
;11B171230: Veiga de Lila;345;167;178;
;11B171231: Vilarandelo;855;429;426;
;11B1713: Vila Pouca de Aguiar;8895;4657;4238;
;11B171302: Alfarela de Jales;462;253;209;
;11B171319: Alvão;700;376;324;
;11B171303: Bornes de Aguiar;979;497;482;
;11B171304: Bragado;549;291;258;
;11B171305: Capeludos;521;265;256;
;11B171317: Sabroso de Aguiar;- -;- -;- -;
;11B171310: Soutelo de Aguiar;836;443;393;
;11B171311: Telões;1161;592;569;
;11B171312: Tresminas;608;332;276;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;434;232;202;
;11B171313: Valoura;451;238;213;
;11B171314: Vila Pouca de Aguiar;645;322;323;
;11B171315: Vreia de Bornes;772;405;367;
;11B171316: Vreia de Jales;777;411;366;
;11C: Tâmega e Sousa;111530;55983;55547;
;11C1301: Amarante;15246;7611;7635;
;11C130103: Ansiães;351;182;169;
;11C130107: Candemil;457;249;208;
;11C130112: Fregim;743;374;369;
;11C130115: Fridão;208;100;108;
;11C130117: Gondar;592;288;304;
;11C130134: Gouveia (São Simão);447;222;225;
;11C130118: Jazente;246;124;122;
;11C130119: Lomba;245;133;112;
;11C130120: Louredo;192;100;92;
;11C130121: Lufrei;464;239;225;
;11C130123: Mancelos;983;484;499;
;11C130126: Padronelo;153;67;86;
;11C130128: Rebordelo;179;96;83;
;11C130129: Salvador do Monte;456;224;232;
;11C130135: Telões;1324;666;658;
;11C130136: Travanca;620;300;320;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;730;360;370;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;1311;639;672;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;791;388;403;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);828;404;424;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;797;404;393;
;11C130146: União das freguesias de Olo e Canadelo;303;160;143;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;958;459;499;
;11C130138: Vila Caiz;624;317;307;
;11C130139: Vila Chã do Marão;468;246;222;
;11C130147: Vila Meã;776;386;390;
;11C1302: Baião;10899;5384;5515;
;11C130204: Frende;219;108;111;
;11C130205: Gestaçô;1118;558;560;
;11C130206: Gove;750;366;384;
;11C130207: Grilo;321;158;163;
;11C130208: Loivos do Monte;327;169;158;
;11C130215: Santa Marinha do Zêzere;1119;548;571;
;11C130221: União das freguesias de Ancede e Ribadouro;1125;553;572;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;643;320;323;
;11C130223: União das freguesias de Campelo e Ovil;1576;776;800;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;360;177;183;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;1254;619;635;
;11C130226: União das freguesias de Teixeira e Teixeiró;1038;518;520;
;11C130219: Valadares;592;294;298;
;11C130220: Viariz;457;220;237;
;11C0106: Castelo de Paiva;4896;2503;2393;
;11C010602: Fornos;453;223;230;
;11C010606: Real;865;435;430;
;11C010607: Santa Maria de Sardoura;919;500;419;
;11C010608: São Martinho de Sardoura;452;226;226;
;11C010610: União das freguesias de Raiva, Pedorido e Paraíso;970;501;469;
;11C010611: União das freguesias de Sobrado e Bairros;1237;618;619;
;11C0305: Celorico de Basto;11235;5511;5724;
;11C030501: Agilde;572;275;297;
;11C030502: Arnóia;1207;613;594;
;11C030520: Basto (São Clemente);645;301;344;
;11C030503: Borba de Montanha;770;377;393;
;11C030508: Codeçoso;267;138;129;
;11C030510: Fervença;633;311;322;
;11C030515: Moreira do Castelo;446;216;230;
;11C030517: Rego;767;362;405;
;11C030518: Ribas;809;384;425;
;11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;1317;660;657;
;11C030524: União das freguesias de Caçarilhe e Infesta;749;365;384;
;11C030525: União das freguesias de Canedo de Basto e Corgo;767;367;400;
;11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);747;372;375;
;11C030527: União das freguesias de Veade, Gagos e Molares;943;484;459;
;11C030521: Vale de Bouro;596;286;310;
;11C1804: Cinfães;11503;5710;5793;
;11C180403: Cinfães;1380;671;709;
;11C180404: Espadanedo;516;262;254;
;11C180405: Ferreiros de Tendais;539;265;274;
;11C180406: Fornelos;573;274;299;
;11C180408: Moimenta;292;144;148;
;11C180409: Nespereira;1247;628;619;
;11C180410: Oliveira do Douro;771;385;386;
;11C180412: Santiago de Piães;1251;625;626;
;11C180413: São Cristóvão de Nogueira;1072;524;548;
;11C180414: Souselo;1067;504;563;
;11C180415: Tarouquela;570;280;290;
;11C180416: Tendais;875;457;418;
;11C180417: Travanca;627;320;307;
;11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;723;371;352;
;11C1303: Felgueiras;9291;4698;4593;
;11C130301: Aião;204;100;104;
;11C130302: Airães;404;185;219;
;11C130305: Friande;350;178;172;
;11C130306: Idães;487;237;250;
;11C130307: Jugueiros;447;234;213;
;11C130313: Penacova;268;139;129;
;11C130314: Pinheiro;220;105;115;
;11C130315: Pombeiro de Ribavizela;336;186;150;
;11C130317: Refontoura;333;167;166;
;11C130318: Regilde;218;110;108;
;11C130319: Revinhade;133;67;66;
;11C130324: Sendim;440;235;205;
;11C130334: União das freguesias de Macieira da Lixa e Caramos;747;394;353;
;11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;1507;769;738;
;11C130336: União das freguesias de Pedreira, Rande e Sernande;629;309;320;
;11C130337: União das freguesias de Torrados e Sousa;469;252;217;
;11C130338: União das freguesias de Unhão e Lordelo;376;183;193;
;11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;1024;500;524;
;11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);309;156;153;
;11C130341: União das freguesias de Vila Verde e Santão;390;192;198;
;11C1305: Lousada;6294;3204;3090;
;11C130502: Aveleda;180;90;90;
;11C130504: Caíde de Rei;309;152;157;
;11C130510: Lodares;229;116;113;
;11C130512: Macieira;184;88;96;
;11C130513: Meinedo;628;303;325;
;11C130515: Nevogilde;410;211;199;
;11C130524: Sousela;358;179;179;
;11C130525: Torno;304;167;137;
;11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);374;195;179;
;11C130528: União das freguesias de Cristelos, Boim e Ordem;701;370;331;
;11C130529: União das freguesias de Figueiras e Covas;415;215;200;
;11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);811;411;400;
;11C130531: União das freguesias de Nespereira e Casais;414;209;205;
;11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;732;366;366;
;11C130526: Vilar do Torno e Alentém;245;132;113;
;11C1307: Marco de Canaveses;13065;6596;6469;
;11C130732: Alpendorada, Várzea e Torrão;1352;675;677;
;11C130733: Avessadas e Rosém;523;271;252;
;11C130704: Banho e Carvalhosa;342;178;164;
;11C130734: Bem Viver;731;365;366;
;11C130705: Constance;417;210;207;
;11C130736: Marco;787;412;375;
;11C130737: Paredes de Viadores e Manhuncelos;723;352;371;
;11C130738: Penha Longa e Paços de Gaiolo;1243;658;585;
;11C130739: Sande e São Lourenço do Douro;927;448;479;
;11C130735: Santo Isidoro e Livração;319;163;156;
;11C130722: Soalhães;1242;628;614;
;11C130723: Sobretâmega;249;122;127;
;11C130724: Tabuado;532;281;251;
;11C130740: Várzea, Aliviada e Folhada;1306;673;633;
;11C130741: Vila Boa de Quires e Maureles;1447;711;736;
;11C130730: Vila Boa do Bispo;925;449;476;
;11C1309: Paços de Ferreira;5424;2732;2692;
;11C130902: Carvalhosa;617;314;303;
;11C130904: Eiriz;310;158;152;
;11C130905: Ferreira;922;462;460;
;11C130906: Figueiró;260;125;135;
;11C130917: Frazão Arreigada;485;242;243;
;11C130908: Freamunde;405;204;201;
;11C130910: Meixomil;353;178;175;
;11C130918: Paços de Ferreira;473;238;235;
;11C130913: Penamaior;400;208;192;
;11C130914: Raimonda;252;135;117;
;11C130919: Sanfins Lamoso Codessos;663;333;330;
;11C130916: Seroa;284;135;149;
;11C1311: Penafiel;15621;7928;7693;
;11C131101: Abragão;875;447;428;
;11C131102: Boelhe;533;291;242;
;11C131103: Bustelo;596;285;311;
;11C131104: Cabeça Santa;322;154;168;
;11C131105: Canelas;410;212;198;
;11C131106: Capela;411;212;199;
;11C131107: Castelões;322;158;164;
;11C131108: Croca;515;263;252;
;11C131109: Duas Igrejas;685;357;328;
;11C131110: Eja;180;101;79;
;11C131112: Fonte Arcada;387;188;199;
;11C131113: Galegos;641;324;317;
;11C131141: Guilhufe e Urrô;657;311;346;
;11C131115: Irivo;578;282;296;
;11C131142: Lagares e Figueira;812;413;399;
;11C131140: Luzim e Vila Cova;730;399;331;
;11C131121: Oldrões;387;185;202;
;11C131122: Paço de Sousa;612;329;283;
;11C131139: Penafiel;2032;1030;1002;
;11C131125: Perozelo;376;174;202;
;11C131128: Rans;460;243;217;
;11C131132: Recezinhos (São Mamede);372;187;185;
;11C131133: Recezinhos (São Martinho);733;356;377;
;11C131129: Rio de Moinhos;549;295;254;
;11C131138: Rio Mau;205;111;94;
;11C131134: Sebolido;52;28;24;
;11C131143: Termas de São Vicente;790;399;391;
;11C131136: Valpedre;399;194;205;
;11C1813: Resende;8056;4106;3950;
;11C181302: Barrô;740;375;365;
;11C181303: Cárquere;571;294;277;
;11C181310: Paus;664;327;337;
;11C181311: Resende;1289;657;632;
;11C181312: São Cipriano;681;349;332;
;11C181313: São João de Fontoura;624;329;295;
;11C181314: São Martinho de Mouros;1061;556;505;
;11C181316: União das freguesias de Anreade e São Romão de Aregos;909;475;434;
;11C181317: União das freguesias de Felgueiras e Feirão;371;182;189;
;11C181318: União das freguesias de Freigil e Miomães;582;292;290;
;11C181319: União das freguesias de Ovadas e Panchorra;564;270;294;
;11D: Douro;119506;60434;59072;
;11D1701: Alijó;10844;5547;5297;
;11D170101: Alijó;1243;648;595;
;11D170107: Favaios;869;424;445;
;11D170108: Pegarinhos;531;261;270;
;11D170109: Pinhão;70;34;36;
;11D170112: Sanfins do Douro;1636;837;799;
;11D170113: Santa Eugénia;452;232;220;
;11D170114: São Mamede de Ribatua;905;471;434;
;11D170120: União das freguesias de Carlão e Amieiro;1196;594;602;
;11D170121: União das freguesias de Castedo e Cotas;666;342;324;
;11D170122: União das freguesias de Pópulo e Ribalonga;517;263;254;
;11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;499;264;235;
;11D170116: Vila Chã;548;286;262;
;11D170117: Vila Verde;631;329;302;
;11D170118: Vilar de Maçada;1081;562;519;
;11D1801: Armamar;5907;3013;2894;
;11D180101: Aldeias;343;171;172;
;11D180120: Armamar;735;366;369;
;11D180104: Cimbres;288;156;132;
;11D180106: Folgosa;306;169;137;
;11D180107: Fontelo;574;295;279;
;11D180109: Queimada;349;185;164;
;11D180110: Queimadela;338;169;169;
;11D180111: Santa Cruz;129;63;66;
;11D180114: São Cosmado;706;346;360;
;11D180115: São Martinho das Chãs;564;274;290;
