
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;1111607: Ponte de Lima;24488;11770;12718;
;111160701: Anais;740;372;368;
;111160752: Arca e Ponte de Lima;106;50;56;
;111160704: Arcozelo;1080;531;549;
;111160753: Ardegão, Freixo e Mato;768;379;389;
;111160754: Associação de freguesias do Vale do Neiva;730;336;394;
;111160755: Bárrio e Cepões;658;324;334;
;111160707: Beiral do Lima;684;314;370;
;111160708: Bertiandos;330;151;179;
;111160709: Boalhosa;240;107;133;
;111160710: Brandara;281;151;130;
;111160756: Cabaços e Fojo Lobal;875;405;470;
;111160757: Cabração e Moreira do Lima;928;455;473;
;111160713: Calheiros;797;381;416;
;111160714: Calvelo;398;191;207;
;111160716: Correlhã;1411;654;757;
;111160717: Estorãos;442;192;250;
;111160718: Facha;981;474;507;
;111160719: Feitosa;221;105;116;
;111160721: Fontão;500;234;266;
;111160758: Fornelos e Queijada;1363;652;711;
;111160724: Friastelas;422;193;229;
;111160726: Gandra;698;340;358;
;111160727: Gemieira;415;199;216;
;111160728: Gondufe;394;186;208;
;111160729: Labruja;405;210;195;
;111160759: Labrujó, Rendufe e Vilar do Monte;525;271;254;
;111160760: Navió e Vitorino dos Piães;1148;552;596;
;111160734: Poiares;624;314;310;
;111160744: Rebordões (Santa Maria);656;327;329;
;111160747: Rebordões (Souto);957;498;459;
;111160737: Refóios do Lima;1403;626;777;
;111160739: Ribeira;837;406;431;
;111160740: Sá;235;114;121;
;111160742: Santa Comba;222;99;123;
;111160743: Santa Cruz do Lima;247;127;120;
;111160703: São Pedro d'Arcos;499;244;255;
;111160745: Seara;292;142;150;
;111160746: Serdedelo;458;214;244;
;111160750: Vitorino das Donas;518;250;268;
;1111608: Valença;4806;2312;2494;
;111160802: Boivão;208;92;116;
;111160803: Cerdal;900;437;463;
;111160805: Fontoura;438;218;220;
;111160806: Friestas;215;104;111;
;111160808: Ganfei;469;229;240;
;111160812: São Pedro da Torre;390;183;207;
;111160817: União das freguesias de Gandra e Taião;516;239;277;
;111160818: União das freguesias de Gondomil e Sanfins;405;200;205;
;111160819: União das freguesias de São Julião e Silva;501;248;253;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;464;215;249;
;111160816: Verdoejo;300;147;153;
;1111609: Viana do Castelo;21384;9900;11484;
;111160901: Afife;356;154;202;
;111160902: Alvarães;846;412;434;
;111160903: Amonde;304;134;170;
;111160904: Anha;582;268;314;
;111160905: Areosa;688;320;368;
;111160908: Carreço;530;247;283;
;111160910: Castelo do Neiva;1381;648;733;
;111160940: Chafé;648;302;346;
;111160911: Darque;236;114;122;
