
Statistical table extracted on October 10, 2022 (16:32:15)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;2019;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
PT: Portugal;2322041;1456715;139216;45972;
1: Continente;2206165;1448524;138977;45042;
11: Norte;467362;60232;130481;5266;
111: Alto Minho;21081;2408;46115;1295;
1111601: Arcos de Valdevez;3654;212;17038;3;
111160101: Aboim das Choças;39;- -;14;- -;
111160102: Aguiã;65;1;30;- -;
111160104: Ázere;58;- -;- -;- -;
111160105: Cabana Maior;38;- -;1203;- -;
111160106: Cabreiro;137;- -;2628;- -;
111160108: Cendufe;47;3;12;- -;
111160109: Couto;64;- -;- -;- -;
111160113: Gavieira;290;- -;2551;- -;
111160115: Gondoriz;206;6;1173;- -;
111160142: Jolda (São Paio);36;16;- -;- -;
111160121: Miranda;152;- -;231;- -;
111160122: Monte Redondo;57;- -;- -;- -;
111160123: Oliveira;77;23;- -;- -;
111160124: Paçô;100;41;- -;- -;
111160125: Padroso;38;66;205;- -;
111160128: Prozelo;99;4;39;- -;
111160131: Rio de Moinhos;96;- -;- -;- -;
111160130: Rio Frio;147;- -;250;- -;
111160133: Sabadim;70;- -;77;- -;
111160144: Senharei;45;- -;38;- -;
111160145: Sistelo;138;- -;1796;- -;
111160146: Soajo;213;1;3358;- -;
111160152: União das freguesias de Alvora e Loureda;91;2;621;- -;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;65;3;18;3;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;107;12;15;- -;
111160155: União das freguesias de Eiras e Mei;57;- -;115;- -;
111160156: União das freguesias de Grade e Carralcova;130;7;500;- -;
111160157: União das freguesias de Guilhadeses e Santar;108;1;- -;- -;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;104;7;- -;- -;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);107;9;39;- -;
111160160: União das freguesias de Portela e Extremo;56;- -;77;- -;
111160161: União das freguesias de São Jorge e Ermelo;83;9;1566;- -;
111160162: União das freguesias de Souto e Tabaçô;104;2;34;- -;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);130;- -;29;- -;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;141;- -;102;- -;
111160149: Vale;163;1;317;- -;
1111602: Caminha;504;21;2324;- -;
111160201: Âncora;26;- -;2;- -;
111160205: Argela;34;- -;- -;- -;
111160209: Dem;34;- -;120;- -;
111160211: Lanhelas;10;- -;109;- -;
111160214: Riba de Âncora;67;- -;97;- -;
111160215: Seixas;9;- -;- -;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);51;- -;820;- -;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;32;- -;- -;- -;
111160223: União das freguesias de Gondar e Orbacém;48;- -;250;- -;
111160224: União das freguesias de Moledo e Cristelo;28;- -;140;- -;
111160225: União das freguesias de Venade e Azevedo;55;0;411;- -;
111160217: Vila Praia de Âncora;24;1;362;- -;
111160218: Vilar de Mouros;55;4;12;- -;
111160220: Vile;33;16;- -;- -;
1111603: Melgaço;1586;91;8812;1;
111160301: Alvaredo;134;25;25;- -;
111160304: Cousso;24;- -;147;- -;
111160305: Cristoval;35;- -;98;- -;
111160307: Fiães;51;- -;391;- -;
111160308: Gave;253;15;838;- -;
111160311: Paderne;200;21;37;- -;
111160313: Penso;90;7;159;- -;
111160317: São Paio;84;- -;337;- -;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;368;1;5090;- -;
111160320: União das freguesias de Chaviães e Paços;66;5;135;- -;
111160321: União das freguesias de Parada do Monte e Cubalhão;85;- -;1487;- -;
111160322: União das freguesias de Prado e Remoães;86;13;8;- -;
111160323: União das freguesias de Vila e Roussas;109;4;60;1;
1111604: Monção;2540;318;3073;2;
111160401: Abedim;43;- -;110;- -;
111160404: Barbeita;111;3;- -;- -;
111160405: Barroças e Taias;51;- -;- -;- -;
111160406: Bela;70;3;- -;- -;
111160407: Cambeses;69;5;- -;- -;
