
Statistical table extracted on October 18, 2022 (23:22:04)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;1999;
;? ;
PT: Portugal;4620775458;
1: Continente;4224367782;
11: Norte;1103821649;
111: Alto Minho;91879856;
1111601: Arcos de Valdevez;12117338;
111160101: Aboim das Choças;166418;
111160102: Aguiã;168765;
111160104: Ázere;121287;
111160105: Cabana Maior;342229;
111160106: Cabreiro;623085;
111160108: Cendufe;156077;
111160109: Couto;150135;
111160113: Gavieira;455434;
111160115: Gondoriz;623874;
111160142: Jolda (São Paio);206389;
111160121: Miranda;160308;
111160122: Monte Redondo;163449;
111160123: Oliveira;272732;
111160124: Paçô;842072;
111160125: Padroso;212841;
111160128: Prozelo;231364;
111160131: Rio de Moinhos;195851;
111160130: Rio Frio;419459;
111160133: Sabadim;263936;
111160144: Senharei;224065;
111160145: Sistelo;443094;
111160146: Soajo;762554;
111160152: União das freguesias de Alvora e Loureda;329543;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;407952;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;255187;
111160155: União das freguesias de Eiras e Mei;240544;
111160156: União das freguesias de Grade e Carralcova;329487;
111160157: União das freguesias de Guilhadeses e Santar;239832;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;348247;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);226200;
111160160: União das freguesias de Portela e Extremo;374953;
111160161: União das freguesias de São Jorge e Ermelo;407336;
111160162: União das freguesias de Souto e Tabaçô;252742;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);659472;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;520512;
111160149: Vale;319913;
1111602: Caminha;3898538;
111160201: Âncora;134336;
111160205: Argela;207273;
111160209: Dem;235789;
111160211: Lanhelas;81030;
111160214: Riba de Âncora;508055;
111160215: Seixas;100634;
111160221: União das freguesias de Arga (Baixo, Cima e São João);470027;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;160624;
111160223: União das freguesias de Gondar e Orbacém;321674;
111160224: União das freguesias de Moledo e Cristelo;69254;
111160225: União das freguesias de Venade e Azevedo;328454;
111160217: Vila Praia de Âncora;315255;
111160218: Vilar de Mouros;850201;
111160220: Vile;115931;
1111603: Melgaço;4309444;
111160301: Alvaredo;391965;
111160304: Cousso;163754;
111160305: Cristoval;120690;
111160307: Fiães;245761;
111160308: Gave;153422;
111160311: Paderne;648111;
111160313: Penso;254068;
111160317: São Paio;271750;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;686811;
111160320: União das freguesias de Chaviães e Paços;294250;
111160321: União das freguesias de Parada do Monte e Cubalhão;566481;
111160322: União das freguesias de Prado e Remoães;253669;
111160323: União das freguesias de Vila e Roussas;258711;
1111604: Monção;8415105;
111160401: Abedim;177782;
111160404: Barbeita;365726;
111160405: Barroças e Taias;139437;
111160406: Bela;207212;
111160407: Cambeses;137020;
111160410: Lara;250931;
111160411: Longos Vales;444311;
111160415: Merufe;893019;
111160418: Moreira;408813;
111160420: Pias;710449;
111160421: Pinheiros;312217;
111160422: Podame;108833;
111160423: Portela;185216;
111160424: Riba de Mouro;335561;
111160427: Segude;224386;
111160428: Tangil;453158;
111160431: Trute;183442;
111160434: União das freguesias de Anhões e Luzio;370855;
111160435: União das freguesias de Ceivães e Badim;462416;
111160436: União das freguesias de Mazedo e Cortes;570616;
111160437: União das freguesias de Messegães, Valadares e Sá;462552;
111160438: União das freguesias de Monção e Troviscoso;518527;
111160439: União das freguesias de Sago, Lordelo e Parada;355883;
111160440: União das freguesias de Troporiz e Lapela;136743;
1111605: Paredes de Coura;8448622;
111160501: Agualonga;225821;
111160503: Castanheira;427753;
111160505: Coura;199386;
111160507: Cunha;425526;
111160510: Infesta;297866;
111160513: Mozelos;162252;
111160514: Padornelo;313719;
111160515: Parada;289466;
111160519: Romarigães;2431755;
111160520: Rubiães;443558;
111160522: União das freguesias de Bico e Cristelo;625826;
111160523: União das freguesias de Cossourado e Linhares;294519;
111160524: União das freguesias de Formariz e Ferreira;703820;
111160525: União das freguesias de Insalde e Porreiras;815613;
111160526: União das freguesias de Paredes de Coura e Resende;613305;
111160521: Vascões;178437;
1111606: Ponte da Barca;4704597;
111160601: Azias;201951;
111160602: Boivães;191570;
111160603: Bravães;330855;
111160604: Britelo;375500;
111160606: Cuide de Vila Verde;131749;
111160611: Lavradas;447152;
111160612: Lindoso;287602;
111160613: Nogueira;107042;
111160614: Oleiros;363354;
111160619: Sampriz;159355;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;345876;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;401406;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;793228;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);104687;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);264085;
111160623: Vade (São Pedro);102523;
111160624: Vade (São Tomé);96662;
1111607: Ponte de Lima;23081897;
111160701: Anais;411849;
111160752: Arca e Ponte de Lima;352621;
111160704: Arcozelo;715473;
111160753: Ardegão, Freixo e Mato;1342932;
111160754: Associação de freguesias do Vale do Neiva;1252488;
111160755: Bárrio e Cepões;473768;
111160707: Beiral do Lima;415957;
111160708: Bertiandos;269024;
111160709: Boalhosa;90614;
111160710: Brandara;239373;
111160756: Cabaços e Fojo Lobal;741372;
111160757: Cabração e Moreira do Lima;1008989;
111160713: Calheiros;406458;
111160714: Calvelo;951790;
111160716: Correlhã;1818648;
111160717: Estorãos;457587;
111160718: Facha;720235;
111160719: Feitosa;209704;
111160721: Fontão;724201;
111160758: Fornelos e Queijada;976697;
111160724: Friastelas;456206;
111160726: Gandra;382616;
111160727: Gemieira;350689;
111160728: Gondufe;400807;
111160729: Labruja;227488;
111160759: Labrujó, Rendufe e Vilar do Monte;348279;
111160760: Navió e Vitorino dos Piães;925803;
111160734: Poiares;1733567;
111160744: Rebordões (Santa Maria);476162;
111160747: Rebordões (Souto);383439;
111160737: Refóios do Lima;1117523;
111160739: Ribeira;643953;
111160740: Sá;263212;
111160742: Santa Comba;167792;
111160743: Santa Cruz do Lima;177950;
111160703: São Pedro d'Arcos;528631;
111160745: Seara;260883;
111160746: Serdedelo;450272;
111160750: Vitorino das Donas;206843;
1111608: Valença;4785345;
111160802: Boivão;87720;
111160803: Cerdal;793421;
111160805: Fontoura;338521;
111160806: Friestas;103827;
111160808: Ganfei;284794;
111160812: São Pedro da Torre;789890;
111160817: União das freguesias de Gandra e Taião;1193248;
111160818: União das freguesias de Gondomil e Sanfins;257611;
111160819: União das freguesias de São Julião e Silva;382124;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;294548;
111160816: Verdoejo;259641;
1111609: Viana do Castelo;19335975;
111160901: Afife;365073;
111160902: Alvarães;898136;
111160903: Amonde;196226;
111160904: Anha;471952;
111160905: Areosa;249242;
111160908: Carreço;841116;
111160910: Castelo do Neiva;543042;
111160940: Chafé;358933;
111160911: Darque;86000;
111160914: Freixieiro de Soutelo;499630;
111160915: Lanheses;656688;
111160920: Montaria;557131;
111160922: Mujães;193366;
111160925: Outeiro;621232;
111160926: Perre;1326044;
111160928: Santa Marta de Portuzelo;1088768;
