
Statistical table extracted on October 15, 2022 (14:24:24)
http://www.ine.pt



Geographic localization (NUTS -2013);Average value of total standard output by agricultural holding (?) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;? ;
PT: Portugal;15199;
1: Continente;15131,6;
11: Norte;8369,5;
111: Alto Minho;5405,8;
1111601: Arcos de Valdevez;4126,1;
111160101: Aboim das Choças;3102,1;
111160102: Aguiã;3297,8;
111160104: Ázere;3634,1;
111160105: Cabana Maior;6070;
111160106: Cabreiro;4631,6;
111160108: Cendufe;2488,8;
111160109: Couto;2400,4;
111160113: Gavieira;6708,4;
111160115: Gondoriz;5516,5;
111160142: Jolda (São Paio);3079,4;
111160121: Miranda;3496;
111160122: Monte Redondo;3192,5;
111160123: Oliveira;4516,3;
111160124: Paçô;18406,1;
111160125: Padroso;3045,3;
111160128: Prozelo;2852,6;
111160131: Rio de Moinhos;2899,3;
111160130: Rio Frio;3212,1;
111160133: Sabadim;2745;
111160144: Senharei;3378,7;
111160145: Sistelo;6799,2;
111160146: Soajo;4811,5;
111160152: União das freguesias de Alvora e Loureda;3178,7;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;2641,5;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;5383,8;
111160155: União das freguesias de Eiras e Mei;2622,2;
111160156: União das freguesias de Grade e Carralcova;3513,7;
111160157: União das freguesias de Guilhadeses e Santar;3563,6;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;2873,5;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);4541,7;
111160160: União das freguesias de Portela e Extremo;2157,8;
111160161: União das freguesias de São Jorge e Ermelo;3850,7;
111160162: União das freguesias de Souto e Tabaçô;3508,1;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);2952,6;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;3959,8;
111160149: Vale;4199,2;
1111602: Caminha;7235;
111160201: Âncora;3221,3;
111160205: Argela;3573,6;
111160209: Dem;2710,8;
111160211: Lanhelas;4133,6;
111160214: Riba de Âncora;28074,3;
111160215: Seixas;8063,9;
