
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
111160744: Rebordões (Santa Maria);0,5;
111160747: Rebordões (Souto);0,4;
111160737: Refóios do Lima;0,4;
111160739: Ribeira;0,5;
111160740: Sá;0,6;
111160742: Santa Comba;0,6;
111160743: Santa Cruz do Lima;0,4;
111160703: São Pedro d'Arcos;0,5;
111160745: Seara;0,7;
111160746: Serdedelo;0,6;
111160750: Vitorino das Donas;0,6;
1111608: Valença;0,7;
111160802: Boivão;0,8;
111160803: Cerdal;0,8;
111160805: Fontoura;0,6;
111160806: Friestas;0,7;
111160808: Ganfei;0,7;
111160812: São Pedro da Torre;0,8;
111160817: União das freguesias de Gandra e Taião;0,6;
111160818: União das freguesias de Gondomil e Sanfins;0,7;
111160819: União das freguesias de São Julião e Silva;0,8;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;0,7;
111160816: Verdoejo;0,7;
1111609: Viana do Castelo;0,7;
111160901: Afife;0,8;
111160902: Alvarães;0,7;
111160903: Amonde;0,3;
111160904: Anha;0,9;
111160905: Areosa;0,9;
111160908: Carreço;1;
111160910: Castelo do Neiva;0,6;
111160940: Chafé;1,4;
111160911: Darque;0,3;
111160914: Freixieiro de Soutelo;0,9;
111160915: Lanheses;0,5;
111160920: Montaria;0,7;
111160922: Mujães;0,4;
111160925: Outeiro;0,6;
111160926: Perre;1,1;
111160928: Santa Marta de Portuzelo;1;
111160923: São Romão de Neiva;0,8;
111160941: União das freguesias de Barroselas e Carvoeiro;1;
111160942: União das freguesias de Cardielos e Serreleis;0,6;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;0,6;
111160944: União das freguesias de Mazarefes e Vila Fria;0,8;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;0,6;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;0,5;
111160947: União das freguesias de Torre e Vila Mou;0,5;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;0,8;
111160938: Vila de Punhe;0,7;
111160935: Vila Franca;0,7;
1111610: Vila Nova de Cerveira;0,7;
111161003: Cornes;1,1;
111161004: Covas;0,7;
111161006: Gondarém;0,5;
111161007: Loivo;0,3;
111161009: Mentrestido;0,6;
111161012: Sapardos;0,7;
111161013: Sopo;0,4;
111161016: União das freguesias de Campos e Vila Meã;0,9;
111161017: União das freguesias de Candemil e Gondar;0,5;
111161018: União das freguesias de Reboreda e Nogueira;0,8;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;0,7;
112: Cávado;0,9;
1120301: Amares;0,7;
112030102: Barreiros;0,6;
112030104: Bico;0,4;
112030119: Bouro (Santa Maria);0,5;
112030120: Bouro (Santa Marta);0,6;
112030105: Caires;0,7;
112030107: Carrazedo;1,2;
112030108: Dornelas;0,8;
112030111: Fiscal;0,9;
112030112: Goães;0,5;
112030113: Lago;0,6;
112030118: Rendufe;1;
112030125: União das freguesias de Amares e Figueiredo;0,7;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;0,4;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;0,8;
112030128: União das freguesias de Torre e Portela;0,4;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;0,6;
1120302: Barcelos;1,3;
112030201: Abade de Neiva;1,4;
112030202: Aborim;1,3;
112030203: Adães;0,9;
112030205: Airó;0,8;
112030206: Aldreu;1,2;
112030208: Alvelos;1,2;
112030209: Arcozelo;1,1;
112030210: Areias;1,1;
112030212: Balugães;1,4;
112030213: Barcelinhos;1,2;
112030215: Barqueiros;1,3;
112030216: Cambeses;1,3;
112030218: Carapeços;1;
112030220: Carvalhal;1,5;
112030221: Carvalhas;1,1;
112030224: Cossourado;1,6;
112030228: Cristelo;1,9;
112030234: Fornelos;1,3;
112030235: Fragoso;1,1;
112030268: Galegos (Santa Maria);0,9;
112030272: Galegos (São Martinho);0,9;
112030237: Gilmonde;1,2;
112030242: Lama;1;
112030243: Lijó;1,1;
112030244: Macieira de Rates;1,7;
112030245: Manhente;2,5;
112030247: Martim;0,6;
112030252: Moure;0,9;
112030254: Oliveira;1,2;
112030255: Palme;1,4;
112030256: Panque;1;
112030257: Paradela;1,6;
112030259: Pereira;0,9;
112030260: Perelhal;1,1;
112030261: Pousa;1;
112030263: Remelhe;1,4;
112030265: Rio Covo (Santa Eugénia);1,2;
112030264: Roriz;1,6;
112030279: Silva;1,2;
112030277: Tamel (São Veríssimo);1;
112030282: Ucha;1,4;
112030290: União das freguesias de Alheira e Igreja Nova;0,9;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;1,3;
