
Statistical table extracted on October 11, 2022 (22:38:13)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
2009;PT: Portugal;793169;173336;498637;69294;51902;
;1: Continente;709928;155834;444408;61669;48017;
;11: Norte;302117;69131;187486;24997;20503;
;111: Alto Minho;37989;10606;22539;3041;1803;
;1111601: Arcos de Valdevez;5859;2118;3166;396;179;
;111160101: Aboim das Choças;95;30;57;4;4;
;111160102: Aguiã;117;23;82;8;4;
;111160104: Ázere;78;28;42;2;6;
;111160105: Cabana Maior;65;42;22;1;- -;
;111160106: Cabreiro;268;152;104;8;4;
;111160108: Cendufe;110;32;61;14;3;
;111160109: Couto;74;24;45;4;1;
;111160113: Gavieira;237;111;113;10;3;
;111160115: Gondoriz;317;108;185;21;3;
;111160142: Jolda (São Paio);94;11;62;14;7;
;111160121: Miranda;151;74;70;6;1;
;111160122: Monte Redondo;104;35;61;3;5;
;111160123: Oliveira;91;30;47;8;6;
;111160124: Paçô;95;13;57;12;13;
;111160125: Padroso;126;38;78;10;- -;
;111160128: Prozelo;150;60;79;10;1;
;111160131: Rio de Moinhos;114;23;82;5;4;
;111160130: Rio Frio;293;102;167;23;1;
;111160133: Sabadim;154;50;93;8;3;
;111160144: Senharei;142;43;86;12;1;
;111160145: Sistelo;193;90;96;7;- -;
;111160146: Soajo;298;110;177;10;1;
;111160152: União das freguesias de Alvora e Loureda;143;61;69;6;7;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;63;29;26;5;3;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;126;33;54;25;14;
;111160155: União das freguesias de Eiras e Mei;133;39;79;12;3;
;111160156: União das freguesias de Grade e Carralcova;243;102;124;14;3;
;111160157: União das freguesias de Guilhadeses e Santar;162;46;91;16;9;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;165;47;99;8;11;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);131;20;96;12;3;
;111160160: União das freguesias de Portela e Extremo;174;88;73;9;4;
;111160161: União das freguesias de São Jorge e Ermelo;215;84;109;15;7;
;111160162: União das freguesias de Souto e Tabaçô;157;46;91;16;4;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);283;99;137;32;15;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;227;79;119;15;14;
;111160149: Vale;271;116;133;11;11;
;1111602: Caminha;1308;337;808;106;57;
;111160201: Âncora;55;11;38;2;4;
;111160205: Argela;96;18;65;9;4;
;111160209: Dem;130;54;61;9;6;
;111160211: Lanhelas;31;3;20;4;4;
;111160214: Riba de Âncora;155;36;93;17;9;
;111160215: Seixas;18;4;10;2;2;
