
Statistical table extracted on October 11, 2022 (20:23:18)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;398;100;30;49;63;67;89;
;111160149: Vale;534;174;51;45;76;78;110;
;1111602: Caminha;4428;1494;503;443;540;624;824;
;111160201: Âncora;319;118;41;26;42;54;38;
;111160205: Argela;295;97;28;19;56;52;43;
;111160209: Dem;385;115;49;44;54;54;69;
;111160211: Lanhelas;315;110;29;20;45;48;63;
;111160214: Riba de Âncora;550;212;67;81;46;64;80;
;111160215: Seixas;188;51;22;20;22;25;48;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);305;67;22;26;44;57;89;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;164;70;18;12;22;11;31;
;111160223: União das freguesias de Gondar e Orbacém;473;159;63;42;63;58;88;
;111160224: União das freguesias de Moledo e Cristelo;184;66;21;17;19;21;40;
;111160225: União das freguesias de Venade e Azevedo;545;192;67;62;63;72;89;
;111160217: Vila Praia de Âncora;223;67;28;18;18;44;48;
;111160218: Vilar de Mouros;312;91;26;38;29;49;79;
;111160220: Vile;170;79;22;18;17;15;19;
;1111603: Melgaço;8210;2344;701;896;1283;1487;1499;
;111160301: Alvaredo;460;127;50;53;63;87;80;
;111160304: Cousso;328;107;11;51;48;60;51;
;111160305: Cristoval;532;127;42;54;93;114;102;
;111160307: Fiães;444;102;52;38;67;88;97;
;111160308: Gave;296;88;26;37;40;52;53;
;111160311: Paderne;1067;309;103;103;168;187;197;
;111160313: Penso;434;120;36;50;71;79;78;
;111160317: São Paio;553;180;39;48;82;124;80;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;1100;263;88;136;184;203;226;
;111160320: União das freguesias de Chaviães e Paços;778;223;77;69;117;130;162;
;111160321: União das freguesias de Parada do Monte e Cubalhão;833;263;75;103;134;138;120;
;111160322: União das freguesias de Prado e Remoães;406;128;23;50;54;65;86;
;111160323: União das freguesias de Vila e Roussas;979;307;79;104;162;160;167;
;1111604: Monção;12467;3802;1133;1398;1920;1974;2240;
;111160401: Abedim;285;84;21;29;41;42;68;
;111160404: Barbeita;707;217;56;116;104;105;109;
;111160405: Barroças e Taias;301;105;19;48;46;40;43;
;111160406: Bela;360;97;31;27;55;82;68;
;111160407: Cambeses;279;98;17;29;39;51;45;
;111160410: Lara;294;71;30;40;49;39;65;
;111160411: Longos Vales;755;231;70;74;121;124;135;
;111160415: Merufe;1308;452;125;139;188;180;224;
;111160418: Moreira;504;159;44;62;83;64;92;
;111160420: Pias;723;209;57;90;122;110;135;
;111160421: Pinheiros;213;64;14;32;27;30;46;
;111160422: Podame;288;78;38;23;51;45;53;
;111160423: Portela;308;84;29;43;45;37;70;
;111160424: Riba de Mouro;1002;342;84;115;145;154;162;
;111160427: Segude;204;69;11;26;36;33;29;
;111160428: Tangil;969;310;75;114;143;138;189;
;111160431: Trute;261;83;19;23;48;46;42;
;111160434: União das freguesias de Anhões e Luzio;358;73;25;33;69;76;82;
;111160435: União das freguesias de Ceivães e Badim;436;137;38;36;72;93;60;
;111160436: União das freguesias de Mazedo e Cortes;1180;342;141;128;189;199;181;
;111160437: União das freguesias de Messegães, Valadares e Sá;463;130;45;41;61;85;101;
;111160438: União das freguesias de Monção e Troviscoso;458;124;69;32;59;80;94;
;111160439: União das freguesias de Sago, Lordelo e Parada;483;155;38;63;81;62;84;
;111160440: União das freguesias de Troporiz e Lapela;328;88;37;35;46;59;63;
;1111605: Paredes de Coura;6819;2440;677;662;852;1062;1126;
;111160501: Agualonga;271;118;17;25;35;43;33;
;111160503: Castanheira;488;182;47;49;52;95;63;
;111160505: Coura;348;133;30;41;44;47;53;
;111160507: Cunha;491;200;58;43;59;68;63;
;111160510: Infesta;413;132;35;43;50;67;86;
;111160513: Mozelos;217;71;13;29;27;27;50;
;111160514: Padornelo;405;138;49;36;55;65;62;
;111160515: Parada;246;92;16;29;30;51;28;
;111160519: Romarigães;242;73;23;18;34;44;50;
;111160520: Rubiães;449;167;57;38;54;58;75;
;111160522: União das freguesias de Bico e Cristelo;770;295;78;62;88;111;136;
;111160523: União das freguesias de Cossourado e Linhares;331;129;31;29;44;46;52;
;111160524: União das freguesias de Formariz e Ferreira;778;229;74;79;125;129;142;
;111160525: União das freguesias de Insalde e Porreiras;523;184;46;59;65;91;78;
;111160526: União das freguesias de Paredes de Coura e Resende;675;252;77;70;71;89;116;
;111160521: Vascões;172;45;26;12;19;31;39;
;1111606: Ponte da Barca;6714;2682;617;632;844;969;970;
;111160601: Azias;328;129;30;26;34;66;43;
;111160602: Boivães;329;147;22;25;48;42;45;
;111160603: Bravães;484;215;55;52;52;67;43;
;111160604: Britelo;195;65;19;12;21;39;39;
;111160606: Cuide de Vila Verde;240;106;32;24;23;28;27;
;111160611: Lavradas;707;285;64;82;81;95;100;
;111160612: Lindoso;390;150;30;42;62;67;39;
;111160613: Nogueira;234;83;20;29;41;27;34;
;111160614: Oleiros;289;109;32;24;36;41;47;
;111160619: Sampriz;395;187;26;50;49;34;49;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;760;328;70;66;99;85;112;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;557;193;46;57;54;103;104;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;693;270;70;51;90;112;100;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);232;93;19;16;42;36;26;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);556;190;51;48;76;82;109;
;111160623: Vade (São Pedro);156;81;14;15;17;17;12;
;111160624: Vade (São Tomé);169;51;17;13;19;28;41;
;1111607: Ponte de Lima;24488;10570;2385;2530;2929;3135;2939;
;111160701: Anais;740;351;54;76;91;83;85;
;111160752: Arca e Ponte de Lima;106;33;12;4;18;20;19;
;111160704: Arcozelo;1080;443;116;115;127;154;125;
;111160753: Ardegão, Freixo e Mato;768;335;75;86;106;95;71;
;111160754: Associação de freguesias do Vale do Neiva;730;278;51;63;114;105;119;
;111160755: Bárrio e Cepões;658;267;66;61;68;108;88;
;111160707: Beiral do Lima;684;305;69;81;72;74;83;
;111160708: Bertiandos;330;154;28;46;45;21;36;
;111160709: Boalhosa;240;118;14;22;34;31;21;
;111160710: Brandara;281;120;36;28;28;32;37;
;111160756: Cabaços e Fojo Lobal;875;432;107;84;85;73;94;
;111160757: Cabração e Moreira do Lima;928;377;81;84;118;129;139;
;111160713: Calheiros;797;342;73;84;87;107;104;
;111160714: Calvelo;398;158;29;51;53;60;47;
;111160716: Correlhã;1411;615;141;168;137;165;185;
;111160717: Estorãos;442;160;25;33;74;68;82;
;111160718: Facha;981;466;86;110;98;99;122;
;111160719: Feitosa;221;88;23;23;34;32;21;
;111160721: Fontão;500;213;63;58;61;51;54;
;111160758: Fornelos e Queijada;1363;601;168;129;154;162;149;
;111160724: Friastelas;422;199;43;33;48;55;44;
;111160726: Gandra;698;301;69;81;87;88;72;
;111160727: Gemieira;415;212;25;51;63;31;33;
;111160728: Gondufe;394;163;35;54;37;49;56;
;111160729: Labruja;405;125;33;38;53;117;39;
;111160759: Labrujó, Rendufe e Vilar do Monte;525;193;57;39;64;113;59;
;111160760: Navió e Vitorino dos Piães;1148;593;81;90;146;133;105;
;111160734: Poiares;624;307;63;56;73;64;61;
;111160744: Rebordões (Santa Maria);656;335;69;57;76;72;47;
;111160747: Rebordões (Souto);957;398;133;141;90;96;99;
;111160737: Refóios do Lima;1403;541;113;142;203;212;192;
;111160739: Ribeira;837;323;97;96;87;104;130;
;111160740: Sá;235;102;17;19;32;29;36;
;111160742: Santa Comba;222;92;25;20;28;30;27;
;111160743: Santa Cruz do Lima;247;99;21;20;40;46;21;
;111160703: São Pedro d'Arcos;499;170;65;39;69;80;76;
;111160745: Seara;292;138;38;31;28;24;33;
;111160746: Serdedelo;458;203;33;60;52;51;59;
;111160750: Vitorino das Donas;518;220;51;57;49;72;69;
;1111608: Valença;4806;1523;412;510;675;825;861;
;111160802: Boivão;208;62;15;21;31;35;44;
;111160803: Cerdal;900;291;63;106;116;162;162;
;111160805: Fontoura;438;163;38;48;63;61;65;
;111160806: Friestas;215;65;21;15;34;41;39;
;111160808: Ganfei;469;144;40;59;70;82;74;
;111160812: São Pedro da Torre;390;102;25;38;62;64;99;
;111160817: União das freguesias de Gandra e Taião;516;176;55;48;74;94;69;
;111160818: União das freguesias de Gondomil e Sanfins;405;125;33;48;51;55;93;
;111160819: União das freguesias de São Julião e Silva;501;173;58;53;51;81;85;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;464;124;37;49;71;91;92;
;111160816: Verdoejo;300;98;27;25;52;59;39;
;1111609: Viana do Castelo;21384;7980;2328;2085;2679;2906;3406;
;111160901: Afife;356;117;34;29;67;56;53;
;111160902: Alvarães;846;346;95;85;104;101;115;
;111160903: Amonde;304;94;49;19;33;48;61;
;111160904: Anha;582;218;73;51;72;82;86;
;111160905: Areosa;688;211;75;72;108;104;118;
;111160908: Carreço;530;160;58;76;68;69;99;
;111160910: Castelo do Neiva;1381;610;127;155;176;152;161;
;111160940: Chafé;648;210;92;61;71;97;117;
;111160911: Darque;236;85;19;19;28;37;48;
;111160914: Freixieiro de Soutelo;435;156;43;49;46;51;90;
;111160915: Lanheses;736;263;94;62;78;123;116;
;111160920: Montaria;657;217;69;66;81;81;143;
;111160922: Mujães;256;111;24;24;21;42;34;
;111160925: Outeiro;875;289;98;84;128;105;171;
;111160926: Perre;845;272;101;84;116;94;178;
;111160928: Santa Marta de Portuzelo;833;263;99;84;95;137;155;
;111160923: São Romão de Neiva;520;216;47;54;69;64;70;
;111160941: União das freguesias de Barroselas e Carvoeiro;1544;622;164;128;186;222;222;
;111160942: União das freguesias de Cardielos e Serreleis;684;238;86;63;88;96;113;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2410;1085;241;232;261;289;302;
;111160944: União das freguesias de Mazarefes e Vila Fria;751;286;77;75;99;111;103;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1249;424;129;131;180;169;216;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;1557;694;133;136;203;212;179;
;111160947: União das freguesias de Torre e Vila Mou;661;223;88;55;78;97;120;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;557;154;69;73;57;79;125;
;111160938: Vila de Punhe;546;150;66;58;78;95;99;
;111160935: Vila Franca;697;266;78;60;88;93;112;
;1111610: Vila Nova de Cerveira;3520;1159;340;352;483;548;638;
;111161003: Cornes;250;93;34;26;22;44;31;
;111161004: Covas;551;180;45;61;71;99;95;
;111161006: Gondarém;334;136;33;30;41;36;58;
;111161007: Loivo;258;96;35;26;22;35;44;
;111161009: Mentrestido;266;76;22;18;55;43;52;
;111161012: Sapardos;268;82;21;31;35;43;56;
;111161013: Sopo;271;98;30;25;36;36;46;
;111161016: União das freguesias de Campos e Vila Meã;471;146;41;38;87;69;90;
;111161017: União das freguesias de Candemil e Gondar;305;78;20;39;35;54;79;
;111161018: União das freguesias de Reboreda e Nogueira;398;124;47;44;58;73;52;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;148;50;12;14;21;16;35;
;112: Cávado;81869;36058;8938;7696;9452;10226;9499;
;1120301: Amares;6100;2441;577;548;698;891;945;
;112030102: Barreiros;263;115;30;22;18;46;32;
;112030104: Bico;186;91;13;20;22;20;20;
;112030119: Bouro (Santa Maria);398;147;23;30;62;76;60;
;112030120: Bouro (Santa Marta);366;152;24;38;52;46;54;
;112030105: Caires;315;135;29;30;41;29;51;
;112030107: Carrazedo;234;99;29;19;21;37;29;
;112030108: Dornelas;252;96;25;37;24;31;39;
;112030111: Fiscal;465;183;41;55;56;52;78;
;112030112: Goães;427;197;46;38;38;53;55;
;112030113: Lago;397;171;39;24;43;66;54;
;112030118: Rendufe;337;138;48;21;26;57;47;
;112030125: União das freguesias de Amares e Figueiredo;343;130;31;40;40;47;55;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;681;215;62;60;80;122;142;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;453;168;48;27;49;88;73;
;112030128: União das freguesias de Torre e Portela;419;166;43;39;61;50;60;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;564;238;46;48;65;71;96;
;1120302: Barcelos;30834;13981;3516;3102;3602;3574;3059;
;112030201: Abade de Neiva;341;145;41;16;51;57;31;
;112030202: Aborim;197;79;32;16;25;28;17;
;112030203: Adães;169;52;23;14;32;28;20;
;112030205: Airó;354;169;40;35;41;44;25;
;112030206: Aldreu;290;125;29;39;30;39;28;
;112030208: Alvelos;362;138;52;33;37;58;44;
;112030209: Arcozelo;102;42;16;8;11;18;7;
;112030210: Areias;132;52;28;11;15;12;14;
;112030212: Balugães;296;135;27;24;25;45;40;
;112030213: Barcelinhos;136;49;22;9;20;23;13;
;112030215: Barqueiros;608;255;60;70;80;75;68;
;112030216: Cambeses;360;162;32;38;47;36;45;
;112030218: Carapeços;528;280;49;35;70;66;28;
;112030220: Carvalhal;269;100;26;42;39;28;34;
;112030221: Carvalhas;163;88;16;11;28;9;11;
;112030224: Cossourado;553;269;47;51;61;56;69;
;112030228: Cristelo;925;416;125;112;100;95;77;
;112030234: Fornelos;446;186;54;65;40;31;70;
;112030235: Fragoso;949;430;103;89;118;102;107;
;112030268: Galegos (Santa Maria);154;71;17;8;35;18;5;
;112030272: Galegos (São Martinho);141;67;15;10;26;21;2;
;112030237: Gilmonde;444;163;67;50;53;59;52;
;112030242: Lama;256;120;29;24;16;42;25;
;112030243: Lijó;620;306;76;58;67;66;47;
;112030244: Macieira de Rates;824;379;112;111;72;91;59;
;112030245: Manhente;209;93;35;13;25;20;23;
;112030247: Martim;551;294;56;42;44;64;51;
;112030252: Moure;255;121;37;17;30;29;21;
;112030254: Oliveira;444;183;48;37;65;54;57;
;112030255: Palme;622;282;67;53;71;81;68;
;112030256: Panque;528;239;66;51;54;60;58;
;112030257: Paradela;443;211;50;49;58;46;29;
;112030259: Pereira;379;185;40;49;25;41;39;
;112030260: Perelhal;508;189;67;56;74;69;53;
;112030261: Pousa;459;240;41;42;55;42;39;
;112030263: Remelhe;503;267;58;49;45;46;38;
;112030265: Rio Covo (Santa Eugénia);176;83;27;7;18;26;15;
;112030264: Roriz;851;413;67;84;104;76;107;
;112030279: Silva;224;99;33;20;20;25;27;
;112030277: Tamel (São Veríssimo);156;60;16;12;31;19;18;
;112030282: Ucha;355;134;55;28;35;54;49;
;112030290: União das freguesias de Alheira e Igreja Nova;621;227;71;47;80;75;121;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;694;320;66;91;67;70;80;
;112030292: União das freguesias de Areias de Vilar e Encourados;488;201;80;30;55;81;41;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);668;285;85;55;87;78;78;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);702;329;70;74;81;75;73;
;112030295: União das freguesias de Carreira e Fonte Coberta;645;306;64;63;86;69;57;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1345;609;130;172;156;160;118;
;112030297: União das freguesias de Creixomil e Mariz;588;266;53;59;61;81;68;
;112030298: União das freguesias de Durrães e Tregosa;534;249;49;54;57;71;54;
;112030299: União das freguesias de Gamil e Midões;403;166;33;29;69;70;36;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;888;423;89;117;86;94;79;
;1120302FB: União das freguesias de Negreiros e Chavão;811;346;107;103;101;86;68;
;1120302FC: União das freguesias de Quintiães e Aguiar;732;369;82;69;98;57;57;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);632;297;51;72;71;83;58;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);614;283;65;50;78;66;72;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;528;263;70;52;57;51;35;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1140;490;166;120;132;123;109;
;1120302FH: União das freguesias de Vila Cova e Feitos;1489;768;159;142;156;149;115;
;112030283: Várzea;312;128;36;31;48;41;28;
;112030287: Vila Seca;718;285;89;84;83;95;82;
;1120303: Braga;11910;5373;1452;954;1309;1519;1303;
;112030301: Adaúfe;650;292;108;44;60;77;69;
;112030349: Braga (São Vicente);57;25;7;6;3;8;8;
;112030351: Braga (São Vítor);38;13;3;4;7;4;7;
;112030312: Espinho;353;163;52;24;40;35;39;
;112030313: Esporões;376;180;48;27;30;52;39;
;112030315: Figueiredo;168;91;15;4;15;33;10;
;112030319: Gualtar;97;43;8;8;16;11;11;
;112030322: Lamas;116;54;11;12;15;15;9;
;112030325: Mire de Tibães;506;218;62;63;54;65;44;
;112030330: Padim da Graça;332;149;51;29;27;35;41;
;112030331: Palmeira;418;183;50;45;49;39;52;
;112030334: Pedralva;385;158;43;31;47;51;55;
;112030336: Priscos;328;146;28;26;39;45;44;
;112030338: Ruilhe;200;75;26;11;24;27;37;
;112030354: Sequeira;336;174;36;25;42;39;20;
;112030355: Sobreposta;302;147;26;26;28;41;34;
;112030356: Tadim;272;104;33;16;30;49;40;
;112030357: Tebosa;191;95;21;9;24;19;23;
;112030363: União das freguesias de Arentim e Cunha;439;156;59;42;43;77;62;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);95;30;13;11;10;15;16;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);4;- -;- -;1;- -;1;2;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);477;199;70;32;51;65;60;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;580;254;83;47;58;77;61;
;112030368: União das freguesias de Crespos e Pousada;515;203;53;57;67;74;61;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);388;200;32;18;55;39;44;
;112030370: União das freguesias de Este (São Pedro e São Mamede);443;223;37;42;53;58;30;
;112030371: União das freguesias de Ferreiros e Gondizalves;366;167;46;25;46;53;29;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);292;148;28;19;25;42;30;
;112030373: União das freguesias de Lomar e Arcos;316;129;51;19;43;41;33;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;617;288;87;52;59;78;53;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;305;154;36;22;34;32;27;
;112030376: União das freguesias de Morreira e Trandeiras;287;156;17;24;40;25;25;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;317;136;37;25;37;41;41;
;112030378: União das freguesias de Nogueiró e Tenões;206;91;31;19;18;25;22;
;112030379: União das freguesias de Real, Dume e Semelhe;755;361;99;54;81;81;79;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;287;125;35;22;27;44;34;
;112030381: União das freguesias de Vilaça e Fradelos;96;43;10;13;12;6;12;
;1120306: Esposende;11145;4833;1360;1151;1246;1288;1267;
;112030601: Antas;669;276;79;47;85;93;89;
;112030608: Forjães;1053;444;114;87;123;124;161;
;112030610: Gemeses;572;253;77;43;68;60;71;
;112030616: União das freguesias de Apúlia e Fão;2362;1053;262;324;259;254;210;
;112030617: União das freguesias de Belinho e Mar;1286;549;157;95;145;179;161;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;2151;922;278;239;245;226;241;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1170;459;166;146;106;143;150;
;112030620: União das freguesias de Palmeira de Faro e Curvos;1037;478;120;92;123;115;109;
;112030615: Vila Chã;845;399;107;78;92;94;75;
;1120310: Terras de Bouro;4486;1780;406;349;491;679;781;
;112031001: Balança;197;66;21;23;19;36;32;
;112031003: Campo do Gerês;112;42;16;5;13;17;19;
;112031004: Carvalheira;349;128;48;25;35;65;48;
;112031008: Covide;275;115;19;23;25;37;56;
;112031009: Gondoriz;290;117;18;22;22;52;59;
;112031010: Moimenta;216;83;24;20;30;30;29;
;112031012: Ribeira;163;71;12;7;20;30;23;
;112031013: Rio Caldo;333;122;25;22;34;55;75;
;112031014: Souto;325;134;29;29;35;49;49;
;112031018: União das freguesias de Chamoim e Vilar;446;171;36;33;48;64;94;
;112031019: União das freguesias de Chorense e Monte;578;276;43;48;68;62;81;
;112031020: União das freguesias de Cibões e Brufe;510;176;49;36;59;80;110;
;112031015: Valdosende;332;134;33;28;36;48;53;
;112031017: Vilar da Veiga;360;145;33;28;47;54;53;
;1120313: Vila Verde;17394;7650;1627;1592;2106;2275;2144;
;112031359: Aboim da Nóbrega e Gondomar;979;458;92;81;102;129;117;
;112031304: Atiães;281;139;25;35;29;28;25;
;112031308: Cabanelas;315;124;33;19;40;55;44;
;112031309: Cervães;629;261;51;65;84;91;77;
;112031311: Coucieiro;235;80;26;21;26;38;44;
;112031313: Dossãos;302;147;24;26;44;32;29;
;112031316: Freiriz;501;226;39;60;62;69;45;
;112031317: Gême;226;113;15;18;30;23;27;
;112031323: Lage;495;218;49;41;66;71;50;
;112031324: Lanhas;152;67;10;15;20;21;19;
;112031325: Loureira;249;112;21;19;31;41;25;
;112031328: Moure;485;214;45;47;70;61;48;
;112031330: Oleiros;241;105;16;16;42;31;31;
;112031331: Parada de Gatim;276;118;25;31;31;37;34;
;112031335: Pico;310;145;25;32;32;42;34;
;112031337: Ponte;155;57;14;13;19;29;23;
;112031350: Prado (São Miguel);427;175;40;33;42;73;64;
;112031340: Sabariz;78;27;7;4;11;15;14;
;112031352: Soutelo;485;218;48;61;53;35;70;
;112031354: Turiz;379;164;38;40;42;45;50;
;112031360: União das freguesias da Ribeira do Neiva;2730;1167;219;233;346;394;371;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);514;220;59;39;71;68;57;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);471;208;49;56;57;40;61;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;413;165;45;32;64;50;57;
;112031364: União das freguesias de Marrancos e Arcozelo;422;205;50;49;50;25;43;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);418;191;30;37;53;57;50;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;897;401;111;86;87;116;96;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;842;381;86;80;96;98;101;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);418;169;41;37;52;49;70;
;112031369: União das freguesias do Vade;1185;527;104;104;143;170;137;
;112031355: Valdreu;403;169;14;29;67;51;73;
;112031342: Vila de Prado;639;291;80;53;60;97;58;
;112031370: Vila Verde e Barbudo;842;388;96;80;84;94;100;
;119: Ave;68874;30789;6805;5450;8225;9475;8130;
;1190304: Cabeceiras de Basto;8612;3775;752;671;993;1286;1135;
;119030401: Abadim;437;179;43;26;65;62;62;
;119030404: Basto;381;208;26;31;37;41;38;
;119030405: Bucos;508;182;60;50;47;66;103;
;119030406: Cabeceiras de Basto;578;255;46;32;49;96;100;
;119030407: Cavez;1185;502;114;121;143;149;156;
;119030408: Faia;392;199;34;24;59;51;25;
;119030413: Pedraça;424;200;25;43;45;60;51;
;119030415: Rio Douro;985;390;71;65;119;178;162;
;119030418: União das freguesias de Alvite e Passos;726;332;78;51;84;96;85;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;668;290;83;55;92;78;70;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;470;165;35;41;60;84;85;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1858;873;137;132;193;325;198;
;1190307: Fafe;11104;4649;941;888;1418;1707;1501;
;119030705: Armil;241;116;22;15;39;26;23;
;119030726: Arões (Santa Cristina);248;123;22;19;30;32;22;
;119030730: Arões (São Romão);520;273;39;36;71;61;40;
;119030708: Estorãos;411;172;31;38;53;73;44;
;119030709: Fafe;357;157;20;33;57;53;37;
;119030712: Fornelos;214;92;27;14;29;33;19;
;119030714: Golães;390;161;28;35;61;62;43;
;119030716: Medelo;129;55;7;12;16;20;19;
;119030719: Paços;390;204;32;24;34;50;46;
;119030722: Quinchães;372;158;21;21;46;84;42;
;119030723: Regadas;392;172;44;40;45;49;42;
;119030724: Revelhe;367;173;33;30;40;58;33;
;119030725: Ribeiros;132;46;12;7;10;37;20;
;119030728: São Gens;667;285;58;52;97;112;63;
;119030729: Silvares (São Martinho);255;102;29;27;17;36;44;
;119030733: Travassós;579;212;75;53;63;80;96;
