
Statistical table extracted on October 11, 2022 (20:23:18)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;;Sex;;;;;;;
;;MF;;;;;;;
;;Age group;;;;;;;
;;Total;16 - 24 years;25 - 34 years;35 - 44 years;45 - 54 years;55 - 64 years;65 and more years;
;;Relationship;;;;;;;
;;Total;;;;;;;
;;Level of education;;;;;;;
;;Total;;;;;;;
;;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
1989;PT: Portugal;1974808;657561;180871;197810;280723;325856;331987;
;1: Continente;1799736;588464;161583;179995;260280;303164;306250;
;11: Norte;722991;282417;70102;69023;93057;105145;103247;
;111: Alto Minho;108018;38925;10381;10994;14404;16020;17294;
;1111601: Arcos de Valdevez;15182;4931;1285;1486;2199;2490;2791;
;111160101: Aboim das Choças;268;72;27;32;35;53;49;
;111160102: Aguiã;316;126;35;34;39;50;32;
;111160104: Ázere;141;46;18;11;16;21;29;
;111160105: Cabana Maior;295;72;20;33;51;56;63;
;111160106: Cabreiro;693;190;45;73;126;117;142;
;111160108: Cendufe;281;98;28;28;43;53;31;
;111160109: Couto;313;112;26;29;36;49;61;
;111160113: Gavieira;435;127;35;54;69;72;78;
;111160115: Gondoriz;723;276;77;66;106;98;100;
;111160142: Jolda (São Paio);282;121;27;38;43;25;28;
;111160121: Miranda;469;116;35;28;67;105;118;
;111160122: Monte Redondo;294;90;22;23;38;59;62;
;111160123: Oliveira;188;58;17;12;28;42;31;
;111160124: Paçô;196;71;16;18;31;28;32;
;111160125: Padroso;309;97;25;38;38;50;61;
;111160128: Prozelo;390;121;37;41;54;63;74;
;111160131: Rio de Moinhos;436;126;41;42;67;66;94;
;111160130: Rio Frio;815;255;76;47;104;156;177;
;111160133: Sabadim;513;163;48;64;88;69;81;
;111160144: Senharei;357;103;46;28;48;52;80;
;111160145: Sistelo;420;123;32;38;72;70;85;
;111160146: Soajo;821;222;40;78;135;158;188;
;111160152: União das freguesias de Alvora e Loureda;466;155;32;74;59;75;71;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;290;101;49;34;31;41;34;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;258;97;17;18;34;41;51;
;111160155: União das freguesias de Eiras e Mei;409;148;23;57;53;57;71;
;111160156: União das freguesias de Grade e Carralcova;564;193;22;58;73;78;140;
;111160157: União das freguesias de Guilhadeses e Santar;385;146;36;25;67;52;59;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;488;202;49;44;66;63;64;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);367;110;33;36;43;68;77;
;111160160: União das freguesias de Portela e Extremo;400;119;28;43;64;70;76;
;111160161: União das freguesias de São Jorge e Ermelo;587;172;46;42;75;130;122;
;111160162: União das freguesias de Souto e Tabaçô;358;142;32;40;49;52;43;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);723;287;64;66;112;106;88;
