
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;119030836: Pinheiro;37;4;23;8;2;
;119030837: Polvoreira;53;7;33;6;7;
;119030838: Ponte;96;7;67;13;9;
;119030842: Prazins (Santa Eufémia);50;10;27;6;7;
;119030840: Ronfe;78;7;49;8;14;
;119030858: Sande (São Martinho);50;4;41;2;3;
;119030865: São Torcato;184;28;103;30;23;
;119030850: Selho (São Cristóvão);19;- -;12;3;4;
;119030854: Selho (São Jorge);49;2;37;8;2;
;119030866: Serzedelo;94;18;60;8;8;
;119030868: Silvares;85;7;51;17;10;
;119030875: União das freguesias de Abação e Gémeos;122;17;76;10;19;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;140;20;86;24;10;
;119030877: União das freguesias de Arosa e Castelões;105;19;58;15;13;
;119030878: União das freguesias de Atães e Rendufe;227;44;132;25;26;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;66;16;28;9;13;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;144;25;88;17;14;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;79;12;49;9;9;
;119030882: União das freguesias de Conde e Gandarela;49;5;34;7;3;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;187;23;96;45;23;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;- -;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;48;5;31;8;4;
;119030886: União das freguesias de Sande São Lourenço e Balazar;85;8;49;12;16;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;103;8;71;16;8;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;161;14;112;22;13;
;119030889: União das freguesias de Serzedo e Calvos;76;21;38;13;4;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;131;15;82;23;11;
;119030891: União das freguesias de Tabuadelo e São Faustino;90;6;69;12;3;
;119030871: Urgezes;30;5;15;2;8;
;1191705: Mondim de Basto;1392;181;894;171;146;
;119170501: Atei;351;48;211;53;39;
;119170502: Bilhó;215;20;147;16;32;
;119170505: São Cristóvão de Mondim de Basto;214;24;122;32;36;
;119170509: União das freguesias de Campanhó e Paradança;146;11;105;16;14;
;119170510: União das freguesias de Ermelo e Pardelhas;177;30;130;9;8;
;119170508: Vilar de Ferreiros;289;48;179;45;17;
;1190309: Póvoa de Lanhoso;2395;285;1542;309;259;
;119030906: Covelas;127;11;89;17;10;
;119030908: Ferreiros;158;11;106;22;19;
;119030912: Galegos;40;9;19;6;6;
;119030913: Garfe;56;8;37;6;5;
;119030914: Geraz do Minho;145;28;79;21;17;
;119030915: Lanhoso;65;8;38;7;12;
;119030917: Monsul;76;4;59;11;2;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);68;5;44;15;4;
;119030921: Rendufinho;146;24;96;14;12;
;119030922: Santo Emilião;31;5;16;5;5;
;119030923: São João de Rei;64;4;37;12;11;
;119030924: Serzedelo;153;14;112;15;12;
;119030925: Sobradelo da Goma;152;29;101;9;13;
;119030926: Taíde;37;3;23;6;5;
;119030927: Travassos;98;13;65;12;8;
;119030930: União das freguesias de Águas Santas e Moure;86;2;43;21;20;
;119030931: União das freguesias de Calvos e Frades;204;47;128;14;15;
;119030932: União das freguesias de Campos e Louredo;62;4;37;13;8;
;119030933: União das freguesias de Esperança e Brunhais;76;6;46;9;15;
;119030934: União das freguesias de Fonte Arcada e Oliveira;322;30;208;53;31;
;119030935: União das freguesias de Verim, Friande e Ajude;153;12;116;11;14;
;119030929: Vilela;76;8;43;10;15;
;1190311: Vieira do Minho;2096;189;1451;308;148;
;119031105: Cantelães;141;8;86;35;12;
;119031107: Eira Vedra;91;6;61;11;13;
;119031108: Guilhofrei;145;14;115;12;4;
;119031109: Louredo;82;2;79;1;- -;
;119031110: Mosteiro;110;7;76;22;5;
;119031111: Parada de Bouro;24;1;23;- -;- -;
;119031112: Pinheiro;160;12;113;24;11;
;119031113: Rossas;367;49;232;58;28;
;119031115: Salamonde;78;11;62;4;1;
;119031118: Tabuaças;102;13;82;5;2;
;119031122: União das freguesias de Anissó e Soutelo;60;3;44;10;3;
;119031123: União das freguesias de Anjos e Vilar do Chão;258;23;167;42;26;
;119031124: União das freguesias de Caniçada e Soengas;61;5;51;1;4;
;119031125: União das freguesias de Ruivães e Campos;231;21;125;57;28;
;119031126: União das freguesias de Ventosa e Cova;85;6;76;3;- -;
;119031120: Vieira do Minho;101;8;59;23;11;
;1190312: Vila Nova de Famalicão;2596;210;1655;375;356;
;119031204: Bairro;32;5;20;1;6;
;119031206: Brufe;42;- -;27;6;9;
;119031210: Castelões;43;1;29;10;3;
;119031212: Cruz;67;8;35;13;11;
;119031213: Delães;34;- -;26;4;4;
;119031215: Fradelos;225;22;160;22;21;
;119031216: Gavião;65;2;47;6;10;
;119031219: Joane;58;3;47;2;6;
;119031221: Landim;90;10;44;18;18;
;119031223: Louro;97;13;46;10;28;
;119031224: Lousado;52;4;37;8;3;
;119031225: Mogege;18;1;17;- -;- -;
;119031227: Nine;63;3;45;10;5;
;119031239: Oliveira (Santa Maria);51;- -;41;9;1;
;119031242: Oliveira (São Mateus);4;- -;3;1;- -;
;119031230: Pedome;19;1;15;- -;3;
;119031232: Pousada de Saramagos;8;- -;5;3;- -;
;119031233: Requião;128;13;58;24;33;
;119031234: Riba de Ave;4;- -;4;- -;- -;
;119031235: Ribeirão;79;3;51;17;8;
;119031250: União das freguesias de Antas e Abade de Vermoim;79;11;47;4;17;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;140;2;120;11;7;
;119031252: União das freguesias de Avidos e Lagoa;63;6;38;11;8;
;119031253: União das freguesias de Carreira e Bente;69;4;37;17;11;
;119031254: União das freguesias de Esmeriz e Cabeçudos;99;3;58;14;24;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;181;22;103;32;24;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;57;4;36;11;6;
;119031257: União das freguesias de Ruivães e Novais;48;1;37;5;5;
;119031258: União das freguesias de Seide;49;1;33;5;10;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;287;46;155;40;46;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;76;6;46;17;7;
;119031241: Vale (São Martinho);106;5;74;16;11;
;119031247: Vermoim;26;1;17;5;3;
;119031249: Vilarinho das Cambas;137;9;97;23;8;
;1190314: Vizela;388;46;237;73;32;
;119031404: Infias;34;2;19;8;5;
;119031401: Santa Eulália;107;13;69;18;7;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);54;6;30;15;3;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);128;13;88;17;10;
;119031406: Vizela (Santo Adrião);65;12;31;15;7;
;11A: Área Metropolitana do Porto;18317;1605;12223;2562;1927;
;11A0104: Arouca;2424;267;1686;292;179;
;11A010402: Alvarenga;199;10;144;17;28;
;11A010407: Chave;150;16;111;13;10;
;11A010409: Escariz;233;32;154;30;17;
;11A010411: Fermedo;147;21;107;16;3;
;11A010413: Mansores;176;10;115;47;4;
;11A010414: Moldes;200;23;141;22;14;
;11A010415: Rossas;100;5;76;13;6;
;11A010416: Santa Eulália;237;21;144;42;30;
;11A010417: São Miguel do Mato;109;13;84;9;3;
;11A010418: Tropeço;119;7;88;15;9;
;11A010421: União das freguesias de Arouca e Burgo;316;39;206;41;30;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;87;29;53;3;2;
;11A010423: União das freguesias de Canelas e Espiunca;147;7;125;7;8;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;87;21;56;4;6;
;11A010419: Urrô;97;11;68;12;6;
;11A010420: Várzea;20;2;14;1;3;
;11A0107: Espinho;56;7;29;8;12;
;11A010702: Espinho;- -;- -;- -;- -;- -;
;11A010704: Paramos;2;- -;- -;1;1;
;11A010705: Silvalde;26;3;14;3;6;
;11A010706: União das freguesias de Anta e Guetim;28;4;15;4;5;
;11A1304: Gondomar;1090;97;636;199;158;
;11A130412: Baguim do Monte (Rio Tinto);64;2;45;7;10;
;11A130405: Lomba;48;1;29;9;9;
;11A130408: Rio Tinto;83;10;48;13;12;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;170;22;92;25;31;
;11A130414: União das freguesias de Foz do Sousa e Covelo;241;20;141;55;25;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;311;27;189;56;39;
;11A130416: União das freguesias de Melres e Medas;173;15;92;34;32;
;11A1306: Maia;633;29;403;100;101;
;11A130601: Águas Santas;62;3;39;9;11;
;11A130618: Castêlo da Maia;185;4;128;24;29;
;11A130619: Cidade da Maia;44;2;22;8;12;
;11A130603: Folgosa;78;4;50;15;9;
;11A130608: Milheirós;45;4;23;9;9;
;11A130609: Moreira;44;1;33;4;6;
;11A130620: Nogueira e Silva Escura;48;5;25;11;7;
;11A130617: Pedrouços;16;1;10;1;4;
;11A130613: São Pedro Fins;59;2;32;16;9;
;11A130616: Vila Nova da Telha;52;3;41;3;5;
;11A1308: Matosinhos;328;15;242;34;37;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;86;3;66;14;3;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;14;2;12;- -;- -;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;161;6;121;16;18;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;67;4;43;4;16;
;11A0113: Oliveira de Azeméis;1414;137;996;186;95;
;11A011301: Carregosa;119;12;70;13;24;
;11A011302: Cesar;44;5;36;2;1;
;11A011303: Fajões;118;6;97;10;5;
;11A011304: Loureiro;284;37;202;37;8;
;11A011305: Macieira de Sarnes;25;4;8;9;4;
;11A011310: Ossela;113;17;67;18;11;
;11A011315: São Martinho da Gândara;229;22;160;33;14;
;11A011318: São Roque;17;- -;12;4;1;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;62;3;48;9;2;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;121;7;86;18;10;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;148;16;118;10;4;
;11A011319: Vila de Cucujães;134;8;92;23;11;
;11A1310: Paredes;2247;235;1399;318;295;
;11A131001: Aguiar de Sousa;205;15;125;45;20;
;11A131002: Astromil;47;1;34;6;6;
;11A131003: Baltar;135;18;88;17;12;
;11A131004: Beire;165;19;116;15;15;
;11A131008: Cete;76;7;44;10;15;
;11A131009: Cristelo;20;- -;9;1;10;
;11A131010: Duas Igrejas;80;5;67;- -;8;
;11A131011: Gandra;126;10;71;27;18;
;11A131013: Lordelo;67;7;47;11;2;
;11A131014: Louredo;48;7;29;10;2;
;11A131017: Parada de Todeia;28;3;14;4;7;
;11A131025: Paredes;557;71;312;75;99;
;11A131018: Rebordosa;134;15;76;28;15;
;11A131019: Recarei;151;13;103;16;19;
;11A131020: Sobreira;158;25;87;31;15;
;11A131021: Sobrosa;63;3;45;6;9;
;11A131022: Vandoma;105;13;68;14;10;
;11A131024: Vilela;82;3;64;2;13;
;11A1312: Porto;29;3;11;10;5;
;11A131202: Bonfim;- -;- -;- -;- -;- -;
;11A131203: Campanhã;11;1;7;3;- -;
;11A131210: Paranhos;4;- -;- -;3;1;
;11A131211: Ramalde;12;2;3;4;3;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;2;- -;1;- -;1;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;- -;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;- -;- -;- -;- -;
;11A1313: Póvoa de Varzim;1989;61;1664;201;63;
;11A131305: Balazar;136;4;104;22;6;
;11A131307: Estela;198;12;153;23;10;
;11A131308: Laundos;70;4;53;12;1;
;11A131311: Rates;105;1;80;21;3;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;56;2;39;10;5;
;11A131314: União das freguesias de Aguçadoura e Navais;1014;15;915;68;16;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;410;23;320;45;22;
;11A0109: Santa Maria da Feira;1489;141;982;188;178;
;11A010901: Argoncilhe;48;6;27;11;4;
;11A010902: Arrifana;37;4;22;8;3;
;11A010904: Escapães;33;3;15;7;8;
;11A010907: Fiães;39;3;26;5;5;
;11A010908: Fornos;11;- -;5;1;5;
;11A010913: Lourosa;32;4;17;3;8;
;11A010914: Milheirós de Poiares;60;7;40;7;6;
;11A010916: Mozelos;18;2;11;3;2;
;11A010917: Nogueira da Regedoura;34;6;13;8;7;
;11A010919: Paços de Brandão;7;- -;3;1;3;
;11A010921: Rio Meão;15;2;12;1;- -;
;11A010922: Romariz;167;14;109;29;15;
;11A010924: Sanguedo;24;- -;17;4;3;
;11A010925: Santa Maria de Lamas;11;1;7;2;1;
;11A010926: São João de Ver;89;8;53;14;14;
;11A010918: São Paio de Oleiros;11;- -;7;3;1;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;53;2;40;3;8;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;366;37;260;37;32;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;180;11;140;12;17;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;164;22;99;16;27;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;90;9;59;13;9;
;11A1314: Santo Tirso;1659;176;983;286;214;
;11A131401: Agrela;41;1;27;5;8;
;11A131402: Água Longa;106;8;68;17;13;
;11A131405: Aves;26;8;9;4;5;
;11A131413: Monte Córdova;224;26;139;49;10;
;11A131430: Negrelos (São Tomé);77;8;47;9;13;
;11A131416: Rebordões;28;1;21;4;2;
;11A131418: Reguenga;92;12;51;10;19;
;11A131419: Roriz;69;11;47;9;2;
;11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;203;21;100;38;44;
;11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);115;10;80;17;8;
;11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;210;15;140;28;27;
;11A131436: União das freguesias de Lamelas e Guimarei;112;9;55;25;23;
;11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;305;40;162;66;37;
;11A131432: Vilarinho;51;6;37;5;3;
;11A0116: São João da Madeira;24;3;16;3;2;
;11A011601: São João da Madeira;24;3;16;3;2;
;11A1318: Trofa;461;20;360;45;36;
;11A131806: Covelas;76;2;62;10;2;
;11A131808: Muro;22;1;15;2;4;
;11A131809: União das freguesias de Alvarelhos e Guidões;110;10;82;10;8;
;11A131810: União das freguesias de Bougado (São Martinho e Santiago);167;4;133;12;18;
;11A131811: União das freguesias de Coronado (São Romão e São Mamede);86;3;68;11;4;
;11A0119: Vale de Cambra;1385;159;935;145;146;
;11A011901: Arões;334;38;246;22;28;
;11A011903: Cepelos;106;9;81;7;9;
;11A011905: Junqueira;158;24;110;16;8;
;11A011906: Macieira de Cambra;205;15;123;30;37;
;11A011907: Roge;290;44;183;35;28;
;11A011902: São Pedro de Castelões;201;26;138;20;17;
;11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;91;3;54;15;19;
;11A1315: Valongo;440;32;295;76;37;
;11A131501: Alfena;109;11;81;14;3;
;11A131503: Ermesinde;66;6;31;17;12;
;11A131506: União das freguesias de Campo e Sobrado;217;10;155;38;14;
;11A131505: Valongo;48;5;28;7;8;
;11A1316: Vila do Conde;1505;108;925;275;197;
;11A131602: Árvore;28;5;15;6;2;
;11A131603: Aveleda;23;2;9;6;6;
;11A131604: Azurara;19;1;12;4;2;
;11A131607: Fajozes;51;3;34;7;7;
;11A131610: Gião;64;2;38;15;9;
;11A131611: Guilhabreu;65;4;35;12;14;
;11A131612: Junqueira;103;4;55;29;15;
;11A131613: Labruge;79;10;48;16;5;
;11A131614: Macieira da Maia;41;1;29;3;8;
;11A131616: Mindelo;103;11;59;13;20;
;11A131617: Modivas;41;- -;23;13;5;
;11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;167;9;112;29;17;
;11A131632: União das freguesias de Fornelo e Vairão;88;6;55;18;9;
;11A131633: União das freguesias de Malta e Canidelo;49;3;30;2;14;
;11A131634: União das freguesias de Retorta e Tougues;64;1;34;17;12;
;11A131635: União das freguesias de Rio Mau e Arcos;261;24;182;48;7;
;11A131636: União das freguesias de Touguinha e Touguinhó;55;1;41;7;6;
;11A131637: União das freguesias de Vilar e Mosteiró;57;5;31;8;13;
;11A131627: Vila Chã;67;9;39;10;9;
;11A131628: Vila do Conde;50;6;26;8;10;
;11A131630: Vilar de Pinheiro;30;1;18;4;7;
;11A1317: Vila Nova de Gaia;1144;115;661;196;172;
;11A131701: Arcozelo;48;5;22;14;7;
;11A131702: Avintes;55;4;29;15;7;
;11A131703: Canelas;47;4;21;17;5;
;11A131704: Canidelo;31;5;13;5;8;
;11A131709: Madalena;14;1;11;1;1;
;11A131712: Oliveira do Douro;32;7;15;4;6;
;11A131717: São Félix da Marinha;17;1;7;7;2;
;11A131725: União das freguesias de Grijó e Sermonde;51;4;30;6;11;
;11A131726: União das freguesias de Gulpilhares e Valadares;103;4;59;21;19;
;11A131727: União das freguesias de Mafamude e Vilar do Paraíso;43;4;25;8;6;
;11A131728: União das freguesias de Pedroso e Seixezelo;265;31;157;36;41;
;11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;323;31;207;38;47;
;11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;- -;- -;- -;- -;- -;
;11A131731: União das freguesias de Serzedo e Perosinho;62;6;32;15;9;
;11A131723: Vilar de Andorinho;53;8;33;9;3;
;11B: Alto Tâmega;32890;4665;21665;3927;2633;
;11B1702: Boticas;2425;376;1633;265;151;
;11B170217: Alturas do Barroso e Cerdedo;373;64;255;34;20;
;11B170218: Ardãos e Bobadela;343;45;252;35;11;
;11B170203: Beça;421;60;280;50;31;
;11B170219: Boticas e Granja;240;21;164;27;28;
;11B170220: Codessoso, Curros e Fiães do Tâmega;186;44;113;24;5;
;11B170208: Covas do Barroso;139;26;97;8;8;
;11B170210: Dornelas;175;42;101;21;11;
;11B170213: Pinho;117;13;79;14;11;
;11B170215: Sapiãos;158;14;113;21;10;
;11B170221: Vilar e Viveiro;273;47;179;31;16;
;11B1703: Chaves;9057;939;6200;1191;727;
;11B170301: Águas Frias;521;67;341;68;45;
;11B170302: Anelhe;174;24;113;27;10;
;11B170305: Bustelo;162;14;101;22;25;
;11B170309: Cimo de Vila da Castanheira;440;67;282;48;43;
;11B170310: Curalha;162;21;122;13;6;
;11B170312: Ervededo;271;23;196;37;15;
;11B170313: Faiões;144;6;97;29;12;
;11B170314: Lama de Arcos;165;10;115;36;4;
;11B170316: Mairos;158;22;98;20;18;
;11B170317: Moreiras;178;11;126;22;19;
;11B170318: Nogueira da Montanha;352;39;269;35;9;
;11B170320: Oura;136;9;102;13;12;
;11B170321: Outeiro Seco;182;9;110;39;24;
;11B170322: Paradela;188;30;124;27;7;
;11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);268;43;195;23;7;
;11B170324: Redondelo;281;22;197;48;14;
;11B170327: Sanfins;176;40;119;12;5;
;11B170329: Santa Leocádia;272;30;196;36;10;
;11B170350: Santa Maria Maior;35;3;23;5;4;
;11B170330: Santo António de Monforte;139;19;89;20;11;
;11B170331: Santo Estêvão;236;23;159;31;23;
;11B170333: São Pedro de Agostém;407;51;286;56;14;
;11B170334: São Vicente;187;33;130;16;8;
;11B170340: Tronco;182;21;107;28;26;
;11B170354: União das freguesias da Madalena e Samaiões;468;28;271;91;78;
;11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;436;15;338;58;25;
;11B170356: União das freguesias de Calvão e Soutelinho da Raia;229;9;194;12;14;
;11B170357: União das freguesias de Loivos e Póvoa de Agrações;375;28;272;42;33;
;11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;102;7;54;23;18;
;11B170359: União das freguesias de Soutelo e Seara Velha;157;8;127;13;9;
;11B170360: União das freguesias de Travancas e Roriz;382;46;271;43;22;
;11B170341: Vale de Anta;163;17;100;25;21;
;11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);331;20;213;55;43;
;11B170343: Vila Verde da Raia;277;33;176;33;35;
;11B170344: Vilar de Nantes;100;- -;67;20;13;
;11B170345: Vilarelho da Raia;190;31;113;24;22;
;11B170347: Vilas Boas;104;9;81;9;5;
;11B170349: Vilela do Tâmega;162;30;108;15;9;
;11B170348: Vilela Seca;165;21;118;17;9;
;11B1706: Montalegre;5673;896;3620;694;463;
;11B170601: Cabril;275;53;158;40;24;
;11B170603: Cervos;211;31;141;21;18;
;11B170604: Chã;415;55;265;63;32;
;11B170607: Covelo do Gerês;105;20;67;9;9;
;11B170609: Ferral;142;29;89;18;6;
;11B170612: Gralhas;189;30;130;19;10;
;11B170616: Morgade;208;21;145;23;19;
;11B170618: Negrões;131;19;93;12;7;
;11B170619: Outeiro;136;18;97;19;2;
;11B170623: Pitões das Junias;157;27;106;14;10;
;11B170625: Reigoso;96;9;80;4;3;
;11B170626: Salto;619;101;362;71;85;
;11B170627: Santo André;160;22;104;26;8;
;11B170629: Sarraquinhos;397;53;266;48;30;
;11B170631: Solveira;158;42;85;22;9;
;11B170632: Tourém;55;5;44;2;4;
;11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;284;46;175;46;17;
;11B170637: União das freguesias de Meixedo e Padornelos;257;50;163;21;23;
;11B170638: União das freguesias de Montalegre e Padroso;287;34;178;46;29;
;11B170639: União das freguesias de Paradela, Contim e Fiães;195;51;115;14;15;
;11B170640: União das freguesias de Sezelhe e Covelães;197;42;122;24;9;
;11B170641: União das freguesias de Venda Nova e Pondras;81;9;50;12;10;
;11B170642: União das freguesias de Viade de Baixo e Fervidelas;384;52;269;33;30;
;11B170643: União das freguesias de Vilar de Perdizes e Meixide;447;66;267;75;39;
;11B170635: Vila da Ponte;87;11;49;12;15;
;11B1709: Ribeira de Pena;1601;353;938;190;120;
;11B170901: Alvadia;135;22;92;8;13;
;11B170902: Canedo;163;37;102;19;5;
;11B170906: Santa Marinha;76;20;42;8;6;
;11B170908: União das freguesias de Cerva e Limões;731;154;428;87;62;
;11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;496;120;274;68;34;
;11B1712: Valpaços;10151;1415;6675;1165;896;
;11B171201: Água Revés e Crasto;333;38;220;44;31;
;11B171203: Algeriz;539;87;356;51;45;
;11B171205: Bouçoães;337;31;237;38;31;
;11B171206: Canaveses;269;41;183;28;17;
;11B171232: Carrazedo de Montenegro e Curros;994;162;631;116;85;
;11B171209: Ervões;442;56;317;38;31;
;11B171211: Fornos do Pinhal;224;34;133;28;29;
;11B171212: Friões;499;71;315;53;60;
;11B171233: Lebução, Fiães e Nozelos;417;48;281;57;31;
;11B171215: Padrela e Tazem;449;87;292;42;28;
;11B171216: Possacos;350;26;234;43;47;
;11B171217: Rio Torto;415;77;210;67;61;
;11B171219: Santa Maria de Emeres;409;55;262;55;37;
;11B171220: Santa Valha;323;43;218;33;29;
;11B171221: Santiago da Ribeira de Alhariz;460;86;298;44;32;
;11B171222: São João da Corveira;573;68;414;44;47;
;11B171223: São Pedro de Veiga de Lila;291;36;216;26;13;
;11B171224: Serapicos;221;28;158;20;15;
;11B171234: Sonim e Barreiros;190;30;126;21;13;
;11B171235: Tinhela e Alvarelhos;268;42;189;31;6;
;11B171227: Vales;253;18;198;18;19;
;11B171236: Valpaços e Sanfins;955;137;576;146;96;
;11B171229: Vassal;333;44;212;45;32;
;11B171230: Veiga de Lila;207;22;135;23;27;
;11B171231: Vilarandelo;400;48;264;54;34;
;11B1713: Vila Pouca de Aguiar;3983;686;2599;422;276;
;11B171302: Alfarela de Jales;149;5;122;11;11;
;11B171319: Alvão;548;125;345;56;22;
;11B171303: Bornes de Aguiar;449;41;308;63;37;
;11B171304: Bragado;192;54;119;12;7;
;11B171305: Capeludos;217;43;139;20;15;
;11B171317: Sabroso de Aguiar;77;8;43;16;10;
;11B171310: Soutelo de Aguiar;171;5;129;21;16;
;11B171311: Telões;604;90;396;69;49;
;11B171312: Tresminas;435;85;283;38;29;
;11B171320: União das freguesias de Pensalvos e Parada de Monteiros;194;53;115;17;9;
;11B171313: Valoura;179;31;106;23;19;
;11B171314: Vila Pouca de Aguiar;259;42;154;39;24;
;11B171315: Vreia de Bornes;233;50;157;11;15;
;11B171316: Vreia de Jales;276;54;183;26;13;
;11C: Tâmega e Sousa;28092;4171;16805;3804;3312;
;11C1301: Amarante;3938;569;2308;517;544;
;11C130103: Ansiães;39;4;31;2;2;
;11C130107: Candemil;79;23;41;7;8;
;11C130112: Fregim;195;32;109;23;31;
;11C130115: Fridão;57;11;23;13;10;
;11C130117: Gondar;141;23;73;25;20;
;11C130134: Gouveia (São Simão);169;21;108;23;17;
;11C130118: Jazente;46;4;30;5;7;
;11C130119: Lomba;76;7;28;16;25;
;11C130120: Louredo;43;4;25;9;5;
;11C130121: Lufrei;105;18;55;15;17;
;11C130123: Mancelos;256;34;152;41;29;
;11C130126: Padronelo;69;12;39;8;10;
;11C130128: Rebordelo;64;12;30;11;11;
;11C130129: Salvador do Monte;114;19;55;14;26;
;11C130135: Telões;523;49;325;88;61;
;11C130136: Travanca;156;27;83;17;29;
;11C130141: União das freguesias de Aboadela, Sanche e Várzea;131;21;85;8;17;
;11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;226;24;131;28;43;
;11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;201;59;110;14;18;
;11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);241;19;172;23;27;
;11C130145: União das freguesias de Freixo de Cima e de Baixo;238;40;151;30;17;
;11C130146: União das freguesias de Olo e Canadelo;44;9;25;6;4;
;11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;291;44;177;37;33;
;11C130138: Vila Caiz;101;17;64;13;7;
;11C130139: Vila Chã do Marão;134;18;80;18;18;
;11C130147: Vila Meã;199;18;106;23;52;
;11C1302: Baião;2606;463;1544;323;276;
;11C130204: Frende;37;3;19;6;9;
;11C130205: Gestaçô;182;27;102;26;27;
;11C130206: Gove;299;35;204;36;24;
;11C130207: Grilo;122;29;72;10;11;
;11C130208: Loivos do Monte;85;31;50;3;1;
;11C130215: Santa Marinha do Zêzere;235;34;139;32;30;
;11C130221: União das freguesias de Ancede e Ribadouro;154;25;87;21;21;
;11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;125;16;71;18;20;
;11C130223: União das freguesias de Campelo e Ovil;485;95;286;68;36;
;11C130224: União das freguesias de Loivos da Ribeira e Tresouras;160;20;103;20;17;
;11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;268;39;134;37;58;
;11C130226: União das freguesias de Teixeira e Teixeiró;258;71;143;33;11;
;11C130219: Valadares;118;19;83;8;8;
;11C130220: Viariz;78;19;51;5;3;
;11C0106: Castelo de Paiva;1269;97;849;173;150;
;11C010602: Fornos;106;7;73;11;15;
;11C010606: Real;273;23;184;38;28;
;11C010607: Santa Maria de Sardoura;154;5;114;19;16;
