
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;111160526: União das freguesias de Paredes de Coura e Resende;122;19;85;16;2;
;111160521: Vascões;86;7;68;9;2;
;1111606: Ponte da Barca;2136;247;1386;318;185;
;111160601: Azias;112;19;84;4;5;
;111160602: Boivães;94;8;74;10;2;
;111160603: Bravães;197;17;120;35;25;
;111160604: Britelo;50;2;38;4;6;
;111160606: Cuide de Vila Verde;70;5;53;10;2;
;111160611: Lavradas;298;24;228;30;16;
;111160612: Lindoso;143;12;90;36;5;
;111160613: Nogueira;37;3;26;4;4;
;111160614: Oleiros;88;9;44;23;12;
;111160619: Sampriz;141;22;101;14;4;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;228;22;152;36;18;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;168;39;94;25;10;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;240;24;138;45;33;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);60;7;29;10;14;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);121;25;71;20;5;
;111160623: Vade (São Pedro);38;3;24;6;5;
;111160624: Vade (São Tomé);51;6;20;6;19;
;1111607: Ponte de Lima;6838;1087;4250;920;581;
;111160701: Anais;290;36;181;48;25;
;111160752: Arca e Ponte de Lima;56;1;33;8;14;
;111160704: Arcozelo;209;28;128;31;22;
;111160753: Ardegão, Freixo e Mato;207;56;102;24;25;
;111160754: Associação de freguesias do Vale do Neiva;198;30;145;13;10;
;111160755: Bárrio e Cepões;174;31;94;34;15;
;111160707: Beiral do Lima;186;55;110;14;7;
;111160708: Bertiandos;39;5;22;7;5;
;111160709: Boalhosa;37;11;26;- -;- -;
;111160710: Brandara;42;7;27;3;5;
;111160756: Cabaços e Fojo Lobal;241;38;169;20;14;
;111160757: Cabração e Moreira do Lima;276;17;189;41;29;
;111160713: Calheiros;305;56;176;51;22;
;111160714: Calvelo;122;7;88;17;10;
;111160716: Correlhã;452;47;307;49;49;
;111160717: Estorãos;157;11;97;33;16;
;111160718: Facha;239;39;148;30;22;
;111160719: Feitosa;78;10;44;16;8;
;111160721: Fontão;139;16;88;18;17;
;111160758: Fornelos e Queijada;415;44;287;61;23;
;111160724: Friastelas;86;24;46;14;2;
;111160726: Gandra;135;29;78;12;16;
;111160727: Gemieira;103;23;59;13;8;
;111160728: Gondufe;156;44;83;20;9;
;111160729: Labruja;93;7;69;13;4;
;111160759: Labrujó, Rendufe e Vilar do Monte;178;45;109;12;12;
;111160760: Navió e Vitorino dos Piães;310;52;185;52;21;
;111160734: Poiares;191;40;109;28;14;
;111160744: Rebordões (Santa Maria);150;29;95;23;3;
;111160747: Rebordões (Souto);203;25;126;36;16;
;111160737: Refóios do Lima;453;104;221;76;52;
;111160739: Ribeira;236;19;186;15;16;
;111160740: Sá;63;7;43;4;9;
;111160742: Santa Comba;29;4;13;3;9;
;111160743: Santa Cruz do Lima;84;9;61;10;4;
;111160703: São Pedro d'Arcos;214;25;127;30;32;
;111160745: Seara;95;16;61;9;9;
;111160746: Serdedelo;104;20;67;15;2;
;111160750: Vitorino das Donas;93;20;51;17;5;
;1111608: Valença;1154;143;775;166;70;
;111160802: Boivão;49;9;32;6;2;
;111160803: Cerdal;265;50;183;29;3;
;111160805: Fontoura;111;13;68;23;7;
;111160806: Friestas;49;4;25;14;6;
;111160808: Ganfei;154;6;100;36;12;
;111160812: São Pedro da Torre;38;2;31;5;- -;
;111160817: União das freguesias de Gandra e Taião;129;24;93;11;1;
;111160818: União das freguesias de Gondomil e Sanfins;70;9;46;10;5;
;111160819: União das freguesias de São Julião e Silva;124;17;78;12;17;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;105;7;76;12;10;
;111160816: Verdoejo;60;2;43;8;7;
