Statistical table extracted on October 18, 2022 (10:37:37);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
111160739: Ribeira;3027,1;;;
111160740: Sá;4735,7;;;
111160742: Santa Comba;3341,1;;;
111160743: Santa Cruz do Lima;2102,9;;;
111160703: São Pedro d'Arcos;1688,4;;;
111160745: Seara;3190,1;;;
111160746: Serdedelo;2146,9;;;
111160750: Vitorino das Donas;1983;;;
1111608: Valença;2292,3;;;
111160802: Boivão;1355,4;;;
111160803: Cerdal;2357,9;;;
111160805: Fontoura;1777,6;;;
111160806: Friestas;2311,4;;;
111160808: Ganfei;2203,9;;;
111160812: São Pedro da Torre;7448,3;;;
111160817: União das freguesias de Gandra e Taião;2628,3;;;
111160818: União das freguesias de Gondomil e Sanfins;628,4;;;
111160819: União das freguesias de São Julião e Silva;2002,3;;;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;3058,3;;;
111160816: Verdoejo;4016,1;;;
1111609: Viana do Castelo;2719,5;;;
111160901: Afife;4792,2;;;
111160902: Alvarães;4148,8;;;
111160903: Amonde;3607,8;;;
111160904: Anha;3253,9;;;
111160905: Areosa;2576,1;;;
111160908: Carreço;4305,5;;;
111160910: Castelo do Neiva;3602,7;;;
111160940: Chafé;3399;;;
111160911: Darque;2886,9;;;
111160914: Freixieiro de Soutelo;4564,1;;;
111160915: Lanheses;3306,1;;;
111160920: Montaria;241,9;;;
111160922: Mujães;2979;;;
111160925: Outeiro;4830,7;;;
111160926: Perre;4500,6;;;
111160928: Santa Marta de Portuzelo;4079,6;;;
111160923: São Romão de Neiva;12437,8;;;
111160941: União das freguesias de Barroselas e Carvoeiro;5256,4;;;
111160942: União das freguesias de Cardielos e Serreleis;3410,7;;;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2179,8;;;
111160944: União das freguesias de Mazarefes e Vila Fria;4648,3;;;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;3181,7;;;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;3922,3;;;
111160947: União das freguesias de Torre e Vila Mou;4428,4;;;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;3696,2;;;
111160938: Vila de Punhe;2514,4;;;
111160935: Vila Franca;4920;;;
1111610: Vila Nova de Cerveira;2888,8;;;
111161003: Cornes;3672;;;
111161004: Covas;1642,3;;;
111161006: Gondarém;3080,1;;;
111161007: Loivo;8377,5;;;
111161009: Mentrestido;2041,2;;;
111161012: Sapardos;1771,3;;;
111161013: Sopo;3265,9;;;
111161016: União das freguesias de Campos e Vila Meã;3923,7;;;
111161017: União das freguesias de Candemil e Gondar;1827,2;;;
111161018: União das freguesias de Reboreda e Nogueira;2814,9;;;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;4172,1;;;
112: Cávado;4017,9;;;
1120301: Amares;4922,7;;;
112030102: Barreiros;3143,4;;;
112030104: Bico;5522,3;;;
112030119: Bouro (Santa Maria);3419,1;;;
112030120: Bouro (Santa Marta);2672,1;;;
112030105: Caires;3848,7;;;
112030107: Carrazedo;16442,4;;;
112030108: Dornelas;3158;;;
112030111: Fiscal;2863,2;;;
112030112: Goães;3819;;;
112030113: Lago;2409,4;;;
112030118: Rendufe;4041,9;;;
112030125: União das freguesias de Amares e Figueiredo;3879,1;;;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;2976,8;;;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;3581,5;;;
112030128: União das freguesias de Torre e Portela;2655,3;;;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;2570,5;;;
1120302: Barcelos;6806,1;;;
112030201: Abade de Neiva;6753,4;;;
112030202: Aborim;7333,8;;;
112030203: Adães;5783,7;;;
112030205: Airó;4543,5;;;
112030206: Aldreu;7217,5;;;
112030208: Alvelos;7454;;;
112030209: Arcozelo;6286;;;
112030210: Areias;5362,8;;;
112030212: Balugães;6300,7;;;
112030213: Barcelinhos;4759,7;;;
112030215: Barqueiros;6431,6;;;
112030216: Cambeses;8585,4;;;
112030218: Carapeços;4408,2;;;
112030220: Carvalhal;9213,2;;;
112030221: Carvalhas;8204,6;;;
112030224: Cossourado;6333,9;;;
112030228: Cristelo;9541,8;;;
112030234: Fornelos;7395,9;;;
112030235: Fragoso;6234;;;
112030268: Galegos (Santa Maria);2704,3;;;
112030272: Galegos (São Martinho);5098,4;;;
112030237: Gilmonde;5587,9;;;
112030242: Lama;3616,3;;;
112030243: Lijó;5461,3;;;
112030244: Macieira de Rates;9816,4;;;
112030245: Manhente;8820,6;;;
112030247: Martim;3852,2;;;
112030252: Moure;2962,7;;;
112030254: Oliveira;3509,8;;;
112030255: Palme;6330,2;;;
112030256: Panque;4252,5;;;
112030257: Paradela;10860,3;;;
112030259: Pereira;5708,3;;;
112030260: Perelhal;4790,2;;;
112030261: Pousa;3481,3;;;
112030263: Remelhe;5629,5;;;
112030265: Rio Covo (Santa Eugénia);4643,7;;;
112030264: Roriz;7755,8;;;
112030279: Silva;6944,3;;;
112030277: Tamel (São Veríssimo);4833,6;;;
112030282: Ucha;6005,5;;;
112030290: União das freguesias de Alheira e Igreja Nova;3921,4;;;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;5935,3;;;
112030292: União das freguesias de Areias de Vilar e Encourados;4972,2;;;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);5990,6;;;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);5362,5;;;
112030295: União das freguesias de Carreira e Fonte Coberta;8316,4;;;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;8884,7;;;
112030297: União das freguesias de Creixomil e Mariz;5131,1;;;
112030298: União das freguesias de Durrães e Tregosa;4370,4;;;
112030299: União das freguesias de Gamil e Midões;4679,2;;;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;8708,4;;;
1120302FB: União das freguesias de Negreiros e Chavão;8545;;;
1120302FC: União das freguesias de Quintiães e Aguiar;6693,9;;;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);5532,1;;;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);5300,7;;;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;3369,3;;;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;7788;;;
1120302FH: União das freguesias de Vila Cova e Feitos;6983,4;;;
112030283: Várzea;4927,6;;;
112030287: Vila Seca;7287,9;;;
1120303: Braga;3708,4;;;
112030301: Adaúfe;3292,4;;;
112030349: Braga (São Vicente);1869,8;;;
112030351: Braga (São Vítor);2134,7;;;
112030312: Espinho;5725,7;;;
112030313: Esporões;4436,8;;;
112030315: Figueiredo;2795,6;;;
112030319: Gualtar;2775,6;;;
112030322: Lamas;2735,4;;;
112030325: Mire de Tibães;2598,9;;;
112030330: Padim da Graça;2274;;;
112030331: Palmeira;3047;;;
112030334: Pedralva;5195,9;;;
112030336: Priscos;2904,2;;;
112030338: Ruilhe;3534,4;;;
112030354: Sequeira;7173,7;;;
112030355: Sobreposta;4345;;;
112030356: Tadim;3808,7;;;
112030357: Tebosa;2885,1;;;
112030363: União das freguesias de Arentim e Cunha;5354,7;;;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);3125,8;;;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;;;
112030366: União das freguesias de Cabreiros e Passos (São Julião);3781,5;;;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;2756,1;;;
112030368: União das freguesias de Crespos e Pousada;2412,6;;;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);5108,8;;;
112030370: União das freguesias de Este (São Pedro e São Mamede);2708;;;
112030371: União das freguesias de Ferreiros e Gondizalves;2653,4;;;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);3988,9;;;
112030373: União das freguesias de Lomar e Arcos;3187,8;;;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;2966,7;;;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;5737,7;;;
112030376: União das freguesias de Morreira e Trandeiras;3643,4;;;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;2369,7;;;
112030378: União das freguesias de Nogueiró e Tenões;2573,8;;;
112030379: União das freguesias de Real, Dume e Semelhe;2869;;;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;6089,6;;;
112030381: União das freguesias de Vilaça e Fradelos;2565,4;;;
1120306: Esposende;6003,3;;;
112030601: Antas;4220,4;;;
112030608: Forjães;3935,1;;;
112030610: Gemeses;5033,4;;;
112030616: União das freguesias de Apúlia e Fão;6030;;;
112030617: União das freguesias de Belinho e Mar;5182;;;
112030618: União das freguesias de Esposende, Marinhas e Gandra;6923,4;;;
112030619: União das freguesias de Fonte Boa e Rio Tinto;7358,6;;;
112030620: União das freguesias de Palmeira de Faro e Curvos;5393,4;;;
112030615: Vila Chã;4537,7;;;
1120310: Terras de Bouro;414,7;;;
112031001: Balança;2083,1;;;
112031003: Campo do Gerês;412,8;;;
112031004: Carvalheira;368,5;;;
112031008: Covide;148,7;;;
112031009: Gondoriz;316,4;;;
112031010: Moimenta;2200,7;;;
112031012: Ribeira;4384,7;;;
112031013: Rio Caldo;435,3;;;
112031014: Souto;2455,8;;;
112031018: União das freguesias de Chamoim e Vilar;339,2;;;
112031019: União das freguesias de Chorense e Monte;890,3;;;
112031020: União das freguesias de Cibões e Brufe;262,2;;;
112031015: Valdosende;1545,3;;;
112031017: Vilar da Veiga;389,9;;;
1120313: Vila Verde;2453,5;;;
112031359: Aboim da Nóbrega e Gondomar;1396;;;
112031304: Atiães;4591,1;;;
112031308: Cabanelas;3861,4;;;
112031309: Cervães;2284;;;
112031311: Coucieiro;4521,1;;;
112031313: Dossãos;2577,6;;;
112031316: Freiriz;2273,7;;;
112031317: Gême;4899,5;;;
112031323: Lage;4339,5;;;
112031324: Lanhas;2418,8;;;
112031325: Loureira;2167,4;;;
112031328: Moure;2456,1;;;
112031330: Oleiros;2710,2;;;
112031331: Parada de Gatim;2746,9;;;
112031335: Pico;3329,9;;;
112031337: Ponte;1972,2;;;
112031350: Prado (São Miguel);993,8;;;
112031340: Sabariz;2336,9;;;
112031352: Soutelo;4029;;;
112031354: Turiz;3512,1;;;
112031360: União das freguesias da Ribeira do Neiva;2246,2;;;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);2717,3;;;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);4982,2;;;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;3031,2;;;
112031364: União das freguesias de Marrancos e Arcozelo;2890,4;;;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);2479,9;;;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;2986,1;;;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;2063,3;;;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);3371,5;;;
112031369: União das freguesias do Vade;1558,2;;;
112031355: Valdreu;569,3;;;
112031342: Vila de Prado;2306,7;;;
112031370: Vila Verde e Barbudo;2512,9;;;
119: Ave;2549,3;;;
1190304: Cabeceiras de Basto;1150,3;;;
119030401: Abadim;1070,5;;;
119030404: Basto;2205;;;
119030405: Bucos;1183,1;;;
119030406: Cabeceiras de Basto;763,9;;;
119030407: Cavez;1720,1;;;
119030408: Faia;2885,7;;;
119030413: Pedraça;2344,2;;;
119030415: Rio Douro;570,7;;;
119030418: União das freguesias de Alvite e Passos;2020,9;;;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;2652,2;;;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;971;;;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;2030,1;;;
1190307: Fafe;2104,9;;;
119030705: Armil;2001,3;;;
119030726: Arões (Santa Cristina);2208,2;;;
119030730: Arões (São Romão);2210,8;;;
119030708: Estorãos;1934,7;;;
119030709: Fafe;2610,6;;;
119030712: Fornelos;1810,4;;;
119030714: Golães;2017,1;;;
119030716: Medelo;2038,8;;;
119030719: Paços;1706,4;;;
119030722: Quinchães;1681,5;;;
119030723: Regadas;4256,5;;;
119030724: Revelhe;2024,4;;;
119030725: Ribeiros;2016,5;;;
119030728: São Gens;2819,3;;;
119030729: Silvares (São Martinho);2154;;;
119030733: Travassós;1613,7;;;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;1220,6;;;
119030738: União de freguesias de Agrela e Serafão;2226,3;;;
119030739: União de freguesias de Antime e Silvares (São Clemente);3924,6;;;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;2414,4;;;
119030741: União de freguesias de Cepães e Fareja;2848;;;
119030742: União de freguesias de Freitas e Vila Cova;2359,7;;;
119030743: União de freguesias de Monte e Queimadela;1487,5;;;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;1722,1;;;
119030736: Vinhós;1921;;;
1190308: Guimarães;4375,5;;;
119030801: Aldão;4084,4;;;
119030804: Azurém;3237,1;;;
119030806: Barco;19036,1;;;
119030807: Brito;3302,8;;;
119030808: Caldelas;3570,1;;;
119030857: Candoso (São Martinho);6290,8;;;
119030812: Costa;3167,2;;;
119030813: Creixomil;5046,6;;;
119030815: Fermentões;5878,4;;;
119030820: Gonça;2174,9;;;
119030821: Gondar;3719,1;;;
119030823: Guardizela;5432,4;;;
119030824: Infantas;2469,4;;;
119030827: Longos;4858,8;;;
119030828: Lordelo;3883;;;
119030830: Mesão Frio;3117,8;;;
119030831: Moreira de Cónegos;3615,6;;;
119030832: Nespereira;4929,9;;;
119030835: Pencelo;2418,5;;;
119030836: Pinheiro;4442;;;
119030837: Polvoreira;2549,6;;;
119030838: Ponte;22064,9;;;
119030842: Prazins (Santa Eufémia);2627,7;;;
119030840: Ronfe;3727,4;;;
119030858: Sande (São Martinho);2680,7;;;
119030865: São Torcato;2633,3;;;
119030850: Selho (São Cristóvão);2318,4;;;
119030854: Selho (São Jorge);3244,1;;;
119030866: Serzedelo;3502,7;;;
119030868: Silvares;3953,6;;;
119030875: União das freguesias de Abação e Gémeos;2650,5;;;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;3048,3;;;
119030877: União das freguesias de Arosa e Castelões;2294,3;;;
119030878: União das freguesias de Atães e Rendufe;2322,3;;;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;2964,6;;;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;3421,7;;;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;4934,8;;;
119030882: União das freguesias de Conde e Gandarela;2304,8;;;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;4343;;;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;;;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;2154,2;;;
119030886: União das freguesias de Sande São Lourenço e Balazar;6798,1;;;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;2664,5;;;
119030888: União das freguesias de Selho São Lourenço e Gominhães;2645,1;;;
119030889: União das freguesias de Serzedo e Calvos;2760,8;;;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;3585,3;;;
119030891: União das freguesias de Tabuadelo e São Faustino;4312,2;;;
119030871: Urgezes;3504,3;;;
1191705: Mondim de Basto;773,5;;;
119170501: Atei;2872,6;;;
119170502: Bilhó;1290,9;;;
119170505: São Cristóvão de Mondim de Basto;2448,1;;;
119170509: União das freguesias de Campanhó e Paradança;430,2;;;
119170510: União das freguesias de Ermelo e Pardelhas;227,1;;;
119170508: Vilar de Ferreiros;1763,6;;;
1190309: Póvoa de Lanhoso;2740,5;;;
119030906: Covelas;2592,9;;;
119030908: Ferreiros;3387,7;;;
119030912: Galegos;2127,9;;;
119030913: Garfe;3210,1;;;
119030914: Geraz do Minho;3289,6;;;
119030915: Lanhoso;2955,3;;;
119030917: Monsul;3107;;;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);3478,5;;;
119030921: Rendufinho;2343,7;;;
119030922: Santo Emilião;5872,9;;;
119030923: São João de Rei;2955,6;;;
119030924: Serzedelo;1278,9;;;
119030925: Sobradelo da Goma;2110,5;;;
119030926: Taíde;3130,9;;;
119030927: Travassos;2077,1;;;
119030930: União das freguesias de Águas Santas e Moure;2724,8;;;
119030931: União das freguesias de Calvos e Frades;2183,8;;;
119030932: União das freguesias de Campos e Louredo;3134,1;;;
119030933: União das freguesias de Esperança e Brunhais;1755,5;;;
119030934: União das freguesias de Fonte Arcada e Oliveira;2271,2;;;
119030935: União das freguesias de Verim, Friande e Ajude;2160,3;;;
119030929: Vilela;2191,7;;;
1190311: Vieira do Minho;937;;;
119031105: Cantelães;415,9;;;
119031107: Eira Vedra;1792,7;;;
119031108: Guilhofrei;636,3;;;
119031109: Louredo;1388,9;;;
119031110: Mosteiro;1736,6;;;
119031111: Parada de Bouro;849,2;;;
119031112: Pinheiro;1336;;;
119031113: Rossas;1755,1;;;
119031115: Salamonde;1411,2;;;
119031118: Tabuaças;1350,8;;;
119031122: União das freguesias de Anissó e Soutelo;1672,4;;;
119031123: União das freguesias de Anjos e Vilar do Chão;798,9;;;
119031124: União das freguesias de Caniçada e Soengas;1860,9;;;
119031125: União das freguesias de Ruivães e Campos;465,4;;;
119031126: União das freguesias de Ventosa e Cova;1800,7;;;
119031120: Vieira do Minho;1921,4;;;
1190312: Vila Nova de Famalicão;5204,4;;;
119031204: Bairro;3173;;;
119031206: Brufe;5276,7;;;
119031210: Castelões;6080,9;;;
119031212: Cruz;4407,8;;;
119031213: Delães;2353;;;
119031215: Fradelos;8899;;;
119031216: Gavião;2801,6;;;
119031219: Joane;3472,4;;;
119031221: Landim;4214,3;;;
119031223: Louro;6040,7;;;
119031224: Lousado;2786;;;
119031225: Mogege;3419;;;
119031227: Nine;5326,4;;;
119031239: Oliveira (Santa Maria);2643;;;
119031242: Oliveira (São Mateus);1901,2;;;
119031230: Pedome;1693,8;;;
119031232: Pousada de Saramagos;2347,7;;;
119031233: Requião;3610,4;;;
119031234: Riba de Ave;1989,8;;;
119031235: Ribeirão;6633,6;;;
119031250: União das freguesias de Antas e Abade de Vermoim;3441,8;;;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;4528,5;;;
119031252: União das freguesias de Avidos e Lagoa;5249,7;;;
119031253: União das freguesias de Carreira e Bente;3558,5;;;
119031254: União das freguesias de Esmeriz e Cabeçudos;4131,7;;;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;6432,3;;;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;5821,3;;;
119031257: União das freguesias de Ruivães e Novais;5670,9;;;
119031258: União das freguesias de Seide;3249,6;;;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;5113,5;;;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;3120;;;
119031241: Vale (São Martinho);6395,9;;;
119031247: Vermoim;4772,9;;;
119031249: Vilarinho das Cambas;6108,6;;;
1190314: Vizela;3148,9;;;
119031404: Infias;2567,1;;;
119031401: Santa Eulália;2954,9;;;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);3255,3;;;
119031409: União das freguesias de Tagilde e Vizela (São Paio);3540,4;;;
119031406: Vizela (Santo Adrião);2705,2;;;
11A: Área Metropolitana do Porto;6025,9;;;
11A0104: Arouca;2743,4;;;
11A010402: Alvarenga;1863,6;;;
11A010407: Chave;4983,3;;;
11A010409: Escariz;5933,8;;;
11A010411: Fermedo;5953,9;;;
11A010413: Mansores;5216,8;;;
11A010414: Moldes;2787,1;;;
11A010415: Rossas;2922,3;;;
11A010416: Santa Eulália;4667,5;;;
11A010417: São Miguel do Mato;3411;;;
11A010418: Tropeço;3828,9;;;
11A010421: União das freguesias de Arouca e Burgo;3400;;;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;469,8;;;
11A010423: União das freguesias de Canelas e Espiunca;2061,5;;;
11A010424: União das freguesias de Covelo de Paivó e Janarde;576,4;;;
11A010419: Urrô;3185,1;;;
11A010420: Várzea;6880,4;;;
11A0107: Espinho;3235,9;;;
11A010702: Espinho;- -;;;
