Statistical table extracted on October 18, 2022 (10:37:37);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;1999;;;
;?/ ha ;;;
PT: Portugal;1196,1;;;
1: Continente;1130,7;;;
11: Norte;1638,8;;;
111: Alto Minho;1345,7;;;
1111601: Arcos de Valdevez;726,7;;;
111160101: Aboim das Choças;2101;;;
111160102: Aguiã;1059;;;
111160104: Ázere;2133,5;;;
111160105: Cabana Maior;159,7;;;
111160106: Cabreiro;283,7;;;
111160108: Cendufe;1675,5;;;
111160109: Couto;1638,9;;;
111160113: Gavieira;637,9;;;
111160115: Gondoriz;675,3;;;
111160142: Jolda (São Paio);2303,5;;;
111160121: Miranda;878,3;;;
111160122: Monte Redondo;1796,5;;;
111160123: Oliveira;4135,4;;;
111160124: Paçô;7371,7;;;
111160125: Padroso;1349,7;;;
111160128: Prozelo;1884,5;;;
111160131: Rio de Moinhos;1650;;;
111160130: Rio Frio;700,3;;;
111160133: Sabadim;1315,5;;;
111160144: Senharei;842;;;
111160145: Sistelo;326,3;;;
111160146: Soajo;272;;;
111160152: União das freguesias de Alvora e Loureda;655,9;;;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;5485,4;;;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;1666,9;;;
111160155: União das freguesias de Eiras e Mei;1049,1;;;
111160156: União das freguesias de Grade e Carralcova;1267,9;;;
111160157: União das freguesias de Guilhadeses e Santar;1884,4;;;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;2031,3;;;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);1111,5;;;
111160160: União das freguesias de Portela e Extremo;1654,5;;;
111160161: União das freguesias de São Jorge e Ermelo;462,9;;;
111160162: União das freguesias de Souto e Tabaçô;1804,3;;;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);2150,4;;;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;1235,6;;;
111160149: Vale;905,3;;;
1111602: Caminha;1736,9;;;
111160201: Âncora;2656,4;;;
111160205: Argela;3606;;;
111160209: Dem;1955,8;;;
111160211: Lanhelas;3129,8;;;
111160214: Riba de Âncora;4132,2;;;
111160215: Seixas;3047,7;;;
111160221: União das freguesias de Arga (Baixo, Cima e São João);360,9;;;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;4229,2;;;
111160223: União das freguesias de Gondar e Orbacém;1447;;;
111160224: União das freguesias de Moledo e Cristelo;2379,1;;;
111160225: União das freguesias de Venade e Azevedo;3547,8;;;
111160217: Vila Praia de Âncora;8071;;;
111160218: Vilar de Mouros;10794,8;;;
111160220: Vile;3659,4;;;
1111603: Melgaço;684,4;;;
111160301: Alvaredo;2919,4;;;
111160304: Cousso;780,9;;;
111160305: Cristoval;2047,3;;;
111160307: Fiães;399,3;;;
111160308: Gave;331,9;;;
111160311: Paderne;2215,4;;;
111160313: Penso;2292,4;;;
111160317: São Paio;715;;;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;343,9;;;
111160320: União das freguesias de Chaviães e Paços;2239,3;;;
111160321: União das freguesias de Parada do Monte e Cubalhão;341,8;;;
111160322: União das freguesias de Prado e Remoães;2750,4;;;
111160323: União das freguesias de Vila e Roussas;1676,7;;;
1111604: Monção;1200,4;;;
111160401: Abedim;1061,4;;;
111160404: Barbeita;2662,3;;;
111160405: Barroças e Taias;2388,4;;;
111160406: Bela;2435,8;;;
111160407: Cambeses;2319,6;;;
111160410: Lara;3765,5;;;
111160411: Longos Vales;1588,4;;;
111160415: Merufe;842,6;;;
111160418: Moreira;3214,2;;;
111160420: Pias;2404,3;;;
111160421: Pinheiros;3378,2;;;
111160422: Podame;903,8;;;
111160423: Portela;1821,9;;;
111160424: Riba de Mouro;666,5;;;
111160427: Segude;2450,4;;;
111160428: Tangil;790;;;
111160431: Trute;2095,8;;;
111160434: União das freguesias de Anhões e Luzio;243,1;;;
111160435: União das freguesias de Ceivães e Badim;1426,9;;;
111160436: União das freguesias de Mazedo e Cortes;2592,3;;;
111160437: União das freguesias de Messegães, Valadares e Sá;2131,4;;;
111160438: União das freguesias de Monção e Troviscoso;3198,4;;;
111160439: União das freguesias de Sago, Lordelo e Parada;591,3;;;
111160440: União das freguesias de Troporiz e Lapela;2601,7;;;
1111605: Paredes de Coura;1932,9;;;
111160501: Agualonga;1332,7;;;
111160503: Castanheira;1061,9;;;
111160505: Coura;712,7;;;
111160507: Cunha;1705,5;;;
111160510: Infesta;1301,2;;;
111160513: Mozelos;959,1;;;
111160514: Padornelo;1171,9;;;
111160515: Parada;1781;;;
111160519: Romarigães;23028;;;
111160520: Rubiães;2457,3;;;
111160522: União das freguesias de Bico e Cristelo;1836,8;;;
111160523: União das freguesias de Cossourado e Linhares;2599,2;;;
111160524: União das freguesias de Formariz e Ferreira;1150,8;;;
111160525: União das freguesias de Insalde e Porreiras;1181,6;;;
111160526: União das freguesias de Paredes de Coura e Resende;4305,1;;;
111160521: Vascões;695,1;;;
1111606: Ponte da Barca;436,3;;;
111160601: Azias;1175,2;;;
111160602: Boivães;1711,2;;;
111160603: Bravães;2033,8;;;
111160604: Britelo;74,6;;;
111160606: Cuide de Vila Verde;1702,6;;;
111160611: Lavradas;1959,4;;;
111160612: Lindoso;166,7;;;
111160613: Nogueira;1816,1;;;
111160614: Oleiros;2288,6;;;
111160619: Sampriz;1617,2;;;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;1367,6;;;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;219;;;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;3234,8;;;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);1594,1;;;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);595,6;;;
111160623: Vade (São Pedro);1829,8;;;
111160624: Vade (São Tomé);1539,5;;;
1111607: Ponte de Lima;2150,7;;;
111160701: Anais;2425,5;;;
111160752: Arca e Ponte de Lima;3742,5;;;
111160704: Arcozelo;2150,7;;;
111160753: Ardegão, Freixo e Mato;3757,9;;;
111160754: Associação de freguesias do Vale do Neiva;3577,6;;;
111160755: Bárrio e Cepões;1600,5;;;
111160707: Beiral do Lima;2054,2;;;
111160708: Bertiandos;3263,7;;;
111160709: Boalhosa;1108;;;
111160710: Brandara;2599,6;;;
111160756: Cabaços e Fojo Lobal;3316,5;;;
111160757: Cabração e Moreira do Lima;722,6;;;
111160713: Calheiros;1507,9;;;
111160714: Calvelo;3413,3;;;
111160716: Correlhã;3819,7;;;
111160717: Estorãos;1484,2;;;
111160718: Facha;1555,3;;;
111160719: Feitosa;2976,6;;;
111160721: Fontão;4078,6;;;
111160758: Fornelos e Queijada;2752;;;
111160724: Friastelas;3482,8;;;
111160726: Gandra;3262,7;;;
111160727: Gemieira;2824,7;;;
111160728: Gondufe;2360,7;;;
111160729: Labruja;360,4;;;
111160759: Labrujó, Rendufe e Vilar do Monte;569,7;;;
111160760: Navió e Vitorino dos Piães;3090,5;;;
111160734: Poiares;6331,5;;;
111160744: Rebordões (Santa Maria);1433,5;;;
111160747: Rebordões (Souto);1371,8;;;
111160737: Refóios do Lima;1950,4;;;
