
Statistical table extracted on October 12, 2022 (15:26:22)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;1989;
;No. ;
PT: Portugal;0,2;
1: Continente;0,2;
11: Norte;0,2;
111: Alto Minho;0,2;
1111601: Arcos de Valdevez;0,1;
111160101: Aboim das Choças;0,2;
111160102: Aguiã;0,1;
111160104: Ázere;0,2;
111160105: Cabana Maior;0;
111160106: Cabreiro;0,1;
111160108: Cendufe;0,1;
111160109: Couto;0,2;
111160113: Gavieira;0;
111160115: Gondoriz;0,1;
111160142: Jolda (São Paio);0,1;
111160121: Miranda;0;
111160122: Monte Redondo;0,1;
111160123: Oliveira;0,1;
111160124: Paçô;0,2;
111160125: Padroso;0,3;
111160128: Prozelo;0,1;
111160131: Rio de Moinhos;0;
111160130: Rio Frio;0;
111160133: Sabadim;0;
111160144: Senharei;0;
111160145: Sistelo;0;
111160146: Soajo;0;
111160152: União das freguesias de Alvora e Loureda;0,2;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;0,1;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;0,1;
111160155: União das freguesias de Eiras e Mei;0,1;
111160156: União das freguesias de Grade e Carralcova;0;
111160157: União das freguesias de Guilhadeses e Santar;0,1;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;0;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);0,1;
111160160: União das freguesias de Portela e Extremo;0,1;
111160161: União das freguesias de São Jorge e Ermelo;0,1;
111160162: União das freguesias de Souto e Tabaçô;0,2;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);0,2;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;0,2;
111160149: Vale;0,1;
1111602: Caminha;0,2;
111160201: Âncora;0,2;
111160205: Argela;0,1;
111160209: Dem;0,3;
111160211: Lanhelas;0,1;
111160214: Riba de Âncora;0,1;
111160215: Seixas;0,1;
111160221: União das freguesias de Arga (Baixo, Cima e São João);0,1;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;0,2;
111160223: União das freguesias de Gondar e Orbacém;0,2;
111160224: União das freguesias de Moledo e Cristelo;0,1;
111160225: União das freguesias de Venade e Azevedo;0,2;
111160217: Vila Praia de Âncora;0,2;
111160218: Vilar de Mouros;0,1;
111160220: Vile;0,2;
1111603: Melgaço;0,2;
111160301: Alvaredo;0,2;
111160304: Cousso;0,1;
111160305: Cristoval;0,2;
111160307: Fiães;0,2;
111160308: Gave;0,2;
111160311: Paderne;0,2;
111160313: Penso;0,2;
111160317: São Paio;0,3;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;0,1;
111160320: União das freguesias de Chaviães e Paços;0,1;
111160321: União das freguesias de Parada do Monte e Cubalhão;0,1;
111160322: União das freguesias de Prado e Remoães;0,3;
111160323: União das freguesias de Vila e Roussas;0,2;
1111604: Monção;0,3;
111160401: Abedim;0,2;
111160404: Barbeita;0,3;
111160405: Barroças e Taias;0,4;
111160406: Bela;0,4;
111160407: Cambeses;0,3;
111160410: Lara;0,3;
111160411: Longos Vales;0,3;
111160415: Merufe;0,2;
111160418: Moreira;0,3;
111160420: Pias;0,4;
111160421: Pinheiros;0,5;
111160422: Podame;0,1;
111160423: Portela;0,3;
111160424: Riba de Mouro;0,2;
111160427: Segude;0,2;
111160428: Tangil;0,2;
111160431: Trute;0,2;
111160434: União das freguesias de Anhões e Luzio;0,2;
111160435: União das freguesias de Ceivães e Badim;0,2;
111160436: União das freguesias de Mazedo e Cortes;0,5;
111160437: União das freguesias de Messegães, Valadares e Sá;0,3;
111160438: União das freguesias de Monção e Troviscoso;0,3;
111160439: União das freguesias de Sago, Lordelo e Parada;0,4;
111160440: União das freguesias de Troporiz e Lapela;0,2;
1111605: Paredes de Coura;0,1;
111160501: Agualonga;0,1;
111160503: Castanheira;0,1;
111160505: Coura;0,1;
111160507: Cunha;0,1;
111160510: Infesta;0,1;
111160513: Mozelos;0,2;
111160514: Padornelo;0,1;
111160515: Parada;0,1;
111160519: Romarigães;0,1;
111160520: Rubiães;0,1;
111160522: União das freguesias de Bico e Cristelo;0,1;
111160523: União das freguesias de Cossourado e Linhares;0,2;
111160524: União das freguesias de Formariz e Ferreira;0,2;
111160525: União das freguesias de Insalde e Porreiras;0,3;
111160526: União das freguesias de Paredes de Coura e Resende;0;
111160521: Vascões;0,3;
1111606: Ponte da Barca;0,1;
111160601: Azias;0;
111160602: Boivães;0,1;
111160603: Bravães;0,2;
111160604: Britelo;0,1;
111160606: Cuide de Vila Verde;0,1;
111160611: Lavradas;0,2;
111160612: Lindoso;0,1;
111160613: Nogueira;0,1;
111160614: Oleiros;0,2;
111160619: Sampriz;0;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;0,2;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;0,1;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;0,1;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);0,1;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);0,1;
111160623: Vade (São Pedro);0,1;
111160624: Vade (São Tomé);0,1;
1111607: Ponte de Lima;0,2;
111160701: Anais;0,1;
111160752: Arca e Ponte de Lima;0,5;
111160704: Arcozelo;0,2;
111160753: Ardegão, Freixo e Mato;0,3;
111160754: Associação de freguesias do Vale do Neiva;0,3;
111160755: Bárrio e Cepões;0,2;
111160707: Beiral do Lima;0,1;
111160708: Bertiandos;0,2;
111160709: Boalhosa;0;
111160710: Brandara;0,2;
111160756: Cabaços e Fojo Lobal;0,2;
111160757: Cabração e Moreira do Lima;0,2;
111160713: Calheiros;0,1;
111160714: Calvelo;0,2;
111160716: Correlhã;0,2;
111160717: Estorãos;0,1;
111160718: Facha;0,2;
111160719: Feitosa;0,2;
111160721: Fontão;0,2;
111160758: Fornelos e Queijada;0,2;
111160724: Friastelas;0,2;
