
Quadro extraído em 11 de Outubro de 2022 (08:45:16)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
2019;PT: Portugal;888384;
;1: Continente;843477;
;11: Norte;151107;
;111: Alto Minho;11226;
;1111601: Arcos de Valdevez;962;
;111160101: Aboim das Choças;12;
;111160102: Aguiã;20;
;111160104: Ázere;9;
;111160105: Cabana Maior;1;
;111160106: Cabreiro;40;
;111160108: Cendufe;10;
;111160109: Couto;8;
;111160113: Gavieira;25;
;111160115: Gondoriz;48;
;111160142: Jolda (São Paio);8;
;111160121: Miranda;12;
;111160122: Monte Redondo;5;
;111160123: Oliveira;18;
;111160124: Paçô;23;
;111160125: Padroso;110;
;111160128: Prozelo;26;
;111160131: Rio de Moinhos;20;
;111160130: Rio Frio;26;
;111160133: Sabadim;21;
;111160144: Senharei;24;
;111160145: Sistelo;33;
;111160146: Soajo;9;
;111160152: União das freguesias de Alvora e Loureda;28;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;39;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;28;
;111160155: União das freguesias de Eiras e Mei;32;
;111160156: União das freguesias de Grade e Carralcova;21;
;111160157: União das freguesias de Guilhadeses e Santar;34;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;29;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);55;
;111160160: União das freguesias de Portela e Extremo;9;
;111160161: União das freguesias de São Jorge e Ermelo;26;
;111160162: União das freguesias de Souto e Tabaçô;33;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);56;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;30;
;111160149: Vale;36;
;1111602: Caminha;300;
;111160201: Âncora;20;
;111160205: Argela;13;
;111160209: Dem;11;
;111160211: Lanhelas;5;
;111160214: Riba de Âncora;37;
;111160215: Seixas;3;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);26;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;19;
;111160223: União das freguesias de Gondar e Orbacém;29;
;111160224: União das freguesias de Moledo e Cristelo;26;
;111160225: União das freguesias de Venade e Azevedo;30;
;111160217: Vila Praia de Âncora;16;
;111160218: Vilar de Mouros;32;
;111160220: Vile;33;
;1111603: Melgaço;96;
;111160301: Alvaredo;5;
;111160304: Cousso;9;
;111160305: Cristoval;3;
;111160307: Fiães;7;
;111160308: Gave;6;
;111160311: Paderne;6;
;111160313: Penso;2;
;111160317: São Paio;5;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;23;
;111160320: União das freguesias de Chaviães e Paços;5;
;111160321: União das freguesias de Parada do Monte e Cubalhão;11;
;111160322: União das freguesias de Prado e Remoães;3;
