
Statistical table extracted on October 10, 2022 (16:36:56)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;1989;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
PT: Portugal;3367749;375555;48322;213947;
1: Continente;3252619;371262;48322;207376;
11: Norte;714684;14873;45889;3507;
111: Alto Minho;48717;1930;35319;1110;
1111601: Arcos de Valdevez;8238;16;1523;22;
111160101: Aboim das Choças;140;- -;6;- -;
111160102: Aguiã;84;- -;2;- -;
111160104: Ázere;135;- -;14;- -;
111160105: Cabana Maior;169;- -;300;- -;
111160106: Cabreiro;434;- -;30;- -;
111160108: Cendufe;158;- -;32;- -;
111160109: Couto;161;- -;- -;- -;
111160113: Gavieira;312;- -;22;- -;
111160115: Gondoriz;272;- -;- -;- -;
111160142: Jolda (São Paio);129;- -;- -;- -;
111160121: Miranda;304;- -;40;- -;
111160122: Monte Redondo;174;- -;20;4;
111160123: Oliveira;96;- -;- -;- -;
111160124: Paçô;131;- -;- -;15;
111160125: Padroso;133;- -;20;- -;
111160128: Prozelo;223;- -;- -;2;
111160131: Rio de Moinhos;219;- -;30;- -;
111160130: Rio Frio;478;- -;64;- -;
111160133: Sabadim;236;- -;33;- -;
111160144: Senharei;151;- -;22;- -;
111160145: Sistelo;198;- -;13;- -;
111160146: Soajo;601;- -;120;- -;
111160152: União das freguesias de Alvora e Loureda;241;- -;20;- -;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;109;3;12;1;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;186;- -;12;- -;
111160155: União das freguesias de Eiras e Mei;214;- -;23;- -;
111160156: União das freguesias de Grade e Carralcova;208;- -;280;- -;
111160157: União das freguesias de Guilhadeses e Santar;197;- -;60;- -;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;298;14;18;- -;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);181;- -;30;1;
111160160: União das freguesias de Portela e Extremo;184;- -;22;- -;
111160161: União das freguesias de São Jorge e Ermelo;339;- -;200;- -;
111160162: União das freguesias de Souto e Tabaçô;164;- -;10;- -;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);348;- -;10;- -;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;276;- -;33;- -;
111160149: Vale;353;- -;25;- -;
1111602: Caminha;1694;0;1889;514;
111160201: Âncora;199;- -;23;- -;
111160205: Argela;126;- -;274;- -;
111160209: Dem;105;- -;31;- -;
111160211: Lanhelas;33;- -;200;- -;
111160214: Riba de Âncora;208;- -;450;- -;
111160215: Seixas;28;- -;25;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);227;- -;80;- -;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;58;0;80;- -;
111160223: União das freguesias de Gondar e Orbacém;179;- -;182;331;
111160224: União das freguesias de Moledo e Cristelo;59;- -;69;- -;
111160225: União das freguesias de Venade e Azevedo;207;- -;30;170;
111160217: Vila Praia de Âncora;64;- -;110;13;
111160218: Vilar de Mouros;119;- -;303;- -;
111160220: Vile;81;- -;32;- -;
1111603: Melgaço;3565;- -;13409;1;
111160301: Alvaredo;138;- -;4;- -;
111160304: Cousso;89;- -;100;- -;
111160305: Cristoval;239;- -;56;- -;
111160307: Fiães;340;- -;508;- -;
111160308: Gave;131;- -;538;- -;
111160311: Paderne;632;- -;87;- -;
111160313: Penso;136;- -;211;- -;
111160317: São Paio;178;- -;328;- -;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;532;- -;4169;- -;
111160320: União das freguesias de Chaviães e Paços;306;- -;150;- -;
111160321: União das freguesias de Parada do Monte e Cubalhão;389;- -;6721;- -;
111160322: União das freguesias de Prado e Remoães;121;- -;82;- -;
111160323: União das freguesias de Vila e Roussas;334;- -;455;1;
1111604: Monção;5516;97;6138;26;
111160401: Abedim;146;- -;341;- -;
111160404: Barbeita;234;- -;- -;- -;
111160405: Barroças e Taias;138;- -;45;- -;
111160406: Bela;201;- -;- -;- -;
