Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
111160707: Beiral do Lima;2716,9;;;
111160708: Bertiandos;3702,8;;;
111160709: Boalhosa;824,9;;;
111160710: Brandara;3258,8;;;
111160756: Cabaços e Fojo Lobal;2418,8;;;
111160757: Cabração e Moreira do Lima;859,7;;;
111160713: Calheiros;1970,8;;;
111160714: Calvelo;4680,2;;;
111160716: Correlhã;4296;;;
111160717: Estorãos;901,7;;;
111160718: Facha;1153,3;;;
111160719: Feitosa;3549,4;;;
111160721: Fontão;6310,3;;;
111160758: Fornelos e Queijada;2163,3;;;
111160724: Friastelas;3139,6;;;
111160726: Gandra;3007,6;;;
111160727: Gemieira;2327;;;
111160728: Gondufe;2044,4;;;
111160729: Labruja;896,2;;;
111160759: Labrujó, Rendufe e Vilar do Monte;831,5;;;
111160760: Navió e Vitorino dos Piães;2262,3;;;
111160734: Poiares;7295,2;;;
111160744: Rebordões (Santa Maria);1121,3;;;
111160747: Rebordões (Souto);1908,5;;;
111160737: Refóios do Lima;2394,6;;;
111160739: Ribeira;2572,3;;;
111160740: Sá;7019,1;;;
111160742: Santa Comba;3173,5;;;
111160743: Santa Cruz do Lima;2055,7;;;
111160703: São Pedro d'Arcos;1984,5;;;
111160745: Seara;2410,5;;;
111160746: Serdedelo;1617,8;;;
111160750: Vitorino das Donas;2529,8;;;
1111608: Valença;2858,9;;;
111160802: Boivão;528,5;;;
111160803: Cerdal;2008,5;;;
111160805: Fontoura;2296,9;;;
111160806: Friestas;2621,5;;;
111160808: Ganfei;2903,5;;;
111160812: São Pedro da Torre;4224,5;;;
111160817: União das freguesias de Gandra e Taião;1582;;;
111160818: União das freguesias de Gondomil e Sanfins;3073,7;;;
111160819: União das freguesias de São Julião e Silva;5193,4;;;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;2854,5;;;
111160816: Verdoejo;10905,7;;;
1111609: Viana do Castelo;2145,3;;;
111160901: Afife;1567,3;;;
111160902: Alvarães;4061,9;;;
111160903: Amonde;1306,7;;;
111160904: Anha;4290,8;;;
111160905: Areosa;1242,6;;;
111160908: Carreço;2924,2;;;
111160910: Castelo do Neiva;3165,9;;;
111160940: Chafé;4648,2;;;
111160911: Darque;3654,3;;;
111160914: Freixieiro de Soutelo;613,7;;;
111160915: Lanheses;2582,4;;;
111160920: Montaria;338;;;
111160922: Mujães;4538,6;;;
111160925: Outeiro;277,3;;;
111160926: Perre;3440,8;;;
111160928: Santa Marta de Portuzelo;4227,4;;;
111160923: São Romão de Neiva;3017,5;;;
111160941: União das freguesias de Barroselas e Carvoeiro;2109,7;;;
111160942: União das freguesias de Cardielos e Serreleis;6356,5;;;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2901,3;;;
111160944: União das freguesias de Mazarefes e Vila Fria;6738,4;;;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1831,3;;;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;2834,9;;;
111160947: União das freguesias de Torre e Vila Mou;3498,3;;;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;3512,4;;;
111160938: Vila de Punhe;8396,1;;;
111160935: Vila Franca;10188,3;;;
1111610: Vila Nova de Cerveira;1676,6;;;
111161003: Cornes;2412;;;
111161004: Covas;3105,2;;;
111161006: Gondarém;1229,6;;;
111161007: Loivo;5300,3;;;
111161009: Mentrestido;745;;;
111161012: Sapardos;450,3;;;
111161013: Sopo;640,6;;;
111161016: União das freguesias de Campos e Vila Meã;2232,9;;;
111161017: União das freguesias de Candemil e Gondar;1520,4;;;
111161018: União das freguesias de Reboreda e Nogueira;5102,6;;;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;921,3;;;
112: Cávado;6051,7;;;
1120301: Amares;7283,2;;;
112030102: Barreiros;4381;;;
112030104: Bico;2345,1;;;
112030119: Bouro (Santa Maria);3666,6;;;
112030120: Bouro (Santa Marta);1571,8;;;
112030105: Caires;3739,5;;;
112030107: Carrazedo;15150,3;;;
112030108: Dornelas;5179,1;;;
112030111: Fiscal;4541,4;;;
112030112: Goães;4586,2;;;
112030113: Lago;3661,3;;;
112030118: Rendufe;3439,5;;;
112030125: União das freguesias de Amares e Figueiredo;5489,3;;;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;2683,6;;;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;20256,9;;;
112030128: União das freguesias de Torre e Portela;5207,3;;;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;4548,2;;;
1120302: Barcelos;9894,2;;;
112030201: Abade de Neiva;8460,9;;;
112030202: Aborim;9464,8;;;
112030203: Adães;7704,2;;;
112030205: Airó;4421,3;;;
112030206: Aldreu;11892,8;;;
112030208: Alvelos;6857,5;;;
112030209: Arcozelo;10907,3;;;
112030210: Areias;2843,5;;;
112030212: Balugães;4593,3;;;
112030213: Barcelinhos;10111,1;;;
112030215: Barqueiros;11177;;;
112030216: Cambeses;13203,6;;;
112030218: Carapeços;6682,6;;;
112030220: Carvalhal;11477,4;;;
112030221: Carvalhas;10328,3;;;
112030224: Cossourado;10439,8;;;
112030228: Cristelo;13980,4;;;
112030234: Fornelos;11845,7;;;
112030235: Fragoso;8168,3;;;
112030268: Galegos (Santa Maria);3286,2;;;
112030272: Galegos (São Martinho);2405,4;;;
112030237: Gilmonde;9436,5;;;
112030242: Lama;6303,2;;;
112030243: Lijó;9035,4;;;
112030244: Macieira de Rates;12610,6;;;
112030245: Manhente;12531,5;;;
112030247: Martim;5871,7;;;
112030252: Moure;4288,6;;;
112030254: Oliveira;5121,5;;;
112030255: Palme;5777,1;;;
112030256: Panque;6358,6;;;
112030257: Paradela;8853,8;;;
112030259: Pereira;8950,6;;;
112030260: Perelhal;6312,1;;;
112030261: Pousa;7760,8;;;
112030263: Remelhe;12119,2;;;
112030265: Rio Covo (Santa Eugénia);13451,2;;;
112030264: Roriz;9074;;;
112030279: Silva;6301,9;;;
112030277: Tamel (São Veríssimo);7066,3;;;
112030282: Ucha;8907,3;;;
112030290: União das freguesias de Alheira e Igreja Nova;5154,9;;;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;8894,5;;;
112030292: União das freguesias de Areias de Vilar e Encourados;6081;;;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);7657;;;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);6277,3;;;
112030295: União das freguesias de Carreira e Fonte Coberta;8482;;;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;13056,1;;;
112030297: União das freguesias de Creixomil e Mariz;6785,7;;;
112030298: União das freguesias de Durrães e Tregosa;4276,7;;;
112030299: União das freguesias de Gamil e Midões;7411,4;;;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;12322,8;;;
1120302FB: União das freguesias de Negreiros e Chavão;13481,2;;;
1120302FC: União das freguesias de Quintiães e Aguiar;6891,5;;;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);8442,3;;;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);9898,9;;;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;4979,2;;;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;11349,3;;;
1120302FH: União das freguesias de Vila Cova e Feitos;6791,4;;;
112030283: Várzea;7938,2;;;
112030287: Vila Seca;9883,4;;;
1120303: Braga;4752,9;;;
112030301: Adaúfe;3665,7;;;
112030349: Braga (São Vicente);- -;;;
112030351: Braga (São Vítor);5875,7;;;
112030312: Espinho;5085,9;;;
112030313: Esporões;4548,5;;;
112030315: Figueiredo;6927,7;;;
112030319: Gualtar;2819,2;;;
112030322: Lamas;3531,8;;;
112030325: Mire de Tibães;5706,6;;;
112030330: Padim da Graça;4331,8;;;
112030331: Palmeira;4948,7;;;
112030334: Pedralva;7047,2;;;
112030336: Priscos;3846,9;;;
112030338: Ruilhe;5311,9;;;
112030354: Sequeira;4439;;;
112030355: Sobreposta;5561,7;;;
112030356: Tadim;2979,5;;;
112030357: Tebosa;2038,2;;;
112030363: União das freguesias de Arentim e Cunha;6983,2;;;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);4142,8;;;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;;;
112030366: União das freguesias de Cabreiros e Passos (São Julião);2842;;;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;3086,7;;;
112030368: União das freguesias de Crespos e Pousada;4325,6;;;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);7622,3;;;
112030370: União das freguesias de Este (São Pedro e São Mamede);2543,9;;;
112030371: União das freguesias de Ferreiros e Gondizalves;2899,2;;;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);5311;;;
112030373: União das freguesias de Lomar e Arcos;3772,7;;;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;4755,3;;;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;5671,5;;;
112030376: União das freguesias de Morreira e Trandeiras;3451,3;;;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;2650,7;;;
112030378: União das freguesias de Nogueiró e Tenões;8673,3;;;
112030379: União das freguesias de Real, Dume e Semelhe;4162,9;;;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;2868,5;;;
112030381: União das freguesias de Vilaça e Fradelos;4146,2;;;
1120306: Esposende;9338,8;;;
112030601: Antas;7048,1;;;
112030608: Forjães;3273,4;;;
112030610: Gemeses;4150,3;;;
112030616: União das freguesias de Apúlia e Fão;16998,1;;;
112030617: União das freguesias de Belinho e Mar;8799,9;;;
112030618: União das freguesias de Esposende, Marinhas e Gandra;9512,6;;;
112030619: União das freguesias de Fonte Boa e Rio Tinto;11126,7;;;
112030620: União das freguesias de Palmeira de Faro e Curvos;4347,6;;;
112030615: Vila Chã;2591,8;;;
1120310: Terras de Bouro;700,8;;;
112031001: Balança;1774,7;;;
112031003: Campo do Gerês;225,9;;;
112031004: Carvalheira;1228,7;;;
112031008: Covide;709;;;
112031009: Gondoriz;913,9;;;
112031010: Moimenta;2189,2;;;
112031012: Ribeira;2000,3;;;
112031013: Rio Caldo;818,2;;;
112031014: Souto;6411,8;;;
112031018: União das freguesias de Chamoim e Vilar;1014,4;;;
112031019: União das freguesias de Chorense e Monte;687,4;;;
112031020: União das freguesias de Cibões e Brufe;441,5;;;
112031015: Valdosende;575,3;;;
112031017: Vilar da Veiga;430,3;;;
1120313: Vila Verde;3697,1;;;
112031359: Aboim da Nóbrega e Gondomar;1397,2;;;
112031304: Atiães;5717,1;;;
112031308: Cabanelas;8689,4;;;
112031309: Cervães;3291,6;;;
112031311: Coucieiro;6053,6;;;
112031313: Dossãos;3583,1;;;
112031316: Freiriz;2520,8;;;
112031317: Gême;2559,3;;;
112031323: Lage;5654,8;;;
112031324: Lanhas;5706,2;;;
112031325: Loureira;2508,4;;;
112031328: Moure;2365,8;;;
112031330: Oleiros;2157,2;;;
112031331: Parada de Gatim;4339,2;;;
112031335: Pico;4747,8;;;
112031337: Ponte;6542,3;;;
112031350: Prado (São Miguel);1363,4;;;
