Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);5635,2;;;
119031409: União das freguesias de Tagilde e Vizela (São Paio);7277,3;;;
119031406: Vizela (Santo Adrião);3185,8;;;
11A: Área Metropolitana do Porto;8421,1;;;
11A0104: Arouca;2371,2;;;
11A010402: Alvarenga;2825,9;;;
11A010407: Chave;7416,8;;;
11A010409: Escariz;7668,2;;;
11A010411: Fermedo;4291,6;;;
11A010413: Mansores;9418,9;;;
11A010414: Moldes;4337,5;;;
11A010415: Rossas;7677,5;;;
11A010416: Santa Eulália;4270,1;;;
11A010417: São Miguel do Mato;3696,5;;;
11A010418: Tropeço;8552,5;;;
11A010421: União das freguesias de Arouca e Burgo;3449,7;;;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;185,1;;;
11A010423: União das freguesias de Canelas e Espiunca;10016,7;;;
11A010424: União das freguesias de Covelo de Paivó e Janarde;527;;;
11A010419: Urrô;1187;;;
11A010420: Várzea;8388,6;;;
11A0107: Espinho;9342,8;;;
11A010702: Espinho;- -;;;
11A010704: Paramos;7289,7;;;
11A010705: Silvalde;6527,6;;;
11A010706: União das freguesias de Anta e Guetim;11403,5;;;
11A1304: Gondomar;6239,1;;;
11A130412: Baguim do Monte (Rio Tinto);8244,1;;;
11A130405: Lomba;5172;;;
11A130408: Rio Tinto;6369,1;;;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;4978,6;;;
11A130414: União das freguesias de Foz do Sousa e Covelo;4002;;;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;9086,3;;;
11A130416: União das freguesias de Melres e Medas;3199,4;;;
11A1306: Maia;9102;;;
11A130601: Águas Santas;8482,4;;;
11A130618: Castêlo da Maia;8626,6;;;
11A130619: Cidade da Maia;3883,9;;;
11A130603: Folgosa;13788,6;;;
11A130608: Milheirós;4375,7;;;
11A130609: Moreira;10209,9;;;
11A130620: Nogueira e Silva Escura;9180,2;;;
11A130617: Pedrouços;14924,4;;;
11A130613: São Pedro Fins;10074,5;;;
11A130616: Vila Nova da Telha;7427,9;;;
11A1308: Matosinhos;9928,4;;;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;8354,9;;;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;2954,3;;;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;11286,5;;;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;6815,7;;;
11A0113: Oliveira de Azeméis;8409,5;;;
11A011301: Carregosa;2473,7;;;
11A011302: Cesar;3942,2;;;
11A011303: Fajões;9442,8;;;
11A011304: Loureiro;8526,6;;;
11A011305: Macieira de Sarnes;5242,1;;;
11A011310: Ossela;2657,3;;;
11A011315: São Martinho da Gândara;10763,9;;;
11A011318: São Roque;10444,6;;;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;2356,8;;;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;9671,5;;;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;6200,6;;;
11A011319: Vila de Cucujães;8437,7;;;
11A1310: Paredes;4022,9;;;
11A131001: Aguiar de Sousa;3902,1;;;
11A131002: Astromil;3403;;;
11A131003: Baltar;2498,2;;;
11A131004: Beire;4765,2;;;
11A131008: Cete;3623,5;;;
11A131009: Cristelo;3522,6;;;
11A131010: Duas Igrejas;3550,2;;;
11A131011: Gandra;2799,6;;;
11A131013: Lordelo;2410,4;;;
11A131014: Louredo;3063,8;;;
11A131017: Parada de Todeia;2750,8;;;
11A131025: Paredes;4564,9;;;
11A131018: Rebordosa;3871,7;;;
11A131019: Recarei;2522,6;;;
11A131020: Sobreira;5612,6;;;
11A131021: Sobrosa;4400,7;;;
11A131022: Vandoma;3606,2;;;
11A131024: Vilela;3766;;;
11A1312: Porto;5045;;;
11A131202: Bonfim;- -;;;
11A131203: Campanhã;5436,1;;;
11A131210: Paranhos;4298,4;;;
11A131211: Ramalde;4724,3;;;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;10150,7;;;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;;;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2387,9;;;
11A1313: Póvoa de Varzim;15996,3;;;
11A131305: Balazar;15003,2;;;
11A131307: Estela;18593,8;;;
11A131308: Laundos;18515,9;;;
11A131311: Rates;13836,8;;;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;11136,2;;;
11A131314: União das freguesias de Aguçadoura e Navais;23590,4;;;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;12444,1;;;
11A0109: Santa Maria da Feira;5509,9;;;
11A010901: Argoncilhe;2899,4;;;
11A010902: Arrifana;6296,1;;;
11A010904: Escapães;6142,4;;;
11A010907: Fiães;3824,7;;;
11A010908: Fornos;3516,9;;;
11A010913: Lourosa;1715,5;;;
11A010914: Milheirós de Poiares;2994,5;;;
11A010916: Mozelos;8858,2;;;
11A010917: Nogueira da Regedoura;3589,7;;;
11A010919: Paços de Brandão;569,1;;;
11A010921: Rio Meão;3262,6;;;
11A010922: Romariz;7333,8;;;
11A010924: Sanguedo;3612,6;;;
11A010925: Santa Maria de Lamas;4808,9;;;
11A010926: São João de Ver;6341,2;;;
11A010918: São Paio de Oleiros;2220,4;;;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;4180,7;;;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;7190,7;;;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;4643,3;;;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;6275,8;;;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;3897,8;;;
11A1314: Santo Tirso;5510,2;;;
11A131401: Agrela;11608,9;;;
11A131402: Água Longa;13171,2;;;
11A131405: Aves;5928,1;;;
11A131413: Monte Córdova;1960,5;;;
11A131430: Negrelos (São Tomé);2801,5;;;
11A131416: Rebordões;9263,3;;;
11A131418: Reguenga;7205,8;;;
11A131419: Roriz;6094,9;;;
11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;4136,7;;;
11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);6040,4;;;
11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;4704,4;;;
11A131436: União das freguesias de Lamelas e Guimarei;4546,2;;;
11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;4339,7;;;
11A131432: Vilarinho;3269,9;;;
11A0116: São João da Madeira;2514,3;;;
11A011601: São João da Madeira;2514,3;;;
11A1318: Trofa;8985,3;;;
11A131806: Covelas;12476;;;
11A131808: Muro;5638,2;;;
11A131809: União das freguesias de Alvarelhos e Guidões;6116,4;;;
11A131810: União das freguesias de Bougado (São Martinho e Santiago);9204,8;;;
11A131811: União das freguesias de Coronado (São Romão e São Mamede);9015,8;;;
11A0119: Vale de Cambra;3872,5;;;
11A011901: Arões;2904,4;;;
11A011903: Cepelos;4208,6;;;
11A011905: Junqueira;3478,6;;;
11A011906: Macieira de Cambra;3672,1;;;
11A011907: Roge;2708,2;;;
11A011902: São Pedro de Castelões;5286;;;
11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;10923,4;;;
11A1315: Valongo;4743,8;;;
11A131501: Alfena;4771,8;;;
11A131503: Ermesinde;7462,3;;;
11A131506: União das freguesias de Campo e Sobrado;4190,6;;;
11A131505: Valongo;4630,5;;;
11A1316: Vila do Conde;13045,9;;;
11A131602: Árvore;12667,3;;;
11A131603: Aveleda;12141,7;;;
11A131604: Azurara;18000,5;;;
11A131607: Fajozes;14326,4;;;
11A131610: Gião;9561,8;;;
11A131611: Guilhabreu;13997,7;;;
11A131612: Junqueira;16912,1;;;
11A131613: Labruge;15752,2;;;
11A131614: Macieira da Maia;9783,6;;;
11A131616: Mindelo;12321;;;
11A131617: Modivas;12628;;;
11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;13727;;;
11A131632: União das freguesias de Fornelo e Vairão;9072,7;;;
11A131633: União das freguesias de Malta e Canidelo;9535,7;;;
11A131634: União das freguesias de Retorta e Tougues;11159,9;;;
11A131635: União das freguesias de Rio Mau e Arcos;16615,7;;;
11A131636: União das freguesias de Touguinha e Touguinhó;10973,1;;;
11A131637: União das freguesias de Vilar e Mosteiró;10093,3;;;
11A131627: Vila Chã;10851,5;;;
11A131628: Vila do Conde;6433;;;
11A131630: Vilar de Pinheiro;12223;;;
11A1317: Vila Nova de Gaia;7380,1;;;
11A131701: Arcozelo;12212,8;;;
11A131702: Avintes;4320,4;;;
11A131703: Canelas;7633,7;;;
11A131704: Canidelo;8258,7;;;
11A131709: Madalena;3284,8;;;
11A131712: Oliveira do Douro;2678,4;;;
11A131717: São Félix da Marinha;5540,1;;;
11A131725: União das freguesias de Grijó e Sermonde;2198;;;
11A131726: União das freguesias de Gulpilhares e Valadares;12287,7;;;
11A131727: União das freguesias de Mafamude e Vilar do Paraíso;7618,5;;;
11A131728: União das freguesias de Pedroso e Seixezelo;7717,4;;;
11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;6480,1;;;
11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;- -;;;
11A131731: União das freguesias de Serzedo e Perosinho;5351,2;;;
11A131723: Vilar de Andorinho;8837,7;;;
11B: Alto Tâmega;884,9;;;
11B1702: Boticas;524;;;
11B170217: Alturas do Barroso e Cerdedo;617,4;;;
11B170218: Ardãos e Bobadela;461,1;;;
11B170203: Beça;555,8;;;
11B170219: Boticas e Granja;748,1;;;
11B170220: Codessoso, Curros e Fiães do Tâmega;299,6;;;
11B170208: Covas do Barroso;512,2;;;
11B170210: Dornelas;543,6;;;
11B170213: Pinho;322,3;;;
11B170215: Sapiãos;436,6;;;
11B170221: Vilar e Viveiro;612;;;
11B1703: Chaves;1592,5;;;
11B170301: Águas Frias;1676,6;;;
11B170302: Anelhe;904,9;;;
11B170305: Bustelo;890,9;;;
11B170309: Cimo de Vila da Castanheira;1113,1;;;
11B170310: Curalha;1723,7;;;
11B170312: Ervededo;1323,6;;;
11B170313: Faiões;1893,8;;;
11B170314: Lama de Arcos;1554,1;;;
11B170316: Mairos;3428,4;;;
11B170317: Moreiras;1208;;;
11B170318: Nogueira da Montanha;1720,2;;;
11B170320: Oura;5072,7;;;
11B170321: Outeiro Seco;1166,6;;;
11B170322: Paradela;3179,4;;;
11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);1578,7;;;
11B170324: Redondelo;915,3;;;
11B170327: Sanfins;1095,8;;;
11B170329: Santa Leocádia;1220;;;
11B170350: Santa Maria Maior;1434,5;;;
11B170330: Santo António de Monforte;1081,3;;;
11B170331: Santo Estêvão;3368,6;;;
11B170333: São Pedro de Agostém;3774,5;;;
11B170334: São Vicente;968,9;;;
11B170340: Tronco;1749,1;;;
11B170354: União das freguesias da Madalena e Samaiões;1327,4;;;
11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;1583,9;;;
11B170356: União das freguesias de Calvão e Soutelinho da Raia;816,3;;;
11B170357: União das freguesias de Loivos e Póvoa de Agrações;1820,3;;;
11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;999,6;;;
11B170359: União das freguesias de Soutelo e Seara Velha;511,6;;;
11B170360: União das freguesias de Travancas e Roriz;1116,3;;;
11B170341: Vale de Anta;1115;;;
11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);1536,7;;;
11B170343: Vila Verde da Raia;1868,6;;;
11B170344: Vilar de Nantes;3980,7;;;
11B170345: Vilarelho da Raia;2606,1;;;
11B170347: Vilas Boas;1157;;;
11B170349: Vilela do Tâmega;1638,8;;;
11B170348: Vilela Seca;1047,9;;;
11B1706: Montalegre;584,5;;;
11B170601: Cabril;753,7;;;
11B170603: Cervos;529,9;;;
11B170604: Chã;673,4;;;
11B170607: Covelo do Gerês;549,9;;;
11B170609: Ferral;538,1;;;
11B170612: Gralhas;896;;;
11B170616: Morgade;687,6;;;
11B170618: Negrões;621,4;;;
11B170619: Outeiro;690,6;;;
11B170623: Pitões das Junias;500,5;;;
11B170625: Reigoso;548;;;
11B170626: Salto;702,4;;;
11B170627: Santo André;438,3;;;
11B170629: Sarraquinhos;398,2;;;
11B170631: Solveira;528,6;;;
11B170632: Tourém;382,2;;;
11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;454,5;;;
11B170637: União das freguesias de Meixedo e Padornelos;514,3;;;
11B170638: União das freguesias de Montalegre e Padroso;662,9;;;
11B170639: União das freguesias de Paradela, Contim e Fiães;425,7;;;
11B170640: União das freguesias de Sezelhe e Covelães;483,7;;;
11B170641: União das freguesias de Venda Nova e Pondras;450,4;;;
11B170642: União das freguesias de Viade de Baixo e Fervidelas;755,9;;;
11B170643: União das freguesias de Vilar de Perdizes e Meixide;564,2;;;
11B170635: Vila da Ponte;743,4;;;
11B1709: Ribeira de Pena;791,9;;;
11B170901: Alvadia;508,9;;;
11B170902: Canedo;334,9;;;
11B170906: Santa Marinha;483,8;;;
11B170908: União das freguesias de Cerva e Limões;928,1;;;
11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;1495,2;;;
11B1712: Valpaços;1104,5;;;
11B171201: Água Revés e Crasto;856,4;;;
11B171203: Algeriz;1163,4;;;
11B171205: Bouçoães;1004;;;
11B171206: Canaveses;930,3;;;
11B171232: Carrazedo de Montenegro e Curros;1261;;;
11B171209: Ervões;1115,8;;;
11B171211: Fornos do Pinhal;1276,3;;;
11B171212: Friões;1123,4;;;
11B171233: Lebução, Fiães e Nozelos;987,7;;;
11B171215: Padrela e Tazem;1235,4;;;
11B171216: Possacos;863,4;;;
11B171217: Rio Torto;1096,5;;;
11B171219: Santa Maria de Emeres;1250,7;;;
11B171220: Santa Valha;1486,4;;;
11B171221: Santiago da Ribeira de Alhariz;1086,2;;;
11B171222: São João da Corveira;1344,9;;;
11B171223: São Pedro de Veiga de Lila;755,8;;;
11B171224: Serapicos;1273,8;;;
11B171234: Sonim e Barreiros;1636;;;
11B171235: Tinhela e Alvarelhos;1005,7;;;
11B171227: Vales;915,8;;;
11B171236: Valpaços e Sanfins;926,3;;;
11B171229: Vassal;1211,5;;;
11B171230: Veiga de Lila;1038,8;;;
11B171231: Vilarandelo;1088,1;;;
11B1713: Vila Pouca de Aguiar;695;;;
11B171302: Alfarela de Jales;1636,8;;;
11B171319: Alvão;756,2;;;
11B171303: Bornes de Aguiar;855,5;;;
11B171304: Bragado;327,5;;;
11B171305: Capeludos;598,8;;;
11B171317: Sabroso de Aguiar;4113,6;;;
11B171310: Soutelo de Aguiar;1272,5;;;
11B171311: Telões;766,6;;;
11B171312: Tresminas;493,5;;;
11B171320: União das freguesias de Pensalvos e Parada de Monteiros;335;;;
11B171313: Valoura;1330,4;;;
11B171314: Vila Pouca de Aguiar;899,8;;;
11B171315: Vreia de Bornes;1233,1;;;
11B171316: Vreia de Jales;550,9;;;
11C: Tâmega e Sousa;2955,7;;;
11C1301: Amarante;2266,7;;;
11C130103: Ansiães;230,3;;;
11C130107: Candemil;295,5;;;
11C130112: Fregim;3688,1;;;
11C130115: Fridão;3724,4;;;
11C130117: Gondar;16487,4;;;
11C130134: Gouveia (São Simão);2390,2;;;
11C130118: Jazente;934,5;;;
11C130119: Lomba;2275,4;;;
11C130120: Louredo;4071,1;;;
11C130121: Lufrei;3023,7;;;
11C130123: Mancelos;3850,8;;;
11C130126: Padronelo;2901,2;;;
11C130128: Rebordelo;2890,7;;;
11C130129: Salvador do Monte;3041;;;
11C130135: Telões;3633,4;;;
11C130136: Travanca;3173;;;
11C130141: União das freguesias de Aboadela, Sanche e Várzea;495,1;;;
11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;3820,8;;;
11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;1304,8;;;
11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);3419;;;
11C130145: União das freguesias de Freixo de Cima e de Baixo;5301,8;;;
11C130146: União das freguesias de Olo e Canadelo;241,2;;;
11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;5794,6;;;
11C130138: Vila Caiz;2794,7;;;
11C130139: Vila Chã do Marão;2893,6;;;
11C130147: Vila Meã;3803;;;
11C1302: Baião;1965,7;;;
11C130204: Frende;3538,7;;;
11C130205: Gestaçô;3052,6;;;
11C130206: Gove;2815;;;
11C130207: Grilo;3741,3;;;
11C130208: Loivos do Monte;998,2;;;
11C130215: Santa Marinha do Zêzere;2893,4;;;
11C130221: União das freguesias de Ancede e Ribadouro;3713,9;;;
11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;3144,5;;;
11C130223: União das freguesias de Campelo e Ovil;1484,3;;;
11C130224: União das freguesias de Loivos da Ribeira e Tresouras;2401,5;;;
11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;2638,5;;;
11C130226: União das freguesias de Teixeira e Teixeiró;422,4;;;
11C130219: Valadares;4639,5;;;
11C130220: Viariz;1324,1;;;
11C0106: Castelo de Paiva;3872,3;;;
11C010602: Fornos;3730,7;;;
11C010606: Real;3799,5;;;
11C010607: Santa Maria de Sardoura;4134,8;;;
11C010608: São Martinho de Sardoura;3735,4;;;
11C010610: União das freguesias de Raiva, Pedorido e Paraíso;3082,1;;;
11C010611: União das freguesias de Sobrado e Bairros;4507;;;
11C0305: Celorico de Basto;2629,2;;;
11C030501: Agilde;3805,3;;;
11C030502: Arnóia;4421,4;;;
11C030520: Basto (São Clemente);439,3;;;
11C030503: Borba de Montanha;2537,4;;;
11C030508: Codeçoso;4761,5;;;
11C030510: Fervença;3952,4;;;
11C030515: Moreira do Castelo;2967,6;;;
11C030517: Rego;1478,3;;;
11C030518: Ribas;1347,9;;;
11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;4301,1;;;
11C030524: União das freguesias de Caçarilhe e Infesta;2101,9;;;
11C030525: União das freguesias de Canedo de Basto e Corgo;2580,8;;;
11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);2151,1;;;
11C030527: União das freguesias de Veade, Gagos e Molares;3755,8;;;
11C030521: Vale de Bouro;2148,9;;;
11C1804: Cinfães;1695,3;;;
11C180403: Cinfães;2307,1;;;
11C180404: Espadanedo;2682,3;;;
11C180405: Ferreiros de Tendais;1799,4;;;
11C180406: Fornelos;3100,8;;;
11C180408: Moimenta;1793,8;;;
11C180409: Nespereira;1099,4;;;
11C180410: Oliveira do Douro;2465,6;;;
11C180412: Santiago de Piães;2428,3;;;
11C180413: São Cristóvão de Nogueira;2116,9;;;
11C180414: Souselo;3692;;;
11C180415: Tarouquela;2476,6;;;
11C180416: Tendais;696,8;;;
11C180417: Travanca;4307,1;;;
11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;930,7;;;
11C1303: Felgueiras;4636,1;;;
11C130301: Aião;6105;;;
11C130302: Airães;4238,7;;;
11C130305: Friande;3979,6;;;
11C130306: Idães;3800,4;;;
11C130307: Jugueiros;3127,9;;;
11C130313: Penacova;2129,3;;;
11C130314: Pinheiro;7589,2;;;
11C130315: Pombeiro de Ribavizela;4007,7;;;
11C130317: Refontoura;3112,9;;;
11C130318: Regilde;3380;;;
11C130319: Revinhade;2698;;;
11C130324: Sendim;5292;;;
11C130334: União das freguesias de Macieira da Lixa e Caramos;10518;;;
11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;5291,9;;;
11C130336: União das freguesias de Pedreira, Rande e Sernande;3284,9;;;
11C130337: União das freguesias de Torrados e Sousa;4607,7;;;
11C130338: União das freguesias de Unhão e Lordelo;4666,7;;;
11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;3455,8;;;
11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);3706,8;;;
11C130341: União das freguesias de Vila Verde e Santão;3867;;;
11C1305: Lousada;4240,8;;;
11C130502: Aveleda;4040,1;;;
11C130504: Caíde de Rei;3530,2;;;
11C130510: Lodares;6240,2;;;
11C130512: Macieira;5614,7;;;
11C130513: Meinedo;2474,7;;;
11C130515: Nevogilde;6470,8;;;
11C130524: Sousela;2610,2;;;
11C130525: Torno;3223,1;;;
11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);4748,5;;;
11C130528: União das freguesias de Cristelos, Boim e Ordem;2980,4;;;
11C130529: União das freguesias de Figueiras e Covas;4605,5;;;
11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);2122,2;;;
11C130531: União das freguesias de Nespereira e Casais;5767,4;;;
11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;5356,6;;;
11C130526: Vilar do Torno e Alentém;4253,4;;;
11C1307: Marco de Canaveses;3291,2;;;
11C130732: Alpendorada, Várzea e Torrão;2873,9;;;
11C130733: Avessadas e Rosém;4449,2;;;
11C130704: Banho e Carvalhosa;3403,1;;;
11C130734: Bem Viver;3534,7;;;
11C130705: Constance;2925,9;;;
11C130736: Marco;3749,3;;;
11C130737: Paredes de Viadores e Manhuncelos;3569,4;;;
11C130738: Penha Longa e Paços de Gaiolo;2950,6;;;
11C130739: Sande e São Lourenço do Douro;5155,8;;;
11C130735: Santo Isidoro e Livração;3387,5;;;
11C130722: Soalhães;2077,7;;;
11C130723: Sobretâmega;2223,4;;;
11C130724: Tabuado;4380,3;;;
11C130740: Várzea, Aliviada e Folhada;2282,1;;;
11C130741: Vila Boa de Quires e Maureles;3682,1;;;
11C130730: Vila Boa do Bispo;4060,6;;;
11C1309: Paços de Ferreira;5344,3;;;
11C130902: Carvalhosa;8351,6;;;
11C130904: Eiriz;6146,1;;;
11C130905: Ferreira;3378,7;;;
11C130906: Figueiró;6383,7;;;
11C130917: Frazão Arreigada;2937,8;;;
11C130908: Freamunde;5034,6;;;
11C130910: Meixomil;6067,9;;;
11C130918: Paços de Ferreira;2826,4;;;
11C130913: Penamaior;6453,9;;;
11C130914: Raimonda;6618;;;
11C130919: Sanfins Lamoso Codessos;6443,7;;;
11C130916: Seroa;2451,8;;;
11C1311: Penafiel;4340,4;;;
11C131101: Abragão;3391,7;;;
11C131102: Boelhe;11139,3;;;
11C131103: Bustelo;4243,4;;;
11C131104: Cabeça Santa;2616,6;;;
11C131105: Canelas;1919,6;;;
11C131106: Capela;2959,7;;;
11C131107: Castelões;2774,9;;;
11C131108: Croca;3702,7;;;
11C131109: Duas Igrejas;2958,5;;;
11C131110: Eja;3946,6;;;
11C131112: Fonte Arcada;3334,4;;;
11C131113: Galegos;3688,4;;;
11C131141: Guilhufe e Urrô;4940,2;;;
11C131115: Irivo;5207,6;;;
11C131142: Lagares e Figueira;4817;;;
11C131140: Luzim e Vila Cova;4638,5;;;
11C131121: Oldrões;4704,5;;;
11C131122: Paço de Sousa;7643,3;;;
11C131139: Penafiel;3461,7;;;
11C131125: Perozelo;3780,1;;;
11C131128: Rans;12838,4;;;
11C131132: Recezinhos (São Mamede);3942,4;;;
11C131133: Recezinhos (São Martinho);4199,8;;;
11C131129: Rio de Moinhos;3014,1;;;
11C131138: Rio Mau;2508,9;;;
11C131134: Sebolido;8529,5;;;
11C131143: Termas de São Vicente;3042,8;;;
11C131136: Valpedre;3590,6;;;
11C1813: Resende;2984,9;;;
11C181302: Barrô;3892,9;;;
11C181303: Cárquere;2818,8;;;
11C181310: Paus;2058,4;;;
11C181311: Resende;3482,2;;;
11C181312: São Cipriano;4019,7;;;
11C181313: São João de Fontoura;4029,5;;;
11C181314: São Martinho de Mouros;2839,1;;;
11C181316: União das freguesias de Anreade e São Romão de Aregos;3387,8;;;
11C181317: União das freguesias de Felgueiras e Feirão;2055,4;;;
11C181318: União das freguesias de Freigil e Miomães;3927,1;;;
11C181319: União das freguesias de Ovadas e Panchorra;1110,8;;;
11D: Douro;2285,3;;;
11D1701: Alijó;2358,8;;;
11D170101: Alijó;2801,8;;;
11D170107: Favaios;2902,2;;;
11D170108: Pegarinhos;3095,5;;;
11D170109: Pinhão;2867,5;;;
11D170112: Sanfins do Douro;3204,7;;;
11D170113: Santa Eugénia;2428,9;;;
11D170114: São Mamede de Ribatua;2576,4;;;
11D170120: União das freguesias de Carlão e Amieiro;1531,1;;;
11D170121: União das freguesias de Castedo e Cotas;2807,9;;;
11D170122: União das freguesias de Pópulo e Ribalonga;1372,7;;;
11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;2887,2;;;
11D170116: Vila Chã;1400,9;;;
11D170117: Vila Verde;548,6;;;
11D170118: Vilar de Maçada;2081;;;
11D1801: Armamar;4763,9;;;
11D180101: Aldeias;2984,8;;;
11D180120: Armamar;5469,3;;;
11D180104: Cimbres;5665,6;;;
11D180106: Folgosa;3077,9;;;
11D180107: Fontelo;2706,5;;;
11D180109: Queimada;5742,1;;;
11D180110: Queimadela;4986,3;;;
11D180111: Santa Cruz;7157,5;;;
11D180114: São Cosmado;6641,4;;;
11D180115: São Martinho das Chãs;6557,7;;;
11D180121: União das freguesias de Aricera e Goujoim;3719,7;;;
11D180122: União das freguesias de São Romão e Santiago;6586,8;;;
11D180123: União das freguesias de Vila Seca e Santo Adrião;2882,7;;;
11D180118: Vacalar;2814,6;;;
11D0403: Carrazeda de Ansiães;2393,8;;;
11D040304: Carrazeda de Ansiães;2218,7;;;
11D040306: Fonte Longa;2958,6;;;
11D040308: Linhares;1886;;;
11D040309: Marzagão;4343,2;;;
11D040311: Parambos;3478;;;
11D040312: Pereiros;1344,4;;;
11D040313: Pinhal do Norte;2099,4;;;
11D040314: Pombal;2055;;;
11D040316: Seixo de Ansiães;2597,3;;;
11D040320: União das freguesias de Amedo e Zedes;1961,2;;;
11D040321: União das freguesias de Belver e Mogo de Malta;1830,9;;;
11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;2411,1;;;
11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;2751,8;;;
11D040318: Vilarinho da Castanheira;1129,5;;;
11D0404: Freixo de Espada à Cinta;1395,2;;;
11D040404: Ligares;1317,5;;;
11D040406: Poiares;1442,9;;;
11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;1606,3;;;
11D040408: União das freguesias de Lagoaça e Fornos;1032,1;;;
11D1805: Lamego;2971,8;;;
11D180502: Avões;563,3;;;
11D180504: Britiande;5544,5;;;
11D180505: Cambres;3322;;;
11D180507: Ferreirim;4620,1;;;
11D180508: Ferreiros de Avões;3123,6;;;
11D180509: Figueira;1363,9;;;
11D180510: Lalim;3546,8;;;
11D180525: Lamego (Almacave e Sé);3826,8;;;
11D180511: Lazarim;229,1;;;
11D180516: Penajóia;2990,4;;;
11D180517: Penude;4276,6;;;
11D180519: Samodães;3154,9;;;
11D180520: Sande;3093,9;;;
11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;2192,5;;;
11D180527: União das freguesias de Cepões, Meijinhos e Melcões;5556,5;;;
11D180528: União das freguesias de Parada do Bispo e Valdigem;2998,8;;;
11D180523: Várzea de Abrunhais;2859;;;
11D180524: Vila Nova de Souto d'El-Rei;4216,6;;;
11D1704: Mesão Frio;3385,9;;;
11D170401: Barqueiros;3137,1;;;
11D170402: Cidadelhe;3219,2;;;
11D170408: Mesão Frio (Santo André);3271,2;;;
11D170403: Oliveira;3595,6;;;
