
Statistical table extracted on October 11, 2022 (22:40:03)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;111160215: Seixas;188;83;82;21;2;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);305;157;147;1;- -;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;164;72;82;7;3;
;111160223: União das freguesias de Gondar e Orbacém;473;252;217;3;1;
;111160224: União das freguesias de Moledo e Cristelo;184;79;103;2;- -;
;111160225: União das freguesias de Venade e Azevedo;545;245;282;17;1;
;111160217: Vila Praia de Âncora;223;71;125;22;5;
;111160218: Vilar de Mouros;312;137;143;27;5;
;111160220: Vile;170;79;90;1;- -;
;1111603: Melgaço;8210;3531;3973;622;84;
;111160301: Alvaredo;460;159;255;42;4;
;111160304: Cousso;328;187;134;7;- -;
;111160305: Cristoval;532;156;318;45;13;
;111160307: Fiães;444;170;232;37;5;
;111160308: Gave;296;163;127;4;2;
;111160311: Paderne;1067;297;638;125;7;
;111160313: Penso;434;187;216;26;5;
;111160317: São Paio;553;262;243;46;2;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;1100;722;276;92;10;
;111160320: União das freguesias de Chaviães e Paços;778;298;416;56;8;
;111160321: União das freguesias de Parada do Monte e Cubalhão;833;413;408;11;1;
;111160322: União das freguesias de Prado e Remoães;406;130;233;39;4;
;111160323: União das freguesias de Vila e Roussas;979;387;477;92;23;
;1111604: Monção;12467;5151;6366;830;120;
;111160401: Abedim;285;134;134;15;2;
;111160404: Barbeita;707;203;429;68;7;
;111160405: Barroças e Taias;301;75;208;18;- -;
;111160406: Bela;360;101;226;24;9;
;111160407: Cambeses;279;130;126;20;3;
;111160410: Lara;294;114;163;16;1;
;111160411: Longos Vales;755;374;355;23;3;
;111160415: Merufe;1308;688;575;42;3;
;111160418: Moreira;504;194;269;37;4;
;111160420: Pias;723;269;421;29;4;
;111160421: Pinheiros;213;103;90;20;- -;
;111160422: Podame;288;138;128;22;- -;
;111160423: Portela;308;127;159;20;2;
;111160424: Riba de Mouro;1002;587;383;32;- -;
;111160427: Segude;204;70;120;14;- -;
;111160428: Tangil;969;363;515;88;3;
;111160431: Trute;261;150;108;3;- -;
;111160434: União das freguesias de Anhões e Luzio;358;244;112;2;- -;
;111160435: União das freguesias de Ceivães e Badim;436;201;209;24;2;
;111160436: União das freguesias de Mazedo e Cortes;1180;254;723;164;39;
;111160437: União das freguesias de Messegães, Valadares e Sá;463;178;247;34;4;
;111160438: União das freguesias de Monção e Troviscoso;458;157;215;59;27;
;111160439: União das freguesias de Sago, Lordelo e Parada;483;227;250;5;1;
;111160440: União das freguesias de Troporiz e Lapela;328;70;201;51;6;
;1111605: Paredes de Coura;6819;3816;2851;135;17;
;111160501: Agualonga;271;156;112;3;- -;
;111160503: Castanheira;488;251;227;10;- -;
;111160505: Coura;348;225;121;2;- -;
;111160507: Cunha;491;255;230;6;- -;
;111160510: Infesta;413;242;152;17;2;
;111160513: Mozelos;217;96;116;3;2;
;111160514: Padornelo;405;238;163;3;1;
;111160515: Parada;246;138;108;- -;- -;
;111160519: Romarigães;242;167;69;5;1;
;111160520: Rubiães;449;272;170;7;- -;
;111160522: União das freguesias de Bico e Cristelo;770;471;287;10;2;
;111160523: União das freguesias de Cossourado e Linhares;331;188;135;8;- -;
;111160524: União das freguesias de Formariz e Ferreira;778;404;353;15;6;
;111160525: União das freguesias de Insalde e Porreiras;523;305;213;4;1;
;111160526: União das freguesias de Paredes de Coura e Resende;675;298;334;41;2;
;111160521: Vascões;172;110;61;1;- -;
;1111606: Ponte da Barca;6714;3691;2845;149;29;
;111160601: Azias;328;250;78;- -;- -;
;111160602: Boivães;329;193;136;- -;- -;
;111160603: Bravães;484;167;302;10;5;
;111160604: Britelo;195;113;79;3;- -;
;111160606: Cuide de Vila Verde;240;135;105;- -;- -;
;111160611: Lavradas;707;358;331;17;1;
;111160612: Lindoso;390;172;208;10;- -;
;111160613: Nogueira;234;124;97;8;5;
;111160614: Oleiros;289;102;169;15;3;
;111160619: Sampriz;395;247;148;- -;- -;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;760;422;318;19;1;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;557;333;218;5;1;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;693;277;354;51;11;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);232;155;71;5;1;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);556;414;139;2;1;
;111160623: Vade (São Pedro);156;80;72;4;- -;
;111160624: Vade (São Tomé);169;149;20;- -;- -;
;1111607: Ponte de Lima;24488;10675;12780;912;121;
;111160701: Anais;740;234;485;18;3;
;111160752: Arca e Ponte de Lima;106;41;40;23;2;
;111160704: Arcozelo;1080;303;637;132;8;
;111160753: Ardegão, Freixo e Mato;768;300;402;56;10;
;111160754: Associação de freguesias do Vale do Neiva;730;351;352;21;6;
;111160755: Bárrio e Cepões;658;303;331;22;2;
;111160707: Beiral do Lima;684;398;277;8;1;
;111160708: Bertiandos;330;129;184;16;1;
;111160709: Boalhosa;240;150;90;- -;- -;
;111160710: Brandara;281;101;160;18;2;
;111160756: Cabaços e Fojo Lobal;875;439;431;5;- -;
;111160757: Cabração e Moreira do Lima;928;427;475;24;2;
;111160713: Calheiros;797;342;437;14;4;
;111160714: Calvelo;398;191;202;4;1;
;111160716: Correlhã;1411;614;752;36;9;
;111160717: Estorãos;442;200;208;29;5;
;111160718: Facha;981;438;494;41;8;
;111160719: Feitosa;221;87;119;12;3;
;111160721: Fontão;500;200;277;23;- -;
;111160758: Fornelos e Queijada;1363;591;729;37;6;
;111160724: Friastelas;422;206;205;10;1;
;111160726: Gandra;698;303;365;29;1;
;111160727: Gemieira;415;181;225;9;- -;
;111160728: Gondufe;394;225;166;2;1;
;111160729: Labruja;405;162;237;5;1;
;111160759: Labrujó, Rendufe e Vilar do Monte;525;231;291;3;- -;
;111160760: Navió e Vitorino dos Piães;1148;463;653;28;4;
;111160734: Poiares;624;251;347;24;2;
;111160744: Rebordões (Santa Maria);656;298;337;16;5;
;111160747: Rebordões (Souto);957;310;616;30;1;
;111160737: Refóios do Lima;1403;769;592;37;5;
;111160739: Ribeira;837;344;429;53;11;
;111160740: Sá;235;100;117;17;1;
;111160742: Santa Comba;222;71;123;24;4;
;111160743: Santa Cruz do Lima;247;111;130;6;- -;
;111160703: São Pedro d'Arcos;499;217;233;45;4;
;111160745: Seara;292;123;165;2;2;
;111160746: Serdedelo;458;253;197;8;- -;
;111160750: Vitorino das Donas;518;218;270;25;5;
;1111608: Valença;4806;2348;2184;250;24;
;111160802: Boivão;208;117;86;4;1;
;111160803: Cerdal;900;518;357;22;3;
;111160805: Fontoura;438;222;194;18;4;
;111160806: Friestas;215;82;112;20;1;
;111160808: Ganfei;469;174;248;42;5;
;111160812: São Pedro da Torre;390;152;180;56;2;
;111160817: União das freguesias de Gandra e Taião;516;259;244;13;- -;
;111160818: União das freguesias de Gondomil e Sanfins;405;230;152;21;2;
;111160819: União das freguesias de São Julião e Silva;501;270;225;5;1;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;464;210;241;9;4;
;111160816: Verdoejo;300;114;145;40;1;
;1111609: Viana do Castelo;21384;8160;11646;1423;155;
;111160901: Afife;356;133;187;33;3;
;111160902: Alvarães;846;314;455;66;11;
;111160903: Amonde;304;139;150;15;- -;
;111160904: Anha;582;220;294;68;- -;
;111160905: Areosa;688;259;328;96;5;
;111160908: Carreço;530;200;282;48;- -;
;111160910: Castelo do Neiva;1381;746;616;16;3;
;111160940: Chafé;648;290;308;47;3;
;111160911: Darque;236;101;109;26;- -;
;111160914: Freixieiro de Soutelo;435;192;231;11;1;
;111160915: Lanheses;736;195;453;79;9;
;111160920: Montaria;657;336;294;27;- -;
;111160922: Mujães;256;84;115;55;2;
;111160925: Outeiro;875;375;468;27;5;
;111160926: Perre;845;241;506;92;6;
;111160928: Santa Marta de Portuzelo;833;321;419;85;8;
;111160923: São Romão de Neiva;520;188;291;40;1;
;111160941: União das freguesias de Barroselas e Carvoeiro;1544;546;918;63;17;
;111160942: União das freguesias de Cardielos e Serreleis;684;261;372;39;12;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2410;981;1344;73;12;
;111160944: União das freguesias de Mazarefes e Vila Fria;751;228;459;60;4;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1249;482;661;80;26;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;1557;541;974;33;9;
;111160947: União das freguesias de Torre e Vila Mou;661;224;345;89;3;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;557;180;295;77;5;
;111160938: Vila de Punhe;546;196;307;36;7;
;111160935: Vila Franca;697;187;465;42;3;
;1111610: Vila Nova de Cerveira;3520;1642;1683;170;25;
;111161003: Cornes;250;134;105;10;1;
;111161004: Covas;551;306;226;12;7;
;111161006: Gondarém;334;128;187;15;4;
;111161007: Loivo;258;87;139;28;4;
;111161009: Mentrestido;266;164;99;2;1;
;111161012: Sapardos;268;128;130;10;- -;
;111161013: Sopo;271;95;163;12;1;
;111161016: União das freguesias de Campos e Vila Meã;471;217;210;43;1;
;111161017: União das freguesias de Candemil e Gondar;305;142;154;9;- -;
;111161018: União das freguesias de Reboreda e Nogueira;398;193;187;13;5;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;148;48;83;16;1;
;112: Cávado;81869;31317;46563;3341;648;
;1120301: Amares;6100;2775;3086;200;39;
;112030102: Barreiros;263;125;132;6;- -;
;112030104: Bico;186;84;93;2;7;
;112030119: Bouro (Santa Maria);398;178;206;12;2;
;112030120: Bouro (Santa Marta);366;193;165;7;1;
;112030105: Caires;315;141;166;6;2;
;112030107: Carrazedo;234;97;126;8;3;
;112030108: Dornelas;252;93;139;20;- -;
;112030111: Fiscal;465;265;190;10;- -;
;112030112: Goães;427;195;219;12;1;
;112030113: Lago;397;174;205;16;2;
;112030118: Rendufe;337;150;182;4;1;
;112030125: União das freguesias de Amares e Figueiredo;343;104;209;26;4;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;681;367;278;31;5;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;453;155;265;25;8;
;112030128: União das freguesias de Torre e Portela;419;202;207;7;3;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;564;252;304;8;- -;
;1120302: Barcelos;30834;10040;19262;1291;241;
;112030201: Abade de Neiva;341;89;234;15;3;
;112030202: Aborim;197;45;144;6;2;
;112030203: Adães;169;15;141;13;- -;
;112030205: Airó;354;50;281;21;2;
;112030206: Aldreu;290;88;182;14;6;
;112030208: Alvelos;362;115;232;12;3;
;112030209: Arcozelo;102;38;50;6;8;
;112030210: Areias;132;33;90;9;- -;
;112030212: Balugães;296;102;179;14;1;
;112030213: Barcelinhos;136;30;81;21;4;
;112030215: Barqueiros;608;220;355;28;5;
;112030216: Cambeses;360;85;219;53;3;
;112030218: Carapeços;528;173;344;10;1;
;112030220: Carvalhal;269;70;180;16;3;
;112030221: Carvalhas;163;48;113;2;- -;
;112030224: Cossourado;553;237;297;18;1;
;112030228: Cristelo;925;340;555;23;7;
;112030234: Fornelos;446;203;239;3;1;
;112030235: Fragoso;949;384;536;25;4;
;112030268: Galegos (Santa Maria);154;19;111;24;- -;
;112030272: Galegos (São Martinho);141;30;96;13;2;
;112030237: Gilmonde;444;154;275;6;9;
;112030242: Lama;256;67;169;17;3;
;112030243: Lijó;620;217;378;20;5;
;112030244: Macieira de Rates;824;240;565;14;5;
;112030245: Manhente;209;44;151;8;6;
;112030247: Martim;551;185;329;34;3;
;112030252: Moure;255;85;154;14;2;
;112030254: Oliveira;444;135;299;7;3;
;112030255: Palme;622;262;348;12;- -;
;112030256: Panque;528;241;284;3;- -;
;112030257: Paradela;443;163;276;4;- -;
;112030259: Pereira;379;147;230;2;- -;
;112030260: Perelhal;508;166;298;37;7;
;112030261: Pousa;459;104;329;25;1;
;112030263: Remelhe;503;157;316;24;6;
;112030265: Rio Covo (Santa Eugénia);176;58;105;8;5;
;112030264: Roriz;851;235;588;27;1;
;112030279: Silva;224;63;147;13;1;
;112030277: Tamel (São Veríssimo);156;39;105;11;1;
;112030282: Ucha;355;78;251;24;2;
;112030290: União das freguesias de Alheira e Igreja Nova;621;270;335;14;2;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;694;264;389;35;6;
;112030292: União das freguesias de Areias de Vilar e Encourados;488;153;294;29;12;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);668;200;402;48;18;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);702;253;416;32;1;
;112030295: União das freguesias de Carreira e Fonte Coberta;645;237;354;51;3;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1345;438;847;53;7;
;112030297: União das freguesias de Creixomil e Mariz;588;200;368;16;4;
;112030298: União das freguesias de Durrães e Tregosa;534;199;316;14;5;
;112030299: União das freguesias de Gamil e Midões;403;82;281;35;5;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;888;298;556;32;2;
;1120302FB: União das freguesias de Negreiros e Chavão;811;233;565;12;1;
;1120302FC: União das freguesias de Quintiães e Aguiar;732;296;422;12;2;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);632;249;364;16;3;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);614;142;424;37;11;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;528;187;338;3;- -;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1140;276;760;85;19;
;1120302FH: União das freguesias de Vila Cova e Feitos;1489;471;931;70;17;
;112030283: Várzea;312;79;216;15;2;
;112030287: Vila Seca;718;259;428;26;5;
;1120303: Braga;11910;4519;6498;698;195;
;112030301: Adaúfe;650;267;326;51;6;
;112030349: Braga (São Vicente);57;20;36;1;- -;
;112030351: Braga (São Vítor);38;16;20;2;- -;
;112030312: Espinho;353;123;228;1;1;
;112030313: Esporões;376;154;199;20;3;
;112030315: Figueiredo;168;43;118;6;1;
;112030319: Gualtar;97;26;57;8;6;
;112030322: Lamas;116;41;71;4;- -;
;112030325: Mire de Tibães;506;180;300;18;8;
;112030330: Padim da Graça;332;135;183;10;4;
;112030331: Palmeira;418;142;203;58;15;
;112030334: Pedralva;385;163;199;21;2;
;112030336: Priscos;328;118;173;33;4;
;112030338: Ruilhe;200;71;96;31;2;
;112030354: Sequeira;336;98;226;9;3;
;112030355: Sobreposta;302;116;173;13;- -;
;112030356: Tadim;272;100;116;46;10;
;112030357: Tebosa;191;75;113;2;1;
;112030363: União das freguesias de Arentim e Cunha;439;163;235;40;1;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);95;41;52;2;- -;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);4;- -;2;- -;2;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);477;175;258;28;16;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;580;228;326;24;2;
;112030368: União das freguesias de Crespos e Pousada;515;231;229;35;20;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);388;158;216;10;4;
;112030370: União das freguesias de Este (São Pedro e São Mamede);443;174;252;9;8;
;112030371: União das freguesias de Ferreiros e Gondizalves;366;131;193;29;13;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);292;122;158;12;- -;
;112030373: União das freguesias de Lomar e Arcos;316;122;161;27;6;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;617;220;340;40;17;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;305;110;183;10;2;
;112030376: União das freguesias de Morreira e Trandeiras;287;108;167;11;1;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;317;136;150;24;7;
;112030378: União das freguesias de Nogueiró e Tenões;206;78;109;9;10;
;112030379: União das freguesias de Real, Dume e Semelhe;755;291;424;27;13;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;287;112;151;17;7;
;112030381: União das freguesias de Vilaça e Fradelos;96;31;55;10;- -;
;1120306: Esposende;11145;3888;6838;353;66;
;112030601: Antas;669;255;368;42;4;
;112030608: Forjães;1053;312;680;49;12;
;112030610: Gemeses;572;179;380;9;4;
;112030616: União das freguesias de Apúlia e Fão;2362;755;1577;26;4;
;112030617: União das freguesias de Belinho e Mar;1286;515;745;20;6;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;2151;761;1293;84;13;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1170;455;696;18;1;
;112030620: União das freguesias de Palmeira de Faro e Curvos;1037;338;607;76;16;
;112030615: Vila Chã;845;318;492;29;6;
;1120310: Terras de Bouro;4486;2132;2205;139;10;
;112031001: Balança;197;90;100;7;- -;
;112031003: Campo do Gerês;112;42;56;13;1;
;112031004: Carvalheira;349;160;186;3;- -;
;112031008: Covide;275;102;156;14;3;
;112031009: Gondoriz;290;175;110;5;- -;
;112031010: Moimenta;216;80;127;9;- -;
;112031012: Ribeira;163;79;76;6;2;
;112031013: Rio Caldo;333;169;143;20;1;
;112031014: Souto;325;160;159;6;- -;
;112031018: União das freguesias de Chamoim e Vilar;446;240;198;6;2;
;112031019: União das freguesias de Chorense e Monte;578;244;321;13;- -;
;112031020: União das freguesias de Cibões e Brufe;510;264;239;7;- -;
;112031015: Valdosende;332;158;151;22;1;
;112031017: Vilar da Veiga;360;169;183;8;- -;
;1120313: Vila Verde;17394;7963;8674;660;97;
;112031359: Aboim da Nóbrega e Gondomar;979;408;552;18;1;
;112031304: Atiães;281;130;147;4;- -;
;112031308: Cabanelas;315;111;202;2;- -;
;112031309: Cervães;629;259;349;15;6;
;112031311: Coucieiro;235;111;107;16;1;
;112031313: Dossãos;302;157;143;2;- -;
;112031316: Freiriz;501;223;267;9;2;
;112031317: Gême;226;88;102;29;7;
;112031323: Lage;495;191;259;38;7;
;112031324: Lanhas;152;73;68;7;4;
;112031325: Loureira;249;114;112;22;1;
;112031328: Moure;485;206;263;14;2;
;112031330: Oleiros;241;99;118;23;1;
;112031331: Parada de Gatim;276;139;132;5;- -;
;112031335: Pico;310;104;184;19;3;
;112031337: Ponte;155;59;86;9;1;
;112031350: Prado (São Miguel);427;190;231;2;4;
;112031340: Sabariz;78;38;36;4;- -;
;112031352: Soutelo;485;163;269;45;8;
;112031354: Turiz;379;168;191;18;2;
;112031360: União das freguesias da Ribeira do Neiva;2730;1523;1138;62;7;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);514;266;239;9;- -;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);471;168;269;23;11;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;413;185;214;13;1;
;112031364: União das freguesias de Marrancos e Arcozelo;422;169;238;15;- -;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);418;215;200;3;- -;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;897;372;462;50;13;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;842;412;412;18;- -;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);418;179;228;10;1;
;112031369: União das freguesias do Vade;1185;619;538;28;- -;
;112031355: Valdreu;403;221;174;8;- -;
;112031342: Vila de Prado;639;236;339;54;10;
;112031370: Vila Verde e Barbudo;842;367;405;66;4;
;119: Ave;68874;29511;35509;3196;658;
;1190304: Cabeceiras de Basto;8612;4226;4040;286;60;
;119030401: Abadim;437;191;221;24;1;
;119030404: Basto;381;223;147;10;1;
;119030405: Bucos;508;225;251;26;6;
;119030406: Cabeceiras de Basto;578;297;258;18;5;
;119030407: Cavez;1185;601;522;54;8;
;119030408: Faia;392;199;183;2;8;
;119030413: Pedraça;424;257;156;8;3;
;119030415: Rio Douro;985;515;430;36;4;
;119030418: União das freguesias de Alvite e Passos;726;348;364;10;4;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;668;253;380;26;9;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;470;251;203;15;1;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1858;866;925;57;10;
;1190307: Fafe;11104;5089;5614;327;74;
;119030705: Armil;241;98;131;8;4;
;119030726: Arões (Santa Cristina);248;120;121;6;1;
;119030730: Arões (São Romão);520;222;272;21;5;
;119030708: Estorãos;411;196;203;10;2;
;119030709: Fafe;357;168;167;19;3;
;119030712: Fornelos;214;104;98;11;1;
;119030714: Golães;390;189;194;7;- -;
;119030716: Medelo;129;61;55;10;3;
;119030719: Paços;390;194;195;1;- -;
;119030722: Quinchães;372;155;201;14;2;
;119030723: Regadas;392;170;212;9;1;
;119030724: Revelhe;367;156;201;6;4;
;119030725: Ribeiros;132;53;77;1;1;
;119030728: São Gens;667;312;325;22;8;
;119030729: Silvares (São Martinho);255;122;126;7;- -;
;119030733: Travassós;579;275;293;7;4;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;762;419;323;18;2;
;119030738: União de freguesias de Agrela e Serafão;678;221;437;15;5;
;119030739: União de freguesias de Antime e Silvares (São Clemente);303;133;151;15;4;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;526;247;255;23;1;
;119030741: União de freguesias de Cepães e Fareja;483;238;221;20;4;
;119030742: União de freguesias de Freitas e Vila Cova;671;246;393;19;13;
;119030743: União de freguesias de Monte e Queimadela;720;421;283;15;1;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;1026;454;542;26;4;
;119030736: Vinhós;271;115;138;17;1;
;1190308: Guimarães;15998;6758;8407;680;153;
;119030801: Aldão;160;63;88;8;1;
;119030804: Azurém;132;53;76;1;2;
;119030806: Barco;210;82;115;7;6;
;119030807: Brito;364;139;210;13;2;
;119030808: Caldelas;237;96;132;9;- -;
;119030857: Candoso (São Martinho);162;66;87;9;- -;
;119030812: Costa;196;80;104;8;4;
;119030813: Creixomil;164;63;93;8;- -;
;119030815: Fermentões;320;120;188;10;2;
;119030820: Gonça;322;129;178;14;1;
;119030821: Gondar;76;28;43;3;2;
;119030823: Guardizela;173;71;89;7;6;
;119030824: Infantas;438;143;285;8;2;
;119030827: Longos;419;210;203;5;1;
;119030828: Lordelo;221;69;115;28;9;
;119030830: Mesão Frio;290;115;155;19;1;
;119030831: Moreira de Cónegos;278;113;132;25;8;
;119030832: Nespereira;242;71;159;9;3;
;119030835: Pencelo;213;81;121;8;3;
;119030836: Pinheiro;234;91;143;- -;- -;
;119030837: Polvoreira;307;134;152;18;3;
;119030838: Ponte;559;219;287;47;6;
;119030842: Prazins (Santa Eufémia);198;92;94;12;- -;
;119030840: Ronfe;293;94;168;26;5;
;119030858: Sande (São Martinho);275;123;129;22;1;
;119030865: São Torcato;592;540;28;20;4;
;119030850: Selho (São Cristóvão);125;42;72;10;1;
;119030854: Selho (São Jorge);230;109;105;12;4;
;119030866: Serzedelo;323;126;181;14;2;
;119030868: Silvares;327;100;204;18;5;
;119030875: União das freguesias de Abação e Gémeos;655;300;340;11;4;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;576;234;308;31;3;
;119030877: União das freguesias de Arosa e Castelões;342;94;235;12;1;
;119030878: União das freguesias de Atães e Rendufe;829;434;366;18;11;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;409;162;221;23;3;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;488;203;260;17;8;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;208;86;114;8;- -;
;119030882: União das freguesias de Conde e Gandarela;266;80;175;8;3;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;528;215;268;39;6;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;7;4;1;2;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;203;87;110;4;2;
;119030886: União das freguesias de Sande São Lourenço e Balazar;388;177;192;18;1;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;458;183;253;17;5;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;406;151;245;9;1;
;119030889: União das freguesias de Serzedo e Calvos;466;236;223;5;2;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;815;321;459;26;9;
;119030891: União das freguesias de Tabuadelo e São Faustino;556;248;297;9;2;
;119030871: Urgezes;318;81;204;25;8;
;1191705: Mondim de Basto;4786;2421;2149;205;11;
