
Statistical table extracted on October 11, 2022 (22:40:03)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
1989;PT: Portugal;1974808;844622;981600;127890;20696;
;1: Continente;1799736;767322;897202;115693;19519;
;11: Norte;722991;309407;368166;38603;6815;
;111: Alto Minho;108018;49289;53056;5030;643;
;1111601: Arcos de Valdevez;15182;8303;6491;343;45;
;111160101: Aboim das Choças;268;167;97;4;- -;
;111160102: Aguiã;316;94;220;2;- -;
;111160104: Ázere;141;76;60;4;1;
;111160105: Cabana Maior;295;212;75;7;1;
;111160106: Cabreiro;693;402;290;1;- -;
;111160108: Cendufe;281;117;150;13;1;
;111160109: Couto;313;161;133;19;- -;
;111160113: Gavieira;435;258;176;1;- -;
;111160115: Gondoriz;723;362;338;19;4;
;111160142: Jolda (São Paio);282;82;186;12;2;
;111160121: Miranda;469;364;105;- -;- -;
;111160122: Monte Redondo;294;188;101;2;3;
;111160123: Oliveira;188;113;69;6;- -;
;111160124: Paçô;196;85;99;11;1;
;111160125: Padroso;309;229;80;- -;- -;
;111160128: Prozelo;390;190;195;5;- -;
;111160131: Rio de Moinhos;436;212;212;11;1;
;111160130: Rio Frio;815;523;285;6;1;
;111160133: Sabadim;513;238;254;20;1;
;111160144: Senharei;357;197;159;1;- -;
;111160145: Sistelo;420;232;186;2;- -;
;111160146: Soajo;821;392;416;13;- -;
;111160152: União das freguesias de Alvora e Loureda;466;294;162;8;2;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;290;119;155;10;6;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;258;127;103;27;1;
;111160155: União das freguesias de Eiras e Mei;409;240;161;8;- -;
;111160156: União das freguesias de Grade e Carralcova;564;342;217;5;- -;
;111160157: União das freguesias de Guilhadeses e Santar;385;158;203;20;4;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;488;240;236;8;4;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);367;204;142;15;6;
;111160160: União das freguesias de Portela e Extremo;400;288;112;- -;- -;
;111160161: União das freguesias de São Jorge e Ermelo;587;371;199;17;- -;
;111160162: União das freguesias de Souto e Tabaçô;358;120;221;16;1;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);723;337;359;25;2;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;398;238;149;11;- -;
;111160149: Vale;534;331;186;14;3;
;1111602: Caminha;4428;1972;2237;196;23;
;111160201: Âncora;319;139;167;12;1;
;111160205: Argela;295;115;162;17;1;
;111160209: Dem;385;209;168;8;- -;
;111160211: Lanhelas;315;127;152;34;2;
;111160214: Riba de Âncora;550;207;317;24;2;
