
Statistical table extracted on October 16, 2022 (17:32:25)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;2009;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
PT: Portugal;1430285;1913161;2219639;420711;56014;35351548;1395143;195596;
1: Continente;1177019;1854306;2211173;405627;53243;34369250;1358415;192526;
11: Norte;325274;78128;398874;111825;24766;3412718;734646;55417;
111: Alto Minho;28345;5089;51210;14409;4663;508733;104530;5182;
1111601: Arcos de Valdevez;7237;406;8781;3931;1530;29522;8326;446;
111160101: Aboim das Choças;65;18;58;12;1;447;92;3;
111160102: Aguiã;76;9;104;45;5;527;121;2;
111160104: Ázere;50;5;38;106;14;393;144;13;
111160105: Cabana Maior;123;5;213;39;63;280;43;6;
111160106: Cabreiro;697;12;278;124;187;1202;199;22;
111160108: Cendufe;28;11;121;41;1;618;89;6;
111160109: Couto;23;7;172;3;3;481;23;- -;
111160113: Gavieira;1721;14;60;16;161;881;161;27;
111160115: Gondoriz;494;11;761;1073;128;1480;285;- -;
111160142: Jolda (São Paio);35;6;46;7;- -;801;84;6;
111160121: Miranda;115;12;546;89;44;925;348;16;
111160122: Monte Redondo;42;8;119;29;10;677;201;1;
111160123: Oliveira;44;17;85;24;3;774;927;- -;
111160124: Paçô;77;7;93;20;17;489;157;1;
111160125: Padroso;80;4;232;25;1;490;164;36;
111160128: Prozelo;154;15;94;51;9;594;182;1;
111160131: Rio de Moinhos;53;8;135;5;- -;504;67;- -;
111160130: Rio Frio;185;35;856;224;57;1170;346;22;
111160133: Sabadim;47;2;168;11;7;571;144;13;
111160144: Senharei;123;4;286;160;44;423;155;15;
111160145: Sistelo;708;- -;212;72;181;651;128;8;
111160146: Soajo;798;30;536;145;186;1530;428;39;
111160152: União das freguesias de Alvora e Loureda;117;36;227;88;26;879;159;49;
