111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;43;4;45;5;30;341;62;3;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;46;18;302;83;66;613;177;8;
111160155: União das freguesias de Eiras e Mei;50;2;200;26;1;518;159;25;
111160156: União das freguesias de Grade e Carralcova;267;9;431;284;147;920;353;25;
111160157: União das freguesias de Guilhadeses e Santar;99;2;187;60;3;1120;435;- -;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;64;17;116;9;1;848;150;8;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);57;9;243;104;12;761;265;7;
111160160: União das freguesias de Portela e Extremo;41;5;538;44;51;761;251;34;
111160161: União das freguesias de São Jorge e Ermelo;88;5;241;297;11;1324;301;15;
111160162: União das freguesias de Souto e Tabaçô;81;- -;85;143;1;962;322;- -;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);76;5;282;35;12;1580;489;14;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;133;27;320;93;4;1568;273;5;
111160149: Vale;337;27;351;339;43;1419;442;16;
1111602: Caminha;504;184;2077;209;69;19945;10691;684;
111160201: Âncora;19;1;18;3;- -;247;112;2;
111160205: Argela;33;1;77;7;- -;690;124;22;
111160209: Dem;39;7;212;2;- -;685;84;54;
111160211: Lanhelas;- -;7;24;8;- -;69;22;- -;
111160214: Riba de Âncora;86;5;80;17;3;1223;9277;- -;
111160215: Seixas;9;2;42;- -;- -;43;10;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);30;1;1192;26;48;898;123;316;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;24;2;47;1;2;383;66;12;
111160223: União das freguesias de Gondar e Orbacém;101;122;39;47;5;1078;228;205;
111160224: União das freguesias de Moledo e Cristelo;8;5;49;27;4;290;66;19;
111160225: União das freguesias de Venade e Azevedo;75;20;114;34;1;1507;328;31;
111160217: Vila Praia de Âncora;15;3;15;11;1;309;93;- -;
111160218: Vilar de Mouros;48;4;168;21;5;12431;137;23;
111160220: Vile;17;4;- -;5;- -;92;21;- -;
1111603: Melgaço;896;245;5097;1742;596;10342;2869;437;
111160301: Alvaredo;15;142;61;11;1;1131;204;14;
111160304: Cousso;7;- -;252;5;9;450;91;14;
111160305: Cristoval;44;11;44;35;31;257;30;2;
111160307: Fiães;62;11;173;238;34;315;30;5;
111160308: Gave;65;- -;156;43;66;285;49;14;
111160311: Paderne;46;31;356;108;7;1838;502;42;
111160313: Penso;- -;4;389;40;7;873;176;8;
111160317: São Paio;22;2;295;86;- -;668;331;- -;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;442;8;1214;220;371;993;294;154;
111160320: União das freguesias de Chaviães e Paços;21;5;235;268;2;886;111;4;
111160321: União das freguesias de Parada do Monte e Cubalhão;162;3;1406;500;57;806;373;146;
111160322: União das freguesias de Prado e Remoães;2;13;142;28;3;789;164;9;
111160323: União das freguesias de Vila e Roussas;8;15;374;160;8;1051;514;25;
1111604: Monção;1738;421;11421;637;526;31451;7553;476;
111160401: Abedim;43;2;73;7;- -;694;57;- -;
111160404: Barbeita;17;12;581;47;7;1863;413;15;
111160405: Barroças e Taias;8;13;300;21;- -;886;138;5;
111160406: Bela;15;5;470;13;2;1079;245;26;
111160407: Cambeses;7;16;275;2;3;704;99;4;
111160410: Lara;11;4;229;- -;- -;623;166;4;
111160411: Longos Vales;59;10;693;59;3;2016;235;23;
111160415: Merufe;419;8;1320;62;11;3542;835;78;
111160418: Moreira;20;- -;418;9;2;1353;356;19;
111160420: Pias;71;6;534;11;4;2217;536;12;
111160421: Pinheiros;3;9;167;1;2;601;131;29;
111160422: Podame;24;42;304;6;1;926;87;76;
111160423: Portela;6;16;199;8;1;670;281;- -;
111160424: Riba de Mouro;451;73;800;169;247;2005;402;26;
111160427: Segude;40;12;398;17;1;913;156;31;
111160428: Tangil;125;16;1163;51;59;2462;344;29;
111160431: Trute;21;7;198;70;4;525;29;7;
111160434: União das freguesias de Anhões e Luzio;80;16;461;9;6;1222;147;16;
111160435: União das freguesias de Ceivães e Badim;10;28;588;9;2;1489;307;17;
111160436: União das freguesias de Mazedo e Cortes;8;30;612;13;28;1937;204;17;
111160437: União das freguesias de Messegães, Valadares e Sá;21;13;642;11;2;1016;186;3;
111160438: União das freguesias de Monção e Troviscoso;2;11;217;1;19;777;1822;6;
111160439: União das freguesias de Sago, Lordelo e Parada;276;67;577;41;121;1555;286;20;
111160440: União das freguesias de Troporiz e Lapela;1;5;202;- -;1;376;91;13;
1111605: Paredes de Coura;2758;287;6911;880;294;10919;12144;516;
111160501: Agualonga;66;10;271;7;9;590;142;34;
111160503: Castanheira;133;18;366;51;8;732;300;2;
111160505: Coura;23;10;323;14;4;677;189;- -;
111160507: Cunha;204;27;525;76;34;752;207;115;
111160510: Infesta;21;7;704;56;20;415;130;48;
111160513: Mozelos;168;28;69;18;5;246;8955;1;
111160514: Padornelo;81;9;397;29;7;524;169;28;
111160515: Parada;158;7;131;30;13;327;134;- -;
111160519: Romarigães;18;5;216;26;11;382;83;15;
111160520: Rubiães;61;24;556;61;12;1331;281;98;
111160522: União das freguesias de Bico e Cristelo;409;57;972;43;98;1063;293;21;
111160523: União das freguesias de Cossourado e Linhares;46;11;200;1;4;775;153;69;
111160524: União das freguesias de Formariz e Ferreira;339;28;801;158;34;1274;440;20;
111160525: União das freguesias de Insalde e Porreiras;833;4;365;80;12;781;288;37;
111160526: União das freguesias de Paredes de Coura e Resende;75;33;513;70;19;734;264;22;
111160521: Vascões;123;9;502;160;4;316;116;6;
1111606: Ponte da Barca;1743;169;1333;1754;455;11423;15572;445;
111160601: Azias;135;4;35;208;38;563;57;60;
111160602: Boivães;89;21;31;56;26;695;96;6;
111160603: Bravães;85;4;66;26;- -;762;110;- -;
111160604: Britelo;194;1;93;33;186;450;80;12;
111160606: Cuide de Vila Verde;23;1;25;7;- -;184;33;- -;
111160611: Lavradas;114;13;117;18;2;1008;151;- -;
111160612: Lindoso;288;1;123;213;69;652;176;206;
111160613: Nogueira;9;6;78;40;- -;455;113;- -;
111160614: Oleiros;117;14;176;69;4;751;128;24;
111160619: Sampriz;115;7;60;26;- -;934;277;- -;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;65;44;100;33;13;1732;394;47;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;226;6;54;852;67;532;63;71;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;39;29;185;67;11;1299;13551;- -;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);116;3;62;9;12;452;101;8;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);108;12;98;97;20;600;126;11;
111160623: Vade (São Pedro);12;3;20;- -;- -;158;48;- -;
111160624: Vade (São Tomé);8;- -;10;- -;7;196;68;- -;
1111607: Ponte de Lima;6620;1356;7332;2742;270;59196;34768;938;
111160701: Anais;170;105;296;71;7;1741;878;9;
111160752: Arca e Ponte de Lima;82;19;16;- -;3;283;93;8;
111160704: Arcozelo;74;26;129;18;3;2191;701;46;
111160753: Ardegão, Freixo e Mato;495;10;545;19;3;2080;457;17;
111160754: Associação de freguesias do Vale do Neiva;501;13;739;23;12;1701;497;- -;
111160755: Bárrio e Cepões;30;29;58;16;4;643;219;18;
111160707: Beiral do Lima;174;28;180;85;4;1155;307;15;
111160708: Bertiandos;86;12;5;3;1;628;90;10;
111160709: Boalhosa;116;22;42;44;4;276;26;11;
111160710: Brandara;1;1;5;5;6;442;122;- -;
111160756: Cabaços e Fojo Lobal;186;16;234;57;21;1416;366;30;
111160757: Cabração e Moreira do Lima;75;6;367;252;15;2809;564;312;
111160713: Calheiros;38;40;193;25;14;1886;691;26;
111160714: Calvelo;182;62;205;10;14;1379;325;14;
111160716: Correlhã;862;89;133;177;10;4095;1183;12;
111160717: Estorãos;67;4;111;63;19;1176;142;21;
111160718: Facha;71;13;333;112;13;1668;457;11;
111160719: Feitosa;35;3;38;13;1;552;136;2;
111160721: Fontão;399;43;14;10;2;1565;280;3;
111160758: Fornelos e Queijada;127;216;146;312;16;5501;1198;51;
111160724: Friastelas;112;13;331;3;1;915;204;9;
111160726: Gandra;93;18;97;32;2;1056;406;20;
111160727: Gemieira;141;14;82;30;4;1275;337;56;
111160728: Gondufe;134;32;107;56;6;946;305;33;
111160729: Labruja;25;7;155;31;1;612;194;45;
111160759: Labrujó, Rendufe e Vilar do Monte;379;10;752;24;32;983;219;40;
111160760: Navió e Vitorino dos Piães;437;39;512;7;6;2326;594;4;
111160734: Poiares;764;113;290;88;- -;3151;19931;- -;
111160744: Rebordões (Santa Maria);130;22;190;315;4;1658;417;2;
111160747: Rebordões (Souto);40;46;103;15;6;1291;569;33;
111160737: Refóios do Lima;156;40;190;197;7;3676;850;40;
111160739: Ribeira;71;27;38;69;4;2528;624;22;
111160740: Sá;111;129;80;39;6;512;136;- -;
111160742: Santa Comba;2;11;10;5;- -;502;153;- -;
111160743: Santa Cruz do Lima;69;- -;30;40;1;477;300;- -;
111160703: São Pedro d'Arcos;78;24;260;141;13;1564;310;2;
111160745: Seara;35;12;51;14;4;550;73;5;
111160746: Serdedelo;61;42;222;248;1;980;154;10;
111160750: Vitorino das Donas;11;- -;43;73;- -;1007;260;1;
1111608: Valença;834;1101;3570;456;234;36115;2915;379;
111160802: Boivão;7;6;117;8;- -;676;183;3;
111160803: Cerdal;259;7;691;171;70;2047;579;23;
111160805: Fontoura;86;79;332;31;25;10044;173;99;
111160806: Friestas;- -;2;121;4;2;615;205;1;
111160808: Ganfei;63;22;376;10;16;1286;678;- -;
111160812: São Pedro da Torre;6;729;64;6;- -;862;184;- -;
111160817: União das freguesias de Gandra e Taião;202;8;510;114;73;17075;267;147;
111160818: União das freguesias de Gondomil e Sanfins;12;3;475;46;6;1024;241;25;
111160819: União das freguesias de São Julião e Silva;72;81;380;57;25;969;115;76;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;23;160;351;6;7;794;185;- -;
111160816: Verdoejo;104;4;153;3;10;723;105;5;
1111609: Viana do Castelo;5276;826;2854;1375;508;293936;8471;750;
111160901: Afife;144;10;20;7;12;20358;229;9;
111160902: Alvarães;107;10;104;9;3;1049;359;67;
111160903: Amonde;28;7;71;10;36;262;63;24;
111160904: Anha;150;2;54;1;8;1003;305;74;
111160905: Areosa;207;51;76;35;8;520;172;30;
111160908: Carreço;643;8;66;7;4;979;393;43;
111160910: Castelo do Neiva;157;10;9;10;- -;909;284;- -;
111160940: Chafé;164;3;39;3;6;567;156;- -;
111160911: Darque;4;- -;121;- -;11;227;21;3;
111160914: Freixieiro de Soutelo;238;11;43;16;3;621;137;22;
111160915: Lanheses;79;2;9;39;44;1615;195;8;
111160920: Montaria;130;13;261;607;33;732;93;30;
111160922: Mujães;10;6;182;3;- -;543;134;8;
111160925: Outeiro;242;40;76;41;218;1912;677;143;
111160926: Perre;480;94;102;41;21;2195;563;138;
111160928: Santa Marta de Portuzelo;268;332;32;6;4;1737;448;3;
111160923: São Romão de Neiva;104;14;174;35;5;105535;205;11;
111160941: União das freguesias de Barroselas e Carvoeiro;277;26;387;192;17;1664;479;- -;
111160942: União das freguesias de Cardielos e Serreleis;193;42;- -;15;4;1019;135;3;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;263;26;193;53;12;2602;780;39;
111160944: União das freguesias de Mazarefes e Vila Fria;288;8;48;11;- -;1443;198;- -;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;134;39;291;54;39;82906;935;28;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;176;34;272;154;8;36743;931;35;
111160947: União das freguesias de Torre e Vila Mou;326;16;47;11;3;24215;79;- -;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;138;5;45;- -;2;555;244;- -;
111160938: Vila de Punhe;180;7;56;5;- -;675;92;11;
111160935: Vila Franca;146;10;76;10;7;1350;164;21;
1111610: Vila Nova de Cerveira;739;94;1834;683;181;5884;1221;111;
111161003: Cornes;117;9;185;79;3;661;100;11;
111161004: Covas;161;29;295;93;148;691;241;13;
111161006: Gondarém;4;9;235;76;6;505;146;- -;
111161007: Loivo;- -;4;107;10;1;152;67;23;
111161009: Mentrestido;63;5;154;8;1;421;116;2;
111161012: Sapardos;19;6;226;14;3;458;96;20;
111161013: Sopo;16;9;111;64;6;479;79;13;
111161016: União das freguesias de Campos e Vila Meã;117;9;148;110;6;1318;246;28;
111161017: União das freguesias de Candemil e Gondar;16;6;168;18;7;303;85;- -;
111161018: União das freguesias de Reboreda e Nogueira;225;6;161;26;- -;682;38;- -;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;1;2;44;185;- -;214;7;1;
112: Cávado;73384;9189;13109;8574;1159;570432;86031;1715;
1120301: Amares;1420;5591;1496;611;104;351051;4900;230;
112030102: Barreiros;140;6;79;2;- -;1327;517;35;
112030104: Bico;2;3;9;8;1;278;60;- -;
112030119: Bouro (Santa Maria);18;12;65;9;7;905;316;10;
112030120: Bouro (Santa Marta);56;31;97;147;42;874;272;32;
112030105: Caires;103;9;81;106;5;825;165;1;
112030107: Carrazedo;131;5357;50;15;5;336927;460;7;
112030108: Dornelas;126;16;17;14;- -;890;269;4;
112030111: Fiscal;81;7;68;31;1;1138;119;21;
112030112: Goães;100;14;72;2;1;954;387;22;
112030113: Lago;33;9;86;3;- -;655;140;- -;
112030118: Rendufe;178;8;51;10;13;797;327;- -;
112030125: União das freguesias de Amares e Figueiredo;24;16;180;50;3;1027;320;8;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;58;42;165;129;6;1086;393;11;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;135;17;233;- -;13;1241;396;27;
112030128: União das freguesias de Torre e Portela;19;10;27;8;2;580;245;24;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;216;34;216;77;5;1547;514;28;
1120302: Barcelos;51182;912;2516;754;214;111766;32614;592;
112030201: Abade de Neiva;803;24;54;8;8;1533;460;10;
112030202: Aborim;315;- -;14;- -;- -;250;80;- -;
112030203: Adães;270;4;29;17;- -;660;200;10;
112030205: Airó;150;17;52;4;2;805;203;- -;
112030206: Aldreu;402;55;52;12;9;976;291;49;
112030208: Alvelos;549;4;10;2;- -;728;373;- -;
112030209: Arcozelo;169;- -;10;- -;- -;187;101;- -;
112030210: Areias;31;- -;30;- -;- -;214;117;1;
112030212: Balugães;172;5;115;5;3;503;140;- -;
112030213: Barcelinhos;288;3;105;- -;31;229;72;- -;
112030215: Barqueiros;994;27;23;2;- -;888;124;- -;
112030216: Cambeses;781;9;52;8;2;593;678;- -;
112030218: Carapeços;206;13;- -;7;- -;639;318;12;
112030220: Carvalhal;463;5;3;5;9;783;186;4;
112030221: Carvalhas;436;4;2;9;- -;396;140;40;
112030224: Cossourado;890;- -;103;17;- -;574;144;80;
112030228: Cristelo;3346;24;27;22;1;1609;469;- -;
112030234: Fornelos;942;12;28;9;1;763;276;9;
112030235: Fragoso;502;36;188;18;5;1053;577;16;
112030268: Galegos (Santa Maria);100;3;10;21;3;461;172;2;
112030272: Galegos (São Martinho);188;5;11;- -;2;223;84;- -;
112030237: Gilmonde;400;13;5;2;- -;967;263;3;
112030242: Lama;133;2;- -;1;3;481;134;- -;
112030243: Lijó;726;10;11;17;16;1336;474;- -;
112030244: Macieira de Rates;3479;27;14;17;- -;1985;841;- -;
112030245: Manhente;2308;7;- -;- -;- -;356;238;2;
112030247: Martim;163;13;58;6;3;1172;433;6;
112030252: Moure;173;12;5;6;5;606;249;12;
112030254: Oliveira;245;2;114;16;- -;894;453;13;
112030255: Palme;378;7;49;- -;2;609;141;- -;
112030256: Panque;413;14;93;15;2;585;108;- -;
112030257: Paradela;1907;37;- -;9;- -;1509;845;- -;
112030259: Pereira;234;1;- -;- -;- -;422;5144;2;
112030260: Perelhal;209;14;5;17;1;1006;588;29;
112030261: Pousa;463;28;29;4;6;1419;252;50;
112030263: Remelhe;971;18;27;12;5;906;459;15;
112030265: Rio Covo (Santa Eugénia);416;2;8;- -;1;328;130;- -;
112030264: Roriz;1403;24;57;12;3;1309;274;5;
112030279: Silva;226;1;33;9;5;618;330;3;
112030277: Tamel (São Veríssimo);145;3;6;15;- -;423;102;- -;
112030282: Ucha;622;3;2;1;8;504;210;33;
112030290: União das freguesias de Alheira e Igreja Nova;280;5;66;10;6;909;290;- -;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;1017;19;98;55;3;1200;482;6;
112030292: União das freguesias de Areias de Vilar e Encourados;264;9;37;1;10;1170;340;11;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);1065;26;3;22;6;942;357;8;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);604;3;52;12;7;820;412;3;
112030295: União das freguesias de Carreira e Fonte Coberta;1024;18;17;4;1;1231;451;- -;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;5571;67;137;67;5;9935;1673;64;
112030297: União das freguesias de Creixomil e Mariz;297;8;10;- -;2;1584;649;24;
112030298: União das freguesias de Durrães e Tregosa;36;4;199;20;3;349;144;6;
112030299: União das freguesias de Gamil e Midões;286;6;84;10;- -;571;319;6;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;2283;59;41;19;10;48307;5897;8;
1120302FB: União das freguesias de Negreiros e Chavão;2404;30;- -;15;2;1627;360;- -;
1120302FC: União das freguesias de Quintiães e Aguiar;568;2;85;17;6;819;423;- -;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);802;26;32;21;5;1372;545;1;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);1676;13;63;25;- -;1237;308;- -;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;220;12;22;48;1;1157;838;2;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;3110;69;27;27;- -;2937;1076;14;
1120302FH: União das freguesias de Vila Cova e Feitos;1466;21;64;42;- -;2052;472;27;
112030283: Várzea;243;7;43;8;7;609;265;- -;
112030287: Vila Seca;955;20;2;6;4;1436;440;6;
1120303: Braga;7820;648;1909;455;129;29861;13981;202;
112030301: Adaúfe;444;39;253;35;17;2417;608;5;
112030349: Braga (São Vicente);- -;- -;- -;- -;- -;- -;- -;- -;
112030351: Braga (São Vítor);6;31;12;10;- -;280;19;6;
112030312: Espinho;241;15;65;5;- -;703;122;3;
112030313: Esporões;169;7;39;12;- -;677;223;12;
112030315: Figueiredo;192;2;5;7;1;325;65;4;
112030319: Gualtar;4;15;2;- -;- -;177;27;- -;
112030322: Lamas;59;8;8;22;- -;385;83;4;
112030325: Mire de Tibães;225;9;69;3;1;933;339;10;
112030330: Padim da Graça;32;5;5;1;5;367;161;- -;
112030331: Palmeira;166;26;43;20;30;1283;421;3;
112030334: Pedralva;654;10;68;26;1;977;328;- -;
112030336: Priscos;186;12;47;14;8;666;294;- -;
112030338: Ruilhe;174;45;18;27;5;250;69;1;
112030354: Sequeira;394;33;54;13;2;1098;467;8;
112030355: Sobreposta;212;5;121;7;- -;859;446;8;
112030356: Tadim;63;7;- -;5;- -;201;86;- -;
112030357: Tebosa;7;6;52;- -;1;566;127;1;
112030363: União das freguesias de Arentim e Cunha;769;15;35;10;1;731;495;2;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);33;10;13;- -;- -;682;125;- -;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;- -;- -;- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);308;42;103;8;1;1856;794;11;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;211;10;- -;4;- -;891;364;- -;
112030368: União das freguesias de Crespos e Pousada;235;29;83;8;4;1614;285;3;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);914;15;- -;5;1;1187;510;30;
112030370: União das freguesias de Este (São Pedro e São Mamede);177;21;173;85;7;1181;289;42;
112030371: União das freguesias de Ferreiros e Gondizalves;54;7;27;18;2;789;202;- -;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);294;9;18;7;5;447;121;4;
112030373: União das freguesias de Lomar e Arcos;241;21;66;7;2;703;196;- -;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;271;26;50;17;9;1458;614;9;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;268;33;10;10;1;1020;348;3;
112030376: União das freguesias de Morreira e Trandeiras;230;32;6;- -;16;1072;4609;4;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;88;7;156;1;- -;758;134;- -;
112030378: União das freguesias de Nogueiró e Tenões;9;15;125;- -;- -;530;137;2;
112030379: União das freguesias de Real, Dume e Semelhe;286;51;33;29;5;1516;598;16;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;90;24;52;10;3;525;28;3;
112030381: União das freguesias de Vilaça e Fradelos;114;6;98;29;1;737;247;8;
1120306: Esposende;6587;279;426;147;31;21511;8427;84;
112030601: Antas;68;6;37;- -;- -;1031;548;6;
112030608: Forjães;294;9;165;3;6;2064;737;26;
112030610: Gemeses;586;14;5;- -;- -;1317;551;- -;
112030616: União das freguesias de Apúlia e Fão;474;31;3;31;- -;3875;1706;9;
112030617: União das freguesias de Belinho e Mar;241;25;37;2;- -;2008;914;- -;
112030618: União das freguesias de Esposende, Marinhas e Gandra;2015;33;40;34;6;3615;1283;5;
112030619: União das freguesias de Fonte Boa e Rio Tinto;2242;58;4;8;1;4202;1299;7;
112030620: União das freguesias de Palmeira de Faro e Curvos;371;64;59;57;15;2207;984;24;
112030615: Vila Chã;296;39;76;12;3;1192;405;7;
1120310: Terras de Bouro;1348;379;560;4244;385;6618;8265;378;
112031001: Balança;47;22;8;- -;15;438;3305;4;
112031003: Campo do Gerês;43;12;38;11;12;22;26;44;
112031004: Carvalheira;125;12;15;580;6;337;93;23;
112031008: Covide;82;3;13;1049;18;307;64;18;
112031009: Gondoriz;48;17;74;484;7;551;97;6;
112031010: Moimenta;7;39;- -;3;4;409;159;36;
112031012: Ribeira;14;15;38;- -;1;370;90;4;
112031013: Rio Caldo;82;6;15;238;1;323;95;27;
112031014: Souto;18;50;64;13;- -;978;3492;4;
112031018: União das freguesias de Chamoim e Vilar;185;28;189;37;40;769;182;15;
112031019: União das freguesias de Chorense e Monte;332;98;32;1096;146;1051;399;19;
112031020: União das freguesias de Cibões e Brufe;224;19;37;505;118;322;37;5;
112031015: Valdosende;52;25;37;- -;8;422;106;5;
112031017: Vilar da Veiga;89;33;- -;228;9;319;120;168;
1120313: Vila Verde;5027;1380;6202;2363;296;49625;17844;229;
112031359: Aboim da Nóbrega e Gondomar;293;33;199;148;31;821;183;- -;
112031304: Atiães;298;37;106;26;1;867;225;- -;
112031308: Cabanelas;268;2;289;2;2;984;169;- -;
112031309: Cervães;218;1;404;2;3;536;107;3;
112031311: Coucieiro;169;54;43;164;19;1056;192;5;
112031313: Dossãos;46;56;90;3;3;567;231;1;
112031316: Freiriz;124;15;132;8;- -;637;195;- -;
112031317: Gême;35;2;56;16;3;464;178;3;
112031323: Lage;111;187;243;30;16;895;307;4;
112031324: Lanhas;82;1;67;- -;5;788;57;11;
112031325: Loureira;39;3;56;21;1;380;93;- -;
112031328: Moure;126;21;197;70;5;807;122;3;
112031330: Oleiros;45;15;302;31;7;662;199;11;
112031331: Parada de Gatim;39;1;66;- -;- -;790;174;- -;
112031335: Pico;82;12;120;4;1;619;122;- -;
112031337: Ponte;47;6;118;7;6;388;57;- -;
112031350: Prado (São Miguel);92;36;33;16;5;879;51;- -;
112031340: Sabariz;2;1;10;- -;2;116;6;- -;
112031352: Soutelo;308;16;57;14;14;929;277;7;
112031354: Turiz;171;18;108;- -;4;539;97;4;
112031360: União das freguesias da Ribeira do Neiva;635;244;732;304;29;20365;1232;40;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);101;146;105;29;9;1592;259;6;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);159;7;233;14;8;1169;356;2;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;152;55;363;2;13;1094;325;34;
112031364: União das freguesias de Marrancos e Arcozelo;309;15;334;294;12;785;236;- -;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);90;109;137;12;5;1282;257;10;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;181;48;232;5;17;1338;204;22;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;96;78;144;250;12;1516;526;11;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);97;26;64;214;2;664;134;12;
112031369: União das freguesias do Vade;137;51;505;85;25;2166;556;16;
112031355: Valdreu;183;42;248;282;5;1175;168;- -;
112031342: Vila de Prado;126;23;286;279;24;1441;10138;- -;
112031370: Vila Verde e Barbudo;166;19;123;31;7;1314;411;24;
119: Ave;36116;15182;15067;10431;1643;546611;92987;2972;
1190304: Cabeceiras de Basto;3108;769;3790;2782;179;74634;11087;286;
119030401: Abadim;445;56;385;34;17;688;608;4;
119030404: Basto;145;21;59;1;- -;309;128;- -;
119030405: Bucos;216;96;509;122;5;973;536;- -;
119030406: Cabeceiras de Basto;331;48;317;164;6;898;357;42;
119030407: Cavez;117;61;433;113;7;1788;618;69;
119030408: Faia;45;18;22;9;- -;640;188;60;
119030413: Pedraça;105;42;200;31;4;808;301;- -;
119030415: Rio Douro;827;118;655;1053;59;1899;773;50;
