
Statistical table extracted on October 11, 2022 (20:22:19)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;;Sex;;;;;;;
;;MF;;;;;;;
;;Age group;;;;;;;
;;Total;16 - 24 years;25 - 34 years;35 - 44 years;45 - 54 years;55 - 64 years;65 and more years;
;;Relationship;;;;;;;
;;Total;;;;;;;
;;Level of education;;;;;;;
;;Total;;;;;;;
;;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
1999;PT: Portugal;1236214;297276;118577;128967;172767;219604;299023;
;1: Continente;1123418;261168;105578;114971;158099;205057;278545;
;11: Norte;445403;121437;46690;48014;58993;72401;97868;
;111: Alto Minho;57799;15278;6080;5919;7707;9828;12987;
;1111601: Arcos de Valdevez;9005;2021;710;852;1224;1770;2428;
;111160101: Aboim das Choças;135;34;14;15;22;25;25;
;111160102: Aguiã;174;44;16;10;34;30;40;
;111160104: Ázere;104;29;6;17;12;17;23;
;111160105: Cabana Maior;159;27;4;12;17;44;55;
;111160106: Cabreiro;319;28;26;20;48;96;101;
;111160108: Cendufe;189;55;15;22;30;38;29;
;111160109: Couto;182;37;9;19;28;31;58;
;111160113: Gavieira;260;50;19;31;45;52;63;
;111160115: Gondoriz;486;139;38;53;56;87;113;
;111160142: Jolda (São Paio);186;71;15;20;36;22;22;
;111160121: Miranda;220;38;18;23;20;44;77;
;111160122: Monte Redondo;166;49;17;13;14;28;45;
;111160123: Oliveira;143;32;15;14;18;29;35;
;111160124: Paçô;108;26;10;8;13;20;31;
;111160125: Padroso;179;41;17;18;39;28;36;
;111160128: Prozelo;234;44;17;15;34;44;80;
;111160131: Rio de Moinhos;214;41;16;20;25;43;69;
;111160130: Rio Frio;401;88;22;39;38;92;122;
;111160133: Sabadim;276;61;17;26;38;55;79;
;111160144: Senharei;232;58;14;37;23;39;61;
;111160145: Sistelo;296;52;23;13;44;63;101;
;111160146: Soajo;561;100;36;46;83;122;174;
;111160152: União das freguesias de Alvora e Loureda;255;51;12;20;52;54;66;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;107;27;9;15;8;23;25;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;179;40;23;13;20;33;50;
;111160155: União das freguesias de Eiras e Mei;249;55;30;21;50;39;54;
;111160156: União das freguesias de Grade e Carralcova;344;94;27;21;47;55;100;
;111160157: União das freguesias de Guilhadeses e Santar;252;67;26;28;22;64;45;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;257;77;17;32;32;54;45;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);188;41;17;15;23;35;57;
;111160160: União das freguesias de Portela e Extremo;270;56;18;27;35;56;78;
;111160161: União das freguesias de São Jorge e Ermelo;317;57;18;28;29;57;128;
;111160162: União das freguesias de Souto e Tabaçô;237;54;31;25;30;41;56;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);419;86;38;42;53;92;108;
