
Statistical table extracted on October 11, 2022 (20:22:19)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;379;86;31;40;64;58;100;
;111160149: Vale;328;86;29;34;42;60;77;
;1111602: Caminha;2175;597;222;268;294;306;488;
;111160201: Âncora;99;27;7;14;13;21;17;
;111160205: Argela;108;26;17;13;10;24;18;
;111160209: Dem;259;60;22;34;38;36;69;
;111160211: Lanhelas;68;19;6;6;12;9;16;
;111160214: Riba de Âncora;314;96;33;32;61;29;63;
;111160215: Seixas;54;15;7;5;11;2;14;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);230;41;18;18;26;45;82;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;53;13;5;9;5;12;9;
;111160223: União das freguesias de Gondar e Orbacém;360;112;41;55;33;47;72;
;111160224: União das freguesias de Moledo e Cristelo;65;19;7;10;10;8;11;
;111160225: União das freguesias de Venade e Azevedo;242;81;22;32;32;38;37;
;111160217: Vila Praia de Âncora;97;22;13;12;11;10;29;
;111160218: Vilar de Mouros;165;44;21;13;28;19;40;
;111160220: Vile;61;22;3;15;4;6;11;
;1111603: Melgaço;4130;802;381;402;615;836;1094;
;111160301: Alvaredo;340;67;38;32;60;52;91;
;111160304: Cousso;205;46;16;11;46;36;50;
;111160305: Cristoval;113;14;11;9;21;24;34;
;111160307: Fiães;216;38;13;19;26;47;73;
;111160308: Gave;147;24;8;15;26;29;45;
;111160311: Paderne;576;127;67;56;81;117;128;
;111160313: Penso;239;50;20;26;34;52;57;
;111160317: São Paio;275;45;24;21;26;55;104;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;608;98;47;77;97;129;160;
;111160320: União das freguesias de Chaviães e Paços;320;71;30;37;37;59;86;
;111160321: União das freguesias de Parada do Monte e Cubalhão;522;102;43;50;78;119;130;
;111160322: União das freguesias de Prado e Remoães;226;46;30;17;35;44;54;
;111160323: União das freguesias de Vila e Roussas;343;74;34;32;48;73;82;
;1111604: Monção;7285;1705;753;730;1073;1343;1681;
;111160401: Abedim;199;46;24;14;37;33;45;
;111160404: Barbeita;359;86;28;46;50;58;91;
;111160405: Barroças e Taias;162;37;19;14;26;31;35;
;111160406: Bela;204;44;17;14;31;46;52;
;111160407: Cambeses;153;33;21;13;22;25;39;
;111160410: Lara;180;40;8;19;31;34;48;
;111160411: Longos Vales;460;136;38;52;56;86;92;
;111160415: Merufe;790;181;95;78;113;140;183;
;111160418: Moreira;346;78;44;24;54;74;72;
;111160420: Pias;503;111;51;50;90;96;105;
;111160421: Pinheiros;150;36;17;14;23;27;33;
;111160422: Podame;154;34;16;22;17;34;31;
;111160423: Portela;141;29;10;10;27;27;38;
;111160424: Riba de Mouro;473;131;49;54;78;76;85;
;111160427: Segude;185;54;20;19;23;34;35;
;111160428: Tangil;574;118;62;67;87;107;133;
;111160431: Trute;188;48;30;18;19;39;34;
;111160434: União das freguesias de Anhões e Luzio;297;44;24;23;40;70;96;
;111160435: União das freguesias de Ceivães e Badim;260;64;20;30;30;48;68;
;111160436: União das freguesias de Mazedo e Cortes;415;106;41;43;62;75;88;
;111160437: União das freguesias de Messegães, Valadares e Sá;300;60;28;23;44;43;102;
;111160438: União das freguesias de Monção e Troviscoso;228;45;44;19;23;43;54;
;111160439: União das freguesias de Sago, Lordelo e Parada;386;105;30;48;59;65;79;
;111160440: União das freguesias de Troporiz e Lapela;178;39;17;16;31;32;43;
;1111605: Paredes de Coura;3732;964;387;434;494;621;832;
;111160501: Agualonga;169;49;17;21;17;31;34;
;111160503: Castanheira;305;88;47;32;38;37;63;
;111160505: Coura;202;46;15;12;33;46;50;
;111160507: Cunha;338;99;45;42;36;47;69;
;111160510: Infesta;198;49;24;17;21;37;50;
;111160513: Mozelos;109;25;13;9;21;18;23;
;111160514: Padornelo;179;37;12;17;34;38;41;
;111160515: Parada;174;49;14;19;24;24;44;
;111160519: Romarigães;156;35;18;20;17;24;42;
;111160520: Rubiães;268;73;22;42;34;50;47;
;111160522: União das freguesias de Bico e Cristelo;447;127;48;66;47;60;99;
;111160523: União das freguesias de Cossourado e Linhares;173;49;13;20;26;28;37;
;111160524: União das freguesias de Formariz e Ferreira;382;69;42;38;58;84;91;
;111160525: União das freguesias de Insalde e Porreiras;298;68;29;28;41;54;78;
;111160526: União das freguesias de Paredes de Coura e Resende;212;74;17;30;35;26;30;
;111160521: Vascões;122;27;11;21;12;17;34;
;1111606: Ponte da Barca;3764;1051;392;388;479;646;808;
;111160601: Azias;231;70;16;30;28;33;54;
;111160602: Boivães;214;62;28;17;25;37;45;
;111160603: Bravães;244;64;30;22;41;40;47;
;111160604: Britelo;92;24;4;11;11;16;26;
;111160606: Cuide de Vila Verde;129;49;9;24;8;16;23;
;111160611: Lavradas;465;137;52;36;75;70;95;
;111160612: Lindoso;261;65;24;23;43;47;59;
;111160613: Nogueira;92;20;8;6;15;20;23;
;111160614: Oleiros;180;51;26;22;20;32;29;
;111160619: Sampriz;226;81;17;26;37;32;33;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;390;126;46;27;37;83;71;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;331;94;37;40;36;42;82;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;277;39;29;34;36;60;79;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);75;18;7;9;2;19;20;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);348;84;38;34;41;76;75;
;111160623: Vade (São Pedro);105;40;8;14;12;11;20;
;111160624: Vade (São Tomé);104;27;13;13;12;12;27;
;1111607: Ponte de Lima;14284;4610;1640;1390;1863;2150;2631;
;111160701: Anais;473;175;52;35;74;67;70;
;111160752: Arca e Ponte de Lima;89;24;11;12;7;15;20;
;111160704: Arcozelo;456;116;44;48;76;69;103;
;111160753: Ardegão, Freixo e Mato;505;152;59;58;61;90;85;
;111160754: Associação de freguesias do Vale do Neiva;423;107;37;32;63;80;104;
;111160755: Bárrio e Cepões;294;80;30;32;38;47;67;
;111160707: Beiral do Lima;393;140;26;59;59;49;60;
;111160708: Bertiandos;188;56;20;13;39;32;28;
;111160709: Boalhosa;149;61;12;8;19;27;22;
;111160710: Brandara;166;52;21;22;24;23;24;
;111160756: Cabaços e Fojo Lobal;597;230;77;75;72;69;74;
;111160757: Cabração e Moreira do Lima;506;141;53;53;66;83;110;
;111160713: Calheiros;337;111;32;27;57;48;62;
;111160714: Calvelo;389;129;58;41;52;53;56;
;111160716: Correlhã;957;341;116;93;132;104;171;
;111160717: Estorãos;288;62;33;22;29;64;78;
;111160718: Facha;489;165;50;42;70;70;92;
;111160719: Feitosa;86;19;13;4;17;16;17;
;111160721: Fontão;335;109;41;34;43;49;59;
;111160758: Fornelos e Queijada;887;326;97;96;104;121;143;
;111160724: Friastelas;295;108;37;37;16;49;48;
;111160726: Gandra;257;68;34;22;31;53;49;
;111160727: Gemieira;254;87;35;18;38;42;34;
;111160728: Gondufe;243;74;28;28;37;29;47;
;111160729: Labruja;224;65;21;18;41;24;55;
;111160759: Labrujó, Rendufe e Vilar do Monte;322;102;26;40;36;46;72;
;111160760: Navió e Vitorino dos Piães;770;299;98;50;73;115;135;
;111160734: Poiares;426;154;58;40;54;59;61;
;111160744: Rebordões (Santa Maria);343;129;43;37;32;52;50;
;111160747: Rebordões (Souto);409;158;47;36;56;55;57;
;111160737: Refóios do Lima;823;232;76;74;94;151;196;
;111160739: Ribeira;461;138;60;51;56;65;91;
;111160740: Sá;114;27;13;7;16;24;27;
;111160742: Santa Comba;74;17;7;6;12;15;17;
;111160743: Santa Cruz do Lima;157;34;22;11;21;30;39;
;111160703: São Pedro d'Arcos;346;86;47;44;35;53;81;
;111160745: Seara;169;51;25;18;17;31;27;
;111160746: Serdedelo;378;130;45;32;65;47;59;
;111160750: Vitorino das Donas;212;55;36;15;31;34;41;
;1111608: Valença;2500;596;269;245;367;450;573;
;111160802: Boivão;119;26;14;11;18;18;32;
;111160803: Cerdal;455;108;46;44;68;87;102;
;111160805: Fontoura;241;58;30;26;31;39;57;
;111160806: Friestas;115;30;12;9;6;28;30;
;111160808: Ganfei;220;46;23;23;36;35;57;
;111160812: São Pedro da Torre;154;38;16;12;31;28;29;
;111160817: União das freguesias de Gandra e Taião;268;64;20;29;38;56;61;
;111160818: União das freguesias de Gondomil e Sanfins;273;58;25;30;43;48;69;
;111160819: União das freguesias de São Julião e Silva;310;97;34;31;51;42;55;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;179;41;18;11;28;39;42;
;111160816: Verdoejo;166;30;31;19;17;30;39;
;1111609: Viana do Castelo;9703;2611;1211;1086;1124;1482;2189;
;111160901: Afife;105;24;16;12;5;24;24;
;111160902: Alvarães;329;105;33;44;29;46;72;
;111160903: Amonde;197;57;20;37;18;18;47;
;111160904: Anha;197;48;28;22;22;35;42;
;111160905: Areosa;132;31;11;24;14;23;29;
;111160908: Carreço;207;53;27;13;36;30;48;
;111160910: Castelo do Neiva;332;66;30;37;57;60;82;
;111160940: Chafé;207;49;29;26;27;32;44;
;111160911: Darque;44;11;1;6;6;7;13;
;111160914: Freixieiro de Soutelo;217;58;35;19;24;28;53;
;111160915: Lanheses;407;98;55;34;47;53;120;
;111160920: Montaria;435;120;41;59;57;57;101;
;111160922: Mujães;117;35;13;7;23;9;30;
;111160925: Outeiro;488;123;56;59;54;86;110;
;111160926: Perre;498;122;74;52;72;83;95;
;111160928: Santa Marta de Portuzelo;480;112;53;59;43;73;140;
;111160923: São Romão de Neiva;139;28;19;15;27;22;28;
;111160941: União das freguesias de Barroselas e Carvoeiro;542;178;65;48;77;68;106;
;111160942: União das freguesias de Cardielos e Serreleis;293;75;41;29;33;41;74;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;1339;472;141;156;125;197;248;
;111160944: União das freguesias de Mazarefes e Vila Fria;315;82;43;38;31;47;74;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;771;184;106;80;86;132;183;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;783;205;122;67;83;138;168;
;111160947: União das freguesias de Torre e Vila Mou;430;98;67;60;41;58;106;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;185;35;29;23;24;29;45;
;111160938: Vila de Punhe;123;34;13;7;20;26;23;
;111160935: Vila Franca;391;108;43;53;43;60;84;
;1111610: Vila Nova de Cerveira;1221;321;115;124;174;224;263;
;111161003: Cornes;113;25;11;14;15;20;28;
;111161004: Covas;159;46;17;10;35;21;30;
;111161006: Gondarém;78;26;4;6;10;18;14;
;111161007: Loivo;53;11;12;6;6;10;8;
;111161009: Mentrestido;93;19;9;9;13;22;21;
;111161012: Sapardos;81;25;8;5;11;17;15;
;111161013: Sopo;158;54;17;27;16;23;21;
;111161016: União das freguesias de Campos e Vila Meã;184;46;12;17;21;42;46;
;111161017: União das freguesias de Candemil e Gondar;118;24;12;6;23;16;37;
;111161018: União das freguesias de Reboreda e Nogueira;148;38;10;21;17;28;34;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;36;7;3;3;7;7;9;
;112: Cávado;45997;14503;6297;4769;5491;6499;8438;
;1120301: Amares;3316;956;418;315;379;457;791;
;112030102: Barreiros;180;46;29;15;23;22;45;
;112030104: Bico;85;29;8;13;7;12;16;
;112030119: Bouro (Santa Maria);274;61;34;21;27;49;82;
;112030120: Bouro (Santa Marta);210;60;22;19;30;30;49;
;112030105: Caires;178;60;20;17;21;28;32;
;112030107: Carrazedo;140;39;19;13;15;19;35;
;112030108: Dornelas;203;61;37;12;27;24;42;
;112030111: Fiscal;190;55;21;19;25;30;40;
;112030112: Goães;229;65;26;22;28;23;65;
;112030113: Lago;161;50;18;19;12;20;42;
;112030118: Rendufe;197;61;31;23;18;21;43;
;112030125: União das freguesias de Amares e Figueiredo;150;39;22;9;20;24;36;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;294;76;29;30;31;40;88;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;298;82;44;31;27;46;68;
;112030128: União das freguesias de Torre e Portela;177;55;19;23;20;29;31;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;350;117;39;29;48;40;77;
;1120302: Barcelos;17358;5736;2535;1818;2145;2296;2828;
;112030201: Abade de Neiva;280;81;62;34;20;38;45;
;112030202: Aborim;143;33;28;22;23;14;23;
;112030203: Adães;140;36;22;18;14;20;30;
;112030205: Airó;198;73;21;20;26;30;28;
;112030206: Aldreu;124;28;14;10;30;13;29;
;112030208: Alvelos;204;68;23;27;20;25;41;
;112030209: Arcozelo;50;11;8;6;6;7;12;
;112030210: Areias;48;9;5;5;8;12;9;
;112030212: Balugães;119;41;16;12;11;14;25;
;112030213: Barcelinhos;54;14;7;5;5;12;11;
;112030215: Barqueiros;392;122;54;38;59;54;65;
;112030216: Cambeses;196;49;39;16;30;26;36;
;112030218: Carapeços;286;110;54;15;26;49;32;
;112030220: Carvalhal;147;41;19;13;31;14;29;
;112030221: Carvalhas;112;44;16;9;11;17;15;
;112030224: Cossourado;274;105;36;22;29;41;41;
;112030228: Cristelo;451;160;61;55;65;49;61;
;112030234: Fornelos;236;87;27;31;32;25;34;
;112030235: Fragoso;472;151;71;46;63;71;70;
;112030268: Galegos (Santa Maria);192;69;21;13;23;33;33;
;112030272: Galegos (São Martinho);65;20;8;6;5;11;15;
;112030237: Gilmonde;212;69;35;21;34;26;27;
;112030242: Lama;134;39;19;17;10;11;38;
;112030243: Lijó;353;134;65;28;42;46;38;
;112030244: Macieira de Rates;489;185;58;68;69;44;65;
;112030245: Manhente;115;37;16;15;10;17;20;
;112030247: Martim;386;159;50;46;38;32;61;
;112030252: Moure;131;44;21;9;25;17;15;
;112030254: Oliveira;237;67;42;18;26;38;46;
;112030255: Palme;309;113;45;37;27;34;53;
;112030256: Panque;224;37;30;38;29;40;50;
;112030257: Paradela;297;98;45;42;29;39;44;
;112030259: Pereira;157;57;23;12;28;12;25;
;112030260: Perelhal;259;75;35;24;44;46;35;
;112030261: Pousa;376;137;55;37;43;50;54;
;112030263: Remelhe;266;104;18;33;38;31;42;
;112030265: Rio Covo (Santa Eugénia);89;25;14;8;6;13;23;
;112030264: Roriz;485;153;81;44;48;73;86;
;112030279: Silva;119;38;23;10;18;17;13;
;112030277: Tamel (São Veríssimo);89;26;17;9;5;10;22;
;112030282: Ucha;261;80;42;31;30;26;52;
;112030290: União das freguesias de Alheira e Igreja Nova;378;105;45;42;34;51;101;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;326;113;43;28;57;29;56;
;112030292: União das freguesias de Areias de Vilar e Encourados;338;104;56;42;39;40;57;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);300;91;51;33;31;50;44;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);284;96;46;26;37;42;37;
;112030295: União das freguesias de Carreira e Fonte Coberta;378;132;54;37;48;59;48;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1024;377;128;104;134;126;155;
;112030297: União das freguesias de Creixomil e Mariz;321;103;45;41;33;28;71;
;112030298: União das freguesias de Durrães e Tregosa;191;64;21;14;28;28;36;
;112030299: União das freguesias de Gamil e Midões;180;50;32;20;10;28;40;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;578;213;73;54;88;68;82;
;1120302FB: União das freguesias de Negreiros e Chavão;486;173;72;55;71;68;47;
;1120302FC: União das freguesias de Quintiães e Aguiar;362;125;53;33;52;54;45;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);399;126;59;25;47;53;89;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);298;87;45;30;30;54;52;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;264;84;45;30;25;39;41;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;659;199;106;82;79;90;103;
;1120302FH: União das freguesias de Vila Cova e Feitos;769;269;106;83;85;105;121;
;112030283: Várzea;156;46;30;16;20;23;21;
;112030287: Vila Seca;496;150;79;53;61;64;89;
;1120303: Braga;6827;2047;1040;696;693;1031;1320;
;112030301: Adaúfe;352;102;43;47;41;63;56;
;112030349: Braga (São Vicente);15;2;4;- -;2;- -;7;
;112030351: Braga (São Vítor);21;4;5;- -;2;8;2;
;112030312: Espinho;148;39;24;13;15;31;26;
;112030313: Esporões;175;54;23;22;23;13;40;
;112030315: Figueiredo;99;29;15;11;8;9;27;
;112030319: Gualtar;30;5;3;2;1;13;6;
;112030322: Lamas;86;24;13;10;9;16;14;
;112030325: Mire de Tibães;240;70;34;23;29;36;48;
;112030330: Padim da Graça;189;68;34;20;19;28;20;
;112030331: Palmeira;250;85;31;33;26;38;37;
;112030334: Pedralva;255;84;34;27;23;41;46;
;112030336: Priscos;228;72;27;30;23;28;48;
;112030338: Ruilhe;123;26;19;12;8;22;36;
;112030354: Sequeira;243;61;58;16;21;40;47;
;112030355: Sobreposta;198;73;26;17;27;25;30;
;112030356: Tadim;60;12;7;6;6;8;21;
;112030357: Tebosa;105;38;15;9;12;17;14;
;112030363: União das freguesias de Arentim e Cunha;313;85;49;42;34;35;68;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);77;22;10;6;8;9;22;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;- -;- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);258;59;44;22;22;41;70;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;307;70;56;16;32;52;81;
;112030368: União das freguesias de Crespos e Pousada;358;119;35;43;41;44;76;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);278;96;39;24;20;53;46;
;112030370: União das freguesias de Este (São Pedro e São Mamede);185;55;29;15;23;21;42;
;112030371: União das freguesias de Ferreiros e Gondizalves;210;62;42;18;21;34;33;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);155;52;26;10;13;25;29;
;112030373: União das freguesias de Lomar e Arcos;156;31;27;18;11;29;40;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;317;93;61;31;36;34;62;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;199;71;26;24;22;28;28;
;112030376: União das freguesias de Morreira e Trandeiras;183;69;20;13;22;36;23;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;160;40;23;14;27;29;27;
;112030378: União das freguesias de Nogueiró e Tenões;81;24;10;13;6;12;16;
;112030379: União das freguesias de Real, Dume e Semelhe;415;129;83;51;25;68;59;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;152;57;23;15;13;13;31;
;112030381: União das freguesias de Vilaça e Fradelos;206;65;22;23;22;32;42;
;1120306: Esposende;5491;1644;737;655;753;757;945;
;112030601: Antas;349;62;60;50;32;55;90;
;112030608: Forjães;385;105;75;37;40;57;71;
;112030610: Gemeses;360;129;53;35;39;50;54;
;112030616: União das freguesias de Apúlia e Fão;981;291;125;135;174;142;114;
;112030617: União das freguesias de Belinho e Mar;726;239;93;83;77;97;137;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;1242;409;147;156;165;149;216;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;714;212;94;87;117;75;129;
;112030620: União das freguesias de Palmeira de Faro e Curvos;537;170;77;51;72;90;77;
;112030615: Vila Chã;197;27;13;21;37;42;57;
;1120310: Terras de Bouro;2819;845;351;289;313;417;604;
;112031001: Balança;140;39;15;20;19;19;28;
;112031003: Campo do Gerês;53;17;8;7;5;8;8;
;112031004: Carvalheira;222;68;36;19;19;31;49;
;112031008: Covide;180;57;24;8;23;27;41;
;112031009: Gondoriz;178;53;23;11;23;20;48;
;112031010: Moimenta;112;16;22;13;11;22;28;
;112031012: Ribeira;118;39;17;10;9;15;28;
;112031013: Rio Caldo;174;50;30;17;14;25;38;
;112031014: Souto;208;60;27;24;26;31;40;
;112031018: União das freguesias de Chamoim e Vilar;339;99;40;31;37;50;82;
;112031019: União das freguesias de Chorense e Monte;356;123;27;35;52;58;61;
;112031020: União das freguesias de Cibões e Brufe;354;100;39;44;41;50;80;
;112031015: Valdosende;165;45;21;19;17;26;37;
;112031017: Vilar da Veiga;220;79;22;31;17;35;36;
;1120313: Vila Verde;10186;3275;1216;996;1208;1541;1950;
;112031359: Aboim da Nóbrega e Gondomar;544;145;67;65;73;80;114;
;112031304: Atiães;218;81;24;25;26;24;38;
;112031308: Cabanelas;160;42;22;14;17;22;43;
;112031309: Cervães;376;111;54;35;43;61;72;
;112031311: Coucieiro;156;44;18;12;23;15;44;
;112031313: Dossãos;261;103;18;26;31;45;38;
;112031316: Freiriz;247;74;31;14;30;49;49;
;112031317: Gême;97;36;12;9;11;16;13;
;112031323: Lage;249;71;45;20;28;42;43;
;112031324: Lanhas;100;29;10;6;12;21;22;
;112031325: Loureira;106;26;14;8;15;19;24;
;112031328: Moure;205;75;21;22;22;37;28;
;112031330: Oleiros;112;35;16;10;12;17;22;
;112031331: Parada de Gatim;219;72;35;17;24;29;42;
;112031335: Pico;195;62;25;18;26;20;44;
;112031337: Ponte;84;20;6;4;13;15;26;
;112031350: Prado (São Miguel);223;71;20;34;26;28;44;
;112031340: Sabariz;48;11;4;3;4;8;18;
;112031352: Soutelo;210;69;28;26;25;28;34;
;112031354: Turiz;195;73;26;21;20;24;31;
;112031360: União das freguesias da Ribeira do Neiva;1691;556;160;177;183;283;332;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);328;111;24;36;39;61;57;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);267;85;41;23;37;42;39;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;296;96;46;23;29;53;49;
;112031364: União das freguesias de Marrancos e Arcozelo;189;61;23;16;32;36;21;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);279;85;36;28;33;38;59;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;423;134;58;38;46;43;104;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;633;232;64;75;82;72;108;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);311;93;42;35;32;50;59;
;112031369: União das freguesias do Vade;729;234;89;65;89;114;138;
;112031355: Valdreu;414;121;54;28;41;76;94;
;112031342: Vila de Prado;230;72;35;23;33;26;41;
;112031370: Vila Verde e Barbudo;391;145;48;40;51;47;60;
;119: Ave;37879;11772;4820;4086;4171;5702;7328;
;1190304: Cabeceiras de Basto;4670;1540;518;470;519;653;970;
;119030401: Abadim;283;75;44;28;18;49;69;
;119030404: Basto;245;123;30;21;21;23;27;
;119030405: Bucos;259;70;25;38;30;30;66;
;119030406: Cabeceiras de Basto;280;84;33;22;24;41;76;
;119030407: Cavez;538;163;45;54;85;73;118;
;119030408: Faia;220;82;13;25;26;33;41;
;119030413: Pedraça;363;134;39;40;35;50;65;
;119030415: Rio Douro;610;179;81;65;55;91;139;
;119030418: União das freguesias de Alvite e Passos;357;126;43;34;32;57;65;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;389;144;42;44;51;45;63;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;276;62;32;29;34;42;77;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;850;298;91;70;108;119;164;
;1190307: Fafe;7471;2078;917;842;859;1197;1578;
;119030705: Armil;144;46;20;9;18;23;28;
;119030726: Arões (Santa Cristina);89;22;6;7;13;17;24;
;119030730: Arões (São Romão);204;72;27;15;17;40;33;
;119030708: Estorãos;297;58;26;26;47;61;79;
;119030709: Fafe;279;87;30;43;26;37;56;
;119030712: Fornelos;163;32;17;27;23;27;37;
;119030714: Golães;214;59;26;23;29;40;37;
;119030716: Medelo;70;9;9;6;9;14;23;
;119030719: Paços;227;63;32;25;27;35;45;
;119030722: Quinchães;316;74;42;45;29;58;68;
;119030723: Regadas;283;82;50;31;45;36;39;
;119030724: Revelhe;256;75;30;22;31;43;55;
;119030725: Ribeiros;128;33;14;11;12;17;41;
;119030728: São Gens;539;149;56;60;59;98;117;
;119030729: Silvares (São Martinho);180;53;25;31;21;14;36;
;119030733: Travassós;512;144;66;76;63;74;89;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;515;158;55;44;57;84;117;
;119030738: União de freguesias de Agrela e Serafão;332;102;48;24;37;42;79;
