
Quadro extraído em 17 de Outubro de 2022 (00:03:55)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
;2009;;;;;;;;;
;Tipo de mão-de-obra;;;;;;;;;
;Mão-de-obra agrícola total;Mão-de-obra agrícola familiar;Produtor;Cônjuge;Outros membros da família;Mão-de-obra agrícola não familiar;Permanente;Eventual;Mão-de-obra não contratada pelo produtor;
;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;
111160427: Segude;89;86;43;30;13;3;1;2;0;
111160428: Tangil;256;254;129;83;42;2;0;2;0;
111160431: Trute;41;41;19;12;10;0;0;0;0;
111160434: União das freguesias de Anhões e Luzio;128;127;58;46;23;1;1;0;0;
111160435: União das freguesias de Ceivães e Badim;122;117;60;33;24;5;0;4;0;
111160436: União das freguesias de Mazedo e Cortes;198;172;92;50;30;26;14;12;0;
111160437: União das freguesias de Messegães, Valadares e Sá;128;117;58;34;26;10;3;8;0;
111160438: União das freguesias de Monção e Troviscoso;85;66;32;18;16;19;7;10;2;
111160439: União das freguesias de Sago, Lordelo e Parada;142;141;72;48;21;2;1;1;0;
111160440: União das freguesias de Troporiz e Lapela;50;48;21;13;15;2;0;2;0;
1111605: Paredes de Coura;1247;1202;606;378;218;45;20;19;5;
111160501: Agualonga;88;87;42;26;20;0;0;0;0;
111160503: Castanheira;69;67;35;15;18;2;0;2;1;
111160505: Coura;76;75;36;24;15;1;0;1;0;
111160507: Cunha;130;130;58;42;30;1;0;0;0;
111160510: Infesta;79;78;39;29;10;0;0;0;0;
111160513: Mozelos;22;20;10;6;4;2;2;0;0;
111160514: Padornelo;75;74;39;29;7;1;0;1;0;
111160515: Parada;41;37;15;11;11;4;2;1;0;
111160519: Romarigães;60;55;26;16;14;5;4;1;0;
111160520: Rubiães;91;89;41;29;20;2;0;2;0;
111160522: União das freguesias de Bico e Cristelo;96;94;52;24;19;2;0;1;1;
111160523: União das freguesias de Cossourado e Linhares;73;71;39;23;9;3;1;1;0;
111160524: União das freguesias de Formariz e Ferreira;123;111;65;37;9;12;5;7;1;
111160525: União das freguesias de Insalde e Porreiras;119;112;62;37;14;7;5;1;1;
111160526: União das freguesias de Paredes de Coura e Resende;69;69;33;21;15;1;0;1;0;
111160521: Vascões;36;35;18;12;5;1;0;0;0;
1111606: Ponte da Barca;1286;1250;616;402;232;36;13;21;2;
111160601: Azias;112;112;53;33;26;0;0;0;0;
111160602: Boivães;83;83;41;22;20;0;0;0;0;
111160603: Bravães;78;77;30;28;18;1;1;0;0;
111160604: Britelo;37;35;20;12;4;2;1;1;0;
111160606: Cuide de Vila Verde;27;27;13;12;3;0;0;0;0;
111160611: Lavradas;121;121;53;47;21;0;0;0;0;
111160612: Lindoso;77;76;44;24;9;1;0;0;0;
111160613: Nogueira;35;33;17;8;9;2;1;1;0;
111160614: Oleiros;54;44;22;14;8;10;6;4;0;
111160619: Sampriz;132;131;65;43;23;0;0;0;0;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;154;148;66;45;37;6;0;6;1;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;78;77;44;24;9;1;0;1;0;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;123;116;62;38;16;7;1;6;0;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);36;33;18;9;6;3;1;2;0;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);91;91;47;27;17;1;0;0;0;
111160623: Vade (São Pedro);21;21;10;6;5;0;0;0;0;
111160624: Vade (São Tomé);26;26;13;10;3;0;0;0;0;
1111607: Ponte de Lima;4550;4229;2133;1280;816;321;169;134;18;
111160701: Anais;87;82;42;21;20;5;2;3;0;
111160752: Arca e Ponte de Lima;30;18;9;5;4;12;9;2;0;
111160704: Arcozelo;126;105;53;28;24;21;8;12;0;
111160753: Ardegão, Freixo e Mato;202;196;99;58;39;6;3;2;1;
111160754: Associação de freguesias do Vale do Neiva;182;171;93;59;19;11;7;3;1;
111160755: Bárrio e Cepões;60;59;30;21;8;2;1;1;0;
111160707: Beiral do Lima;146;139;67;43;29;7;5;2;0;
111160708: Bertiandos;50;42;20;16;6;8;5;3;0;
111160709: Boalhosa;31;29;16;9;4;2;2;0;0;
111160710: Brandara;33;24;11;7;5;9;6;3;0;
111160756: Cabaços e Fojo Lobal;140;139;73;45;20;1;0;0;0;
111160757: Cabração e Moreira do Lima;159;142;79;44;19;17;9;8;0;
111160713: Calheiros;149;139;68;47;24;10;5;5;0;
111160714: Calvelo;74;58;30;17;10;16;11;5;0;
111160716: Correlhã;261;244;124;61;59;17;7;9;1;
111160717: Estorãos;111;102;54;34;15;9;1;8;0;
111160718: Facha;186;164;79;51;34;21;13;8;1;
111160719: Feitosa;26;22;13;8;1;4;2;2;0;
111160721: Fontão;86;81;44;18;19;5;1;4;0;
111160758: Fornelos e Queijada;251;242;127;75;40;9;5;4;0;
111160724: Friastelas;83;76;41;22;13;7;4;1;2;
111160726: Gandra;115;110;50;28;32;5;3;2;0;
111160727: Gemieira;88;81;40;26;15;7;2;4;0;
111160728: Gondufe;99;93;44;23;26;6;3;3;0;
111160729: Labruja;67;66;31;21;14;1;0;0;0;
111160759: Labrujó, Rendufe e Vilar do Monte;122;117;58;35;25;5;1;3;1;
111160760: Navió e Vitorino dos Piães;310;303;155;88;60;7;3;3;1;
111160734: Poiares;129;118;65;37;17;11;8;2;0;
111160744: Rebordões (Santa Maria);100;96;49;31;16;3;2;2;0;
111160747: Rebordões (Souto);118;114;55;33;26;4;1;2;0;
111160737: Refóios do Lima;312;283;143;88;52;29;14;13;1;
111160739: Ribeira;116;110;55;30;25;6;3;3;0;
111160740: Sá;50;44;23;14;6;7;5;2;0;
111160742: Santa Comba;33;31;13;8;10;2;1;1;0;
111160743: Santa Cruz do Lima;58;57;29;17;12;1;0;1;0;
111160703: São Pedro d'Arcos;138;125;60;41;25;13;9;3;1;
111160745: Seara;58;50;21;16;14;8;6;1;0;
111160746: Serdedelo;76;74;36;25;13;2;1;0;0;
111160750: Vitorino das Donas;90;83;36;31;16;7;3;3;0;
1111608: Valença;1132;1017;495;336;186;114;89;23;2;
111160802: Boivão;51;50;23;16;12;0;0;0;0;
111160803: Cerdal;149;145;73;45;27;4;3;1;1;
111160805: Fontoura;164;142;73;42;28;22;21;1;0;
111160806: Friestas;35;34;20;11;4;0;0;0;0;
111160808: Ganfei;161;132;60;44;28;29;22;7;1;
111160812: São Pedro da Torre;54;43;20;17;5;12;10;2;0;
111160817: União das freguesias de Gandra e Taião;147;127;60;47;20;20;16;4;0;
111160818: União das freguesias de Gondomil e Sanfins;118;114;57;39;18;4;1;3;0;
111160819: União das freguesias de São Julião e Silva;128;112;52;37;24;15;14;1;0;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;64;57;26;19;13;7;3;4;0;
111160816: Verdoejo;61;61;33;20;8;1;0;0;0;
1111609: Viana do Castelo;2490;2251;1117;608;525;239;180;52;8;
111160901: Afife;32;22;11;6;5;10;8;2;0;
111160902: Alvarães;83;76;38;26;11;7;5;1;0;
111160903: Amonde;34;34;16;7;10;1;1;0;0;
111160904: Anha;63;55;22;19;14;9;6;2;0;
111160905: Areosa;33;26;17;4;5;7;5;2;0;
111160908: Carreço;82;66;31;16;19;16;14;2;0;
111160910: Castelo do Neiva;65;65;35;20;10;0;0;0;0;
111160940: Chafé;46;34;20;10;4;12;10;2;0;
111160911: Darque;8;4;3;1;0;4;3;1;0;
111160914: Freixieiro de Soutelo;78;73;31;16;27;5;4;0;0;
111160915: Lanheses;110;107;54;26;27;3;1;1;0;
111160920: Montaria;97;96;43;25;29;1;1;0;0;
111160922: Mujães;46;34;18;10;5;12;12;0;0;
111160925: Outeiro;153;152;69;35;47;1;1;0;0;
111160926: Perre;137;131;74;32;25;6;1;4;0;
