
Statistical table extracted on October 10, 2022 (16:36:15)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;1999;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
PT: Portugal;3052383;666214;70690;73807;
1: Continente;2935907;661772;70690;67772;
11: Norte;577534;20996;68456;6569;
111: Alto Minho;30700;541;32973;4061;
1111601: Arcos de Valdevez;5409;32;11079;155;
111160101: Aboim das Choças;53;- -;26;- -;
111160102: Aguiã;78;- -;82;- -;
111160104: Ázere;57;- -;- -;- -;
111160105: Cabana Maior;102;- -;2040;- -;
111160106: Cabreiro;196;- -;2000;- -;
111160108: Cendufe;88;- -;5;- -;
111160109: Couto;92;- -;- -;- -;
111160113: Gavieira;215;- -;499;- -;
111160115: Gondoriz;287;- -;637;- -;
111160142: Jolda (São Paio);90;- -;- -;- -;
111160121: Miranda;163;- -;20;- -;
111160122: Monte Redondo;83;- -;5;3;
111160123: Oliveira;64;2;- -;- -;
111160124: Paçô;79;- -;- -;35;
111160125: Padroso;78;- -;80;- -;
111160128: Prozelo;122;- -;- -;0;
111160131: Rio de Moinhos;109;- -;10;- -;
111160130: Rio Frio;287;- -;312;- -;
111160133: Sabadim;143;- -;58;- -;
111160144: Senharei;122;- -;144;- -;
111160145: Sistelo;354;- -;1004;- -;
111160146: Soajo;403;- -;2400;- -;
111160152: União das freguesias de Alvora e Loureda;164;- -;338;- -;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;68;- -;3;3;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;136;8;9;- -;
111160155: União das freguesias de Eiras e Mei;129;- -;100;- -;
111160156: União das freguesias de Grade e Carralcova;249;- -;9;1;
111160157: União das freguesias de Guilhadeses e Santar;127;- -;- -;- -;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;148;23;- -;- -;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);122;- -;82;- -;
111160160: União das freguesias de Portela e Extremo;100;- -;127;- -;
111160161: União das freguesias de São Jorge e Ermelo;145;- -;735;- -;
111160162: União das freguesias de Souto e Tabaçô;140;- -;- -;- -;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);239;- -;67;- -;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;227;- -;82;112;
111160149: Vale;148;- -;205;- -;
1111602: Caminha;855;5;1385;- -;
111160201: Âncora;46;4;- -;- -;
111160205: Argela;57;- -;- -;- -;
111160209: Dem;90;- -;31;- -;
111160211: Lanhelas;26;- -;- -;- -;
111160214: Riba de Âncora;114;- -;9;- -;
111160215: Seixas;17;- -;16;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);109;- -;1194;- -;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;38;- -;- -;- -;
111160223: União das freguesias de Gondar e Orbacém;97;- -;126;- -;
111160224: União das freguesias de Moledo e Cristelo;26;- -;3;- -;
111160225: União das freguesias de Venade e Azevedo;93;- -;- -;- -;
111160217: Vila Praia de Âncora;38;1;- -;- -;
111160218: Vilar de Mouros;73;0;6;- -;
111160220: Vile;32;- -;- -;- -;
1111603: Melgaço;2220;- -;1773;2304;
111160301: Alvaredo;131;- -;- -;4;
111160304: Cousso;100;- -;- -;110;
111160305: Cristoval;39;- -;- -;20;
111160307: Fiães;107;- -;- -;508;
111160308: Gave;100;- -;- -;362;
111160311: Paderne;240;- -;53;- -;
111160313: Penso;87;- -;24;- -;
111160317: São Paio;152;- -;- -;228;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;547;- -;1050;400;
111160320: União das freguesias de Chaviães e Paços;91;- -;- -;40;
111160321: União das freguesias de Parada do Monte e Cubalhão;418;- -;620;619;
111160322: União das freguesias de Prado e Remoães;79;- -;- -;13;
111160323: União das freguesias de Vila e Roussas;129;- -;26;- -;
1111604: Monção;3218;85;3155;552;
111160401: Abedim;115;- -;52;- -;
111160404: Barbeita;137;0;- -;- -;
111160405: Barroças e Taias;58;- -;- -;- -;
111160406: Bela;85;- -;- -;- -;
