
Statistical table extracted on October 15, 2022 (14:19:30)
http://www.ine.pt



Geographic localization (NUTS -2013);Average value of total standard output by agricultural holding (?) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;1999;
;? ;
PT: Portugal;11108,5;
1: Continente;11053,8;
11: Norte;8024,8;
111: Alto Minho;5490,3;
1111601: Arcos de Valdevez;3932,9;
111160101: Aboim das Choças;4059;
111160102: Aguiã;3013,7;
111160104: Ázere;4042,9;
111160105: Cabana Maior;5185,3;
111160106: Cabreiro;4615,4;
111160108: Cendufe;2738,2;
111160109: Couto;2383,1;
111160113: Gavieira;4897,1;
111160115: Gondoriz;3923,7;
111160142: Jolda (São Paio);4586,4;
111160121: Miranda;2003,9;
111160122: Monte Redondo;3083,9;
111160123: Oliveira;5681,9;
111160124: Paçô;24059,2;
111160125: Padroso;3869,8;
111160128: Prozelo;2690,3;
111160131: Rio de Moinhos;2577;
111160130: Rio Frio;2834,2;
111160133: Sabadim;2932,6;
111160144: Senharei;3155,8;
111160145: Sistelo;4028,1;
111160146: Soajo;3434,9;
111160152: União das freguesias de Alvora e Loureda;3262,8;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;11655,8;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;4050,6;
111160155: União das freguesias de Eiras e Mei;3207,3;
111160156: União das freguesias de Grade e Carralcova;2816,1;
111160157: União das freguesias de Guilhadeses e Santar;3241;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;4522,7;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);3534,4;
111160160: União das freguesias de Portela e Extremo;4120,4;
111160161: União das freguesias de São Jorge e Ermelo;3311,7;
111160162: União das freguesias de Souto e Tabaçô;3462,2;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);4813,7;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;3973,4;
111160149: Vale;3167,5;
1111602: Caminha;7140,2;
111160201: Âncora;5597,3;
111160205: Argela;6909,1;
111160209: Dem;4136,7;
111160211: Lanhelas;4051,5;
111160214: Riba de Âncora;7056,3;
111160215: Seixas;7741,1;
111160221: União das freguesias de Arga (Baixo, Cima e São João);6528,2;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;10039;
111160223: União das freguesias de Gondar e Orbacém;4071,8;
111160224: União das freguesias de Moledo e Cristelo;3645;
111160225: União das freguesias de Venade e Azevedo;5663;
111160217: Vila Praia de Âncora;12610,2;
111160218: Vilar de Mouros;18089,4;
111160220: Vile;8280,8;
1111603: Melgaço;3178,1;
111160301: Alvaredo;3697,8;
111160304: Cousso;2373,2;
111160305: Cristoval;2873,6;
111160307: Fiães;3413,3;
111160308: Gave;2789,5;
111160311: Paderne;3661,6;
111160313: Penso;3257,3;
111160317: São Paio;2744,9;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;3239,7;
111160320: União das freguesias de Chaviães e Paços;2913,4;
111160321: União das freguesias de Parada do Monte e Cubalhão;3293,5;
111160322: União das freguesias de Prado e Remoães;3523,2;
111160323: União das freguesias de Vila e Roussas;2561,5;
1111604: Monção;3812,9;
111160401: Abedim;3013,3;
111160404: Barbeita;3294,8;
111160405: Barroças e Taias;3031,2;
111160406: Bela;3003,1;
111160407: Cambeses;2978,7;
111160410: Lara;4402,3;
111160411: Longos Vales;3391,7;
111160415: Merufe;3951,4;
111160418: Moreira;4171,6;
111160420: Pias;4412,7;
111160421: Pinheiros;7433,7;
111160422: Podame;2418,5;
111160423: Portela;3858,7;
111160424: Riba de Mouro;2414,1;
111160427: Segude;4079,7;
111160428: Tangil;2604,4;
111160431: Trute;3335,3;
111160434: União das freguesias de Anhões e Luzio;3671,8;
111160435: União das freguesias de Ceivães e Badim;5571,3;
111160436: União das freguesias de Mazedo e Cortes;4677,2;
111160437: União das freguesias de Messegães, Valadares e Sá;4579,7;
111160438: União das freguesias de Monção e Troviscoso;7201,8;
111160439: União das freguesias de Sago, Lordelo e Parada;3121,8;
111160440: União das freguesias de Troporiz e Lapela;2629,7;
1111605: Paredes de Coura;7327,5;
111160501: Agualonga;4427,9;
111160503: Castanheira;5032,4;
111160505: Coura;2975,9;
111160507: Cunha;4432,6;
111160510: Infesta;4883;
111160513: Mozelos;4916,7;
111160514: Padornelo;5060;
111160515: Parada;5263;
111160519: Romarigães;47681,5;
111160520: Rubiães;5836,3;
111160522: União das freguesias de Bico e Cristelo;4705,5;
111160523: União das freguesias de Cossourado e Linhares;5354,9;
111160524: União das freguesias de Formariz e Ferreira;5332;
111160525: União das freguesias de Insalde e Porreiras;8156,1;
111160526: União das freguesias de Paredes de Coura e Resende;10395;
111160521: Vascões;4822,6;
1111606: Ponte da Barca;4189,3;
111160601: Azias;3014,2;
111160602: Boivães;3089,8;
111160603: Bravães;4659,9;
111160604: Britelo;11734,4;
111160606: Cuide de Vila Verde;3875;
111160611: Lavradas;3548,8;
111160612: Lindoso;3268,2;
111160613: Nogueira;3345,1;
111160614: Oleiros;7569,9;
111160619: Sampriz;2378,4;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;3424,5;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;4054,6;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;7483,3;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);3609,9;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);2563,9;
111160623: Vade (São Pedro);4100,9;
111160624: Vade (São Tomé);2929,2;
1111607: Ponte de Lima;6189,8;
111160701: Anais;3403,7;
111160752: Arca e Ponte de Lima;14692,5;
111160704: Arcozelo;5222,4;
111160753: Ardegão, Freixo e Mato;9731,4;
111160754: Associação de freguesias do Vale do Neiva;9346,9;
111160755: Bárrio e Cepões;5383,7;
111160707: Beiral do Lima;3924,1;
111160708: Bertiandos;5275;
111160709: Boalhosa;2384,6;
111160710: Brandara;5838,4;
111160756: Cabaços e Fojo Lobal;5491,6;
111160757: Cabração e Moreira do Lima;6817,5;
111160713: Calheiros;4671,9;
111160714: Calvelo;10345,5;
111160716: Correlhã;8192,1;
111160717: Estorãos;4920,3;
111160718: Facha;6002;
111160719: Feitosa;7489,4;
111160721: Fontão;8725,3;
111160758: Fornelos e Queijada;4399,5;
111160724: Friastelas;6809;
111160726: Gandra;5170,5;
111160727: Gemieira;5943,9;
111160728: Gondufe;6166,3;
111160729: Labruja;3610,9;
111160759: Labrujó, Rendufe e Vilar do Monte;3705,1;
111160760: Navió e Vitorino dos Piães;5445,9;
111160734: Poiares;17510,8;
111160744: Rebordões (Santa Maria);5806,9;
111160747: Rebordões (Souto);3517,8;
111160737: Refóios do Lima;4542,8;
111160739: Ribeira;5749,6;
111160740: Sá;7520,4;
111160742: Santa Comba;7626,9;
111160743: Santa Cruz do Lima;3868,5;
111160703: São Pedro d'Arcos;5449,8;
111160745: Seara;6363;
111160746: Serdedelo;5059,2;
111160750: Vitorino das Donas;4055,7;
1111608: Valença;6142,9;
111160802: Boivão;2506,3;
111160803: Cerdal;5254,4;
111160805: Fontoura;4701,7;
111160806: Friestas;2966,5;
111160808: Ganfei;4315,1;
111160812: São Pedro da Torre;16120,2;
111160817: União das freguesias de Gandra e Taião;12970,1;
111160818: União das freguesias de Gondomil e Sanfins;2927,4;
111160819: União das freguesias de São Julião e Silva;4443,3;
