
Statistical table extracted on October 11, 2022 (17:18:29)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
2019;PT: Portugal;665571;346725;318846;
;1: Continente;599497;312512;286985;
;11: Norte;257718;131829;125889;
;111: Alto Minho;28806;14211;14595;
;1111601: Arcos de Valdevez;4512;2148;2364;
;111160101: Aboim das Choças;94;41;53;
;111160102: Aguiã;99;49;50;
;111160104: Ázere;68;32;36;
;111160105: Cabana Maior;63;28;35;
;111160106: Cabreiro;204;93;111;
;111160108: Cendufe;50;25;25;
;111160109: Couto;104;52;52;
;111160113: Gavieira;271;120;151;
;111160115: Gondoriz;298;144;154;
;111160142: Jolda (São Paio);58;26;32;
;111160121: Miranda;117;55;62;
;111160122: Monte Redondo;69;31;38;
;111160123: Oliveira;95;45;50;
;111160124: Paçô;86;43;43;
;111160125: Padroso;43;22;21;
;111160128: Prozelo;134;61;73;
;111160131: Rio de Moinhos;106;50;56;
;111160130: Rio Frio;151;71;80;
;111160133: Sabadim;99;53;46;
;111160144: Senharei;79;39;40;
;111160145: Sistelo;135;60;75;
;111160146: Soajo;268;129;139;
;111160152: União das freguesias de Alvora e Loureda;119;57;62;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;72;36;36;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;90;48;42;
;111160155: União das freguesias de Eiras e Mei;84;42;42;
;111160156: União das freguesias de Grade e Carralcova;177;77;100;
;111160157: União das freguesias de Guilhadeses e Santar;146;68;78;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;114;56;58;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);80;36;44;
;111160160: União das freguesias de Portela e Extremo;80;43;37;
;111160161: União das freguesias de São Jorge e Ermelo;152;77;75;
;111160162: União das freguesias de Souto e Tabaçô;160;78;82;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);200;95;105;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;156;74;82;
