
Statistical table extracted on October 11, 2022 (17:18:29)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;111160149: Vale;191;92;99;
;1111602: Caminha;968;456;512;
;111160201: Âncora;59;25;34;
;111160205: Argela;29;14;15;
;111160209: Dem;76;37;39;
;111160211: Lanhelas;17;9;8;
;111160214: Riba de Âncora;129;62;67;
;111160215: Seixas;9;5;4;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);114;51;63;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;44;21;23;
;111160223: União das freguesias de Gondar e Orbacém;144;66;78;
;111160224: União das freguesias de Moledo e Cristelo;38;14;24;
;111160225: União das freguesias de Venade e Azevedo;141;63;78;
;111160217: Vila Praia de Âncora;67;32;35;
;111160218: Vilar de Mouros;48;25;23;
;111160220: Vile;53;32;21;
;1111603: Melgaço;2360;1153;1207;
;111160301: Alvaredo;243;120;123;
;111160304: Cousso;46;19;27;
;111160305: Cristoval;65;33;32;
;111160307: Fiães;83;38;45;
;111160308: Gave;61;31;30;
;111160311: Paderne;474;237;237;
;111160313: Penso;171;81;90;
;111160317: São Paio;188;95;93;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;290;128;162;
;111160320: União das freguesias de Chaviães e Paços;148;76;72;
;111160321: União das freguesias de Parada do Monte e Cubalhão;157;69;88;
;111160322: União das freguesias de Prado e Remoães;194;103;91;
;111160323: União das freguesias de Vila e Roussas;240;123;117;
;1111604: Monção;4341;2159;2182;
;111160401: Abedim;83;42;41;
;111160404: Barbeita;252;132;120;
;111160405: Barroças e Taias;113;55;58;
;111160406: Bela;124;70;54;
;111160407: Cambeses;87;59;28;
;111160410: Lara;164;75;89;
;111160411: Longos Vales;276;135;141;
;111160415: Merufe;499;246;253;
;111160418: Moreira;180;83;97;
;111160420: Pias;286;152;134;
;111160421: Pinheiros;78;36;42;
;111160422: Podame;70;36;34;
;111160423: Portela;50;27;23;
;111160424: Riba de Mouro;266;121;145;
;111160427: Segude;129;65;64;
;111160428: Tangil;225;104;121;
;111160431: Trute;95;51;44;
;111160434: União das freguesias de Anhões e Luzio;139;63;76;
;111160435: União das freguesias de Ceivães e Badim;200;105;95;
;111160436: União das freguesias de Mazedo e Cortes;354;182;172;
;111160437: União das freguesias de Messegães, Valadares e Sá;233;109;124;
;111160438: União das freguesias de Monção e Troviscoso;188;95;93;
;111160439: União das freguesias de Sago, Lordelo e Parada;142;70;72;
;111160440: União das freguesias de Troporiz e Lapela;108;46;62;
;1111605: Paredes de Coura;1995;1026;969;
;111160501: Agualonga;72;37;35;
;111160503: Castanheira;135;72;63;
;111160505: Coura;61;28;33;
;111160507: Cunha;123;61;62;
;111160510: Infesta;128;72;56;
;111160513: Mozelos;67;34;33;
;111160514: Padornelo;138;70;68;
;111160515: Parada;110;59;51;
;111160519: Romarigães;41;19;22;
;111160520: Rubiães;112;57;55;
;111160522: União das freguesias de Bico e Cristelo;280;148;132;
;111160523: União das freguesias de Cossourado e Linhares;114;58;56;
;111160524: União das freguesias de Formariz e Ferreira;250;120;130;
;111160525: União das freguesias de Insalde e Porreiras;156;82;74;
;111160526: União das freguesias de Paredes de Coura e Resende;122;67;55;
;111160521: Vascões;86;42;44;
;1111606: Ponte da Barca;2136;1055;1081;
;111160601: Azias;112;56;56;
;111160602: Boivães;94;42;52;
;111160603: Bravães;197;103;94;
;111160604: Britelo;50;26;24;
;111160606: Cuide de Vila Verde;70;33;37;
;111160611: Lavradas;298;142;156;
;111160612: Lindoso;143;73;70;
;111160613: Nogueira;37;21;16;
;111160614: Oleiros;88;46;42;
;111160619: Sampriz;141;70;71;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;228;114;114;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;168;85;83;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;240;118;122;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);60;32;28;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);121;53;68;
;111160623: Vade (São Pedro);38;18;20;
;111160624: Vade (São Tomé);51;23;28;
;1111607: Ponte de Lima;6838;3391;3447;
;111160701: Anais;290;147;143;
;111160752: Arca e Ponte de Lima;56;35;21;
;111160704: Arcozelo;209;110;99;
;111160753: Ardegão, Freixo e Mato;207;102;105;
;111160754: Associação de freguesias do Vale do Neiva;198;101;97;
;111160755: Bárrio e Cepões;174;95;79;
;111160707: Beiral do Lima;186;90;96;
;111160708: Bertiandos;39;18;21;
;111160709: Boalhosa;37;15;22;
;111160710: Brandara;42;25;17;
;111160756: Cabaços e Fojo Lobal;241;113;128;
;111160757: Cabração e Moreira do Lima;276;139;137;
;111160713: Calheiros;305;150;155;
;111160714: Calvelo;122;65;57;
;111160716: Correlhã;452;221;231;
;111160717: Estorãos;157;81;76;
;111160718: Facha;239;112;127;
;111160719: Feitosa;78;41;37;
;111160721: Fontão;139;74;65;
;111160758: Fornelos e Queijada;415;203;212;
;111160724: Friastelas;86;37;49;
;111160726: Gandra;135;66;69;
;111160727: Gemieira;103;47;56;
;111160728: Gondufe;156;74;82;
;111160729: Labruja;93;51;42;
;111160759: Labrujó, Rendufe e Vilar do Monte;178;89;89;
;111160760: Navió e Vitorino dos Piães;310;164;146;
;111160734: Poiares;191;87;104;
;111160744: Rebordões (Santa Maria);150;73;77;
;111160747: Rebordões (Souto);203;96;107;
;111160737: Refóios do Lima;453;210;243;
;111160739: Ribeira;236;126;110;
;111160740: Sá;63;30;33;
;111160742: Santa Comba;29;16;13;
;111160743: Santa Cruz do Lima;84;40;44;
;111160703: São Pedro d'Arcos;214;109;105;
;111160745: Seara;95;46;49;
;111160746: Serdedelo;104;47;57;
;111160750: Vitorino das Donas;93;46;47;
;1111608: Valença;1154;614;540;
;111160802: Boivão;49;20;29;
;111160803: Cerdal;265;135;130;
;111160805: Fontoura;111;56;55;
;111160806: Friestas;49;33;16;
;111160808: Ganfei;154;91;63;
;111160812: São Pedro da Torre;38;24;14;
;111160817: União das freguesias de Gandra e Taião;129;60;69;
;111160818: União das freguesias de Gondomil e Sanfins;70;34;36;
;111160819: União das freguesias de São Julião e Silva;124;69;55;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;105;60;45;
;111160816: Verdoejo;60;32;28;
;1111609: Viana do Castelo;3910;1901;2009;
;111160901: Afife;41;20;21;
;111160902: Alvarães;106;54;52;
;111160903: Amonde;87;43;44;
;111160904: Anha;93;45;48;
;111160905: Areosa;48;25;23;
;111160908: Carreço;77;39;38;
;111160910: Castelo do Neiva;151;79;72;
;111160940: Chafé;133;74;59;
;111160911: Darque;25;11;14;
;111160914: Freixieiro de Soutelo;95;47;48;
;111160915: Lanheses;86;36;50;
;111160920: Montaria;145;60;85;
;111160922: Mujães;72;34;38;
;111160925: Outeiro;153;77;76;
;111160926: Perre;288;136;152;
;111160928: Santa Marta de Portuzelo;182;91;91;
;111160923: São Romão de Neiva;84;36;48;
;111160941: União das freguesias de Barroselas e Carvoeiro;276;138;138;
;111160942: União das freguesias de Cardielos e Serreleis;122;66;56;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;338;167;171;
;111160944: União das freguesias de Mazarefes e Vila Fria;179;81;98;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;230;111;119;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;400;195;205;
;111160947: União das freguesias de Torre e Vila Mou;177;75;102;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;107;52;55;
;111160938: Vila de Punhe;48;20;28;
;111160935: Vila Franca;167;89;78;
;1111610: Vila Nova de Cerveira;592;308;284;
;111161003: Cornes;60;31;29;
;111161004: Covas;98;52;46;
;111161006: Gondarém;50;25;25;
;111161007: Loivo;15;11;4;
;111161009: Mentrestido;56;29;27;
;111161012: Sapardos;49;28;21;
;111161013: Sopo;43;19;24;
;111161016: União das freguesias de Campos e Vila Meã;88;46;42;
;111161017: União das freguesias de Candemil e Gondar;41;19;22;
;111161018: União das freguesias de Reboreda e Nogueira;60;31;29;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;32;17;15;
;112: Cávado;20107;10115;9992;
;1120301: Amares;1943;950;993;
;112030102: Barreiros;136;64;72;
;112030104: Bico;39;20;19;
;112030119: Bouro (Santa Maria);82;38;44;
;112030120: Bouro (Santa Marta);117;57;60;
;112030105: Caires;126;58;68;
;112030107: Carrazedo;92;38;54;
;112030108: Dornelas;119;55;64;
;112030111: Fiscal;97;57;40;
;112030112: Goães;118;57;61;
;112030113: Lago;103;51;52;
;112030118: Rendufe;132;55;77;
;112030125: União das freguesias de Amares e Figueiredo;112;59;53;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;168;83;85;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;188;107;81;
;112030128: União das freguesias de Torre e Portela;80;36;44;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;234;115;119;
;1120302: Barcelos;6019;3032;2987;
;112030201: Abade de Neiva;116;59;57;
;112030202: Aborim;46;23;23;
;112030203: Adães;62;30;32;
;112030205: Airó;69;35;34;
;112030206: Aldreu;33;17;16;
;112030208: Alvelos;93;41;52;
;112030209: Arcozelo;9;5;4;
;112030210: Areias;17;11;6;
;112030212: Balugães;33;18;15;
;112030213: Barcelinhos;22;10;12;
;112030215: Barqueiros;159;74;85;
;112030216: Cambeses;65;36;29;
;112030218: Carapeços;98;46;52;
;112030220: Carvalhal;66;30;36;
;112030221: Carvalhas;43;21;22;
;112030224: Cossourado;87;49;38;
;112030228: Cristelo;212;97;115;
;112030234: Fornelos;57;27;30;
;112030235: Fragoso;120;59;61;
;112030268: Galegos (Santa Maria);23;11;12;
;112030272: Galegos (São Martinho);9;5;4;
;112030237: Gilmonde;58;27;31;
;112030242: Lama;28;17;11;
;112030243: Lijó;109;52;57;
;112030244: Macieira de Rates;260;129;131;
;112030245: Manhente;35;16;19;
;112030247: Martim;85;41;44;
;112030252: Moure;84;41;43;
;112030254: Oliveira;75;42;33;
;112030255: Palme;101;51;50;
;112030256: Panque;149;79;70;
;112030257: Paradela;119;58;61;
;112030259: Pereira;56;27;29;
;112030260: Perelhal;63;31;32;
;112030261: Pousa;63;35;28;
;112030263: Remelhe;111;57;54;
;112030265: Rio Covo (Santa Eugénia);27;17;10;
;112030264: Roriz;171;86;85;
;112030279: Silva;31;18;13;
;112030277: Tamel (São Veríssimo);23;15;8;
;112030282: Ucha;52;28;24;
;112030290: União das freguesias de Alheira e Igreja Nova;103;51;52;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;135;73;62;
;112030292: União das freguesias de Areias de Vilar e Encourados;106;53;53;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);80;35;45;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);101;53;48;
;112030295: União das freguesias de Carreira e Fonte Coberta;174;97;77;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;358;182;176;
;112030297: União das freguesias de Creixomil e Mariz;112;52;60;
;112030298: União das freguesias de Durrães e Tregosa;54;29;25;
;112030299: União das freguesias de Gamil e Midões;58;30;28;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;213;97;116;
;1120302FB: União das freguesias de Negreiros e Chavão;172;90;82;
;1120302FC: União das freguesias de Quintiães e Aguiar;162;80;82;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);166;87;79;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);125;68;57;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;96;52;44;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;264;137;127;
;1120302FH: União das freguesias de Vila Cova e Feitos;166;75;91;
;112030283: Várzea;117;59;58;
;112030287: Vila Seca;118;61;57;
;1120303: Braga;3747;1970;1777;
;112030301: Adaúfe;191;94;97;
;112030349: Braga (São Vicente);- -;- -;- -;
;112030351: Braga (São Vítor);- -;- -;- -;
;112030312: Espinho;132;64;68;
;112030313: Esporões;124;67;57;
;112030315: Figueiredo;60;31;29;
;112030319: Gualtar;12;7;5;
;112030322: Lamas;58;33;25;
;112030325: Mire de Tibães;128;69;59;
;112030330: Padim da Graça;75;35;40;
;112030331: Palmeira;160;92;68;
;112030334: Pedralva;131;69;62;
;112030336: Priscos;87;47;40;
;112030338: Ruilhe;63;32;31;
;112030354: Sequeira;136;72;64;
;112030355: Sobreposta;164;92;72;
;112030356: Tadim;25;10;15;
;112030357: Tebosa;60;32;28;
;112030363: União das freguesias de Arentim e Cunha;162;83;79;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);12;5;7;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);247;129;118;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;176;93;83;
;112030368: União das freguesias de Crespos e Pousada;132;67;65;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);114;63;51;
;112030370: União das freguesias de Este (São Pedro e São Mamede);169;83;86;
;112030371: União das freguesias de Ferreiros e Gondizalves;66;36;30;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);87;47;40;
;112030373: União das freguesias de Lomar e Arcos;54;24;30;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;194;101;93;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;124;64;60;
;112030376: União das freguesias de Morreira e Trandeiras;148;83;65;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;90;50;40;
;112030378: União das freguesias de Nogueiró e Tenões;34;16;18;
;112030379: União das freguesias de Real, Dume e Semelhe;165;94;71;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;93;47;46;
;112030381: União das freguesias de Vilaça e Fradelos;74;39;35;
;1120306: Esposende;2197;1101;1096;
;112030601: Antas;128;73;55;
;112030608: Forjães;168;87;81;
;112030610: Gemeses;229;112;117;
;112030616: União das freguesias de Apúlia e Fão;478;240;238;
;112030617: União das freguesias de Belinho e Mar;293;154;139;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;195;99;96;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;258;129;129;
;112030620: União das freguesias de Palmeira de Faro e Curvos;284;133;151;
;112030615: Vila Chã;164;74;90;
;1120310: Terras de Bouro;1760;879;881;
;112031001: Balança;79;37;42;
;112031003: Campo do Gerês;50;31;19;
;112031004: Carvalheira;135;70;65;
;112031008: Covide;157;80;77;
;112031009: Gondoriz;122;62;60;
;112031010: Moimenta;60;30;30;
;112031012: Ribeira;52;26;26;
;112031013: Rio Caldo;127;65;62;
;112031014: Souto;93;44;49;
;112031018: União das freguesias de Chamoim e Vilar;195;92;103;
;112031019: União das freguesias de Chorense e Monte;294;144;150;
;112031020: União das freguesias de Cibões e Brufe;168;82;86;
;112031015: Valdosende;113;60;53;
;112031017: Vilar da Veiga;115;56;59;
;1120313: Vila Verde;4441;2183;2258;
;112031359: Aboim da Nóbrega e Gondomar;243;121;122;
;112031304: Atiães;98;57;41;
;112031308: Cabanelas;69;36;33;
;112031309: Cervães;182;88;94;
;112031311: Coucieiro;108;46;62;
;112031313: Dossãos;66;33;33;
;112031316: Freiriz;99;44;55;
;112031317: Gême;37;19;18;
;112031323: Lage;104;53;51;
;112031324: Lanhas;67;36;31;
;112031325: Loureira;28;14;14;
;112031328: Moure;109;50;59;
;112031330: Oleiros;88;43;45;
;112031331: Parada de Gatim;68;33;35;
;112031335: Pico;101;51;50;
;112031337: Ponte;53;26;27;
;112031350: Prado (São Miguel);126;73;53;
;112031340: Sabariz;29;12;17;
;112031352: Soutelo;124;52;72;
;112031354: Turiz;96;44;52;
;112031360: União das freguesias da Ribeira do Neiva;670;326;344;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);112;53;59;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);112;57;55;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;93;47;46;
;112031364: União das freguesias de Marrancos e Arcozelo;115;57;58;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);94;50;44;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;169;89;80;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;278;131;147;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);108;58;50;
;112031369: União das freguesias do Vade;351;156;195;
;112031355: Valdreu;186;90;96;
;112031342: Vila de Prado;117;70;47;
;112031370: Vila Verde e Barbudo;141;68;73;
;119: Ave;17478;9217;8261;
;1190304: Cabeceiras de Basto;2430;1310;1120;
;119030401: Abadim;153;89;64;
;119030404: Basto;81;48;33;
;119030405: Bucos;166;86;80;
;119030406: Cabeceiras de Basto;124;66;58;
;119030407: Cavez;342;178;164;
;119030408: Faia;91;59;32;
;119030413: Pedraça;165;83;82;
;119030415: Rio Douro;383;197;186;
;119030418: União das freguesias de Alvite e Passos;171;77;94;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;217;136;81;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;166;95;71;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;371;196;175;
;1190307: Fafe;2564;1237;1327;
;119030705: Armil;47;25;22;
;119030726: Arões (Santa Cristina);30;16;14;
;119030730: Arões (São Romão);79;43;36;
;119030708: Estorãos;80;39;41;
;119030709: Fafe;90;49;41;
;119030712: Fornelos;52;32;20;
;119030714: Golães;89;40;49;
;119030716: Medelo;40;23;17;
;119030719: Paços;70;33;37;
;119030722: Quinchães;154;78;76;
;119030723: Regadas;123;59;64;
;119030724: Revelhe;106;51;55;
;119030725: Ribeiros;62;29;33;
;119030728: São Gens;232;112;120;
;119030729: Silvares (São Martinho);58;29;29;
;119030733: Travassós;109;56;53;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;142;60;82;
;119030738: União de freguesias de Agrela e Serafão;189;92;97;
;119030739: União de freguesias de Antime e Silvares (São Clemente);69;32;37;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;109;55;54;
;119030741: União de freguesias de Cepães e Fareja;97;47;50;
;119030742: União de freguesias de Freitas e Vila Cova;130;59;71;
;119030743: União de freguesias de Monte e Queimadela;218;91;127;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;141;66;75;
;119030736: Vinhós;48;21;27;
;1190308: Guimarães;3617;1984;1633;
;119030801: Aldão;43;20;23;
;119030804: Azurém;29;15;14;
;119030806: Barco;56;32;24;
;119030807: Brito;90;49;41;
;119030808: Caldelas;43;25;18;
;119030857: Candoso (São Martinho);60;31;29;
;119030812: Costa;23;14;9;
;119030813: Creixomil;38;24;14;
;119030815: Fermentões;73;36;37;
;119030820: Gonça;76;40;36;
;119030821: Gondar;25;13;12;
;119030823: Guardizela;61;38;23;
;119030824: Infantas;75;44;31;
;119030827: Longos;111;64;47;
;119030828: Lordelo;34;20;14;
;119030830: Mesão Frio;35;22;13;
;119030831: Moreira de Cónegos;26;15;11;
;119030832: Nespereira;29;16;13;
;119030835: Pencelo;52;27;25;
;119030836: Pinheiro;37;21;16;
;119030837: Polvoreira;53;30;23;
;119030838: Ponte;96;52;44;
;119030842: Prazins (Santa Eufémia);50;27;23;
;119030840: Ronfe;78;40;38;
;119030858: Sande (São Martinho);50;27;23;
;119030865: São Torcato;184;92;92;
;119030850: Selho (São Cristóvão);19;11;8;
;119030854: Selho (São Jorge);49;32;17;
;119030866: Serzedelo;94;57;37;
;119030868: Silvares;85;48;37;
;119030875: União das freguesias de Abação e Gémeos;122;69;53;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;140;78;62;
;119030877: União das freguesias de Arosa e Castelões;105;53;52;
;119030878: União das freguesias de Atães e Rendufe;227;128;99;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;66;34;32;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;144;88;56;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;79;41;38;
;119030882: União das freguesias de Conde e Gandarela;49;29;20;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;187;102;85;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;48;26;22;
;119030886: União das freguesias de Sande São Lourenço e Balazar;85;40;45;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;103;59;44;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;161;87;74;
;119030889: União das freguesias de Serzedo e Calvos;76;37;39;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;131;66;65;
;119030891: União das freguesias de Tabuadelo e São Faustino;90;51;39;
;119030871: Urgezes;30;14;16;
;1191705: Mondim de Basto;1392;710;682;
;119170501: Atei;351;188;163;
;119170502: Bilhó;215;106;109;
;119170505: São Cristóvão de Mondim de Basto;214;103;111;
;119170509: União das freguesias de Campanhó e Paradança;146;75;71;
;119170510: União das freguesias de Ermelo e Pardelhas;177;91;86;
;119170508: Vilar de Ferreiros;289;147;142;
;1190309: Póvoa de Lanhoso;2395;1260;1135;
;119030906: Covelas;127;69;58;
;119030908: Ferreiros;158;78;80;
;119030912: Galegos;40;19;21;
;119030913: Garfe;56;30;26;
;119030914: Geraz do Minho;145;74;71;
;119030915: Lanhoso;65;32;33;
;119030917: Monsul;76;35;41;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);68;35;33;
;119030921: Rendufinho;146;83;63;
;119030922: Santo Emilião;31;17;14;
;119030923: São João de Rei;64;35;29;
;119030924: Serzedelo;153;85;68;
;119030925: Sobradelo da Goma;152;83;69;
;119030926: Taíde;37;20;17;
;119030927: Travassos;98;48;50;
;119030930: União das freguesias de Águas Santas e Moure;86;54;32;
;119030931: União das freguesias de Calvos e Frades;204;110;94;
;119030932: União das freguesias de Campos e Louredo;62;31;31;
;119030933: União das freguesias de Esperança e Brunhais;76;39;37;
;119030934: União das freguesias de Fonte Arcada e Oliveira;322;167;155;
;119030935: União das freguesias de Verim, Friande e Ajude;153;80;73;
;119030929: Vilela;76;36;40;
;1190311: Vieira do Minho;2096;1063;1033;
;119031105: Cantelães;141;73;68;
;119031107: Eira Vedra;91;48;43;
;119031108: Guilhofrei;145;67;78;
;119031109: Louredo;82;49;33;
;119031110: Mosteiro;110;60;50;
;119031111: Parada de Bouro;24;13;11;
;119031112: Pinheiro;160;78;82;
;119031113: Rossas;367;186;181;
;119031115: Salamonde;78;43;35;
;119031118: Tabuaças;102;53;49;
;119031122: União das freguesias de Anissó e Soutelo;60;31;29;
;119031123: União das freguesias de Anjos e Vilar do Chão;258;111;147;
;119031124: União das freguesias de Caniçada e Soengas;61;30;31;
;119031125: União das freguesias de Ruivães e Campos;231;122;109;
;119031126: União das freguesias de Ventosa e Cova;85;46;39;
;119031120: Vieira do Minho;101;53;48;
;1190312: Vila Nova de Famalicão;2596;1432;1164;
;119031204: Bairro;32;18;14;
;119031206: Brufe;42;21;21;
;119031210: Castelões;43;27;16;
;119031212: Cruz;67;34;33;
;119031213: Delães;34;17;17;
;119031215: Fradelos;225;134;91;
;119031216: Gavião;65;33;32;
;119031219: Joane;58;39;19;
;119031221: Landim;90;49;41;
;119031223: Louro;97;50;47;
;119031224: Lousado;52;30;22;
;119031225: Mogege;18;13;5;
;119031227: Nine;63;42;21;
;119031239: Oliveira (Santa Maria);51;37;14;
;119031242: Oliveira (São Mateus);4;3;1;
;119031230: Pedome;19;15;4;
;119031232: Pousada de Saramagos;8;7;1;
;119031233: Requião;128;67;61;
;119031234: Riba de Ave;4;2;2;
;119031235: Ribeirão;79;40;39;
;119031250: União das freguesias de Antas e Abade de Vermoim;79;45;34;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;140;86;54;
;119031252: União das freguesias de Avidos e Lagoa;63;32;31;
;119031253: União das freguesias de Carreira e Bente;69;33;36;
;119031254: União das freguesias de Esmeriz e Cabeçudos;99;53;46;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;181;89;92;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;57;32;25;
;119031257: União das freguesias de Ruivães e Novais;48;28;20;
;119031258: União das freguesias de Seide;49;23;26;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;287;146;141;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;76;44;32;
;119031241: Vale (São Martinho);106;56;50;
;119031247: Vermoim;26;19;7;
;119031249: Vilarinho das Cambas;137;68;69;
;1190314: Vizela;388;221;167;
;119031404: Infias;34;18;16;
;119031401: Santa Eulália;107;58;49;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);54;37;17;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);128;72;56;
;119031406: Vizela (Santo Adrião);65;36;29;
;11A: Área Metropolitana do Porto;18317;9541;8776;
;11A0104: Arouca;2424;1225;1199;
;11A010402: Alvarenga;199;100;99;
;11A010407: Chave;150;76;74;
;11A010409: Escariz;233;123;110;
;11A010411: Fermedo;147;71;76;
