
Statistical table extracted on October 11, 2022 (22:00:28)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;
;;Sex;;;;
;;MF;;;;
;;Age group;;;;
;;Total;;;;
;;Relationship;;;;
;;Total;Sole holder;Spouse;Other family members;
;;Level of education;;;;
;;Total;;;;
;;No. ;No. ;No. ;No. ;
1989;PT: Portugal;1974808;593590;493879;887339;
;1: Continente;1799736;546069;457640;796027;
;11: Norte;722991;191025;157311;374655;
;111: Alto Minho;108018;28419;22720;56879;
;1111601: Arcos de Valdevez;15182;4515;3628;7039;
;111160101: Aboim das Choças;268;84;69;115;
;111160102: Aguiã;316;81;73;162;
;111160104: Ázere;141;39;35;67;
;111160105: Cabana Maior;295;96;76;123;
;111160106: Cabreiro;693;219;163;311;
;111160108: Cendufe;281;80;69;132;
;111160109: Couto;313;89;77;147;
;111160113: Gavieira;435;141;113;181;
;111160115: Gondoriz;723;193;159;371;
;111160142: Jolda (São Paio);282;66;59;157;
;111160121: Miranda;469;171;122;176;
;111160122: Monte Redondo;294;94;79;121;
;111160123: Oliveira;188;54;50;84;
;111160124: Paçô;196;58;45;93;
;111160125: Padroso;309;86;71;152;
;111160128: Prozelo;390;112;102;176;
;111160131: Rio de Moinhos;436;141;106;189;
;111160130: Rio Frio;815;265;207;343;
;111160133: Sabadim;513;156;118;239;
;111160144: Senharei;357;110;69;178;
;111160145: Sistelo;420;128;93;199;
;111160146: Soajo;821;290;222;309;
;111160152: União das freguesias de Alvora e Loureda;466;139;114;213;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;290;78;68;144;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;258;71;57;130;
;111160155: União das freguesias de Eiras e Mei;409;106;86;217;
;111160156: União das freguesias de Grade e Carralcova;564;167;133;264;
;111160157: União das freguesias de Guilhadeses e Santar;385;102;85;198;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;488;127;101;260;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);367;116;88;163;
;111160160: União das freguesias de Portela e Extremo;400;123;98;179;
;111160161: União das freguesias de São Jorge e Ermelo;587;175;148;264;
;111160162: União das freguesias de Souto e Tabaçô;358;91;77;190;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);723;187;168;368;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;398;129;99;170;
;111160149: Vale;534;151;129;254;
;1111602: Caminha;4428;1112;829;2487;
;111160201: Âncora;319;72;62;185;
;111160205: Argela;295;93;67;135;
;111160209: Dem;385;83;70;232;
;111160211: Lanhelas;315;86;68;161;
;111160214: Riba de Âncora;550;125;97;328;
;111160215: Seixas;188;53;33;102;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);305;90;55;160;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;164;37;29;98;
;111160223: União das freguesias de Gondar e Orbacém;473;102;74;297;
