
Statistical table extracted on October 11, 2022 (22:00:28)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;
;111160224: União das freguesias de Moledo e Cristelo;184;47;34;103;
;111160225: União das freguesias de Venade e Azevedo;545;138;100;307;
;111160217: Vila Praia de Âncora;223;56;43;124;
;111160218: Vilar de Mouros;312;97;71;144;
;111160220: Vile;170;33;26;111;
;1111603: Melgaço;8210;2506;1974;3730;
;111160301: Alvaredo;460;136;117;207;
;111160304: Cousso;328;100;84;144;
;111160305: Cristoval;532;169;142;221;
;111160307: Fiães;444;130;95;219;
;111160308: Gave;296;84;54;158;
;111160311: Paderne;1067;323;259;485;
;111160313: Penso;434;143;116;175;
;111160317: São Paio;553;163;127;263;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;1100;386;284;430;
;111160320: União das freguesias de Chaviães e Paços;778;233;173;372;
;111160321: União das freguesias de Parada do Monte e Cubalhão;833;256;206;371;
;111160322: União das freguesias de Prado e Remoães;406;113;91;202;
;111160323: União das freguesias de Vila e Roussas;979;270;226;483;
;1111604: Monção;12467;3661;2820;5986;
;111160401: Abedim;285;88;58;139;
;111160404: Barbeita;707;214;181;312;
;111160405: Barroças e Taias;301;85;73;143;
;111160406: Bela;360;114;85;161;
;111160407: Cambeses;279;77;68;134;
;111160410: Lara;294;84;54;156;
;111160411: Longos Vales;755;225;186;344;
;111160415: Merufe;1308;343;250;715;
;111160418: Moreira;504;129;117;258;
;111160420: Pias;723;216;172;335;
;111160421: Pinheiros;213;59;51;103;
;111160422: Podame;288;80;59;149;
;111160423: Portela;308;101;74;133;
;111160424: Riba de Mouro;1002;290;201;511;
;111160427: Segude;204;58;46;100;
;111160428: Tangil;969;290;213;466;
;111160431: Trute;261;88;57;116;
;111160434: União das freguesias de Anhões e Luzio;358;131;89;138;
;111160435: União das freguesias de Ceivães e Badim;436;133;112;191;
;111160436: União das freguesias de Mazedo e Cortes;1180;347;278;555;
;111160437: União das freguesias de Messegães, Valadares e Sá;463;133;110;220;
;111160438: União das freguesias de Monção e Troviscoso;458;133;101;224;
;111160439: União das freguesias de Sago, Lordelo e Parada;483;147;108;228;
;111160440: União das freguesias de Troporiz e Lapela;328;96;77;155;
;1111605: Paredes de Coura;6819;1938;1533;3348;
;111160501: Agualonga;271;72;58;141;
;111160503: Castanheira;488;136;111;241;
;111160505: Coura;348;93;76;179;
;111160507: Cunha;491;134;109;248;
;111160510: Infesta;413;129;95;189;
;111160513: Mozelos;217;65;52;100;
;111160514: Padornelo;405;117;89;199;
;111160515: Parada;246;71;55;120;
;111160519: Romarigães;242;67;55;120;
;111160520: Rubiães;449;116;96;237;
;111160522: União das freguesias de Bico e Cristelo;770;210;164;396;
;111160523: União das freguesias de Cossourado e Linhares;331;88;77;166;
;111160524: União das freguesias de Formariz e Ferreira;778;244;183;351;
;111160525: União das freguesias de Insalde e Porreiras;523;156;116;251;
;111160526: União das freguesias de Paredes de Coura e Resende;675;185;155;335;
;111160521: Vascões;172;55;42;75;
;1111606: Ponte da Barca;6714;1700;1420;3594;
;111160601: Azias;328;88;67;173;
;111160602: Boivães;329;77;64;188;
;111160603: Bravães;484;109;90;285;
;111160604: Britelo;195;57;47;91;
;111160606: Cuide de Vila Verde;240;60;52;128;
;111160611: Lavradas;707;175;160;372;
;111160612: Lindoso;390;109;94;187;
;111160613: Nogueira;234;64;56;114;
;111160614: Oleiros;289;77;65;147;
;111160619: Sampriz;395;101;86;208;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;760;169;138;453;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;557;153;121;283;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;693;170;145;378;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);232;61;49;122;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);556;153;120;283;
;111160623: Vade (São Pedro);156;30;26;100;
;111160624: Vade (São Tomé);169;47;40;82;
;1111607: Ponte de Lima;24488;5726;4789;13973;
;111160701: Anais;740;168;145;427;
;111160752: Arca e Ponte de Lima;106;28;22;56;
;111160704: Arcozelo;1080;250;223;607;
;111160753: Ardegão, Freixo e Mato;768;182;152;434;
;111160754: Associação de freguesias do Vale do Neiva;730;186;167;377;
;111160755: Bárrio e Cepões;658;154;133;371;
;111160707: Beiral do Lima;684;161;134;389;
;111160708: Bertiandos;330;71;58;201;
;111160709: Boalhosa;240;56;45;139;
;111160710: Brandara;281;65;55;161;
;111160756: Cabaços e Fojo Lobal;875;190;160;525;
;111160757: Cabração e Moreira do Lima;928;239;202;487;
;111160713: Calheiros;797;193;169;435;
;111160714: Calvelo;398;105;91;202;
;111160716: Correlhã;1411;301;255;855;
;111160717: Estorãos;442;120;88;234;
;111160718: Facha;981;203;163;615;
;111160719: Feitosa;221;57;50;114;
;111160721: Fontão;500;110;88;302;
;111160758: Fornelos e Queijada;1363;315;266;782;
;111160724: Friastelas;422;97;78;247;
;111160726: Gandra;698;163;136;399;
;111160727: Gemieira;415;88;66;261;
;111160728: Gondufe;394;94;83;217;
;111160729: Labruja;405;135;114;156;
;111160759: Labrujó, Rendufe e Vilar do Monte;525;154;125;246;
;111160760: Navió e Vitorino dos Piães;1148;238;197;713;
;111160734: Poiares;624;131;117;376;
;111160744: Rebordões (Santa Maria);656;141;119;396;
;111160747: Rebordões (Souto);957;215;177;565;
;111160737: Refóios do Lima;1403;348;285;770;
;111160739: Ribeira;837;187;150;500;
;111160740: Sá;235;56;48;131;
;111160742: Santa Comba;222;50;42;130;
;111160743: Santa Cruz do Lima;247;65;57;125;
;111160703: São Pedro d'Arcos;499;124;93;282;
;111160745: Seara;292;63;47;182;
;111160746: Serdedelo;458;112;92;254;
;111160750: Vitorino das Donas;518;111;97;310;
;1111608: Valença;4806;1337;1073;2396;
;111160802: Boivão;208;60;42;106;
;111160803: Cerdal;900;255;202;443;
;111160805: Fontoura;438;114;86;238;
;111160806: Friestas;215;55;39;121;
;111160808: Ganfei;469;120;104;245;
;111160812: São Pedro da Torre;390;119;95;176;
;111160817: União das freguesias de Gandra e Taião;516;135;116;265;
;111160818: União das freguesias de Gondomil e Sanfins;405;119;87;199;
;111160819: União das freguesias de São Julião e Silva;501;137;114;250;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;464;141;119;204;
;111160816: Verdoejo;300;82;69;149;
;1111609: Viana do Castelo;21384;4919;3899;12566;
;111160901: Afife;356;88;73;195;
;111160902: Alvarães;846;197;165;484;
;111160903: Amonde;304;70;51;183;
;111160904: Anha;582;139;115;328;
;111160905: Areosa;688;182;135;371;
;111160908: Carreço;530;121;94;315;
;111160910: Castelo do Neiva;1381;329;262;790;
;111160940: Chafé;648;171;143;334;
;111160911: Darque;236;58;42;136;
;111160914: Freixieiro de Soutelo;435;90;70;275;
;111160915: Lanheses;736;176;127;433;
;111160920: Montaria;657;152;101;404;
;111160922: Mujães;256;56;45;155;
;111160925: Outeiro;875;184;147;544;
;111160926: Perre;845;161;133;551;
;111160928: Santa Marta de Portuzelo;833;183;149;501;
;111160923: São Romão de Neiva;520;129;104;287;
;111160941: União das freguesias de Barroselas e Carvoeiro;1544;369;290;885;
;111160942: União das freguesias de Cardielos e Serreleis;684;151;123;410;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2410;543;446;1421;
;111160944: União das freguesias de Mazarefes e Vila Fria;751;171;142;438;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1249;286;204;759;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;1557;335;280;942;
;111160947: União das freguesias de Torre e Vila Mou;661;149;105;407;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;557;127;100;330;
;111160938: Vila de Punhe;546;152;132;262;
;111160935: Vila Franca;697;150;121;426;
;1111610: Vila Nova de Cerveira;3520;1005;755;1760;
;111161003: Cornes;250;60;51;139;
;111161004: Covas;551;169;113;269;
;111161006: Gondarém;334;84;65;185;
;111161007: Loivo;258;66;49;143;
;111161009: Mentrestido;266;91;64;111;
;111161012: Sapardos;268;75;62;131;
;111161013: Sopo;271;65;43;163;
;111161016: União das freguesias de Campos e Vila Meã;471;137;107;227;
;111161017: União das freguesias de Candemil e Gondar;305;106;78;121;
;111161018: União das freguesias de Reboreda e Nogueira;398;117;94;187;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;148;35;29;84;
;112: Cávado;81869;17940;15054;48875;
;1120301: Amares;6100;1500;1245;3355;
;112030102: Barreiros;263;62;51;150;
;112030104: Bico;186;37;35;114;
;112030119: Bouro (Santa Maria);398;113;93;192;
;112030120: Bouro (Santa Marta);366;89;76;201;
;112030105: Caires;315;78;63;174;
;112030107: Carrazedo;234;46;41;147;
;112030108: Dornelas;252;60;51;141;
;112030111: Fiscal;465;129;97;239;
;112030112: Goães;427;90;73;264;
;112030113: Lago;397;86;71;240;
;112030118: Rendufe;337;73;53;211;
;112030125: União das freguesias de Amares e Figueiredo;343;85;74;184;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;681;198;160;323;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;453;113;95;245;
;112030128: União das freguesias de Torre e Portela;419;111;98;210;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;564;130;114;320;
;1120302: Barcelos;30834;6503;5519;18812;
;112030201: Abade de Neiva;341;71;65;205;
;112030202: Aborim;197;41;39;117;
;112030203: Adães;169;44;36;89;
;112030205: Airó;354;68;62;224;
;112030206: Aldreu;290;64;55;171;
;112030208: Alvelos;362;84;71;207;
;112030209: Arcozelo;102;18;15;69;
;112030210: Areias;132;24;21;87;
;112030212: Balugães;296;64;55;177;
;112030213: Barcelinhos;136;31;30;75;
;112030215: Barqueiros;608;144;122;342;
;112030216: Cambeses;360;74;62;224;
;112030218: Carapeços;528;98;90;340;
;112030220: Carvalhal;269;57;45;167;
;112030221: Carvalhas;163;30;24;109;
;112030224: Cossourado;553;119;98;336;
;112030228: Cristelo;925;192;171;562;
;112030234: Fornelos;446;88;72;286;
;112030235: Fragoso;949;201;180;568;
;112030268: Galegos (Santa Maria);154;35;31;88;
;112030272: Galegos (São Martinho);141;29;29;83;
;112030237: Gilmonde;444;99;84;261;
;112030242: Lama;256;48;43;165;
;112030243: Lijó;620;112;94;414;
;112030244: Macieira de Rates;824;175;147;502;
;112030245: Manhente;209;37;28;144;
;112030247: Martim;551;102;85;364;
;112030252: Moure;255;50;45;160;
;112030254: Oliveira;444;102;91;251;
;112030255: Palme;622;140;112;370;
;112030256: Panque;528;131;103;294;
;112030257: Paradela;443;99;78;266;
;112030259: Pereira;379;77;64;238;
;112030260: Perelhal;508;127;106;275;
;112030261: Pousa;459;86;77;296;
;112030263: Remelhe;503;92;82;329;
;112030265: Rio Covo (Santa Eugénia);176;35;27;114;
;112030264: Roriz;851;173;152;526;
;112030279: Silva;224;46;40;138;
;112030277: Tamel (São Veríssimo);156;36;29;91;
;112030282: Ucha;355;74;60;221;
;112030290: União das freguesias de Alheira e Igreja Nova;621;151;134;336;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;694;147;118;429;
;112030292: União das freguesias de Areias de Vilar e Encourados;488;106;86;296;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);668;146;122;400;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);702;149;114;439;
;112030295: União das freguesias de Carreira e Fonte Coberta;645;128;116;401;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1345;292;247;806;
;112030297: União das freguesias de Creixomil e Mariz;588;128;106;354;
;112030298: União das freguesias de Durrães e Tregosa;534;114;95;325;
;112030299: União das freguesias de Gamil e Midões;403;98;71;234;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;888;179;156;553;
;1120302FB: União das freguesias de Negreiros e Chavão;811;189;166;456;
;1120302FC: União das freguesias de Quintiães e Aguiar;732;154;135;443;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);632;136;115;381;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);614;129;111;374;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;528;98;87;343;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1140;236;200;704;
;1120302FH: União das freguesias de Vila Cova e Feitos;1489;286;229;974;
;112030283: Várzea;312;75;63;174;
;112030287: Vila Seca;718;145;128;445;
;1120303: Braga;11910;2361;2018;7531;
;112030301: Adaúfe;650;127;108;415;
;112030349: Braga (São Vicente);57;9;9;39;
;112030351: Braga (São Vítor);38;8;8;22;
;112030312: Espinho;353;58;54;241;
;112030313: Esporões;376;71;63;242;
;112030315: Figueiredo;168;30;27;111;
;112030319: Gualtar;97;22;13;62;
;112030322: Lamas;116;23;22;71;
;112030325: Mire de Tibães;506;102;82;322;
;112030330: Padim da Graça;332;62;53;217;
;112030331: Palmeira;418;84;72;262;
;112030334: Pedralva;385;83;66;236;
;112030336: Priscos;328;72;60;196;
;112030338: Ruilhe;200;45;41;114;
;112030354: Sequeira;336;59;51;226;
;112030355: Sobreposta;302;61;45;196;
;112030356: Tadim;272;62;55;155;
;112030357: Tebosa;191;38;31;122;
;112030363: União das freguesias de Arentim e Cunha;439;106;85;248;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);95;24;20;51;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);4;1;- -;3;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);477;90;74;313;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;580;105;92;383;
;112030368: União das freguesias de Crespos e Pousada;515;130;116;269;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);388;72;63;253;
;112030370: União das freguesias de Este (São Pedro e São Mamede);443;91;76;276;
;112030371: União das freguesias de Ferreiros e Gondizalves;366;72;61;233;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);292;55;48;189;
;112030373: União das freguesias de Lomar e Arcos;316;64;60;192;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;617;111;92;414;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;305;56;47;202;
;112030376: União das freguesias de Morreira e Trandeiras;287;55;52;180;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;317;62;53;202;
;112030378: União das freguesias de Nogueiró e Tenões;206;35;30;141;
;112030379: União das freguesias de Real, Dume e Semelhe;755;138;120;497;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;287;60;53;174;
;112030381: União das freguesias de Vilaça e Fradelos;96;18;16;62;
;1120306: Esposende;11145;2388;1948;6809;
;112030601: Antas;669;145;120;404;
;112030608: Forjães;1053;251;187;615;
;112030610: Gemeses;572;114;102;356;
;112030616: União das freguesias de Apúlia e Fão;2362;521;434;1407;
;112030617: União das freguesias de Belinho e Mar;1286;277;217;792;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;2151;449;374;1328;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1170;233;204;733;
;112030620: União das freguesias de Palmeira de Faro e Curvos;1037;236;190;611;
;112030615: Vila Chã;845;162;120;563;
;1120310: Terras de Bouro;4486;1113;920;2453;
;112031001: Balança;197;53;40;104;
;112031003: Campo do Gerês;112;32;23;57;
;112031004: Carvalheira;349;85;75;189;
;112031008: Covide;275;71;61;143;
;112031009: Gondoriz;290;80;65;145;
;112031010: Moimenta;216;51;44;121;
;112031012: Ribeira;163;43;35;85;
;112031013: Rio Caldo;333;86;67;180;
;112031014: Souto;325;78;64;183;
;112031018: União das freguesias de Chamoim e Vilar;446;109;93;244;
;112031019: União das freguesias de Chorense e Monte;578;120;99;359;
;112031020: União das freguesias de Cibões e Brufe;510;132;101;277;
;112031015: Valdosende;332;82;72;178;
;112031017: Vilar da Veiga;360;91;81;188;
;1120313: Vila Verde;17394;4075;3404;9915;
;112031359: Aboim da Nóbrega e Gondomar;979;245;165;569;
;112031304: Atiães;281;59;52;170;
;112031308: Cabanelas;315;75;65;175;
;112031309: Cervães;629;142;128;359;
;112031311: Coucieiro;235;61;47;127;
;112031313: Dossãos;302;69;57;176;
;112031316: Freiriz;501;120;108;273;
;112031317: Gême;226;46;40;140;
;112031323: Lage;495;110;96;289;
;112031324: Lanhas;152;35;25;92;
;112031325: Loureira;249;53;45;151;
;112031328: Moure;485;123;107;255;
;112031330: Oleiros;241;56;47;138;
;112031331: Parada de Gatim;276;68;57;151;
;112031335: Pico;310;72;63;175;
;112031337: Ponte;155;37;31;87;
;112031350: Prado (São Miguel);427;120;96;211;
;112031340: Sabariz;78;20;17;41;
;112031352: Soutelo;485;105;87;293;
;112031354: Turiz;379;82;70;227;
;112031360: União das freguesias da Ribeira do Neiva;2730;688;569;1473;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);514;118;100;296;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);471;115;99;257;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;413;100;85;228;
;112031364: União das freguesias de Marrancos e Arcozelo;422;93;80;249;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);418;96;80;242;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;897;188;157;552;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;842;192;170;480;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);418;101;81;236;
;112031369: União das freguesias do Vade;1185;289;238;658;
;112031355: Valdreu;403;103;87;213;
;112031342: Vila de Prado;639;124;106;409;
;112031370: Vila Verde e Barbudo;842;170;149;523;
;119: Ave;68874;15951;13409;39514;
;1190304: Cabeceiras de Basto;8612;2141;1782;4689;
;119030401: Abadim;437;103;88;246;
;119030404: Basto;381;80;69;232;
;119030405: Bucos;508;127;95;286;
;119030406: Cabeceiras de Basto;578;138;105;335;
;119030407: Cavez;1185;320;259;606;
;119030408: Faia;392;86;77;229;
;119030413: Pedraça;424;102;87;235;
;119030415: Rio Douro;985;268;202;515;
;119030418: União das freguesias de Alvite e Passos;726;170;149;407;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;668;164;148;356;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;470;139;106;225;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1858;444;397;1017;
;1190307: Fafe;11104;2810;2323;5971;
;119030705: Armil;241;58;46;137;
;119030726: Arões (Santa Cristina);248;54;49;145;
;119030730: Arões (São Romão);520;110;100;310;
;119030708: Estorãos;411;106;90;215;
;119030709: Fafe;357;85;77;195;
;119030712: Fornelos;214;55;46;113;
;119030714: Golães;390;98;89;203;
;119030716: Medelo;129;33;26;70;
;119030719: Paços;390;80;67;243;
;119030722: Quinchães;372;96;88;188;
;119030723: Regadas;392;98;82;212;
;119030724: Revelhe;367;84;69;214;
;119030725: Ribeiros;132;37;30;65;
;119030728: São Gens;667;164;140;363;
;119030729: Silvares (São Martinho);255;67;56;132;
;119030733: Travassós;579;162;122;295;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;762;204;160;398;
;119030738: União de freguesias de Agrela e Serafão;678;192;146;340;
;119030739: União de freguesias de Antime e Silvares (São Clemente);303;78;68;157;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;526;132;110;284;
;119030741: União de freguesias de Cepães e Fareja;483;117;103;263;
;119030742: União de freguesias de Freitas e Vila Cova;671;183;140;348;
;119030743: União de freguesias de Monte e Queimadela;720;180;130;410;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;1026;281;241;504;
;119030736: Vinhós;271;56;48;167;
;1190308: Guimarães;15998;3213;2809;9976;
;119030801: Aldão;160;32;32;96;
;119030804: Azurém;132;28;27;77;
;119030806: Barco;210;42;38;130;
;119030807: Brito;364;69;61;234;
;119030808: Caldelas;237;50;46;141;
;119030857: Candoso (São Martinho);162;27;26;109;
;119030812: Costa;196;46;39;111;
;119030813: Creixomil;164;36;27;101;
;119030815: Fermentões;320;62;56;202;
;119030820: Gonça;322;70;62;190;
;119030821: Gondar;76;18;15;43;
;119030823: Guardizela;173;40;35;98;
;119030824: Infantas;438;89;84;265;
;119030827: Longos;419;78;68;273;
;119030828: Lordelo;221;50;38;133;
;119030830: Mesão Frio;290;60;56;174;
;119030831: Moreira de Cónegos;278;69;56;153;
;119030832: Nespereira;242;46;44;152;
;119030835: Pencelo;213;43;38;132;
;119030836: Pinheiro;234;40;36;158;
;119030837: Polvoreira;307;58;47;202;
;119030838: Ponte;559;116;103;340;
;119030842: Prazins (Santa Eufémia);198;35;33;130;
;119030840: Ronfe;293;58;53;182;
;119030858: Sande (São Martinho);275;61;54;160;
;119030865: São Torcato;592;124;110;358;
;119030850: Selho (São Cristóvão);125;29;24;72;
;119030854: Selho (São Jorge);230;44;43;143;
;119030866: Serzedelo;323;58;55;210;
;119030868: Silvares;327;63;59;205;
;119030875: União das freguesias de Abação e Gémeos;655;110;100;445;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;576;118;95;363;
;119030877: União das freguesias de Arosa e Castelões;342;88;69;185;
;119030878: União das freguesias de Atães e Rendufe;829;171;152;506;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;409;78;71;260;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;488;99;90;299;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;208;42;39;127;
;119030882: União das freguesias de Conde e Gandarela;266;47;45;174;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;528;95;77;356;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;7;3;3;1;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;203;35;29;139;
;119030886: União das freguesias de Sande São Lourenço e Balazar;388;89;73;226;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;458;86;72;300;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;406;74;64;268;
;119030889: União das freguesias de Serzedo e Calvos;466;85;74;307;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;815;174;138;503;
;119030891: União das freguesias de Tabuadelo e São Faustino;556;109;95;352;
;119030871: Urgezes;318;69;58;191;
;1191705: Mondim de Basto;4786;1095;953;2738;
;119170501: Atei;840;220;183;437;
;119170502: Bilhó;712;160;133;419;
;119170505: São Cristóvão de Mondim de Basto;887;223;197;467;
;119170509: União das freguesias de Campanhó e Paradança;568;109;97;362;
;119170510: União das freguesias de Ermelo e Pardelhas;780;184;160;436;
;119170508: Vilar de Ferreiros;999;199;183;617;
;1190309: Póvoa de Lanhoso;7878;1864;1488;4526;
;119030906: Covelas;249;53;44;152;
;119030908: Ferreiros;255;59;49;147;
;119030912: Galegos;200;47;40;113;
;119030913: Garfe;785;197;152;436;
;119030914: Geraz do Minho;339;72;59;208;
;119030915: Lanhoso;303;68;46;189;
;119030917: Monsul;273;57;50;166;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);291;66;55;170;
;119030921: Rendufinho;297;76;61;160;
;119030922: Santo Emilião;160;37;24;99;
;119030923: São João de Rei;138;33;30;75;
;119030924: Serzedelo;566;144;106;316;
;119030925: Sobradelo da Goma;502;124;102;276;
;119030926: Taíde;247;58;45;144;
;119030927: Travassos;185;50;38;97;
;119030930: União das freguesias de Águas Santas e Moure;355;77;72;206;
;119030931: União das freguesias de Calvos e Frades;407;99;84;224;
;119030932: União das freguesias de Campos e Louredo;539;134;107;298;
;119030933: União das freguesias de Esperança e Brunhais;372;88;73;211;
;119030934: União das freguesias de Fonte Arcada e Oliveira;626;134;110;382;
;119030935: União das freguesias de Verim, Friande e Ajude;499;120;93;286;
;119030929: Vilela;290;71;48;171;
;1190311: Vieira do Minho;7600;1933;1544;4123;
;119031105: Cantelães;470;113;89;268;
;119031107: Eira Vedra;330;83;64;183;
;119031108: Guilhofrei;774;170;144;460;
;119031109: Louredo;278;72;52;154;
;119031110: Mosteiro;480;115;92;273;
;119031111: Parada de Bouro;198;55;44;99;
;119031112: Pinheiro;385;93;73;219;
;119031113: Rossas;1053;246;196;611;
;119031115: Salamonde;301;87;74;140;
;119031118: Tabuaças;380;92;72;216;
;119031122: União das freguesias de Anissó e Soutelo;296;86;71;139;
;119031123: União das freguesias de Anjos e Vilar do Chão;514;137;107;270;
;119031124: União das freguesias de Caniçada e Soengas;386;94;80;212;
;119031125: União das freguesias de Ruivães e Campos;903;271;207;425;
