
Quadro extraído em 11 de Outubro de 2022 (08:46:18)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
;111160743: Santa Cruz do Lima;48;
;111160703: São Pedro d'Arcos;146;
;111160745: Seara;55;
;111160746: Serdedelo;77;
;111160750: Vitorino das Donas;78;
;1111608: Valença;1147;
;111160802: Boivão;24;
;111160803: Cerdal;194;
;111160805: Fontoura;188;
;111160806: Friestas;24;
;111160808: Ganfei;110;
;111160812: São Pedro da Torre;74;
;111160817: União das freguesias de Gandra e Taião;146;
;111160818: União das freguesias de Gondomil e Sanfins;52;
;111160819: União das freguesias de São Julião e Silva;172;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;64;
;111160816: Verdoejo;99;
;1111609: Viana do Castelo;3928;
;111160901: Afife;108;
;111160902: Alvarães;124;
;111160903: Amonde;20;
;111160904: Anha;119;
;111160905: Areosa;125;
;111160908: Carreço;369;
;111160910: Castelo do Neiva;136;
;111160940: Chafé;138;
;111160911: Darque;3;
;111160914: Freixieiro de Soutelo;127;
;111160915: Lanheses;113;
;111160920: Montaria;55;
;111160922: Mujães;27;
;111160925: Outeiro;184;
;111160926: Perre;244;
;111160928: Santa Marta de Portuzelo;189;
;111160923: São Romão de Neiva;61;
;111160941: União das freguesias de Barroselas e Carvoeiro;317;
;111160942: União das freguesias de Cardielos e Serreleis;86;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;258;
;111160944: União das freguesias de Mazarefes e Vila Fria;240;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;182;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;210;
;111160947: União das freguesias de Torre e Vila Mou;166;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;67;
;111160938: Vila de Punhe;107;
;111160935: Vila Franca;156;
;1111610: Vila Nova de Cerveira;623;
;111161003: Cornes;61;
;111161004: Covas;83;
;111161006: Gondarém;38;
;111161007: Loivo;10;
;111161009: Mentrestido;27;
;111161012: Sapardos;40;
;111161013: Sopo;30;
;111161016: União das freguesias de Campos e Vila Meã;97;
;111161017: União das freguesias de Candemil e Gondar;33;
;111161018: União das freguesias de Reboreda e Nogueira;194;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;9;
;112: Cávado;33614;
;1120301: Amares;1432;
;112030102: Barreiros;103;
;112030104: Bico;19;
;112030119: Bouro (Santa Maria);58;
;112030120: Bouro (Santa Marta);75;
;112030105: Caires;74;
;112030107: Carrazedo;98;
;112030108: Dornelas;88;
;112030111: Fiscal;93;
;112030112: Goães;81;
;112030113: Lago;53;
;112030118: Rendufe;157;
;112030125: União das freguesias de Amares e Figueiredo;103;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;105;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;110;
;112030128: União das freguesias de Torre e Portela;54;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;160;
;1120302: Barcelos;17770;
;112030201: Abade de Neiva;292;
;112030202: Aborim;95;
;112030203: Adães;133;
;112030205: Airó;101;
;112030206: Aldreu;181;
;112030208: Alvelos;179;
;112030209: Arcozelo;77;
;112030210: Areias;28;
;112030212: Balugães;89;
;112030213: Barcelinhos;90;
;112030215: Barqueiros;351;
;112030216: Cambeses;197;
;112030218: Carapeços;120;
;112030220: Carvalhal;159;
;112030221: Carvalhas;162;
;112030224: Cossourado;248;
;112030228: Cristelo;980;
;112030234: Fornelos;286;
;112030235: Fragoso;199;
;112030268: Galegos (Santa Maria);75;
;112030272: Galegos (São Martinho);84;
;112030237: Gilmonde;180;
;112030242: Lama;85;
;112030243: Lijó;332;
;112030244: Macieira de Rates;915;
;112030245: Manhente;376;
;112030247: Martim;156;
;112030252: Moure;156;
;112030254: Oliveira;170;
;112030255: Palme;189;
;112030256: Panque;163;
;112030257: Paradela;619;
;112030259: Pereira;71;
;112030260: Perelhal;164;
;112030261: Pousa;248;
;112030263: Remelhe;261;
;112030265: Rio Covo (Santa Eugénia);193;
;112030264: Roriz;523;
;112030279: Silva;92;
;112030277: Tamel (São Veríssimo);90;
;112030282: Ucha;230;
;112030290: União das freguesias de Alheira e Igreja Nova;175;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;364;
;112030292: União das freguesias de Areias de Vilar e Encourados;215;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);468;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);191;
;112030295: União das freguesias de Carreira e Fonte Coberta;398;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1536;
;112030297: União das freguesias de Creixomil e Mariz;240;
;112030298: União das freguesias de Durrães e Tregosa;28;
;112030299: União das freguesias de Gamil e Midões;155;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;738;
;1120302FB: União das freguesias de Negreiros e Chavão;636;
;1120302FC: União das freguesias de Quintiães e Aguiar;218;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);361;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);467;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;147;
