
Quadro extraído em 11 de Outubro de 2022 (08:46:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
1999;PT: Portugal;1399335;
;1: Continente;1378415;
;11: Norte;316950;
;111: Alto Minho;30959;
;1111601: Arcos de Valdevez;4431;
;111160101: Aboim das Choças;55;
;111160102: Aguiã;84;
;111160104: Ázere;73;
;111160105: Cabana Maior;71;
;111160106: Cabreiro;163;
;111160108: Cendufe;72;
;111160109: Couto;71;
;111160113: Gavieira;55;
;111160115: Gondoriz;248;
;111160142: Jolda (São Paio);78;
;111160121: Miranda;49;
;111160122: Monte Redondo;113;
;111160123: Oliveira;77;
;111160124: Paçô;70;
;111160125: Padroso;79;
;111160128: Prozelo;128;
;111160131: Rio de Moinhos;131;
;111160130: Rio Frio;230;
;111160133: Sabadim;185;
;111160144: Senharei;147;
;111160145: Sistelo;103;
;111160146: Soajo;78;
;111160152: União das freguesias de Alvora e Loureda;147;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;70;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;89;
;111160155: União das freguesias de Eiras e Mei;151;
;111160156: União das freguesias de Grade e Carralcova;203;
;111160157: União das freguesias de Guilhadeses e Santar;140;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;153;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);75;
;111160160: União das freguesias de Portela e Extremo;101;
;111160161: União das freguesias de São Jorge e Ermelo;140;
;111160162: União das freguesias de Souto e Tabaçô;174;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);231;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;221;
;111160149: Vale;176;
;1111602: Caminha;875;
;111160201: Âncora;68;
;111160205: Argela;86;
;111160209: Dem;58;
;111160211: Lanhelas;20;
;111160214: Riba de Âncora;107;
;111160215: Seixas;17;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);64;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;39;
;111160223: União das freguesias de Gondar e Orbacém;80;
;111160224: União das freguesias de Moledo e Cristelo;34;
;111160225: União das freguesias de Venade e Azevedo;126;
;111160217: Vila Praia de Âncora;46;
;111160218: Vilar de Mouros;90;
;111160220: Vile;40;
;1111603: Melgaço;915;
;111160301: Alvaredo;69;
;111160304: Cousso;79;
;111160305: Cristoval;39;
;111160307: Fiães;47;
;111160308: Gave;48;
;111160311: Paderne;105;
;111160313: Penso;43;
;111160317: São Paio;101;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;75;
;111160320: União das freguesias de Chaviães e Paços;72;
;111160321: União das freguesias de Parada do Monte e Cubalhão;132;
;111160322: União das freguesias de Prado e Remoães;35;
