
Quadro extraído em 11 de Outubro de 2022 (08:46:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;111160323: União das freguesias de Vila e Roussas;71;
;1111604: Monção;2665;
;111160401: Abedim;82;
;111160404: Barbeita;99;
;111160405: Barroças e Taias;54;
;111160406: Bela;89;
;111160407: Cambeses;54;
;111160410: Lara;35;
;111160411: Longos Vales;194;
;111160415: Merufe;426;
;111160418: Moreira;104;
;111160420: Pias;184;
;111160421: Pinheiros;49;
;111160422: Podame;57;
;111160423: Portela;59;
;111160424: Riba de Mouro;167;
;111160427: Segude;88;
;111160428: Tangil;184;
;111160431: Trute;71;
;111160434: União das freguesias de Anhões e Luzio;119;
;111160435: União das freguesias de Ceivães e Badim;79;
;111160436: União das freguesias de Mazedo e Cortes;102;
;111160437: União das freguesias de Messegães, Valadares e Sá;115;
;111160438: União das freguesias de Monção e Troviscoso;64;
;111160439: União das freguesias de Sago, Lordelo e Parada;163;
;111160440: União das freguesias de Troporiz e Lapela;26;
;1111605: Paredes de Coura;3006;
;111160501: Agualonga;149;
;111160503: Castanheira;208;
;111160505: Coura;137;
;111160507: Cunha;225;
;111160510: Infesta;183;
;111160513: Mozelos;78;
;111160514: Padornelo;176;
;111160515: Parada;145;
;111160519: Romarigães;96;
;111160520: Rubiães;227;
;111160522: União das freguesias de Bico e Cristelo;302;
;111160523: União das freguesias de Cossourado e Linhares;146;
;111160524: União das freguesias de Formariz e Ferreira;349;
;111160525: União das freguesias de Insalde e Porreiras;291;
;111160526: União das freguesias de Paredes de Coura e Resende;159;
;111160521: Vascões;134;
;1111606: Ponte da Barca;1932;
;111160601: Azias;92;
;111160602: Boivães;142;
;111160603: Bravães;205;
;111160604: Britelo;23;
;111160606: Cuide de Vila Verde;76;
;111160611: Lavradas;269;
;111160612: Lindoso;44;
;111160613: Nogueira;49;
;111160614: Oleiros;160;
;111160619: Sampriz;104;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;197;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;81;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;161;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);51;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);143;
;111160623: Vade (São Pedro);64;
;111160624: Vade (São Tomé);72;
;1111607: Ponte de Lima;8540;
;111160701: Anais;218;
;111160752: Arca e Ponte de Lima;89;
;111160704: Arcozelo;224;
;111160753: Ardegão, Freixo e Mato;502;
;111160754: Associação de freguesias do Vale do Neiva;446;
;111160755: Bárrio e Cepões;126;
;111160707: Beiral do Lima;218;
;111160708: Bertiandos;81;
;111160709: Boalhosa;70;
;111160710: Brandara;55;
;111160756: Cabaços e Fojo Lobal;331;
;111160757: Cabração e Moreira do Lima;291;
;111160713: Calheiros;176;
;111160714: Calvelo;265;
;111160716: Correlhã;728;
;111160717: Estorãos;133;
;111160718: Facha;228;
;111160719: Feitosa;71;
;111160721: Fontão;261;
;111160758: Fornelos e Queijada;459;
;111160724: Friastelas;198;
;111160726: Gandra;100;
;111160727: Gemieira;162;
;111160728: Gondufe;189;
;111160729: Labruja;94;
;111160759: Labrujó, Rendufe e Vilar do Monte;181;
;111160760: Navió e Vitorino dos Piães;418;
;111160734: Poiares;383;
;111160744: Rebordões (Santa Maria);162;
;111160747: Rebordões (Souto);231;
;111160737: Refóios do Lima;450;
;111160739: Ribeira;244;
;111160740: Sá;64;
;111160742: Santa Comba;47;
;111160743: Santa Cruz do Lima;76;
;111160703: São Pedro d'Arcos;210;
;111160745: Seara;87;
;111160746: Serdedelo;155;
;111160750: Vitorino das Donas;117;
;1111608: Valença;1507;
;111160802: Boivão;49;
;111160803: Cerdal;363;
;111160805: Fontoura;150;
;111160806: Friestas;32;
;111160808: Ganfei;143;
;111160812: São Pedro da Torre;74;
;111160817: União das freguesias de Gandra e Taião;208;
;111160818: União das freguesias de Gondomil e Sanfins;135;
;111160819: União das freguesias de São Julião e Silva;206;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;87;
;111160816: Verdoejo;60;
;1111609: Viana do Castelo;6066;
;111160901: Afife;116;
;111160902: Alvarães;275;
;111160903: Amonde;41;
;111160904: Anha;198;
;111160905: Areosa;104;
;111160908: Carreço;294;
;111160910: Castelo do Neiva;202;
;111160940: Chafé;169;
;111160911: Darque;26;
;111160914: Freixieiro de Soutelo;148;
;111160915: Lanheses;289;
;111160920: Montaria;122;
;111160922: Mujães;47;
;111160925: Outeiro;138;
;111160926: Perre;412;
;111160928: Santa Marta de Portuzelo;367;
;111160923: São Romão de Neiva;98;
;111160941: União das freguesias de Barroselas e Carvoeiro;395;
;111160942: União das freguesias de Cardielos e Serreleis;201;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;672;
;111160944: União das freguesias de Mazarefes e Vila Fria;257;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;323;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;445;
;111160947: União das freguesias de Torre e Vila Mou;256;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;143;
;111160938: Vila de Punhe;90;
;111160935: Vila Franca;242;
;1111610: Vila Nova de Cerveira;1022;
;111161003: Cornes;109;
;111161004: Covas;96;
;111161006: Gondarém;62;
;111161007: Loivo;20;
;111161009: Mentrestido;53;
;111161012: Sapardos;46;
;111161013: Sopo;68;
;111161016: União das freguesias de Campos e Vila Meã;219;
;111161017: União das freguesias de Candemil e Gondar;79;
;111161018: União das freguesias de Reboreda e Nogueira;229;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;39;
;112: Cávado;42170;
;1120301: Amares;2150;
;112030102: Barreiros;135;
;112030104: Bico;76;
;112030119: Bouro (Santa Maria);96;
;112030120: Bouro (Santa Marta);113;
;112030105: Caires;82;
;112030107: Carrazedo;210;
;112030108: Dornelas;121;
;112030111: Fiscal;146;
;112030112: Goães;109;
;112030113: Lago;70;
;112030118: Rendufe;154;
;112030125: União das freguesias de Amares e Figueiredo;69;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;230;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;200;
;112030128: União das freguesias de Torre e Portela;102;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;237;
;1120302: Barcelos;20386;
;112030201: Abade de Neiva;269;
;112030202: Aborim;125;
;112030203: Adães;105;
;112030205: Airó;159;
;112030206: Aldreu;191;
;112030208: Alvelos;283;
;112030209: Arcozelo;149;
;112030210: Areias;67;
;112030212: Balugães;132;
;112030213: Barcelinhos;93;
;112030215: Barqueiros;507;
;112030216: Cambeses;281;
;112030218: Carapeços;201;
;112030220: Carvalhal;210;
;112030221: Carvalhas;164;
;112030224: Cossourado;353;
;112030228: Cristelo;890;
;112030234: Fornelos;243;
;112030235: Fragoso;291;
;112030268: Galegos (Santa Maria);151;
;112030272: Galegos (São Martinho);82;
;112030237: Gilmonde;212;
;112030242: Lama;139;
;112030243: Lijó;343;
;112030244: Macieira de Rates;882;
;112030245: Manhente;271;
;112030247: Martim;226;
;112030252: Moure;122;
;112030254: Oliveira;218;
;112030255: Palme;213;
;112030256: Panque;257;
;112030257: Paradela;442;
;112030259: Pereira;97;
;112030260: Perelhal;198;
;112030261: Pousa;280;
;112030263: Remelhe;301;
;112030265: Rio Covo (Santa Eugénia);169;
;112030264: Roriz;622;
;112030279: Silva;105;
;112030277: Tamel (São Veríssimo);149;
;112030282: Ucha;288;
;112030290: União das freguesias de Alheira e Igreja Nova;326;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;360;
;112030292: União das freguesias de Areias de Vilar e Encourados;420;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);396;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);296;
;112030295: União das freguesias de Carreira e Fonte Coberta;513;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1729;
;112030297: União das freguesias de Creixomil e Mariz;291;
;112030298: União das freguesias de Durrães e Tregosa;116;
;112030299: União das freguesias de Gamil e Midões;246;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;740;
;1120302FB: União das freguesias de Negreiros e Chavão;667;
;1120302FC: União das freguesias de Quintiães e Aguiar;296;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);439;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);493;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;179;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1107;
;1120302FH: União das freguesias de Vila Cova e Feitos;620;
;112030283: Várzea;144;
;112030287: Vila Seca;531;
;1120303: Braga;7127;
;112030301: Adaúfe;493;
;112030349: Braga (São Vicente);7;
;112030351: Braga (São Vítor);34;
;112030312: Espinho;222;
;112030313: Esporões;181;
;112030315: Figueiredo;103;
;112030319: Gualtar;31;
;112030322: Lamas;76;
;112030325: Mire de Tibães;243;
;112030330: Padim da Graça;139;
;112030331: Palmeira;219;
;112030334: Pedralva;381;
;112030336: Priscos;268;
;112030338: Ruilhe;120;
;112030354: Sequeira;213;
;112030355: Sobreposta;216;
;112030356: Tadim;61;
;112030357: Tebosa;104;
;112030363: União das freguesias de Arentim e Cunha;362;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);66;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);239;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;268;
;112030368: União das freguesias de Crespos e Pousada;269;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);400;
;112030370: União das freguesias de Este (São Pedro e São Mamede);151;
;112030371: União das freguesias de Ferreiros e Gondizalves;165;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);138;
;112030373: União das freguesias de Lomar e Arcos;162;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;309;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;284;
;112030376: União das freguesias de Morreira e Trandeiras;187;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;201;
;112030378: União das freguesias de Nogueiró e Tenões;72;
;112030379: União das freguesias de Real, Dume e Semelhe;431;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;132;
;112030381: União das freguesias de Vilaça e Fradelos;180;
;1120306: Esposende;4401;
;112030601: Antas;266;
;112030608: Forjães;237;
;112030610: Gemeses;351;
;112030616: União das freguesias de Apúlia e Fão;578;
;112030617: União das freguesias de Belinho e Mar;288;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;1028;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1044;
;112030620: União das freguesias de Palmeira de Faro e Curvos;384;
;112030615: Vila Chã;226;
;1120310: Terras de Bouro;1604;
;112031001: Balança;108;
;112031003: Campo do Gerês;7;
;112031004: Carvalheira;46;
;112031008: Covide;60;
;112031009: Gondoriz;110;
;112031010: Moimenta;90;
;112031012: Ribeira;47;
;112031013: Rio Caldo;146;
;112031014: Souto;100;
;112031018: União das freguesias de Chamoim e Vilar;256;
;112031019: União das freguesias de Chorense e Monte;251;
;112031020: União das freguesias de Cibões e Brufe;217;
;112031015: Valdosende;83;
;112031017: Vilar da Veiga;81;
;1120313: Vila Verde;6503;
;112031359: Aboim da Nóbrega e Gondomar;305;
;112031304: Atiães;205;
;112031308: Cabanelas;276;
;112031309: Cervães;172;
;112031311: Coucieiro;168;
;112031313: Dossãos;128;
;112031316: Freiriz;149;
;112031317: Gême;74;
;112031323: Lage;210;
;112031324: Lanhas;95;
;112031325: Loureira;101;
;112031328: Moure;115;
;112031330: Oleiros;87;
;112031331: Parada de Gatim;110;
;112031335: Pico;155;
;112031337: Ponte;81;
;112031350: Prado (São Miguel);145;
;112031340: Sabariz;79;
;112031352: Soutelo;217;
;112031354: Turiz;120;
;112031360: União das freguesias da Ribeira do Neiva;837;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);185;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);290;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;172;
;112031364: União das freguesias de Marrancos e Arcozelo;169;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);179;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;194;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;253;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);178;
;112031369: União das freguesias do Vade;388;
;112031355: Valdreu;235;
;112031342: Vila de Prado;194;
;112031370: Vila Verde e Barbudo;238;
;119: Ave;36892;
;1190304: Cabeceiras de Basto;3105;
;119030401: Abadim;242;
;119030404: Basto;162;
;119030405: Bucos;153;
;119030406: Cabeceiras de Basto;196;
;119030407: Cavez;431;
;119030408: Faia;139;
;119030413: Pedraça;257;
;119030415: Rio Douro;497;
;119030418: União das freguesias de Alvite e Passos;223;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;168;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;120;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;517;
;1190307: Fafe;6836;
;119030705: Armil;159;
;119030726: Arões (Santa Cristina);97;
;119030730: Arões (São Romão);198;
;119030708: Estorãos;269;
;119030709: Fafe;145;
;119030712: Fornelos;184;
;119030714: Golães;175;
;119030716: Medelo;61;
;119030719: Paços;218;
;119030722: Quinchães;235;
;119030723: Regadas;217;
;119030724: Revelhe;238;
;119030725: Ribeiros;147;
;119030728: São Gens;570;
;119030729: Silvares (São Martinho);121;
;119030733: Travassós;379;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;515;
;119030738: União de freguesias de Agrela e Serafão;238;
;119030739: União de freguesias de Antime e Silvares (São Clemente);236;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;340;
;119030741: União de freguesias de Cepães e Fareja;322;
;119030742: União de freguesias de Freitas e Vila Cova;377;
;119030743: União de freguesias de Monte e Queimadela;683;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;575;
;119030736: Vinhós;138;
;1190308: Guimarães;7882;
;119030801: Aldão;74;
;119030804: Azurém;83;
;119030806: Barco;77;
;119030807: Brito;198;
;119030808: Caldelas;173;
;119030857: Candoso (São Martinho);125;
;119030812: Costa;52;
;119030813: Creixomil;146;
;119030815: Fermentões;168;
;119030820: Gonça;140;
;119030821: Gondar;84;
;119030823: Guardizela;150;
;119030824: Infantas;134;
;119030827: Longos;316;
;119030828: Lordelo;80;
;119030830: Mesão Frio;177;
;119030831: Moreira de Cónegos;41;
;119030832: Nespereira;39;
;119030835: Pencelo;97;
;119030836: Pinheiro;131;
;119030837: Polvoreira;99;
;119030838: Ponte;234;
;119030842: Prazins (Santa Eufémia);66;
;119030840: Ronfe;166;
;119030858: Sande (São Martinho);122;
;119030865: São Torcato;458;
;119030850: Selho (São Cristóvão);55;
;119030854: Selho (São Jorge);166;
;119030866: Serzedelo;123;
;119030868: Silvares;113;
;119030875: União das freguesias de Abação e Gémeos;261;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;178;
;119030877: União das freguesias de Arosa e Castelões;135;
;119030878: União das freguesias de Atães e Rendufe;444;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;130;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;280;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;159;
;119030882: União das freguesias de Conde e Gandarela;96;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;392;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;70;
;119030886: União das freguesias de Sande São Lourenço e Balazar;383;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;275;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;152;
;119030889: União das freguesias de Serzedo e Calvos;129;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;464;
;119030891: União das freguesias de Tabuadelo e São Faustino;157;
;119030871: Urgezes;91;
;1191705: Mondim de Basto;2379;
;119170501: Atei;581;
;119170502: Bilhó;337;
;119170505: São Cristóvão de Mondim de Basto;429;
;119170509: União das freguesias de Campanhó e Paradança;173;
;119170510: União das freguesias de Ermelo e Pardelhas;456;
;119170508: Vilar de Ferreiros;402;
;1190309: Póvoa de Lanhoso;3606;
;119030906: Covelas;139;
;119030908: Ferreiros;174;
;119030912: Galegos;42;
;119030913: Garfe;154;
;119030914: Geraz do Minho;139;
;119030915: Lanhoso;103;
;119030917: Monsul;154;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);144;
;119030921: Rendufinho;178;
;119030922: Santo Emilião;281;
;119030923: São João de Rei;147;
;119030924: Serzedelo;209;
;119030925: Sobradelo da Goma;201;
;119030926: Taíde;123;
;119030927: Travassos;107;
;119030930: União das freguesias de Águas Santas e Moure;129;
;119030931: União das freguesias de Calvos e Frades;162;
;119030932: União das freguesias de Campos e Louredo;323;
;119030933: União das freguesias de Esperança e Brunhais;124;
;119030934: União das freguesias de Fonte Arcada e Oliveira;240;
;119030935: União das freguesias de Verim, Friande e Ajude;203;
;119030929: Vilela;133;
;1190311: Vieira do Minho;2476;
;119031105: Cantelães;86;
;119031107: Eira Vedra;88;
;119031108: Guilhofrei;239;
;119031109: Louredo;64;
;119031110: Mosteiro;137;
;119031111: Parada de Bouro;88;
;119031112: Pinheiro;122;
;119031113: Rossas;477;
;119031115: Salamonde;66;
;119031118: Tabuaças;124;
;119031122: União das freguesias de Anissó e Soutelo;133;
;119031123: União das freguesias de Anjos e Vilar do Chão;258;
;119031124: União das freguesias de Caniçada e Soengas;91;
;119031125: União das freguesias de Ruivães e Campos;255;
;119031126: União das freguesias de Ventosa e Cova;136;
;119031120: Vieira do Minho;112;
;1190312: Vila Nova de Famalicão;9908;
;119031204: Bairro;116;
;119031206: Brufe;147;
;119031210: Castelões;162;
;119031212: Cruz;209;
;119031213: Delães;103;
;119031215: Fradelos;1311;
;119031216: Gavião;220;
;119031219: Joane;144;
;119031221: Landim;299;
;119031223: Louro;401;
;119031224: Lousado;164;
;119031225: Mogege;106;
;119031227: Nine;375;
;119031239: Oliveira (Santa Maria);184;
;119031242: Oliveira (São Mateus);34;
;119031230: Pedome;58;
;119031232: Pousada de Saramagos;27;
;119031233: Requião;276;
;119031234: Riba de Ave;33;
;119031235: Ribeirão;400;
;119031250: União das freguesias de Antas e Abade de Vermoim;297;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;539;
;119031252: União das freguesias de Avidos e Lagoa;280;
;119031253: União das freguesias de Carreira e Bente;197;
;119031254: União das freguesias de Esmeriz e Cabeçudos;216;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;990;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;517;
;119031257: União das freguesias de Ruivães e Novais;223;
;119031258: União das freguesias de Seide;195;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;592;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;266;
;119031241: Vale (São Martinho);269;
;119031247: Vermoim;150;
;119031249: Vilarinho das Cambas;407;
;1190314: Vizela;700;
;119031404: Infias;53;
;119031401: Santa Eulália;164;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);88;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);288;
;119031406: Vizela (Santo Adrião);106;
;11A: Área Metropolitana do Porto;49487;
;11A0104: Arouca;4173;
;11A010402: Alvarenga;332;
;11A010407: Chave;320;
;11A010409: Escariz;504;
;11A010411: Fermedo;314;
;11A010413: Mansores;324;
;11A010414: Moldes;277;
;11A010415: Rossas;160;
;11A010416: Santa Eulália;250;
;11A010417: São Miguel do Mato;155;
;11A010418: Tropeço;335;
;11A010421: União das freguesias de Arouca e Burgo;382;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;195;
;11A010423: União das freguesias de Canelas e Espiunca;181;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;173;
;11A010419: Urrô;181;
;11A010420: Várzea;89;
;11A0107: Espinho;75;
;11A010702: Espinho;- -;
;11A010704: Paramos;6;
;11A010705: Silvalde;18;
;11A010706: União das freguesias de Anta e Guetim;51;
;11A1304: Gondomar;1788;
;11A130412: Baguim do Monte (Rio Tinto);100;
;11A130405: Lomba;63;
;11A130408: Rio Tinto;300;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;283;
;11A130414: União das freguesias de Foz do Sousa e Covelo;362;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;477;
;11A130416: União das freguesias de Melres e Medas;203;
;11A1306: Maia;2964;
;11A130601: Águas Santas;271;
;11A130618: Castêlo da Maia;968;
;11A130619: Cidade da Maia;175;
;11A130603: Folgosa;344;
;11A130608: Milheirós;53;
;11A130609: Moreira;367;
;11A130620: Nogueira e Silva Escura;309;
;11A130617: Pedrouços;46;
;11A130613: São Pedro Fins;222;
;11A130616: Vila Nova da Telha;208;
;11A1308: Matosinhos;2193;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;763;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;53;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1216;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;162;
;11A0113: Oliveira de Azeméis;3431;
;11A011301: Carregosa;238;
;11A011302: Cesar;77;
;11A011303: Fajões;189;
;11A011304: Loureiro;858;
;11A011305: Macieira de Sarnes;61;
;11A011310: Ossela;219;
;11A011315: São Martinho da Gândara;515;
;11A011318: São Roque;73;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;149;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;386;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;361;
;11A011319: Vila de Cucujães;304;
;11A1310: Paredes;3259;
;11A131001: Aguiar de Sousa;172;
;11A131002: Astromil;72;
;11A131003: Baltar;192;
;11A131004: Beire;228;
;11A131008: Cete;97;
;11A131009: Cristelo;44;
;11A131010: Duas Igrejas;140;
;11A131011: Gandra;203;
;11A131013: Lordelo;96;
;11A131014: Louredo;102;
;11A131017: Parada de Todeia;70;
;11A131025: Paredes;980;
;11A131018: Rebordosa;147;
;11A131019: Recarei;229;
;11A131020: Sobreira;141;
;11A131021: Sobrosa;109;
;11A131022: Vandoma;116;
;11A131024: Vilela;121;
;11A1312: Porto;- -;
;11A131202: Bonfim;- -;
;11A131203: Campanhã;- -;
;11A131210: Paranhos;- -;
;11A131211: Ramalde;- -;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;
;11A1313: Póvoa de Varzim;5691;
;11A131305: Balazar;1334;
;11A131307: Estela;615;
;11A131308: Laundos;458;
;11A131311: Rates;1467;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;561;
;11A131314: União das freguesias de Aguçadoura e Navais;325;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;930;
;11A0109: Santa Maria da Feira;2765;
;11A010901: Argoncilhe;95;
;11A010902: Arrifana;109;
;11A010904: Escapães;27;
;11A010907: Fiães;24;
;11A010908: Fornos;31;
;11A010913: Lourosa;22;
;11A010914: Milheirós de Poiares;83;
;11A010916: Mozelos;50;
;11A010917: Nogueira da Regedoura;2;
;11A010919: Paços de Brandão;12;
;11A010921: Rio Meão;31;
;11A010922: Romariz;230;
;11A010924: Sanguedo;28;
;11A010925: Santa Maria de Lamas;8;
;11A010926: São João de Ver;43;
;11A010918: São Paio de Oleiros;7;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;107;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;699;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;486;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;274;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;396;
;11A1314: Santo Tirso;3851;
;11A131401: Agrela;43;
;11A131402: Água Longa;342;
;11A131405: Aves;88;
;11A131413: Monte Córdova;480;
;11A131430: Negrelos (São Tomé);160;
