Statistical table extracted on October 18, 2022 (10:37:24);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2009;;;
;?/ ha ;;;
PT: Portugal;1264,9;;;
1: Continente;1188;;;
11: Norte;1440,4;;;
111: Alto Minho;955,1;;;
1111601: Arcos de Valdevez;487;;;
111160101: Aboim das Choças;1118,5;;;
111160102: Aguiã;1227;;;
111160104: Ázere;1629,6;;;
111160105: Cabana Maior;102,8;;;
111160106: Cabreiro;210,4;;;
111160108: Cendufe;1259,8;;;
111160109: Couto;1227,6;;;
111160113: Gavieira;1808,4;;;
111160115: Gondoriz;535,4;;;
111160142: Jolda (São Paio);1422,7;;;
111160121: Miranda;566,9;;;
111160122: Monte Redondo;1477,4;;;
111160123: Oliveira;2148,1;;;
111160124: Paçô;6195,5;;;
111160125: Padroso;485,5;;;
111160128: Prozelo;1352,9;;;
111160131: Rio de Moinhos;919,2;;;
111160130: Rio Frio;861,9;;;
111160133: Sabadim;627,7;;;
111160144: Senharei;799,8;;;
111160145: Sistelo;180,4;;;
111160146: Soajo;167,8;;;
111160152: União das freguesias de Alvora e Loureda;384,7;;;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;886,2;;;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;1673,1;;;
111160155: União das freguesias de Eiras e Mei;779,6;;;
111160156: União das freguesias de Grade e Carralcova;1639,9;;;
111160157: União das freguesias de Guilhadeses e Santar;2004;;;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;1428,5;;;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);1120,7;;;
111160160: União das freguesias de Portela e Extremo;533,3;;;
111160161: União das freguesias de São Jorge e Ermelo;320,8;;;
111160162: União das freguesias de Souto e Tabaçô;1696,3;;;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);1463,6;;;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;1083,6;;;
111160149: Vale;746,4;;;
