
Statistical table extracted on October 18, 2022 (23:21:44)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
111160746: Serdedelo;178181;
111160750: Vitorino das Donas;150050;
1111608: Valença;3635085;
111160802: Boivão;78968;
111160803: Cerdal;499691;
111160805: Fontoura;554023;
111160806: Friestas;59488;
111160808: Ganfei;449341;
111160812: São Pedro da Torre;293808;
111160817: União das freguesias de Gandra e Taião;645529;
111160818: União das freguesias de Gondomil e Sanfins;172030;
111160819: União das freguesias de São Julião e Silva;331453;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;231389;
111160816: Verdoejo;319364;
1111609: Viana do Castelo;14870632;
111160901: Afife;461813;
111160902: Alvarães;475172;
111160903: Amonde;68074;
111160904: Anha;317865;
111160905: Areosa;336396;
111160908: Carreço;1152576;
111160910: Castelo do Neiva;275341;
111160940: Chafé;1093773;
111160911: Darque;41024;
111160914: Freixieiro de Soutelo;333328;
111160915: Lanheses;300805;
111160920: Montaria;300528;
111160922: Mujães;257147;
111160925: Outeiro;464355;
111160926: Perre;641221;
111160928: Santa Marta de Portuzelo;502168;
111160923: São Romão de Neiva;913893;
111160941: União das freguesias de Barroselas e Carvoeiro;1192374;
111160942: União das freguesias de Cardielos e Serreleis;323142;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;663256;
111160944: União das freguesias de Mazarefes e Vila Fria;1352992;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;902906;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;660315;
111160947: União das freguesias de Torre e Vila Mou;778005;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;257654;
111160938: Vila de Punhe;358047;
111160935: Vila Franca;446462;
1111610: Vila Nova de Cerveira;1796054;
111161003: Cornes;198905;
111161004: Covas;380698;
111161006: Gondarém;65551;
111161007: Loivo;64227;
111161009: Mentrestido;126518;
111161012: Sapardos;77768;
111161013: Sopo;67374;
111161016: União das freguesias de Campos e Vila Meã;246940;
111161017: União das freguesias de Candemil e Gondar;67820;
111161018: União das freguesias de Reboreda e Nogueira;453561;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;46692;
112: Cávado;138161282;
1120301: Amares;9469324;
112030102: Barreiros;372685;
112030104: Bico;27738;
112030119: Bouro (Santa Maria);145209;
112030120: Bouro (Santa Marta);177605;
112030105: Caires;200584;
112030107: Carrazedo;5183076;
112030108: Dornelas;345414;
112030111: Fiscal;222971;
112030112: Goães;195446;
112030113: Lago;104177;
112030118: Rendufe;570836;
112030125: União das freguesias de Amares e Figueiredo;448660;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;230184;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;752754;
112030128: União das freguesias de Torre e Portela;109763;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;382221;
1120302: Barcelos;84158539;
112030201: Abade de Neiva;1124434;
112030202: Aborim;492986;
112030203: Adães;553103;
112030205: Airó;245636;
112030206: Aldreu;739309;
112030208: Alvelos;835946;
112030209: Arcozelo;281288;
112030210: Areias;56990;
112030212: Balugães;316031;
112030213: Barcelinhos;552443;
112030215: Barqueiros;1792428;
112030216: Cambeses;902967;
112030218: Carapeços;349467;
112030220: Carvalhal;727878;
112030221: Carvalhas;746506;
112030224: Cossourado;1496562;
112030228: Cristelo;5821269;
112030234: Fornelos;1583218;
112030235: Fragoso;940829;
112030268: Galegos (Santa Maria);151854;
112030272: Galegos (São Martinho);304484;
112030237: Gilmonde;733137;
112030242: Lama;266631;
112030243: Lijó;1239913;
112030244: Macieira de Rates;5468485;
112030245: Manhente;2608411;
112030247: Martim;342956;
112030252: Moure;446894;
112030254: Oliveira;425717;
112030255: Palme;655191;
112030256: Panque;657235;
112030257: Paradela;3181410;
112030259: Pereira;412525;
112030260: Perelhal;485584;
112030261: Pousa;654635;
112030263: Remelhe;1669655;
112030265: Rio Covo (Santa Eugénia);709990;
112030264: Roriz;2177709;
112030279: Silva;347225;
112030277: Tamel (São Veríssimo);290563;
112030282: Ucha;1094395;
112030290: União das freguesias de Alheira e Igreja Nova;529659;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;1703009;
112030292: União das freguesias de Areias de Vilar e Encourados;733818;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);1795547;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);660597;
112030295: União das freguesias de Carreira e Fonte Coberta;2205793;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;8867660;
112030297: União das freguesias de Creixomil e Mariz;746075;
112030298: União das freguesias de Durrães e Tregosa;276525;
112030299: União das freguesias de Gamil e Midões;574291;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;4297044;
1120302FB: União das freguesias de Negreiros e Chavão;3662983;
1120302FC: União das freguesias de Quintiães e Aguiar;941480;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);1455377;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);2007554;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;316236;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;4828549;
1120302FH: União das freguesias de Vila Cova e Feitos;2628644;
112030283: Várzea;377707;
112030287: Vila Seca;1666105;
1120303: Braga;13804594;
112030301: Adaúfe;712440;
112030349: Braga (São Vicente);- -;
112030351: Braga (São Vítor);22789;
112030312: Espinho;457504;
112030313: Esporões;295352;
112030315: Figueiredo;286757;
112030319: Gualtar;26797;
112030322: Lamas;74321;
112030325: Mire de Tibães;380992;
112030330: Padim da Graça;89234;
112030331: Palmeira;482035;
112030334: Pedralva;1084577;
112030336: Priscos;301583;
112030338: Ruilhe;244524;
112030354: Sequeira;519267;
112030355: Sobreposta;460153;
112030356: Tadim;135168;
112030357: Tebosa;87043;
112030363: União das freguesias de Arentim e Cunha;1269358;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);68915;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);4023;
112030366: União das freguesias de Cabreiros e Passos (São Julião);448074;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;307375;
112030368: União das freguesias de Crespos e Pousada;579407;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);1445842;
112030370: União das freguesias de Este (São Pedro e São Mamede);309735;
112030371: União das freguesias de Ferreiros e Gondizalves;168247;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);390028;
112030373: União das freguesias de Lomar e Arcos;283970;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;602605;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;600014;
112030376: União das freguesias de Morreira e Trandeiras;505315;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;138943;
112030378: União das freguesias de Nogueiró e Tenões;72950;
112030379: União das freguesias de Real, Dume e Semelhe;525501;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;213932;
112030381: União das freguesias de Vilaça e Fradelos;209822;
1120306: Esposende;15315838;
112030601: Antas;276527;
112030608: Forjães;620197;
112030610: Gemeses;1010612;
112030616: União das freguesias de Apúlia e Fão;3364769;
112030617: União das freguesias de Belinho e Mar;829012;
112030618: União das freguesias de Esposende, Marinhas e Gandra;3688160;
112030619: União das freguesias de Fonte Boa e Rio Tinto;4461125;
112030620: União das freguesias de Palmeira de Faro e Curvos;588212;
112030615: Vila Chã;477224;
1120310: Terras de Bouro;2758312;
112031001: Balança;171412;
112031003: Campo do Gerês;171102;
112031004: Carvalheira;214812;
112031008: Covide;239194;
112031009: Gondoriz;136462;
112031010: Moimenta;61959;
112031012: Ribeira;59844;
112031013: Rio Caldo;194103;
112031014: Souto;209745;
112031018: União das freguesias de Chamoim e Vilar;265194;
112031019: União das freguesias de Chorense e Monte;451134;
112031020: União das freguesias de Cibões e Brufe;301651;
112031015: Valdosende;75971;
112031017: Vilar da Veiga;205729;
1120313: Vila Verde;12654676;
112031359: Aboim da Nóbrega e Gondomar;446976;
112031304: Atiães;433865;
112031308: Cabanelas;1217888;
112031309: Cervães;470370;
112031311: Coucieiro;513234;
112031313: Dossãos;191299;
112031316: Freiriz;276622;
112031317: Gême;101747;
112031323: Lage;362150;
112031324: Lanhas;128399;
112031325: Loureira;102021;
112031328: Moure;233564;
112031330: Oleiros;181595;
112031331: Parada de Gatim;90005;
112031335: Pico;176712;
112031337: Ponte;150490;
112031350: Prado (São Miguel);134033;
112031340: Sabariz;64812;
112031352: Soutelo;806932;
112031354: Turiz;339927;
112031360: União das freguesias da Ribeira do Neiva;1215317;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);272016;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);423497;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;430446;
112031364: União das freguesias de Marrancos e Arcozelo;940696;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);220564;
112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;504849;
112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;298489;
112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);286017;
112031369: União das freguesias do Vade;342219;
112031355: Valdreu;345196;
112031342: Vila de Prado;615997;
112031370: Vila Verde e Barbudo;336729;
119: Ave;77357582;
1190304: Cabeceiras de Basto;5971695;
119030401: Abadim;358805;
119030404: Basto;270855;
119030405: Bucos;292293;
119030406: Cabeceiras de Basto;408676;
119030407: Cavez;817674;
119030408: Faia;188739;
119030413: Pedraça;263157;
119030415: Rio Douro;855280;
119030418: União das freguesias de Alvite e Passos;554211;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;390299;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;538135;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1033571;
1190307: Fafe;6530592;
119030705: Armil;730136;
119030726: Arões (Santa Cristina);112229;
119030730: Arões (São Romão);152841;
119030708: Estorãos;188312;
119030709: Fafe;192021;
119030712: Fornelos;114867;
119030714: Golães;189081;
119030716: Medelo;71975;
119030719: Paços;120408;
119030722: Quinchães;185743;
119030723: Regadas;288619;
119030724: Revelhe;226763;
119030725: Ribeiros;200189;
119030728: São Gens;389141;
119030729: Silvares (São Martinho);84814;
119030733: Travassós;345989;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;320709;
119030738: União de freguesias de Agrela e Serafão;172593;
119030739: União de freguesias de Antime e Silvares (São Clemente);269504;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;575911;
119030741: União de freguesias de Cepães e Fareja;375482;
119030742: União de freguesias de Freitas e Vila Cova;215830;
119030743: União de freguesias de Monte e Queimadela;414201;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;474971;
119030736: Vinhós;118263;
1190308: Guimarães;17747114;
119030801: Aldão;79904;
119030804: Azurém;172971;
119030806: Barco;1280375;
119030807: Brito;497290;
119030808: Caldelas;214833;
119030857: Candoso (São Martinho);461939;
119030812: Costa;83569;
119030813: Creixomil;141192;
119030815: Fermentões;399254;
119030820: Gonça;121210;
119030821: Gondar;91510;
119030823: Guardizela;545781;
119030824: Infantas;174631;
119030827: Longos;438565;
119030828: Lordelo;203295;
119030830: Mesão Frio;133473;
119030831: Moreira de Cónegos;29110;
119030832: Nespereira;401766;
119030835: Pencelo;113592;
119030836: Pinheiro;524665;
119030837: Polvoreira;96825;
119030838: Ponte;1401896;
119030842: Prazins (Santa Eufémia);103621;
119030840: Ronfe;610311;
119030858: Sande (São Martinho);232171;
119030865: São Torcato;606852;
119030850: Selho (São Cristóvão);119798;
119030854: Selho (São Jorge);305241;
119030866: Serzedelo;321292;
119030868: Silvares;254362;
119030875: União das freguesias de Abação e Gémeos;143181;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;512749;
119030877: União das freguesias de Arosa e Castelões;137802;
119030878: União das freguesias de Atães e Rendufe;379528;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;204130;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;578460;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;653676;
119030882: União das freguesias de Conde e Gandarela;197401;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;536421;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;75211;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;732321;
119030886: União das freguesias de Sande São Lourenço e Balazar;1184056;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;357019;
119030888: União das freguesias de Selho São Lourenço e Gominhães;176854;
119030889: União das freguesias de Serzedo e Calvos;148278;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;1125881;
119030891: União das freguesias de Tabuadelo e São Faustino;153942;
119030871: Urgezes;288909;
1191705: Mondim de Basto;3095413;
119170501: Atei;925556;
119170502: Bilhó;545915;
119170505: São Cristóvão de Mondim de Basto;496409;
119170509: União das freguesias de Campanhó e Paradança;206169;
119170510: União das freguesias de Ermelo e Pardelhas;527545;
119170508: Vilar de Ferreiros;393818;
1190309: Póvoa de Lanhoso;5172124;
119030906: Covelas;100391;
119030908: Ferreiros;292488;
119030912: Galegos;12646;
119030913: Garfe;100665;
119030914: Geraz do Minho;488990;
119030915: Lanhoso;118877;
119030917: Monsul;197813;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);159767;
119030921: Rendufinho;176875;
119030922: Santo Emilião;855162;
119030923: São João de Rei;194561;
119030924: Serzedelo;187786;
119030925: Sobradelo da Goma;206395;
119030926: Taíde;80082;
119030927: Travassos;138325;
119030930: União das freguesias de Águas Santas e Moure;322492;
119030931: União das freguesias de Calvos e Frades;181873;
119030932: União das freguesias de Campos e Louredo;568405;
119030933: União das freguesias de Esperança e Brunhais;90794;
119030934: União das freguesias de Fonte Arcada e Oliveira;261104;
119030935: União das freguesias de Verim, Friande e Ajude;260427;
119030929: Vilela;176206;
1190311: Vieira do Minho;3295891;
119031105: Cantelães;205634;
119031107: Eira Vedra;127515;
119031108: Guilhofrei;190015;
119031109: Louredo;122348;
119031110: Mosteiro;148078;
119031111: Parada de Bouro;79394;
119031112: Pinheiro;140179;
119031113: Rossas;666637;
119031115: Salamonde;101583;
119031118: Tabuaças;162931;
119031122: União das freguesias de Anissó e Soutelo;168105;
119031123: União das freguesias de Anjos e Vilar do Chão;353050;
119031124: União das freguesias de Caniçada e Soengas;73584;
119031125: União das freguesias de Ruivães e Campos;548626;
119031126: União das freguesias de Ventosa e Cova;99758;
119031120: Vieira do Minho;108454;
1190312: Vila Nova de Famalicão;34462741;
119031204: Bairro;252108;
119031206: Brufe;276219;
119031210: Castelões;628173;
119031212: Cruz;1002555;
119031213: Delães;303678;
119031215: Fradelos;7583239;
119031216: Gavião;259465;
119031219: Joane;378497;
119031221: Landim;730746;
119031223: Louro;1889411;
119031224: Lousado;200286;
119031225: Mogege;145746;
119031227: Nine;981876;
119031239: Oliveira (Santa Maria);175440;
119031242: Oliveira (São Mateus);14913;
119031230: Pedome;128290;
119031232: Pousada de Saramagos;8277;
119031233: Requião;706567;
119031234: Riba de Ave;81880;
119031235: Ribeirão;1215259;
119031250: União das freguesias de Antas e Abade de Vermoim;973617;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;917439;
119031252: União das freguesias de Avidos e Lagoa;884075;
119031253: União das freguesias de Carreira e Bente;619542;
119031254: União das freguesias de Esmeriz e Cabeçudos;867282;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;4779361;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;2301691;
119031257: União das freguesias de Ruivães e Novais;921758;
119031258: União das freguesias de Seide;266085;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;1370232;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;207424;
119031241: Vale (São Martinho);794632;
119031247: Vermoim;244468;
119031249: Vilarinho das Cambas;2352509;
1190314: Vizela;1082012;
119031404: Infias;47270;
119031401: Santa Eulália;239430;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);268726;
119031409: União das freguesias de Tagilde e Vizela (São Paio);375059;
119031406: Vizela (Santo Adrião);151526;
