
Statistical table extracted on October 18, 2022 (23:21:44)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
11A131401: Agrela;479132;
11A131402: Água Longa;818470;
11A131405: Aves;191876;
11A131413: Monte Córdova;670108;
11A131430: Negrelos (São Tomé);170613;
11A131416: Rebordões;232271;
11A131418: Reguenga;876686;
11A131419: Roriz;389008;
11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;971411;
11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);498333;
11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;896136;
11A131436: União das freguesias de Lamelas e Guimarei;667966;
11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;1510981;
11A131432: Vilarinho;125298;
11A0116: São João da Madeira;56461;
11A011601: São João da Madeira;56461;
11A1318: Trofa;14006872;
11A131806: Covelas;2013464;
11A131808: Muro;432730;
11A131809: União das freguesias de Alvarelhos e Guidões;1428212;
11A131810: União das freguesias de Bougado (São Martinho e Santiago);5479946;
11A131811: União das freguesias de Coronado (São Romão e São Mamede);4652521;
11A0119: Vale de Cambra;3452440;
11A011901: Arões;1038564;
11A011903: Cepelos;219965;
11A011905: Junqueira;685805;
11A011906: Macieira de Cambra;501288;
11A011907: Roge;245696;
11A011902: São Pedro de Castelões;361669;
11A011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;399453;
11A1315: Valongo;4873211;
11A131501: Alfena;2698621;
11A131503: Ermesinde;472175;
11A131506: União das freguesias de Campo e Sobrado;1454307;
11A131505: Valongo;248108;
11A1316: Vila do Conde;62078696;
11A131602: Árvore;2129925;
11A131603: Aveleda;612386;
11A131604: Azurara;195794;
11A131607: Fajozes;3149570;
11A131610: Gião;1477043;
11A131611: Guilhabreu;2856822;
11A131612: Junqueira;4776439;
11A131613: Labruge;3086876;
11A131614: Macieira da Maia;1484471;
11A131616: Mindelo;2580535;
11A131617: Modivas;1256998;
11A131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;9850410;
11A131632: União das freguesias de Fornelo e Vairão;3452480;
11A131633: União das freguesias de Malta e Canidelo;1531616;
11A131634: União das freguesias de Retorta e Tougues;2561116;
11A131635: União das freguesias de Rio Mau e Arcos;11539436;
11A131636: União das freguesias de Touguinha e Touguinhó;3915604;
11A131637: União das freguesias de Vilar e Mosteiró;2654979;
11A131627: Vila Chã;1366659;
11A131628: Vila do Conde;766453;
11A131630: Vilar de Pinheiro;833083;
11A1317: Vila Nova de Gaia;3414593;
11A131701: Arcozelo;318346;
11A131702: Avintes;44036;
11A131703: Canelas;19018;
11A131704: Canidelo;165351;
11A131709: Madalena;41066;
11A131712: Oliveira do Douro;97251;
11A131717: São Félix da Marinha;315039;
11A131725: União das freguesias de Grijó e Sermonde;141187;
11A131726: União das freguesias de Gulpilhares e Valadares;675429;
11A131727: União das freguesias de Mafamude e Vilar do Paraíso;91212;
11A131728: União das freguesias de Pedroso e Seixezelo;352017;
11A131729: União das freguesias de Sandim, Olival, Lever e Crestuma;804760;
11A131730: União das freguesias de Santa Marinha e São Pedro da Afurada;36014;
11A131731: União das freguesias de Serzedo e Perosinho;285125;
11A131723: Vilar de Andorinho;28741;
11B: Alto Tâmega;79208748;
11B1702: Boticas;6805727;
11B170217: Alturas do Barroso e Cerdedo;1517327;
11B170218: Ardãos e Bobadela;664248;
11B170203: Beça;1115868;
11B170219: Boticas e Granja;388618;
11B170220: Codessoso, Curros e Fiães do Tâmega;487808;
11B170208: Covas do Barroso;429575;
11B170210: Dornelas;774300;
11B170213: Pinho;273111;
11B170215: Sapiãos;449384;
11B170221: Vilar e Viveiro;705489;
11B1703: Chaves;23817080;
11B170301: Águas Frias;1323539;
11B170302: Anelhe;479944;
11B170305: Bustelo;229153;
11B170309: Cimo de Vila da Castanheira;1053482;
11B170310: Curalha;330112;
11B170312: Ervededo;743487;
11B170313: Faiões;415653;
11B170314: Lama de Arcos;542604;
11B170316: Mairos;1451441;
11B170317: Moreiras;306995;
11B170318: Nogueira da Montanha;1455632;
11B170320: Oura;946410;
11B170321: Outeiro Seco;238483;
11B170322: Paradela;520389;
11B170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);952991;
11B170324: Redondelo;931937;
11B170327: Sanfins;293856;
11B170329: Santa Leocádia;602350;
11B170350: Santa Maria Maior;40500;
11B170330: Santo António de Monforte;294377;
11B170331: Santo Estêvão;398106;
11B170333: São Pedro de Agostém;1209850;
11B170334: São Vicente;734619;
11B170340: Tronco;270329;
11B170354: União das freguesias da Madalena e Samaiões;1346788;
11B170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;967144;
11B170356: União das freguesias de Calvão e Soutelinho da Raia;781605;
11B170357: União das freguesias de Loivos e Póvoa de Agrações;511056;
11B170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;184477;
11B170359: União das freguesias de Soutelo e Seara Velha;298010;
11B170360: União das freguesias de Travancas e Roriz;953470;
11B170341: Vale de Anta;319829;
11B170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);961250;
11B170343: Vila Verde da Raia;471117;
11B170344: Vilar de Nantes;146505;
11B170345: Vilarelho da Raia;447683;
11B170347: Vilas Boas;145126;
11B170349: Vilela do Tâmega;248358;
11B170348: Vilela Seca;268424;
11B1706: Montalegre;16549938;
11B170601: Cabril;1149508;
11B170603: Cervos;584708;
11B170604: Chã;1528830;
11B170607: Covelo do Gerês;192755;
11B170609: Ferral;333703;
11B170612: Gralhas;300096;
11B170616: Morgade;680478;
11B170618: Negrões;515554;
11B170619: Outeiro;647491;
11B170623: Pitões das Junias;574665;
11B170625: Reigoso;327234;
11B170626: Salto;1742255;
11B170627: Santo André;378440;
11B170629: Sarraquinhos;870156;
11B170631: Solveira;195424;
11B170632: Tourém;355447;
11B170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;858170;
11B170637: União das freguesias de Meixedo e Padornelos;832041;
11B170638: União das freguesias de Montalegre e Padroso;677387;
11B170639: União das freguesias de Paradela, Contim e Fiães;572768;
11B170640: União das freguesias de Sezelhe e Covelães;504799;
11B170641: União das freguesias de Venda Nova e Pondras;345191;
11B170642: União das freguesias de Viade de Baixo e Fervidelas;1512896;
11B170643: União das freguesias de Vilar de Perdizes e Meixide;531801;
11B170635: Vila da Ponte;338142;
11B1709: Ribeira de Pena;4402714;
11B170901: Alvadia;623946;
11B170902: Canedo;301353;
11B170906: Santa Marinha;170215;
11B170908: União das freguesias de Cerva e Limões;2045636;
11B170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;1261563;
11B1712: Valpaços;16599557;
11B171201: Água Revés e Crasto;814282;
11B171203: Algeriz;881506;
11B171205: Bouçoães;418312;
11B171206: Canaveses;402496;
11B171232: Carrazedo de Montenegro e Curros;1544437;
11B171209: Ervões;940066;
11B171211: Fornos do Pinhal;362664;
11B171212: Friões;1026759;
11B171233: Lebução, Fiães e Nozelos;623946;
11B171215: Padrela e Tazem;859222;
11B171216: Possacos;369575;
11B171217: Rio Torto;836218;
11B171219: Santa Maria de Emeres;547487;
11B171220: Santa Valha;698015;
11B171221: Santiago da Ribeira de Alhariz;627918;
11B171222: São João da Corveira;725707;
11B171223: São Pedro de Veiga de Lila;495166;
11B171224: Serapicos;566334;
11B171234: Sonim e Barreiros;344504;
11B171235: Tinhela e Alvarelhos;697182;
11B171227: Vales;523928;
11B171236: Valpaços e Sanfins;1022554;
11B171229: Vassal;581763;
11B171230: Veiga de Lila;304781;
11B171231: Vilarandelo;384736;
11B1713: Vila Pouca de Aguiar;11033732;
11B171302: Alfarela de Jales;326295;
11B171319: Alvão;2607907;
11B171303: Bornes de Aguiar;1334223;
11B171304: Bragado;324416;
11B171305: Capeludos;280903;
11B171317: Sabroso de Aguiar;77862;
11B171310: Soutelo de Aguiar;944868;
11B171311: Telões;1661351;
11B171312: Tresminas;670414;
11B171320: União das freguesias de Pensalvos e Parada de Monteiros;522053;
11B171313: Valoura;203337;
11B171314: Vila Pouca de Aguiar;923180;
11B171315: Vreia de Bornes;401687;
11B171316: Vreia de Jales;755236;
11C: Tâmega e Sousa;67150543;
11C1301: Amarante;9710393;
11C130103: Ansiães;133235;
11C130107: Candemil;163564;
11C130112: Fregim;335170;
11C130115: Fridão;218634;
11C130117: Gondar;293320;
11C130134: Gouveia (São Simão);299196;
11C130118: Jazente;86483;
11C130119: Lomba;152530;
11C130120: Louredo;102790;
11C130121: Lufrei;236665;
11C130123: Mancelos;804717;
11C130126: Padronelo;107695;
11C130128: Rebordelo;96477;
11C130129: Salvador do Monte;384161;
11C130135: Telões;969108;
11C130136: Travanca;512637;
11C130141: União das freguesias de Aboadela, Sanche e Várzea;565909;
11C130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;867774;
11C130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;370816;
11C130144: União das freguesias de Figueiró (Santiago e Santa Cristina);480044;
11C130145: União das freguesias de Freixo de Cima e de Baixo;511255;
11C130146: União das freguesias de Olo e Canadelo;242152;
11C130148: União das freguesias de Vila Garcia, Aboim e Chapa;807678;
11C130138: Vila Caiz;221795;
11C130139: Vila Chã do Marão;230009;
11C130147: Vila Meã;516578;
11C1302: Baião;5247784;
11C130204: Frende;59742;
11C130205: Gestaçô;543398;
11C130206: Gove;360808;
11C130207: Grilo;163241;
11C130208: Loivos do Monte;130766;
11C130215: Santa Marinha do Zêzere;700695;
11C130221: União das freguesias de Ancede e Ribadouro;234012;
11C130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;438497;
11C130223: União das freguesias de Campelo e Ovil;802603;
11C130224: União das freguesias de Loivos da Ribeira e Tresouras;406607;
11C130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;464223;
11C130226: União das freguesias de Teixeira e Teixeiró;524675;
11C130219: Valadares;292251;
11C130220: Viariz;126266;
11C0106: Castelo de Paiva;2758427;
11C010602: Fornos;251338;
11C010606: Real;577539;
11C010607: Santa Maria de Sardoura;424905;
11C010608: São Martinho de Sardoura;249395;
11C010610: União das freguesias de Raiva, Pedorido e Paraíso;760144;
11C010611: União das freguesias de Sobrado e Bairros;495105;
11C0305: Celorico de Basto;6778667;
11C030501: Agilde;426832;
11C030502: Arnóia;672662;
11C030520: Basto (São Clemente);139871;
11C030503: Borba de Montanha;752830;
11C030508: Codeçoso;350115;
11C030510: Fervença;588754;
11C030515: Moreira do Castelo;231942;
11C030517: Rego;344221;
11C030518: Ribas;341328;
11C030523: União das freguesias de Britelo, Gémeos e Ourilhe;757569;
11C030524: União das freguesias de Caçarilhe e Infesta;301531;
11C030525: União das freguesias de Canedo de Basto e Corgo;466145;
11C030526: União das freguesias de Carvalho e Basto (Santa Tecla);330564;
11C030527: União das freguesias de Veade, Gagos e Molares;828153;
11C030521: Vale de Bouro;246148;
11C1804: Cinfães;4159223;
11C180403: Cinfães;468008;
11C180404: Espadanedo;142453;
11C180405: Ferreiros de Tendais;213966;
11C180406: Fornelos;202850;
11C180408: Moimenta;83027;
11C180409: Nespereira;760741;
11C180410: Oliveira do Douro;397780;
11C180412: Santiago de Piães;302592;
11C180413: São Cristóvão de Nogueira;372228;
11C180414: Souselo;230497;
11C180415: Tarouquela;133849;
11C180416: Tendais;403557;
11C180417: Travanca;176925;
11C180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;270749;
11C1303: Felgueiras;9678076;
11C130301: Aião;198332;
11C130302: Airães;391792;
11C130305: Friande;321671;
11C130306: Idães;1078998;
11C130307: Jugueiros;317756;
11C130313: Penacova;82129;
11C130314: Pinheiro;133344;
11C130315: Pombeiro de Ribavizela;314163;
11C130317: Refontoura;317904;
11C130318: Regilde;137191;
11C130319: Revinhade;34854;
11C130324: Sendim;499478;
11C130334: União das freguesias de Macieira da Lixa e Caramos;602942;
11C130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;2002584;
11C130336: União das freguesias de Pedreira, Rande e Sernande;565214;
11C130337: União das freguesias de Torrados e Sousa;411679;
11C130338: União das freguesias de Unhão e Lordelo;501790;
11C130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;1004441;
11C130340: União das freguesias de Vila Fria e Vizela (São Jorge);434146;
11C130341: União das freguesias de Vila Verde e Santão;327669;
11C1305: Lousada;6271330;
11C130502: Aveleda;317677;
11C130504: Caíde de Rei;634787;
11C130510: Lodares;596664;
11C130512: Macieira;137529;
11C130513: Meinedo;371964;
11C130515: Nevogilde;378876;
11C130524: Sousela;138972;
11C130525: Torno;450587;
11C130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);604012;
11C130528: União das freguesias de Cristelos, Boim e Ordem;609618;
11C130529: União das freguesias de Figueiras e Covas;188467;
11C130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);285722;
11C130531: União das freguesias de Nespereira e Casais;385364;
11C130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;948452;
11C130526: Vilar do Torno e Alentém;222639;
11C1307: Marco de Canaveses;5364857;
11C130732: Alpendorada, Várzea e Torrão;305371;
11C130733: Avessadas e Rosém;442686;
11C130704: Banho e Carvalhosa;201145;
11C130734: Bem Viver;259621;
11C130705: Constance;183698;
11C130736: Marco;476804;
11C130737: Paredes de Viadores e Manhuncelos;259916;
11C130738: Penha Longa e Paços de Gaiolo;333697;
11C130739: Sande e São Lourenço do Douro;299113;
11C130735: Santo Isidoro e Livração;131848;
11C130722: Soalhães;430085;
11C130723: Sobretâmega;73643;
11C130724: Tabuado;183859;
11C130740: Várzea, Aliviada e Folhada;605228;
11C130741: Vila Boa de Quires e Maureles;862941;
11C130730: Vila Boa do Bispo;315202;
11C1309: Paços de Ferreira;3521671;
11C130902: Carvalhosa;536605;
11C130904: Eiriz;393380;
11C130905: Ferreira;278193;
11C130906: Figueiró;254065;
11C130917: Frazão Arreigada;308199;
11C130908: Freamunde;124624;
11C130910: Meixomil;260271;
11C130918: Paços de Ferreira;165432;
11C130913: Penamaior;353941;
11C130914: Raimonda;160583;
11C130919: Sanfins Lamoso Codessos;563863;
11C130916: Seroa;122515;
11C1311: Penafiel;8709736;
11C131101: Abragão;297475;
11C131102: Boelhe;503710;
11C131103: Bustelo;365065;
11C131104: Cabeça Santa;97858;
11C131105: Canelas;138642;
11C131106: Capela;106589;
11C131107: Castelões;274144;
11C131108: Croca;176346;
11C131109: Duas Igrejas;355291;
11C131110: Eja;406777;
11C131112: Fonte Arcada;168838;
11C131113: Galegos;212339;
11C131141: Guilhufe e Urrô;185518;
11C131115: Irivo;221658;
11C131142: Lagares e Figueira;392367;
11C131140: Luzim e Vila Cova;213217;
11C131121: Oldrões;141290;
11C131122: Paço de Sousa;859099;
11C131139: Penafiel;1579647;
11C131125: Perozelo;165468;
11C131128: Rans;563300;
11C131132: Recezinhos (São Mamede);155045;
11C131133: Recezinhos (São Martinho);265583;
11C131129: Rio de Moinhos;290950;
11C131138: Rio Mau;20804;
11C131134: Sebolido;2782;
11C131143: Termas de São Vicente;355464;
11C131136: Valpedre;194470;
11C1813: Resende;4950379;
11C181302: Barrô;550588;
11C181303: Cárquere;236398;
11C181310: Paus;314189;
11C181311: Resende;970158;
11C181312: São Cipriano;172118;
11C181313: São João de Fontoura;414358;
11C181314: São Martinho de Mouros;1082745;
11C181316: União das freguesias de Anreade e São Romão de Aregos;645628;
11C181317: União das freguesias de Felgueiras e Feirão;171586;
11C181318: União das freguesias de Freigil e Miomães;212579;
11C181319: União das freguesias de Ovadas e Panchorra;180032;
11D: Douro;172295568;
11D1701: Alijó;16125460;
11D170101: Alijó;1717618;
11D170107: Favaios;2553989;
11D170108: Pegarinhos;534836;
11D170109: Pinhão;576247;
11D170112: Sanfins do Douro;1875380;
11D170113: Santa Eugénia;461589;
11D170114: São Mamede de Ribatua;1083423;
11D170120: União das freguesias de Carlão e Amieiro;1003872;
11D170121: União das freguesias de Castedo e Cotas;2623281;
11D170122: União das freguesias de Pópulo e Ribalonga;228807;
11D170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;1143290;
11D170116: Vila Chã;227041;
11D170117: Vila Verde;450663;
11D170118: Vilar de Maçada;1645423;
11D1801: Armamar;8670198;
11D180101: Aldeias;419497;
11D180120: Armamar;1190256;
11D180104: Cimbres;374731;
11D180106: Folgosa;866660;
11D180107: Fontelo;748808;
11D180109: Queimada;478736;
11D180110: Queimadela;259687;
11D180111: Santa Cruz;507775;
11D180114: São Cosmado;629267;
11D180115: São Martinho das Chãs;655099;
11D180121: União das freguesias de Aricera e Goujoim;255556;
11D180122: União das freguesias de São Romão e Santiago;646275;
11D180123: União das freguesias de Vila Seca e Santo Adrião;1033342;
11D180118: Vacalar;604507;
11D0403: Carrazeda de Ansiães;9515302;
11D040304: Carrazeda de Ansiães;398418;
11D040306: Fonte Longa;379666;
11D040308: Linhares;711422;
11D040309: Marzagão;604766;
11D040311: Parambos;301844;
11D040312: Pereiros;232436;
11D040313: Pinhal do Norte;653106;
11D040314: Pombal;634316;
11D040316: Seixo de Ansiães;1192248;
11D040320: União das freguesias de Amedo e Zedes;587038;
11D040321: União das freguesias de Belver e Mogo de Malta;282710;
11D040322: União das freguesias de Castanheiro do Norte e Ribalonga;1317643;
11D040323: União das freguesias de Lavandeira, Beira Grande e Selores;1586159;
11D040318: Vilarinho da Castanheira;633529;
11D0404: Freixo de Espada à Cinta;5964758;
11D040404: Ligares;899700;
11D040406: Poiares;1070496;
11D040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;3130349;
11D040408: União das freguesias de Lagoaça e Fornos;864213;
11D1805: Lamego;9613920;
11D180502: Avões;92954;
11D180504: Britiande;766359;
11D180505: Cambres;2097576;
11D180507: Ferreirim;370880;
11D180508: Ferreiros de Avões;159757;
11D180509: Figueira;397156;
11D180510: Lalim;199958;
11D180525: Lamego (Almacave e Sé);1325196;
11D180511: Lazarim;102775;
11D180516: Penajóia;1004356;
11D180517: Penude;89805;
11D180519: Samodães;342023;
11D180520: Sande;457475;
11D180526: União das freguesias de Bigorne, Magueija e Pretarouca;210687;
11D180527: União das freguesias de Cepões, Meijinhos e Melcões;605864;
11D180528: União das freguesias de Parada do Bispo e Valdigem;996706;
11D180523: Várzea de Abrunhais;329391;
11D180524: Vila Nova de Souto d'El-Rei;65000;
11D1704: Mesão Frio;2747241;
11D170401: Barqueiros;299541;
11D170402: Cidadelhe;370589;
11D170408: Mesão Frio (Santo André);748091;
11D170403: Oliveira;454320;
11D170407: Vila Marim;874699;
11D1807: Moimenta da Beira;8733278;
11D180702: Alvite;2291512;
11D180703: Arcozelos;358858;
11D180705: Baldos;78735;
11D180706: Cabaços;169765;
11D180707: Caria;876663;
11D180708: Castelo;91964;
11D180709: Leomil;1547427;
11D180710: Moimenta da Beira;603897;
11D180713: Passô;462896;
11D180716: Vila da Rua;680644;
11D180717: Sarzedo;139237;
11D180719: Sever;386186;
11D180721: União das freguesias de Paradinha e Nagosa;103902;
11D180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;444386;
11D180723: União das freguesias de Peva e Segões;310987;
11D180720: Vilar;186218;
11D1707: Murça;6052888;
11D170701: Candedo;2647059;
11D170703: Fiolhoso;185007;
11D170704: Jou;735989;
11D170705: Murça;645411;
11D170710: União das freguesias de Carva e Vilares;232749;
11D170711: União das freguesias de Noura e Palheiros;1161612;
11D170708: Valongo de Milhais;445060;
11D1812: Penedono;3300543;
11D181202: Beselga;222938;
11D181203: Castainço;242073;
11D181207: Penela da Beira;619616;
11D181208: Póvoa de Penela;338108;
11D181209: Souto;381868;
11D181210: União das freguesias de Antas e Ourozinho;567933;
11D181211: União das freguesias de Penedono e Granja;928007;
11D1708: Peso da Régua;9653480;
11D170802: Fontelas;286343;
11D170805: Loureiro;469748;
11D170809: Sedielos;933651;
11D170813: União das freguesias de Galafura e Covelinhas;1554153;
11D170814: União das freguesias de Moura Morta e Vinhós;747658;
11D170815: União das freguesias de Peso da Régua e Godim;1454624;
11D170816: União das freguesias de Poiares e Canelas;3228744;
11D170810: Vilarinho dos Freires;978558;
11D1710: Sabrosa;8975294;
11D171001: Celeirós;789310;
11D171002: Covas do Douro;1347684;
11D171004: Gouvinhas;1071697;
11D171007: Paços;743690;
11D171005: Parada de Pinhão;130444;
11D171009: Sabrosa;593910;
11D171011: São Lourenço de Ribapinhão;108809;
11D171013: Souto Maior;165106;
11D171014: Torre do Pinhão;728728;
11D171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;1578915;
11D171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;1129160;
11D171015: Vilarinho de São Romão;587840;
11D1711: Santa Marta de Penaguião;6945435;
11D171101: Alvações do Corgo;656704;
11D171102: Cumieira;1426699;
11D171103: Fontes;530246;
11D171106: Medrões;420112;
11D171110: Sever;953902;
11D171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;2410084;
11D171112: União das freguesias de Louredo e Fornelos;547688;
11D1815: São João da Pesqueira;20962231;
11D181501: Castanheiro do Sul;1165171;
11D181502: Ervedosa do Douro;5517863;
11D181504: Nagozelo do Douro;1084963;
11D181505: Paredes da Beira;633458;
11D181507: Riodades;730306;
11D181509: Soutelo do Douro;2847853;
11D181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;4480274;
11D181516: União das freguesias de Trevões e Espinhosa;1223604;
11D181517: União das freguesias de Vilarouco e Pereiros;1906999;
11D181511: Vale de Figueira;953478;
11D181512: Valongo dos Azeites;418263;
11D1818: Sernancelhe;6111064;
11D181801: Arnas;179106;
11D181802: Carregal;555812;
11D181803: Chosendo;147080;
11D181804: Cunha;319616;
11D181806: Faia;209474;
11D181810: Granjal;447876;
11D181811: Lamosa;247877;
11D181814: Quintela;1218390;
11D181818: União das freguesias de Ferreirim e Macieira;590009;
11D181819: União das freguesias de Fonte Arcada e Escurquela;487384;
11D181820: União das freguesias de Penso e Freixinho;258886;
11D181821: União das freguesias de Sernancelhe e Sarzeda;1188873;
11D181817: Vila da Ponte;260681;
11D1819: Tabuaço;6455494;
11D181901: Adorigo;1038702;
11D181902: Arcos;129823;
11D181904: Chavães;183919;
11D181905: Desejosa;458635;
11D181906: Granja do Tedo;80976;
11D181908: Longa;104118;
11D181913: Sendim;570568;
11D181914: Tabuaço;319517;
11D181918: União das freguesias de Barcos e Santa Leocádia;1106125;
11D181919: União das freguesias de Paradela e Granjinha;240933;
11D181920: União das freguesias de Pinheiros e Vale de Figueira;131511;
11D181921: União das freguesias de Távora e Pereiro;681743;
11D181917: Valença do Douro;1408924;
11D1820: Tarouca;3590541;
11D182004: Mondim da Beira;219820;
11D182005: Salzedas;442969;
11D182006: São João de Tarouca;649199;
11D182011: União das freguesias de Gouviães e Ucanha;501421;
11D182012: União das freguesias de Granja Nova e Vila Chã da Beira;703877;
11D182013: União das freguesias de Tarouca e Dálvares;927280;
11D182009: Várzea da Serra;145975;
11D0409: Torre de Moncorvo;10602675;
11D040901: Açoreira;628570;
11D040903: Cabeça Boa;620770;
11D040905: Carviçais;652851;
11D040906: Castedo;331687;
11D040909: Horta da Vilariça;994559;
11D040910: Larinho;533801;
11D040911: Lousa;994538;
11D040913: Mós;543955;
11D040916: Torre de Moncorvo;1300634;
11D040918: União das freguesias de Adeganha e Cardanha;1162089;
11D040919: União das freguesias de Felgar e Souto da Velha;955946;
11D040920: União das freguesias de Felgueiras e Maçores;587813;
11D040921: União das freguesias de Urros e Peredo dos Castelhanos;1295463;
11D0914: Vila Nova de Foz Côa;15527029;
11D091401: Almendra;1730999;
11D091402: Castelo Melhor;1106829;
11D091403: Cedovim;1409943;
11D091404: Chãs;870202;
11D091405: Custóias;407893;
11D091418: Freixo de Numão;1412872;
11D091407: Horta;958933;
11D091410: Muxagata;952438;
11D091411: Numão;1034519;
11D091412: Santa Comba;664970;
11D091414: Sebadelhe;693177;
11D091415: Seixas;661268;
11D091416: Touça;373697;
11D091419: Vila Nova de Foz Côa;3249289;
11D1714: Vila Real;12748739;
11D171401: Abaças;1458503;
11D171403: Andrães;555872;
11D171404: Arroios;59074;
11D171406: Campeã;1411552;
11D171409: Folhadela;833609;
11D171410: Guiães;1255736;
11D171414: Lordelo;226618;
11D171415: Mateus;187467;
11D171416: Mondrões;362778;
11D171420: Parada de Cunhos;148459;
11D171426: Torgueda;382173;
11D171431: União das freguesias de Adoufe e Vilarinho de Samardã;835472;
11D171432: União das freguesias de Borbela e Lamas de Olo;602169;
11D171433: União das freguesias de Constantim e Vale de Nogueiras;556881;
11D171434: União das freguesias de Mouçós e Lamares;574993;
11D171435: União das freguesias de Nogueira e Ermida;1409455;
11D171436: União das freguesias de Pena, Quintã e Vila Cova;860486;
11D171437: União das freguesias de São Tomé do Castelo e Justes;389738;
11D171429: Vila Marim;466720;
11D171438: Vila Real;170985;
11E: Terras de Trás-os-Montes;131200720;
11E0401: Alfândega da Fé;6051206;
11E040102: Alfândega da Fé;1053209;
11E040103: Cerejais;323486;
11E040111: Sambade;482877;
11E040121: União das freguesias de Agrobom, Saldonha e Vale Pereiro;597845;
11E040122: União das freguesias de Eucisia, Gouveia e Valverde;758563;
11E040123: União das freguesias de Ferradosa e Sendim da Serra;395533;
11E040124: União das freguesias de Gebelim e Soeima;460014;
11E040125: União das freguesias de Parada e Sendim da Ribeira;438332;
11E040126: União das freguesias de Pombal e Vales;246147;
11E040118: Vilar Chão;591471;
11E040119: Vilarelhos;432958;
11E040120: Vilares de Vilariça;270772;
11E0402: Bragança;20179701;
11E040201: Alfaião;290190;
11E040203: Babe;313989;
11E040204: Baçal;682019;
11E040206: Carragosa;412116;
11E040209: Castro de Avelãs;508083;
11E040210: Coelhoso;481837;
11E040212: Donai;460078;
11E040213: Espinhosela;616535;
11E040215: França;131129;
11E040216: Gimonde;262043;
11E040217: Gondesende;235233;
11E040218: Gostei;626083;
11E040219: Grijó de Parada;743978;
11E040221: Macedo do Mato;378057;
11E040224: Mós;278823;
11E040225: Nogueira;326009;
11E040226: Outeiro;451874;
11E040229: Parâmio;505017;
11E040230: Pinela;586852;
11E040232: Quintanilha;297770;
11E040233: Quintela de Lampaças;338955;
11E040234: Rabal;299345;
11E040236: Rebordãos;714392;
11E040239: Salsas;650132;
11E040240: Samil;453390;
11E040241: Santa Comba de Rossas;157420;
11E040244: São Pedro de Sarracenos;283298;
11E040246: Sendas;475633;
11E040247: Serapicos;591912;
11E040248: Sortes.;580857;
11E040250: União das freguesias de Aveleda e Rio de Onor;442375;
11E040251: União das freguesias de Castrelos e Carrazedo;511442;
11E040252: União das freguesias de Izeda, Calvelhe e Paradinha Nova;1354346;
11E040253: União das freguesias de Parada e Faílde;1250235;
11E040254: União das freguesias de Rebordainhos e Pombares;399070;
11E040255: União das freguesias de Rio Frio e Milhão;875355;
11E040256: União das freguesias de São Julião de Palácios e Deilão;888451;
11E040257: União das freguesias de Sé, Santa Maria e Meixedo;817663;
11E040249: Zoio;507714;
11E0405: Macedo de Cavaleiros;14750382;
11E040502: Amendoeira;483326;
11E040503: Arcas;323955;
11E040507: Carrapatas;205385;
11E040509: Chacim;800830;
11E040510: Cortiços;659413;
11E040511: Corujas;268644;
11E040514: Ferreira;292655;
11E040515: Grijó;204192;
11E040516: Lagoa;732882;
11E040517: Lamalonga;291305;
11E040518: Lamas;380734;
11E040519: Lombo;399619;
11E040520: Macedo de Cavaleiros;684860;
11E040521: Morais;738614;
11E040523: Olmos;725451;
11E040524: Peredo;281628;
11E040526: Salselas;824263;
11E040528: Sezulfe;350092;
11E040530: Talhas;633074;
