
Statistical table extracted on October 11, 2022 (22:39:22)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
1999;PT: Portugal;1236214;403578;711628;76321;44687;
;1: Continente;1123418;369084;642873;69408;42053;
;11: Norte;445403;149871;255501;24646;15385;
;111: Alto Minho;57799;22274;31382;2712;1431;
;1111601: Arcos de Valdevez;9005;4167;4355;324;159;
;111160101: Aboim das Choças;135;49;73;7;6;
;111160102: Aguiã;174;71;99;2;2;
;111160104: Ázere;104;46;56;- -;2;
;111160105: Cabana Maior;159;80;77;2;- -;
;111160106: Cabreiro;319;209;108;1;1;
;111160108: Cendufe;189;83;90;9;7;
;111160109: Couto;182;80;93;7;2;
;111160113: Gavieira;260;136;114;9;1;
;111160115: Gondoriz;486;231;229;17;9;
;111160142: Jolda (São Paio);186;58;104;17;7;
;111160121: Miranda;220;141;72;6;1;
;111160122: Monte Redondo;166;57;104;2;3;
;111160123: Oliveira;143;42;91;9;1;
;111160124: Paçô;108;27;51;22;8;
;111160125: Padroso;179;82;84;8;5;
;111160128: Prozelo;234;122;102;4;6;
;111160131: Rio de Moinhos;214;128;81;4;1;
;111160130: Rio Frio;401;246;143;9;3;
;111160133: Sabadim;276;135;134;5;2;
;111160144: Senharei;232;130;99;3;- -;
;111160145: Sistelo;296;186;106;4;- -;
;111160146: Soajo;561;277;258;22;4;
;111160152: União das freguesias de Alvora e Loureda;255;119;118;15;3;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;107;33;57;6;11;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;179;62;90;15;12;
;111160155: União das freguesias de Eiras e Mei;249;113;124;10;2;
;111160156: União das freguesias de Grade e Carralcova;344;158;181;5;- -;
;111160157: União das freguesias de Guilhadeses e Santar;252;45;179;18;10;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;257;121;115;11;10;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);188;87;90;9;2;
;111160160: União das freguesias de Portela e Extremo;270;149;114;7;- -;
;111160161: União das freguesias de São Jorge e Ermelo;317;143;165;7;2;
;111160162: União das freguesias de Souto e Tabaçô;237;41;182;8;6;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);419;183;210;16;10;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;379;163;183;19;14;
;111160149: Vale;328;134;179;9;6;
;1111602: Caminha;2175;747;1268;107;53;
;111160201: Âncora;99;36;54;7;2;
;111160205: Argela;108;30;74;3;1;
;111160209: Dem;259;113;133;10;3;
;111160211: Lanhelas;68;20;40;3;5;
;111160214: Riba de Âncora;314;85;199;22;8;
;111160215: Seixas;54;16;30;6;2;
