
Statistical table extracted on October 10, 2022 (16:35:08)
http://www.ine.pt



Geographic localization (NUTS -2013);Utilised agricultural area (ha) by Geographic localization (NUTS -2013) and Legal form -  Decennial (1) ;;;;
;Data reference period;;;;
;2009;;;;
;Legal form;;;;
;Natural person (sole holder);Group of natural persons (group holding);Fallow land comissions;Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...);
;ha ;ha ;ha ;ha ;
111160513: Mozelos;63;- -;40;- -;
111160514: Padornelo;135;- -;55;- -;
111160515: Parada;63;10;65;- -;
111160519: Romarigães;107;- -;- -;- -;
111160520: Rubiães;136;- -;- -;- -;
111160522: União das freguesias de Bico e Cristelo;272;- -;- -;- -;
111160523: União das freguesias de Cossourado e Linhares;114;- -;- -;- -;
111160524: União das freguesias de Formariz e Ferreira;311;- -;225;- -;
111160525: União das freguesias de Insalde e Porreiras;394;250;217;- -;
111160526: União das freguesias de Paredes de Coura e Resende;111;- -;- -;- -;
111160521: Vascões;120;- -;56;- -;
1111606: Ponte da Barca;2008;3;1820;- -;
111160601: Azias;105;- -;- -;- -;
111160602: Boivães;89;- -;11;- -;
111160603: Bravães;108;3;- -;- -;
111160604: Britelo;31;- -;850;- -;
111160606: Cuide de Vila Verde;71;- -;- -;- -;
111160611: Lavradas;177;- -;- -;- -;
111160612: Lindoso;46;- -;30;- -;
111160613: Nogueira;48;- -;- -;- -;
111160614: Oleiros;109;- -;- -;- -;
111160619: Sampriz;108;- -;- -;- -;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;194;- -;- -;- -;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;587;- -;774;- -;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;147;- -;- -;- -;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);50;- -;5;- -;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);82;- -;150;- -;
111160623: Vade (São Pedro);27;- -;- -;- -;
111160624: Vade (São Tomé);28;- -;- -;- -;
1111607: Ponte de Lima;5674;292;2818;57;
111160701: Anais;170;1;- -;- -;
111160752: Arca e Ponte de Lima;34;- -;- -;18;
111160704: Arcozelo;192;28;40;- -;
111160753: Ardegão, Freixo e Mato;295;2;- -;- -;
111160754: Associação de freguesias do Vale do Neiva;300;7;- -;- -;
111160755: Bárrio e Cepões;69;- -;300;- -;
111160707: Beiral do Lima;149;16;53;- -;
111160708: Bertiandos;86;- -;- -;- -;
111160709: Boalhosa;62;- -;24;- -;
111160710: Brandara;45;17;- -;- -;
111160756: Cabaços e Fojo Lobal;159;- -;52;- -;
111160757: Cabração e Moreira do Lima;215;10;50;0;
111160713: Calheiros;161;- -;153;- -;
111160714: Calvelo;152;38;49;- -;
111160716: Correlhã;367;35;- -;- -;
111160717: Estorãos;79;19;149;- -;
111160718: Facha;180;27;577;- -;
111160719: Feitosa;48;6;- -;- -;
111160721: Fontão;155;- -;- -;- -;
111160758: Fornelos e Queijada;263;3;- -;- -;
111160724: Friastelas;104;- -;- -;- -;
111160726: Gandra;129;5;- -;- -;
111160727: Gemieira;136;7;- -;- -;
111160728: Gondufe;137;5;- -;- -;
111160729: Labruja;52;- -;98;- -;
111160759: Labrujó, Rendufe e Vilar do Monte;167;- -;435;- -;
111160760: Navió e Vitorino dos Piães;287;9;71;- -;
111160734: Poiares;162;20;10;- -;
111160744: Rebordões (Santa Maria);96;- -;383;- -;
111160747: Rebordões (Souto);118;- -;45;2;
111160737: Refóios do Lima;425;13;64;13;
111160739: Ribeira;160;- -;- -;- -;
111160740: Sá;60;15;- -;- -;
111160742: Santa Comba;24;- -;- -;- -;
111160743: Santa Cruz do Lima;49;10;- -;- -;
111160703: São Pedro d'Arcos;141;- -;177;23;
111160745: Seara;61;- -;- -;- -;
111160746: Serdedelo;80;- -;88;- -;
111160750: Vitorino das Donas;104;- -;- -;- -;
1111608: Valença;1231;162;1366;1;
111160802: Boivão;45;- -;89;- -;
111160803: Cerdal;215;21;350;- -;
111160805: Fontoura;149;51;320;1;
111160806: Friestas;32;- -;- -;- -;
111160808: Ganfei;123;55;- -;- -;
111160812: São Pedro da Torre;96;0;- -;- -;
111160817: União das freguesias de Gandra e Taião;143;2;543;- -;
111160818: União das freguesias de Gondomil e Sanfins;113;- -;19;- -;
111160819: União das freguesias de São Julião e Silva;150;33;45;- -;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;75;- -;- -;- -;
111160816: Verdoejo;90;- -;- -;- -;
1111609: Viana do Castelo;3440;236;3346;51;
111160901: Afife;78;0;111;- -;
111160902: Alvarães;94;2;- -;- -;
111160903: Amonde;30;- -;275;- -;
111160904: Anha;92;37;- -;- -;
111160905: Areosa;128;35;- -;0;
111160908: Carreço;220;39;100;- -;
111160910: Castelo do Neiva;92;- -;- -;- -;
111160940: Chafé;96;17;- -;- -;
111160911: Darque;5;7;- -;45;
111160914: Freixieiro de Soutelo;70;27;100;- -;
111160915: Lanheses;139;- -;- -;- -;
111160920: Montaria;74;- -;1713;- -;
111160922: Mujães;40;6;- -;- -;
111160925: Outeiro;145;- -;437;2;
111160926: Perre;263;- -;- -;2;
111160928: Santa Marta de Portuzelo;159;- -;- -;- -;
111160923: São Romão de Neiva;59;2;- -;- -;
