
Statistical table extracted on October 11, 2022 (21:57:23)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;
;111160224: União das freguesias de Moledo e Cristelo;65;18;12;35;
;111160225: União das freguesias de Venade e Azevedo;242;58;46;138;
;111160217: Vila Praia de Âncora;97;24;15;58;
;111160218: Vilar de Mouros;165;45;37;83;
;111160220: Vile;61;14;9;38;
;1111603: Melgaço;4130;1341;1052;1737;
;111160301: Alvaredo;340;105;81;154;
;111160304: Cousso;205;68;50;87;
;111160305: Cristoval;113;41;33;39;
;111160307: Fiães;216;71;59;86;
;111160308: Gave;147;54;35;58;
;111160311: Paderne;576;176;150;250;
;111160313: Penso;239;77;68;94;
;111160317: São Paio;275;98;77;100;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;608;210;149;249;
;111160320: União das freguesias de Chaviães e Paços;320;100;76;144;
;111160321: União das freguesias de Parada do Monte e Cubalhão;522;170;140;212;
;111160322: União das freguesias de Prado e Remoães;226;71;55;100;
;111160323: União das freguesias de Vila e Roussas;343;100;79;164;
;1111604: Monção;7285;2183;1731;3371;
;111160401: Abedim;199;58;43;98;
;111160404: Barbeita;359;110;93;156;
;111160405: Barroças e Taias;162;46;42;74;
;111160406: Bela;204;69;53;82;
;111160407: Cambeses;153;46;37;70;
;111160410: Lara;180;57;41;82;
;111160411: Longos Vales;460;130;114;216;
;111160415: Merufe;790;225;173;392;
;111160418: Moreira;346;97;85;164;
;111160420: Pias;503;159;130;214;
;111160421: Pinheiros;150;41;36;73;
;111160422: Podame;154;44;32;78;
;111160423: Portela;141;47;37;57;
;111160424: Riba de Mouro;473;138;88;247;
;111160427: Segude;185;54;40;91;
;111160428: Tangil;574;173;135;266;
;111160431: Trute;188;54;35;99;
;111160434: União das freguesias de Anhões e Luzio;297;99;74;124;
;111160435: União das freguesias de Ceivães e Badim;260;81;67;112;
;111160436: União das freguesias de Mazedo e Cortes;415;122;98;195;
;111160437: União das freguesias de Messegães, Valadares e Sá;300;100;87;113;
;111160438: União das freguesias de Monção e Troviscoso;228;71;55;102;
;111160439: União das freguesias de Sago, Lordelo e Parada;386;111;92;183;
;111160440: União das freguesias de Troporiz e Lapela;178;51;44;83;
;1111605: Paredes de Coura;3732;1136;877;1719;
;111160501: Agualonga;169;50;40;79;
;111160503: Castanheira;305;84;63;158;
;111160505: Coura;202;66;57;79;
;111160507: Cunha;338;95;75;168;
;111160510: Infesta;198;60;49;89;
;111160513: Mozelos;109;31;22;56;
;111160514: Padornelo;179;61;44;74;
;111160515: Parada;174;54;38;82;
;111160519: Romarigães;156;51;39;66;
;111160520: Rubiães;268;76;62;130;
;111160522: União das freguesias de Bico e Cristelo;447;131;95;221;
;111160523: União das freguesias de Cossourado e Linhares;173;55;47;71;
;111160524: União das freguesias de Formariz e Ferreira;382;130;97;155;
;111160525: União das freguesias de Insalde e Porreiras;298;98;73;127;
;111160526: União das freguesias de Paredes de Coura e Resende;212;58;48;106;
;111160521: Vascões;122;36;28;58;
;1111606: Ponte da Barca;3764;1111;873;1780;
;111160601: Azias;231;66;53;112;
;111160602: Boivães;214;62;48;104;
;111160603: Bravães;244;71;60;113;
;111160604: Britelo;92;31;25;36;
;111160606: Cuide de Vila Verde;129;33;25;71;
;111160611: Lavradas;465;126;110;229;
;111160612: Lindoso;261;87;63;111;
;111160613: Nogueira;92;32;24;36;
;111160614: Oleiros;180;48;44;88;
;111160619: Sampriz;226;67;48;111;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;390;100;79;211;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;331;97;73;161;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;277;105;86;86;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);75;27;22;26;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);348;101;74;173;
;111160623: Vade (São Pedro);105;25;20;60;
;111160624: Vade (São Tomé);104;33;19;52;
;1111607: Ponte de Lima;14284;3673;2988;7623;
;111160701: Anais;473;121;105;247;
;111160752: Arca e Ponte de Lima;89;22;18;49;
;111160704: Arcozelo;456;134;109;213;
;111160753: Ardegão, Freixo e Mato;505;137;106;262;
;111160754: Associação de freguesias do Vale do Neiva;423;133;116;174;
;111160755: Bárrio e Cepões;294;86;71;137;
;111160707: Beiral do Lima;393;105;79;209;
;111160708: Bertiandos;188;51;43;94;
;111160709: Boalhosa;149;37;29;83;
;111160710: Brandara;166;40;33;93;
;111160756: Cabaços e Fojo Lobal;597;134;110;353;
;111160757: Cabração e Moreira do Lima;506;143;112;251;
;111160713: Calheiros;337;86;79;172;
;111160714: Calvelo;389;92;82;215;
;111160716: Correlhã;957;220;182;555;
;111160717: Estorãos;288;89;67;132;
;111160718: Facha;489;117;94;278;
;111160719: Feitosa;86;27;22;37;
;111160721: Fontão;335;80;59;196;
;111160758: Fornelos e Queijada;887;221;184;482;
;111160724: Friastelas;295;67;52;176;
;111160726: Gandra;257;72;57;128;
;111160727: Gemieira;254;58;47;149;
;111160728: Gondufe;243;65;55;123;
;111160729: Labruja;224;62;48;114;
;111160759: Labrujó, Rendufe e Vilar do Monte;322;90;71;161;
;111160760: Navió e Vitorino dos Piães;770;169;127;474;
;111160734: Poiares;426;96;75;255;
;111160744: Rebordões (Santa Maria);343;81;72;190;
;111160747: Rebordões (Souto);409;108;90;211;
;111160737: Refóios do Lima;823;242;191;390;
;111160739: Ribeira;461;111;88;262;
;111160740: Sá;114;35;31;48;
;111160742: Santa Comba;74;22;18;34;
;111160743: Santa Cruz do Lima;157;46;41;70;
;111160703: São Pedro d'Arcos;346;94;74;178;
;111160745: Seara;169;41;29;99;
;111160746: Serdedelo;378;88;75;215;
;111160750: Vitorino das Donas;212;51;47;114;
;1111608: Valença;2500;761;615;1124;
;111160802: Boivão;119;34;26;59;
;111160803: Cerdal;455;149;115;191;
;111160805: Fontoura;241;68;47;126;
;111160806: Friestas;115;35;27;53;
;111160808: Ganfei;220;65;54;101;
;111160812: São Pedro da Torre;154;44;42;68;
;111160817: União das freguesias de Gandra e Taião;268;89;74;105;
;111160818: União das freguesias de Gondomil e Sanfins;273;87;70;116;
;111160819: União das freguesias de São Julião e Silva;310;85;74;151;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;179;54;46;79;
;111160816: Verdoejo;166;51;40;75;
;1111609: Viana do Castelo;9703;2369;1867;5467;
;111160901: Afife;105;28;23;54;
;111160902: Alvarães;329;91;74;164;
;111160903: Amonde;197;44;30;123;
;111160904: Anha;197;51;46;100;
;111160905: Areosa;132;34;28;70;
;111160908: Carreço;207;43;33;131;
;111160910: Castelo do Neiva;332;93;73;166;
;111160940: Chafé;207;54;46;107;
;111160911: Darque;44;13;9;22;
;111160914: Freixieiro de Soutelo;217;49;37;131;
;111160915: Lanheses;407;104;70;233;
;111160920: Montaria;435;102;66;267;
;111160922: Mujães;117;30;22;65;
;111160925: Outeiro;488;107;86;295;
;111160926: Perre;498;100;83;315;
;111160928: Santa Marta de Portuzelo;480;112;90;278;
;111160923: São Romão de Neiva;139;38;32;69;
;111160941: União das freguesias de Barroselas e Carvoeiro;542;137;113;292;
;111160942: União das freguesias de Cardielos e Serreleis;293;68;55;170;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;1339;326;271;742;
;111160944: União das freguesias de Mazarefes e Vila Fria;315;74;64;177;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;771;193;143;435;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;783;201;167;415;
;111160947: União das freguesias de Torre e Vila Mou;430;110;71;249;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;185;40;31;114;
;111160938: Vila de Punhe;123;35;29;59;
;111160935: Vila Franca;391;92;75;224;
;1111610: Vila Nova de Cerveira;1221;367;288;566;
;111161003: Cornes;113;31;24;58;
;111161004: Covas;159;49;33;77;
;111161006: Gondarém;78;25;19;34;
;111161007: Loivo;53;14;11;28;
;111161009: Mentrestido;93;30;25;38;
;111161012: Sapardos;81;22;22;37;
;111161013: Sopo;158;39;31;88;
;111161016: União das freguesias de Campos e Vila Meã;184;57;45;82;
;111161017: União das freguesias de Candemil e Gondar;118;39;31;48;
;111161018: União das freguesias de Reboreda e Nogueira;148;49;36;63;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;36;12;11;13;
;112: Cávado;45997;11270;9425;25302;
;1120301: Amares;3316;888;727;1701;
;112030102: Barreiros;180;47;39;94;
;112030104: Bico;85;22;17;46;
;112030119: Bouro (Santa Maria);274;84;70;120;
;112030120: Bouro (Santa Marta);210;58;50;102;
;112030105: Caires;178;49;38;91;
;112030107: Carrazedo;140;34;31;75;
;112030108: Dornelas;203;46;37;120;
;112030111: Fiscal;190;57;44;89;
;112030112: Goães;229;56;44;129;
;112030113: Lago;161;37;28;96;
;112030118: Rendufe;197;47;35;115;
;112030125: União das freguesias de Amares e Figueiredo;150;43;39;68;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;294;83;65;146;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;298;82;73;143;
;112030128: União das freguesias de Torre e Portela;177;50;43;84;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;350;93;74;183;
;1120302: Barcelos;17358;3963;3367;10028;
;112030201: Abade de Neiva;280;59;52;169;
;112030202: Aborim;143;30;30;83;
;112030203: Adães;140;33;25;82;
;112030205: Airó;198;47;44;107;
;112030206: Aldreu;124;39;31;54;
;112030208: Alvelos;204;46;40;118;
;112030209: Arcozelo;50;15;9;26;
;112030210: Areias;48;15;11;22;
;112030212: Balugães;119;28;22;69;
;112030213: Barcelinhos;54;16;10;28;
;112030215: Barqueiros;392;101;75;216;
;112030216: Cambeses;196;49;44;103;
;112030218: Carapeços;286;57;46;183;
;112030220: Carvalhal;147;28;21;98;
;112030221: Carvalhas;112;25;20;67;
;112030224: Cossourado;274;61;53;160;
;112030228: Cristelo;451;102;97;252;
;112030234: Fornelos;236;50;46;140;
;112030235: Fragoso;472;112;100;260;
;112030268: Galegos (Santa Maria);192;44;39;109;
;112030272: Galegos (São Martinho);65;17;15;33;
;112030237: Gilmonde;212;45;34;133;
;112030242: Lama;134;32;24;78;
;112030243: Lijó;353;68;55;230;
;112030244: Macieira de Rates;489;99;89;301;
;112030245: Manhente;115;25;18;72;
;112030247: Martim;386;76;65;245;
;112030252: Moure;131;32;23;76;
;112030254: Oliveira;237;53;47;137;
;112030255: Palme;309;64;58;187;
;112030256: Panque;224;67;62;95;
;112030257: Paradela;297;70;55;172;
;112030259: Pereira;157;31;27;99;
;112030260: Perelhal;259;65;56;138;
;112030261: Pousa;376;81;69;226;
;112030263: Remelhe;266;60;50;156;
;112030265: Rio Covo (Santa Eugénia);89;26;19;44;
;112030264: Roriz;485;109;93;283;
;112030279: Silva;119;27;25;67;
;112030277: Tamel (São Veríssimo);89;24;17;48;
;112030282: Ucha;261;61;52;148;
;112030290: União das freguesias de Alheira e Igreja Nova;378;97;83;198;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;326;75;62;189;
;112030292: União das freguesias de Areias de Vilar e Encourados;338;77;61;200;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);300;66;58;176;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);284;64;50;170;
;112030295: União das freguesias de Carreira e Fonte Coberta;378;88;75;215;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1024;228;199;597;
;112030297: União das freguesias de Creixomil e Mariz;321;72;64;185;
;112030298: União das freguesias de Durrães e Tregosa;191;48;41;102;
;112030299: União das freguesias de Gamil e Midões;180;48;37;95;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;578;120;106;352;
;1120302FB: União das freguesias de Negreiros e Chavão;486;105;95;286;
;1120302FC: União das freguesias de Quintiães e Aguiar;362;85;76;201;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);399;100;80;219;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);298;72;62;164;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;264;59;55;150;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;659;149;130;380;
;1120302FH: União das freguesias de Vila Cova e Feitos;769;176;139;454;
;112030283: Várzea;156;38;34;84;
;112030287: Vila Seca;496;107;92;297;
;1120303: Braga;6827;1703;1411;3713;
;112030301: Adaúfe;352;91;70;191;
;112030349: Braga (São Vicente);15;4;3;8;
;112030351: Braga (São Vítor);21;6;5;10;
;112030312: Espinho;148;39;35;74;
;112030313: Esporões;175;43;35;97;
;112030315: Figueiredo;99;24;22;53;
;112030319: Gualtar;30;11;9;10;
;112030322: Lamas;86;22;19;45;
;112030325: Mire de Tibães;240;63;50;127;
;112030330: Padim da Graça;189;42;36;111;
;112030331: Palmeira;250;60;47;143;
;112030334: Pedralva;255;59;48;148;
;112030336: Priscos;228;56;42;130;
;112030338: Ruilhe;123;37;26;60;
;112030354: Sequeira;243;56;48;139;
;112030355: Sobreposta;198;47;37;114;
;112030356: Tadim;60;16;14;30;
;112030357: Tebosa;105;24;18;63;
;112030363: União das freguesias de Arentim e Cunha;313;80;67;166;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);77;20;19;38;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);258;68;56;134;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;307;90;72;145;
;112030368: União das freguesias de Crespos e Pousada;358;90;79;189;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);278;68;58;152;
;112030370: União das freguesias de Este (São Pedro e São Mamede);185;51;44;90;
;112030371: União das freguesias de Ferreiros e Gondizalves;210;50;44;116;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);155;38;30;87;
;112030373: União das freguesias de Lomar e Arcos;156;44;33;79;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;317;73;63;181;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;199;45;40;114;
;112030376: União das freguesias de Morreira e Trandeiras;183;47;40;96;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;160;40;35;85;
;112030378: União das freguesias de Nogueiró e Tenões;81;20;18;43;
;112030379: União das freguesias de Real, Dume e Semelhe;415;89;74;252;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;152;35;28;89;
;112030381: União das freguesias de Vilaça e Fradelos;206;55;47;104;
;1120306: Esposende;5491;1314;1080;3097;
;112030601: Antas;349;95;69;185;
;112030608: Forjães;385;87;67;231;
;112030610: Gemeses;360;74;63;223;
;112030616: União das freguesias de Apúlia e Fão;981;252;214;515;
;112030617: União das freguesias de Belinho e Mar;726;168;145;413;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;1242;275;227;740;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;714;159;137;418;
;112030620: União das freguesias de Palmeira de Faro e Curvos;537;134;108;295;
;112030615: Vila Chã;197;70;50;77;
;1120310: Terras de Bouro;2819;731;609;1479;
;112031001: Balança;140;39;31;70;
;112031003: Campo do Gerês;53;12;11;30;
;112031004: Carvalheira;222;51;44;127;
;112031008: Covide;180;47;36;97;
;112031009: Gondoriz;178;49;43;86;
;112031010: Moimenta;112;31;30;51;
;112031012: Ribeira;118;31;23;64;
;112031013: Rio Caldo;174;45;36;93;
;112031014: Souto;208;54;45;109;
;112031018: União das freguesias de Chamoim e Vilar;339;91;75;173;
;112031019: União das freguesias de Chorense e Monte;356;89;79;188;
;112031020: União das freguesias de Cibões e Brufe;354;98;72;184;
;112031015: Valdosende;165;37;34;94;
;112031017: Vilar da Veiga;220;57;50;113;
;1120313: Vila Verde;10186;2671;2231;5284;
;112031359: Aboim da Nóbrega e Gondomar;544;159;126;259;
;112031304: Atiães;218;51;41;126;
;112031308: Cabanelas;160;48;38;74;
;112031309: Cervães;376;97;75;204;
;112031311: Coucieiro;156;47;35;74;
;112031313: Dossãos;261;62;57;142;
;112031316: Freiriz;247;67;57;123;
;112031317: Gême;97;24;22;51;
;112031323: Lage;249;62;53;134;
;112031324: Lanhas;100;30;24;46;
;112031325: Loureira;106;29;23;54;
;112031328: Moure;205;53;45;107;
;112031330: Oleiros;112;25;19;68;
;112031331: Parada de Gatim;219;49;43;127;
;112031335: Pico;195;53;46;96;
;112031337: Ponte;84;27;23;34;
;112031350: Prado (São Miguel);223;63;56;104;
;112031340: Sabariz;48;15;12;21;
;112031352: Soutelo;210;54;48;108;
;112031354: Turiz;195;44;33;118;
;112031360: União das freguesias da Ribeira do Neiva;1691;464;384;843;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);328;88;72;168;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);267;70;63;134;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;296;72;55;169;
;112031364: União das freguesias de Marrancos e Arcozelo;189;50;42;97;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);279;75;68;136;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;423;101;87;235;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;633;161;141;331;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);311;82;66;163;
;112031369: União das freguesias do Vade;729;189;168;372;
;112031355: Valdreu;414;116;97;201;
;112031342: Vila de Prado;230;58;46;126;
;112031370: Vila Verde e Barbudo;391;86;66;239;
;119: Ave;37879;9918;8203;19758;
;1190304: Cabeceiras de Basto;4670;1256;1020;2394;
;119030401: Abadim;283;76;64;143;
;119030404: Basto;245;52;48;145;
;119030405: Bucos;259;73;50;136;
;119030406: Cabeceiras de Basto;280;77;63;140;
;119030407: Cavez;538;158;132;248;
;119030408: Faia;220;58;51;111;
;119030413: Pedraça;363;92;73;198;
;119030415: Rio Douro;610;162;127;321;
;119030418: União das freguesias de Alvite e Passos;357;95;78;184;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;389;97;81;211;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;276;91;69;116;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;850;225;184;441;
;1190307: Fafe;7471;2018;1630;3823;
;119030705: Armil;144;41;34;69;
;119030726: Arões (Santa Cristina);89;28;25;36;
;119030730: Arões (São Romão);204;52;46;106;
;119030708: Estorãos;297;99;80;118;
;119030709: Fafe;279;73;63;143;
;119030712: Fornelos;163;48;40;75;
;119030714: Golães;214;57;52;105;
;119030716: Medelo;70;22;20;28;
;119030719: Paços;227;65;47;115;
;119030722: Quinchães;316;79;69;168;
;119030723: Regadas;283;65;57;161;
;119030724: Revelhe;256;70;55;131;
;119030725: Ribeiros;128;38;31;59;
;119030728: São Gens;539;155;134;250;
;119030729: Silvares (São Martinho);180;42;37;101;
;119030733: Travassós;512;126;92;294;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;515;141;104;270;
;119030738: União de freguesias de Agrela e Serafão;332;85;67;180;
;119030739: União de freguesias de Antime e Silvares (São Clemente);209;61;51;97;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;378;94;81;203;
;119030741: União de freguesias de Cepães e Fareja;255;65;61;129;
;119030742: União de freguesias de Freitas e Vila Cova;383;102;73;208;
;119030743: União de freguesias de Monte e Queimadela;559;151;100;308;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;737;218;172;347;
;119030736: Vinhós;202;41;39;122;
;1190308: Guimarães;7185;1753;1497;3935;
;119030801: Aldão;72;17;17;38;
;119030804: Azurém;66;13;12;41;
;119030806: Barco;112;26;23;63;
;119030807: Brito;147;33;30;84;
;119030808: Caldelas;80;22;19;39;
;119030857: Candoso (São Martinho);101;24;22;55;
;119030812: Costa;101;21;16;64;
;119030813: Creixomil;77;22;17;38;
;119030815: Fermentões;208;46;39;123;
;119030820: Gonça;142;33;23;86;
;119030821: Gondar;26;7;6;13;
;119030823: Guardizela;91;27;26;38;
;119030824: Infantas;204;47;44;113;
;119030827: Longos;242;52;46;144;
;119030828: Lordelo;95;26;20;49;
;119030830: Mesão Frio;84;23;22;39;
;119030831: Moreira de Cónegos;99;26;21;52;
;119030832: Nespereira;74;23;20;31;
;119030835: Pencelo;114;26;22;66;
;119030836: Pinheiro;93;20;18;55;
;119030837: Polvoreira;118;26;23;69;
;119030838: Ponte;243;55;43;145;
;119030842: Prazins (Santa Eufémia);73;15;14;44;
;119030840: Ronfe;121;32;26;63;
;119030858: Sande (São Martinho);134;39;32;63;
;119030865: São Torcato;266;67;60;139;
;119030850: Selho (São Cristóvão);34;10;7;17;
;119030854: Selho (São Jorge);133;27;24;82;
;119030866: Serzedelo;117;27;23;67;
;119030868: Silvares;160;37;30;93;
;119030875: União das freguesias de Abação e Gémeos;252;58;53;141;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;250;72;59;119;
;119030877: União das freguesias de Arosa e Castelões;229;61;50;118;
;119030878: União das freguesias de Atães e Rendufe;386;92;83;211;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;174;39;30;105;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;241;56;46;139;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;118;28;23;67;
;119030882: União das freguesias de Conde e Gandarela;96;28;26;42;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;245;61;50;134;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;- -;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;83;19;17;47;
;119030886: União das freguesias de Sande São Lourenço e Balazar;216;59;45;112;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;227;57;49;121;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;176;45;41;90;
;119030889: União das freguesias de Serzedo e Calvos;165;43;36;86;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;288;73;59;156;
;119030891: União das freguesias de Tabuadelo e São Faustino;303;68;62;173;
;119030871: Urgezes;109;25;23;61;
;1191705: Mondim de Basto;2898;789;669;1440;
;119170501: Atei;541;143;114;284;
;119170502: Bilhó;460;128;105;227;
;119170505: São Cristóvão de Mondim de Basto;460;126;100;234;
;119170509: União das freguesias de Campanhó e Paradança;316;88;81;147;
;119170510: União das freguesias de Ermelo e Pardelhas;467;145;123;199;
;119170508: Vilar de Ferreiros;654;159;146;349;
;1190309: Póvoa de Lanhoso;4033;1046;861;2126;
;119030906: Covelas;162;39;33;90;
;119030908: Ferreiros;184;44;40;100;
;119030912: Galegos;86;25;24;37;
;119030913: Garfe;159;44;37;78;
;119030914: Geraz do Minho;191;46;40;105;
;119030915: Lanhoso;108;26;18;64;
;119030917: Monsul;152;39;29;84;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);85;21;17;47;
;119030921: Rendufinho;201;48;38;115;
;119030922: Santo Emilião;79;17;15;47;
;119030923: São João de Rei;120;29;27;64;
;119030924: Serzedelo;334;90;68;176;
;119030925: Sobradelo da Goma;278;75;64;139;
;119030926: Taíde;113;33;26;54;
;119030927: Travassos;107;32;26;49;
;119030930: União das freguesias de Águas Santas e Moure;225;57;47;121;
;119030931: União das freguesias de Calvos e Frades;294;70;62;162;
;119030932: União das freguesias de Campos e Louredo;295;79;65;151;
;119030933: União das freguesias de Esperança e Brunhais;150;47;42;61;
;119030934: União das freguesias de Fonte Arcada e Oliveira;306;74;61;171;
;119030935: União das freguesias de Verim, Friande e Ajude;296;79;60;157;
;119030929: Vilela;108;32;22;54;
;1190311: Vieira do Minho;4399;1177;932;2290;
;119031105: Cantelães;222;56;44;122;
;119031107: Eira Vedra;170;41;31;98;
;119031108: Guilhofrei;327;93;76;158;
;119031109: Louredo;138;41;34;63;
;119031110: Mosteiro;307;66;56;185;
;119031111: Parada de Bouro;179;53;39;87;
;119031112: Pinheiro;346;78;69;199;
;119031113: Rossas;710;183;139;388;
;119031115: Salamonde;157;50;41;66;
;119031118: Tabuaças;184;46;39;99;
;119031122: União das freguesias de Anissó e Soutelo;198;54;49;95;
;119031123: União das freguesias de Anjos e Vilar do Chão;350;99;74;177;
;119031124: União das freguesias de Caniçada e Soengas;251;72;51;128;
;119031125: União das freguesias de Ruivães e Campos;482;149;110;223;
;119031126: União das freguesias de Ventosa e Cova;174;41;37;96;
