
Quadro extraído em 11 de Outubro de 2022 (08:47:29)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;111160323: União das freguesias de Vila e Roussas;328;
;1111604: Monção;7891;
;111160401: Abedim;264;
;111160404: Barbeita;333;
;111160405: Barroças e Taias;240;
;111160406: Bela;157;
;111160407: Cambeses;196;
;111160410: Lara;125;
;111160411: Longos Vales;572;
;111160415: Merufe;1033;
;111160418: Moreira;296;
;111160420: Pias;372;
;111160421: Pinheiros;207;
;111160422: Podame;151;
;111160423: Portela;350;
;111160424: Riba de Mouro;560;
;111160427: Segude;139;
;111160428: Tangil;886;
;111160431: Trute;218;
;111160434: União das freguesias de Anhões e Luzio;347;
;111160435: União das freguesias de Ceivães e Badim;285;
;111160436: União das freguesias de Mazedo e Cortes;346;
;111160437: União das freguesias de Messegães, Valadares e Sá;303;
;111160438: União das freguesias de Monção e Troviscoso;136;
;111160439: União das freguesias de Sago, Lordelo e Parada;250;
;111160440: União das freguesias de Troporiz e Lapela;125;
;1111605: Paredes de Coura;5127;
;111160501: Agualonga;180;
;111160503: Castanheira;370;
;111160505: Coura;296;
;111160507: Cunha;349;
;111160510: Infesta;272;
;111160513: Mozelos;163;
;111160514: Padornelo;357;
;111160515: Parada;185;
;111160519: Romarigães;176;
;111160520: Rubiães;374;
;111160522: União das freguesias de Bico e Cristelo;527;
;111160523: União das freguesias de Cossourado e Linhares;314;
;111160524: União das freguesias de Formariz e Ferreira;532;
;111160525: União das freguesias de Insalde e Porreiras;495;
;111160526: União das freguesias de Paredes de Coura e Resende;376;
;111160521: Vascões;162;
;1111606: Ponte da Barca;4576;
;111160601: Azias;254;
;111160602: Boivães;238;
;111160603: Bravães;200;
;111160604: Britelo;169;
;111160606: Cuide de Vila Verde;239;
;111160611: Lavradas;515;
;111160612: Lindoso;293;
;111160613: Nogueira;186;
;111160614: Oleiros;128;
;111160619: Sampriz;271;
;111160626: União das freguesias de Crasto, Ruivos e Grovelas;574;
;111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;296;
;111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;358;
;111160629: União das freguesias de Touvedo (São Lourenço e Salvador);150;
;111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);409;
;111160623: Vade (São Pedro);115;
;111160624: Vade (São Tomé);181;
;1111607: Ponte de Lima;16941;
;111160701: Anais;506;
;111160752: Arca e Ponte de Lima;99;
;111160704: Arcozelo;672;
;111160753: Ardegão, Freixo e Mato;622;
;111160754: Associação de freguesias do Vale do Neiva;732;
;111160755: Bárrio e Cepões;415;
;111160707: Beiral do Lima;403;
;111160708: Bertiandos;210;
;111160709: Boalhosa;147;
;111160710: Brandara;224;
;111160756: Cabaços e Fojo Lobal;559;
;111160757: Cabração e Moreira do Lima;459;
;111160713: Calheiros;466;
;111160714: Calvelo;410;
;111160716: Correlhã;1028;
;111160717: Estorãos;174;
;111160718: Facha;609;
;111160719: Feitosa;206;
;111160721: Fontão;473;
;111160758: Fornelos e Queijada;1054;
;111160724: Friastelas;289;
;111160726: Gandra;419;
;111160727: Gemieira;379;
;111160728: Gondufe;274;
;111160729: Labruja;240;
;111160759: Labrujó, Rendufe e Vilar do Monte;382;
;111160760: Navió e Vitorino dos Piães;627;
;111160734: Poiares;453;
;111160744: Rebordões (Santa Maria);312;
;111160747: Rebordões (Souto);569;
;111160737: Refóios do Lima;1113;
;111160739: Ribeira;664;
;111160740: Sá;183;
;111160742: Santa Comba;114;
;111160743: Santa Cruz do Lima;136;
;111160703: São Pedro d'Arcos;428;
;111160745: Seara;237;
;111160746: Serdedelo;285;
;111160750: Vitorino das Donas;369;
;1111608: Valença;3257;
;111160802: Boivão;132;
;111160803: Cerdal;616;
;111160805: Fontoura;464;
;111160806: Friestas;83;
;111160808: Ganfei;264;
;111160812: São Pedro da Torre;137;
;111160817: União das freguesias de Gandra e Taião;465;
;111160818: União das freguesias de Gondomil e Sanfins;266;
;111160819: União das freguesias de São Julião e Silva;491;
;111160820: União das freguesias de Valença, Cristelo Covo e Arão;246;
;111160816: Verdoejo;91;
;1111609: Viana do Castelo;11559;
;111160901: Afife;214;
;111160902: Alvarães;608;
;111160903: Amonde;143;
;111160904: Anha;301;
;111160905: Areosa;390;
;111160908: Carreço;293;
;111160910: Castelo do Neiva;563;
;111160940: Chafé;353;
;111160911: Darque;73;
;111160914: Freixieiro de Soutelo;231;
;111160915: Lanheses;472;
;111160920: Montaria;258;
;111160922: Mujães;125;
;111160925: Outeiro;393;
;111160926: Perre;559;
;111160928: Santa Marta de Portuzelo;551;
;111160923: São Romão de Neiva;315;
;111160941: União das freguesias de Barroselas e Carvoeiro;773;
;111160942: União das freguesias de Cardielos e Serreleis;285;
;111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;1343;
;111160944: União das freguesias de Mazarefes e Vila Fria;450;
;111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;718;
;111160946: União das freguesias de Subportela, Deocriste e Portela Susã;725;
;111160947: União das freguesias de Torre e Vila Mou;407;
;111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;272;
;111160938: Vila de Punhe;352;
;111160935: Vila Franca;395;
;1111610: Vila Nova de Cerveira;2778;
;111161003: Cornes;233;
;111161004: Covas;477;
;111161006: Gondarém;103;
;111161007: Loivo;78;
;111161009: Mentrestido;314;
;111161012: Sapardos;192;
;111161013: Sopo;136;
;111161016: União das freguesias de Campos e Vila Meã;430;
;111161017: União das freguesias de Candemil e Gondar;266;
;111161018: União das freguesias de Reboreda e Nogueira;388;
;111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;161;
;112: Cávado;63536;
;1120301: Amares;4117;
;112030102: Barreiros;127;
;112030104: Bico;76;
;112030119: Bouro (Santa Maria);204;
;112030120: Bouro (Santa Marta);262;
;112030105: Caires;181;
;112030107: Carrazedo;279;
;112030108: Dornelas;239;
;112030111: Fiscal;349;
;112030112: Goães;98;
;112030113: Lago;145;
;112030118: Rendufe;141;
;112030125: União das freguesias de Amares e Figueiredo;276;
;112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;656;
;112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;342;
;112030128: União das freguesias de Torre e Portela;292;
;112030129: União das freguesias de Vilela, Seramil e Paredes Secas;451;
;1120302: Barcelos;25452;
;112030201: Abade de Neiva;405;
;112030202: Aborim;131;
;112030203: Adães;298;
;112030205: Airó;300;
;112030206: Aldreu;224;
;112030208: Alvelos;328;
;112030209: Arcozelo;140;
;112030210: Areias;73;
;112030212: Balugães;181;
;112030213: Barcelinhos;152;
;112030215: Barqueiros;504;
;112030216: Cambeses;278;
;112030218: Carapeços;344;
;112030220: Carvalhal;233;
;112030221: Carvalhas;124;
;112030224: Cossourado;446;
;112030228: Cristelo;897;
;112030234: Fornelos;260;
;112030235: Fragoso;401;
;112030268: Galegos (Santa Maria);79;
;112030272: Galegos (São Martinho);73;
;112030237: Gilmonde;292;
;112030242: Lama;177;
;112030243: Lijó;376;
;112030244: Macieira de Rates;982;
;112030245: Manhente;237;
;112030247: Martim;324;
;112030252: Moure;260;
;112030254: Oliveira;298;
;112030255: Palme;442;
;112030256: Panque;342;
;112030257: Paradela;404;
;112030259: Pereira;290;
;112030260: Perelhal;410;
;112030261: Pousa;326;
;112030263: Remelhe;398;
;112030265: Rio Covo (Santa Eugénia);249;
;112030264: Roriz;618;
;112030279: Silva;144;
;112030277: Tamel (São Veríssimo);160;
;112030282: Ucha;290;
;112030290: União das freguesias de Alheira e Igreja Nova;526;
;112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;399;
;112030292: União das freguesias de Areias de Vilar e Encourados;418;
;112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);624;
;112030294: União das freguesias de Campo e Tamel (São Pedro Fins);362;
;112030295: União das freguesias de Carreira e Fonte Coberta;663;
;112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;1832;
;112030297: União das freguesias de Creixomil e Mariz;476;
;112030298: União das freguesias de Durrães e Tregosa;223;
;112030299: União das freguesias de Gamil e Midões;438;
;1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;883;
;1120302FB: União das freguesias de Negreiros e Chavão;828;
;1120302FC: União das freguesias de Quintiães e Aguiar;361;
;1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);544;
;1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);680;
;1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;295;
;1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1212;
;1120302FH: União das freguesias de Vila Cova e Feitos;1003;
;112030283: Várzea;232;
;112030287: Vila Seca;562;
;1120303: Braga;10744;
;112030301: Adaúfe;616;
;112030349: Braga (São Vicente);66;
;112030351: Braga (São Vítor);77;
;112030312: Espinho;230;
;112030313: Esporões;250;
;112030315: Figueiredo;117;
;112030319: Gualtar;151;
;112030322: Lamas;102;
;112030325: Mire de Tibães;428;
;112030330: Padim da Graça;194;
;112030331: Palmeira;433;
;112030334: Pedralva;414;
;112030336: Priscos;308;
;112030338: Ruilhe;152;
;112030354: Sequeira;334;
;112030355: Sobreposta;327;
;112030356: Tadim;239;
;112030357: Tebosa;174;
;112030363: União das freguesias de Arentim e Cunha;480;
;112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);83;
;112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);5;
;112030366: União das freguesias de Cabreiros e Passos (São Julião);395;
;112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;398;
;112030368: União das freguesias de Crespos e Pousada;548;
;112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);350;
;112030370: União das freguesias de Este (São Pedro e São Mamede);429;
;112030371: União das freguesias de Ferreiros e Gondizalves;268;
;112030372: União das freguesias de Guisande e Oliveira (São Pedro);212;
;112030373: União das freguesias de Lomar e Arcos;240;
;112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;469;
;112030375: União das freguesias de Merelim (São Pedro) e Frossos;357;
;112030376: União das freguesias de Morreira e Trandeiras;248;
;112030377: União das freguesias de Nogueira, Fraião e Lamaçães;353;
;112030378: União das freguesias de Nogueiró e Tenões;209;
;112030379: União das freguesias de Real, Dume e Semelhe;715;
;112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;262;
;112030381: União das freguesias de Vilaça e Fradelos;110;
;1120306: Esposende;5810;
;112030601: Antas;235;
;112030608: Forjães;555;
;112030610: Gemeses;411;
;112030616: União das freguesias de Apúlia e Fão;876;
;112030617: União das freguesias de Belinho e Mar;463;
;112030618: União das freguesias de Esposende, Marinhas e Gandra;1286;
;112030619: União das freguesias de Fonte Boa e Rio Tinto;1201;
;112030620: União das freguesias de Palmeira de Faro e Curvos;469;
;112030615: Vila Chã;313;
;1120310: Terras de Bouro;2622;
;112031001: Balança;135;
;112031003: Campo do Gerês;81;
;112031004: Carvalheira;86;
;112031008: Covide;62;
;112031009: Gondoriz;161;
;112031010: Moimenta;134;
;112031012: Ribeira;91;
;112031013: Rio Caldo;282;
;112031014: Souto;193;
;112031018: União das freguesias de Chamoim e Vilar;444;
;112031019: União das freguesias de Chorense e Monte;256;
;112031020: União das freguesias de Cibões e Brufe;209;
;112031015: Valdosende;202;
;112031017: Vilar da Veiga;284;
;1120313: Vila Verde;14791;
;112031359: Aboim da Nóbrega e Gondomar;837;
;112031304: Atiães;268;
;112031308: Cabanelas;429;
;112031309: Cervães;614;
;112031311: Coucieiro;236;
;112031313: Dossãos;238;
;112031316: Freiriz;525;
;112031317: Gême;131;
;112031323: Lage;485;
;112031324: Lanhas;136;
;112031325: Loureira;178;
;112031328: Moure;445;
;112031330: Oleiros;252;
;112031331: Parada de Gatim;291;
;112031335: Pico;280;
;112031337: Ponte;181;
;112031350: Prado (São Miguel);348;
;112031340: Sabariz;139;
;112031352: Soutelo;448;
;112031354: Turiz;259;
;112031360: União das freguesias da Ribeira do Neiva;2305;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);433;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);468;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;346;
;112031364: União das freguesias de Marrancos e Arcozelo;434;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);332;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;571;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;558;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);252;
;112031369: União das freguesias do Vade;858;
;112031355: Valdreu;301;
;112031342: Vila de Prado;557;
;112031370: Vila Verde e Barbudo;653;
;119: Ave;66078;
;1190304: Cabeceiras de Basto;9257;
;119030401: Abadim;364;
;119030404: Basto;373;
;119030405: Bucos;528;
;119030406: Cabeceiras de Basto;509;
;119030407: Cavez;1320;
;119030408: Faia;448;
;119030413: Pedraça;363;
;119030415: Rio Douro;1323;
;119030418: União das freguesias de Alvite e Passos;905;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;516;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;892;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;1714;
;1190307: Fafe;11385;
;119030705: Armil;252;
;119030726: Arões (Santa Cristina);215;
;119030730: Arões (São Romão);389;
;119030708: Estorãos;423;
;119030709: Fafe;390;
;119030712: Fornelos;231;
;119030714: Golães;298;
;119030716: Medelo;131;
;119030719: Paços;346;
;119030722: Quinchães;284;
;119030723: Regadas;403;
;119030724: Revelhe;407;
;119030725: Ribeiros;195;
;119030728: São Gens;987;
;119030729: Silvares (São Martinho);190;
;119030733: Travassós;629;
;119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;777;
;119030738: União de freguesias de Agrela e Serafão;733;
;119030739: União de freguesias de Antime e Silvares (São Clemente);342;
;119030740: União de freguesias de Ardegão, Arnozela e Seidões;479;
;119030741: União de freguesias de Cepães e Fareja;485;
;119030742: União de freguesias de Freitas e Vila Cova;741;
;119030743: União de freguesias de Monte e Queimadela;865;
;119030744: União de freguesias de Moreira do Rei e Várzea Cova;952;
;119030736: Vinhós;242;
;1190308: Guimarães;13610;
;119030801: Aldão;131;
;119030804: Azurém;194;
;119030806: Barco;180;
;119030807: Brito;313;
;119030808: Caldelas;202;
;119030857: Candoso (São Martinho);196;
;119030812: Costa;195;
;119030813: Creixomil;140;
;119030815: Fermentões;346;
;119030820: Gonça;357;
;119030821: Gondar;141;
;119030823: Guardizela;152;
;119030824: Infantas;423;
;119030827: Longos;377;
;119030828: Lordelo;176;
;119030830: Mesão Frio;265;
;119030831: Moreira de Cónegos;174;
;119030832: Nespereira;118;
;119030835: Pencelo;183;
;119030836: Pinheiro;166;
;119030837: Polvoreira;227;
;119030838: Ponte;471;
;119030842: Prazins (Santa Eufémia);124;
;119030840: Ronfe;269;
;119030858: Sande (São Martinho);155;
;119030865: São Torcato;889;
;119030850: Selho (São Cristóvão);165;
;119030854: Selho (São Jorge);214;
;119030866: Serzedelo;214;
;119030868: Silvares;262;
;119030875: União das freguesias de Abação e Gémeos;491;
;119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;374;
;119030877: União das freguesias de Arosa e Castelões;217;
;119030878: União das freguesias de Atães e Rendufe;772;
;119030879: União das freguesias de Briteiros Santo Estêvão e Donim;222;
;119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;327;
;119030881: União das freguesias de Candoso São Tiago e Mascotelos;213;
;119030882: União das freguesias de Conde e Gandarela;188;
;119030883: União das freguesias de Leitões, Oleiros e Figueiredo;420;
;119030884: União das freguesias de Oliveira, São Paio e São Sebastião;12;
;119030885: União das freguesias de Prazins Santo Tirso e Corvite;137;
;119030886: União das freguesias de Sande São Lourenço e Balazar;352;
;119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;427;
;119030888: União das freguesias de Selho São Lourenço e Gominhães;386;
;119030889: União das freguesias de Serzedo e Calvos;280;
;119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;808;
;119030891: União das freguesias de Tabuadelo e São Faustino;343;
;119030871: Urgezes;227;
;1191705: Mondim de Basto;4476;
;119170501: Atei;1246;
;119170502: Bilhó;500;
;119170505: São Cristóvão de Mondim de Basto;979;
;119170509: União das freguesias de Campanhó e Paradança;454;
;119170510: União das freguesias de Ermelo e Pardelhas;656;
;119170508: Vilar de Ferreiros;641;
;1190309: Póvoa de Lanhoso;7747;
;119030906: Covelas;340;
;119030908: Ferreiros;317;
;119030912: Galegos;94;
;119030913: Garfe;581;
;119030914: Geraz do Minho;362;
;119030915: Lanhoso;323;
;119030917: Monsul;389;
;119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);332;
;119030921: Rendufinho;328;
;119030922: Santo Emilião;204;
;119030923: São João de Rei;209;
;119030924: Serzedelo;481;
;119030925: Sobradelo da Goma;390;
;119030926: Taíde;259;
;119030927: Travassos;158;
;119030930: União das freguesias de Águas Santas e Moure;437;
;119030931: União das freguesias de Calvos e Frades;418;
;119030932: União das freguesias de Campos e Louredo;385;
;119030933: União das freguesias de Esperança e Brunhais;245;
;119030934: União das freguesias de Fonte Arcada e Oliveira;550;
;119030935: União das freguesias de Verim, Friande e Ajude;571;
;119030929: Vilela;372;
;1190311: Vieira do Minho;5513;
;119031105: Cantelães;413;
;119031107: Eira Vedra;243;
;119031108: Guilhofrei;487;
;119031109: Louredo;276;
;119031110: Mosteiro;274;
;119031111: Parada de Bouro;184;
;119031112: Pinheiro;318;
;119031113: Rossas;479;
;119031115: Salamonde;220;
;119031118: Tabuaças;244;
;119031122: União das freguesias de Anissó e Soutelo;320;
;119031123: União das freguesias de Anjos e Vilar do Chão;354;
;119031124: União das freguesias de Caniçada e Soengas;262;
;119031125: União das freguesias de Ruivães e Campos;656;
;119031126: União das freguesias de Ventosa e Cova;480;
;119031120: Vieira do Minho;302;
;1190312: Vila Nova de Famalicão;12884;
;119031204: Bairro;203;
;119031206: Brufe;222;
;119031210: Castelões;265;
;119031212: Cruz;297;
;119031213: Delães;71;
;119031215: Fradelos;1004;
;119031216: Gavião;321;
;119031219: Joane;451;
;119031221: Landim;388;
;119031223: Louro;515;
;119031224: Lousado;164;
;119031225: Mogege;82;
;119031227: Nine;485;
;119031239: Oliveira (Santa Maria);124;
;119031242: Oliveira (São Mateus);49;
;119031230: Pedome;71;
;119031232: Pousada de Saramagos;102;
;119031233: Requião;542;
;119031234: Riba de Ave;73;
;119031235: Ribeirão;374;
;119031250: União das freguesias de Antas e Abade de Vermoim;434;
;119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;776;
;119031252: União das freguesias de Avidos e Lagoa;348;
;119031253: União das freguesias de Carreira e Bente;341;
;119031254: União das freguesias de Esmeriz e Cabeçudos;320;
;119031255: União das freguesias de Gondifelos, Cavalões e Outiz;1210;
;119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;767;
;119031257: União das freguesias de Ruivães e Novais;329;
;119031258: União das freguesias de Seide;254;
;119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;738;
;119031260: União das freguesias de Vila Nova de Famalicão e Calendário;535;
;119031241: Vale (São Martinho);205;
;119031247: Vermoim;334;
;119031249: Vilarinho das Cambas;490;
;1190314: Vizela;1206;
;119031404: Infias;184;
;119031401: Santa Eulália;144;
;119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);203;
;119031409: União das freguesias de Tagilde e Vizela (São Paio);507;
;119031406: Vizela (Santo Adrião);168;
;11A: Área Metropolitana do Porto;72530;
;11A0104: Arouca;7065;
;11A010402: Alvarenga;905;
;11A010407: Chave;308;
;11A010409: Escariz;488;
;11A010411: Fermedo;413;
;11A010413: Mansores;490;
;11A010414: Moldes;384;
;11A010415: Rossas;410;
;11A010416: Santa Eulália;464;
;11A010417: São Miguel do Mato;246;
;11A010418: Tropeço;355;
;11A010421: União das freguesias de Arouca e Burgo;1107;
;11A010422: União das freguesias de Cabreiros e Albergaria da Serra;202;
;11A010423: União das freguesias de Canelas e Espiunca;459;
;11A010424: União das freguesias de Covelo de Paivó e Janarde;279;
;11A010419: Urrô;357;
;11A010420: Várzea;199;
;11A0107: Espinho;128;
;11A010702: Espinho;- -;
;11A010704: Paramos;16;
;11A010705: Silvalde;45;
;11A010706: União das freguesias de Anta e Guetim;67;
;11A1304: Gondomar;3797;
;11A130412: Baguim do Monte (Rio Tinto);188;
;11A130405: Lomba;138;
;11A130408: Rio Tinto;473;
;11A130413: União das freguesias de Fânzeres e São Pedro da Cova;579;
;11A130414: União das freguesias de Foz do Sousa e Covelo;772;
;11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;937;
;11A130416: União das freguesias de Melres e Medas;710;
;11A1306: Maia;4253;
;11A130601: Águas Santas;449;
;11A130618: Castêlo da Maia;1193;
;11A130619: Cidade da Maia;391;
;11A130603: Folgosa;399;
;11A130608: Milheirós;191;
;11A130609: Moreira;530;
;11A130620: Nogueira e Silva Escura;425;
;11A130617: Pedrouços;89;
;11A130613: São Pedro Fins;247;
;11A130616: Vila Nova da Telha;339;
;11A1308: Matosinhos;2728;
;11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;941;
;11A130812: União das freguesias de Matosinhos e Leça da Palmeira;116;
;11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1408;
;11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;263;
;11A0113: Oliveira de Azeméis;4992;
;11A011301: Carregosa;518;
;11A011302: Cesar;183;
;11A011303: Fajões;273;
;11A011304: Loureiro;1016;
;11A011305: Macieira de Sarnes;116;
;11A011310: Ossela;401;
;11A011315: São Martinho da Gândara;521;
;11A011318: São Roque;112;
;11A011320: União das freguesias de Nogueira do Cravo e Pindelo;232;
;11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;549;
;11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;719;
;11A011319: Vila de Cucujães;351;
;11A1310: Paredes;7639;
;11A131001: Aguiar de Sousa;298;
;11A131002: Astromil;136;
;11A131003: Baltar;413;
;11A131004: Beire;345;
;11A131008: Cete;266;
;11A131009: Cristelo;173;
;11A131010: Duas Igrejas;372;
;11A131011: Gandra;601;
;11A131013: Lordelo;395;
;11A131014: Louredo;200;
;11A131017: Parada de Todeia;116;
;11A131025: Paredes;1964;
;11A131018: Rebordosa;596;
;11A131019: Recarei;356;
;11A131020: Sobreira;335;
;11A131021: Sobrosa;379;
;11A131022: Vandoma;282;
;11A131024: Vilela;413;
;11A1312: Porto;- -;
;11A131202: Bonfim;- -;
;11A131203: Campanhã;- -;
;11A131210: Paranhos;- -;
;11A131211: Ramalde;- -;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;
;11A1313: Póvoa de Varzim;5981;
;11A131305: Balazar;1332;
;11A131307: Estela;649;
;11A131308: Laundos;334;
;11A131311: Rates;1262;
;11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;567;
;11A131314: União das freguesias de Aguçadoura e Navais;585;
;11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;1253;
;11A0109: Santa Maria da Feira;4627;
;11A010901: Argoncilhe;229;
;11A010902: Arrifana;145;
;11A010904: Escapães;50;
;11A010907: Fiães;40;
;11A010908: Fornos;60;
;11A010913: Lourosa;64;
;11A010914: Milheirós de Poiares;112;
;11A010916: Mozelos;59;
;11A010917: Nogueira da Regedoura;17;
;11A010919: Paços de Brandão;35;
;11A010921: Rio Meão;65;
;11A010922: Romariz;528;
;11A010924: Sanguedo;48;
;11A010925: Santa Maria de Lamas;21;
;11A010926: São João de Ver;106;
;11A010918: São Paio de Oleiros;16;
;11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;184;
;11A010933: União das freguesias de Canedo, Vale e Vila Maior;1148;
;11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;767;
;11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;548;
;11A010936: União de freguesias de São Miguel de Souto e Mosteirô;383;
;11A1314: Santo Tirso;5113;
;11A131401: Agrela;145;
;11A131402: Água Longa;395;
;11A131405: Aves;158;
;11A131413: Monte Córdova;745;
