
Quadro extraído em 11 de Outubro de 2022 (08:47:29)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
1989;PT: Portugal;1895293;
;1: Continente;1869929;
;11: Norte;534051;
;111: Alto Minho;69228;
;1111601: Arcos de Valdevez;10966;
;111160101: Aboim das Choças;194;
;111160102: Aguiã;122;
;111160104: Ázere;191;
;111160105: Cabana Maior;162;
;111160106: Cabreiro;570;
;111160108: Cendufe;197;
;111160109: Couto;241;
;111160113: Gavieira;303;
;111160115: Gondoriz;419;
;111160142: Jolda (São Paio);202;
;111160121: Miranda;373;
;111160122: Monte Redondo;260;
;111160123: Oliveira;150;
;111160124: Paçô;197;
;111160125: Padroso;148;
;111160128: Prozelo;333;
;111160131: Rio de Moinhos;265;
;111160130: Rio Frio;558;
;111160133: Sabadim;266;
;111160144: Senharei;212;
;111160145: Sistelo;328;
;111160146: Soajo;478;
;111160152: União das freguesias de Alvora e Loureda;324;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;160;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;261;
;111160155: União das freguesias de Eiras e Mei;314;
;111160156: União das freguesias de Grade e Carralcova;311;
;111160157: União das freguesias de Guilhadeses e Santar;325;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;367;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);261;
;111160160: União das freguesias de Portela e Extremo;227;
;111160161: União das freguesias de São Jorge e Ermelo;535;
;111160162: União das freguesias de Souto e Tabaçô;227;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);544;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;400;
;111160149: Vale;541;
;1111602: Caminha;2635;
;111160201: Âncora;340;
;111160205: Argela;187;
;111160209: Dem;156;
;111160211: Lanhelas;47;
;111160214: Riba de Âncora;351;
;111160215: Seixas;33;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);310;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;93;
;111160223: União das freguesias de Gondar e Orbacém;297;
;111160224: União das freguesias de Moledo e Cristelo;101;
;111160225: União das freguesias de Venade e Azevedo;301;
;111160217: Vila Praia de Âncora;106;
;111160218: Vilar de Mouros;175;
;111160220: Vile;138;
;1111603: Melgaço;3498;
;111160301: Alvaredo;147;
;111160304: Cousso;113;
;111160305: Cristoval;242;
;111160307: Fiães;238;
;111160308: Gave;183;
;111160311: Paderne;829;
;111160313: Penso;134;
;111160317: São Paio;237;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;184;
;111160320: União das freguesias de Chaviães e Paços;347;
;111160321: União das freguesias de Parada do Monte e Cubalhão;399;
;111160322: União das freguesias de Prado e Remoães;118;
