
Quadro extraído em 17 de Outubro de 2022 (00:04:15)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
;1999;;;;;;;;;
;Tipo de mão-de-obra;;;;;;;;;
;Mão-de-obra agrícola total;Mão-de-obra agrícola familiar;Produtor;Cônjuge;Outros membros da família;Mão-de-obra agrícola não familiar;Permanente;Eventual;Mão-de-obra não contratada pelo produtor;
;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;
PT: Portugal;526145;431632;219568;135138;76926;94513;47219;44363;2931;
1: Continente;497537;408224;206241;130440;71543;89313;43962;42525;2826;
11: Norte;204053;174294;81719;52834;39741;29759;12142;16419;1198;
111: Alto Minho;27149;25423;12109;7529;5785;1726;688;955;83;
1111601: Arcos de Valdevez;4920;4605;2228;1503;873;315;87;217;11;
111160101: Aboim das Choças;63;62;26;22;14;2;0;2;0;
111160102: Aguiã;82;78;37;25;16;4;0;3;0;
111160104: Ázere;60;55;24;20;11;5;0;5;0;
111160105: Cabana Maior;101;98;53;32;13;4;0;3;0;
111160106: Cabreiro;236;234;113;70;51;2;0;2;0;
111160108: Cendufe;78;75;38;24;14;3;1;2;0;
111160109: Couto;81;70;35;22;13;11;2;9;0;
111160113: Gavieira;171;169;81;61;28;1;0;1;0;
111160115: Gondoriz;193;185;89;53;43;8;2;5;0;
111160142: Jolda (São Paio);88;83;32;26;25;5;2;3;0;
111160121: Miranda;124;123;59;39;24;1;0;1;0;
111160122: Monte Redondo;115;98;46;36;16;17;4;13;0;
111160123: Oliveira;74;70;35;25;9;5;1;4;0;
111160124: Paçô;88;50;26;17;7;37;27;11;0;
111160125: Padroso;99;98;47;31;20;1;0;1;0;
111160128: Prozelo;115;105;56;35;15;11;3;8;0;
111160131: Rio de Moinhos;96;92;47;32;14;4;1;3;0;
111160130: Rio Frio;248;243;122;79;42;6;2;3;0;
111160133: Sabadim;134;128;56;44;28;6;0;5;0;
111160144: Senharei;89;88;40;26;22;1;0;0;1;
111160145: Sistelo;183;181;93;54;35;2;0;1;0;
111160146: Soajo;284;280;154;95;32;4;0;4;0;
111160152: União das freguesias de Alvora e Loureda;157;152;77;59;15;5;1;4;0;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;68;51;23;17;11;18;10;8;0;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;93;77;36;26;15;16;5;11;0;
111160155: União das freguesias de Eiras e Mei;121;117;53;36;27;4;1;2;1;
111160156: União das freguesias de Grade e Carralcova;174;166;84;44;39;8;1;7;0;
111160157: União das freguesias de Guilhadeses e Santar;170;144;70;46;28;26;4;22;0;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;144;137;58;47;33;6;1;5;0;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);110;105;51;34;20;5;2;2;0;
111160160: União das freguesias de Portela e Extremo;156;151;71;51;29;5;2;3;0;
111160161: União das freguesias de São Jorge e Ermelo;174;160;77;53;29;14;2;11;1;
