
Quadro extraído em 17 de Outubro de 2022 (00:04:15)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
111160162: União das freguesias de Souto e Tabaçô;171;140;66;43;31;31;0;31;0;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);262;240;115;82;44;21;9;12;1;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;154;145;67;43;34;10;2;8;0;
111160149: Vale;163;158;75;53;30;5;0;4;0;
1111602: Caminha;833;768;351;152;265;65;29;34;2;
111160201: Âncora;40;34;17;7;10;6;4;2;0;
111160205: Argela;30;29;14;6;8;1;0;0;0;
111160209: Dem;75;73;32;13;29;2;1;1;0;
111160211: Lanhelas;16;12;8;3;1;3;2;1;0;
111160214: Riba de Âncora;129;123;60;19;45;6;1;5;0;
111160215: Seixas;12;10;5;1;4;2;1;1;0;
111160221: União das freguesias de Arga (Baixo, Cima e São João);95;94;39;23;32;2;1;1;0;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;34;26;11;9;6;9;3;5;0;
111160223: União das freguesias de Gondar e Orbacém;163;159;63;33;63;5;1;4;0;
111160224: União das freguesias de Moledo e Cristelo;34;32;13;8;11;2;0;2;0;
111160225: União das freguesias de Venade e Azevedo;96;93;45;18;31;3;0;3;0;
111160217: Vila Praia de Âncora;46;35;19;6;11;11;6;5;0;
111160218: Vilar de Mouros;41;29;15;6;8;13;9;3;0;
111160220: Vile;22;20;11;3;7;1;0;1;0;
1111603: Melgaço;1896;1831;899;558;375;65;17;45;3;
111160301: Alvaredo;159;151;75;47;29;8;0;8;0;
111160304: Cousso;101;101;57;23;21;1;0;0;0;
111160305: Cristoval;38;36;17;12;7;2;0;2;0;
111160307: Fiães;130;128;61;43;24;2;1;0;0;
111160308: Gave;81;81;42;20;18;1;0;0;0;
111160311: Paderne;247;226;111;70;45;21;7;13;1;
111160313: Penso;116;112;49;46;17;4;0;4;0;
111160317: São Paio;134;132;67;45;20;2;0;2;0;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;337;336;169;95;73;1;0;0;0;
111160320: União das freguesias de Chaviães e Paços;87;80;40;21;19;7;0;7;0;
111160321: União das freguesias de Parada do Monte e Cubalhão;208;207;97;65;46;1;1;0;0;
111160322: União das freguesias de Prado e Remoães;96;87;46;26;15;8;4;5;0;
111160323: União das freguesias de Vila e Roussas;163;155;69;44;41;8;3;4;0;
1111604: Monção;3212;3002;1439;918;645;210;86;115;8;
111160401: Abedim;98;98;43;27;27;0;0;0;0;
111160404: Barbeita;153;140;67;46;27;13;2;12;0;
111160405: Barroças e Taias;69;69;35;22;12;1;0;1;0;
111160406: Bela;98;92;49;30;13;6;1;4;0;
111160407: Cambeses;52;50;24;17;9;2;0;2;0;
111160410: Lara;86;82;36;26;20;4;0;3;0;
111160411: Longos Vales;196;188;83;68;38;8;3;5;0;
111160415: Merufe;342;337;166;81;90;5;0;4;1;
111160418: Moreira;190;186;75;62;50;4;2;2;1;
111160420: Pias;229;210;101;77;32;19;5;13;1;
111160421: Pinheiros;77;47;24;13;11;30;25;4;0;
111160422: Podame;67;64;30;18;16;3;1;1;0;
111160423: Portela;60;60;31;19;10;0;0;0;0;
111160424: Riba de Mouro;183;179;95;46;39;4;0;3;1;
111160427: Segude;76;69;35;20;14;7;2;4;0;
111160428: Tangil;251;243;110;80;53;7;1;5;1;
111160431: Trute;85;84;37;21;26;1;1;0;0;
111160434: União das freguesias de Anhões e Luzio;156;151;80;37;34;6;5;0;0;
111160435: União das freguesias de Ceivães e Badim;98;82;42;26;14;16;7;9;0;
111160436: União das freguesias de Mazedo e Cortes;124;101;54;35;12;24;10;13;1;
111160437: União das freguesias de Messegães, Valadares e Sá;136;121;59;45;17;15;6;9;0;
111160438: União das freguesias de Monção e Troviscoso;119;88;44;23;21;30;15;15;1;
111160439: União das freguesias de Sago, Lordelo e Parada;196;194;92;56;46;2;1;1;0;
111160440: União das freguesias de Troporiz e Lapela;73;68;30;24;15;4;0;4;0;
1111605: Paredes de Coura;1816;1720;798;521;402;96;36;49;10;
111160501: Agualonga;100;91;42;26;23;9;1;8;0;
111160503: Castanheira;90;88;39;29;20;2;1;0;1;
111160505: Coura;104;103;55;37;11;1;0;1;0;
111160507: Cunha;181;171;70;48;52;10;1;9;1;
111160510: Infesta;121;121;49;38;33;1;0;0;1;
111160513: Mozelos;40;38;18;9;10;3;1;2;0;
111160514: Padornelo;72;67;34;19;14;5;2;2;1;
111160515: Parada;76;74;39;20;15;2;0;1;1;
111160519: Romarigães;79;72;33;23;16;7;6;1;0;
111160520: Rubiães;181;176;67;51;57;6;1;4;1;
111160522: União das freguesias de Bico e Cristelo;181;176;86;50;40;5;2;2;1;
111160523: União das freguesias de Cossourado e Linhares;86;80;41;31;9;6;0;5;0;
111160524: União das freguesias de Formariz e Ferreira;187;169;84;54;31;18;9;8;1;
111160525: União das freguesias de Insalde e Porreiras;169;163;78;49;36;6;3;3;1;
111160526: União das freguesias de Paredes de Coura e Resende;95;83;36;24;24;12;9;3;1;
111160521: Vascões;53;50;27;12;11;2;0;2;0;
1111606: Ponte da Barca;2054;1963;886;580;498;91;22;64;5;
111160601: Azias;141;140;57;39;45;1;0;0;0;
111160602: Boivães;129;127;53;37;37;2;0;1;0;
111160603: Bravães;140;131;59;44;28;10;4;5;0;
111160604: Britelo;34;31;18;9;5;3;0;2;0;
111160606: Cuide de Vila Verde;67;64;26;18;20;3;1;2;0;
111160611: Lavradas;241;234;102;74;59;7;0;7;0;
111160612: Lindoso;131;129;66;41;21;2;0;1;1;
111160613: Nogueira;46;41;21;15;5;5;0;5;0;
111160614: Oleiros;92;82;37;25;20;11;6;4;0;
111160619: Sampriz;157;151;64;41;46;6;0;6;0;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;183;178;81;53;45;5;2;2;0;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;176;173;77;48;49;3;1;2;0;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;167;144;77;49;18;23;5;18;1;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);43;40;22;13;5;3;0;3;0;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);197;193;82;49;62;4;0;3;0;
111160623: Vade (São Pedro);48;46;21;11;13;3;1;1;0;
111160624: Vade (São Tomé);62;60;25;14;21;2;1;2;0;
1111607: Ponte de Lima;6462;6016;2861;1734;1421;446;188;235;23;
111160701: Anais;207;202;107;58;37;4;0;4;1;
111160752: Arca e Ponte de Lima;42;27;11;9;7;15;8;7;0;
111160704: Arcozelo;237;216;105;70;40;21;5;16;0;
111160753: Ardegão, Freixo e Mato;252;226;111;64;52;25;13;11;1;
111160754: Associação de freguesias do Vale do Neiva;225;194;101;63;30;31;13;17;1;
111160755: Bárrio e Cepões;141;137;64;48;24;4;1;3;0;
111160707: Beiral do Lima;240;235;93;65;77;6;3;3;0;
111160708: Bertiandos;87;79;34;29;17;7;4;3;0;
111160709: Boalhosa;88;87;32;24;31;1;0;0;0;
111160710: Brandara;59;51;24;13;14;8;5;3;0;
111160756: Cabaços e Fojo Lobal;219;212;107;51;53;8;1;5;2;
111160757: Cabração e Moreira do Lima;275;260;112;89;59;14;9;5;0;
111160713: Calheiros;164;150;66;45;39;14;3;10;0;
111160714: Calvelo;196;172;73;51;48;25;13;11;1;
111160716: Correlhã;433;403;190;102;111;30;12;16;2;
111160717: Estorãos;167;160;74;51;35;7;3;3;0;
111160718: Facha;166;153;89;32;33;12;5;6;1;
111160719: Feitosa;48;38;21;13;4;10;5;5;0;
111160721: Fontão;132;123;62;26;35;9;4;4;1;
111160758: Fornelos e Queijada;289;277;140;81;56;13;5;7;1;
111160724: Friastelas;125;120;53;33;34;5;0;4;1;
111160726: Gandra;156;143;63;41;39;13;9;4;0;
111160727: Gemieira;116;110;45;28;36;7;4;3;0;
111160728: Gondufe;134;127;52;43;33;7;4;3;0;
111160729: Labruja;92;89;49;27;14;3;0;2;0;
111160759: Labrujó, Rendufe e Vilar do Monte;146;142;68;45;28;4;2;2;1;
111160760: Navió e Vitorino dos Piães;325;298;134;79;85;28;13;13;2;
111160734: Poiares;185;169;79;46;45;15;6;8;2;
111160744: Rebordões (Santa Maria);112;108;60;27;20;5;1;4;0;
111160747: Rebordões (Souto);169;161;87;45;29;9;3;5;1;
111160737: Refóios do Lima;371;335;173;94;69;37;18;18;1;
111160739: Ribeira;208;198;86;56;56;11;3;6;1;
111160740: Sá;66;60;29;24;7;6;0;6;0;
111160742: Santa Comba;43;38;18;13;7;6;1;5;0;
111160743: Santa Cruz do Lima;84;78;37;29;12;6;3;3;0;
111160703: São Pedro d'Arcos;126;120;68;25;27;6;2;4;0;
111160745: Seara;65;54;26;17;12;11;7;4;0;
111160746: Serdedelo;187;185;83;55;46;3;0;2;0;
111160750: Vitorino das Donas;84;81;37;23;21;4;2;2;0;
1111608: Valença;1315;1210;581;398;231;105;62;40;3;
111160802: Boivão;61;60;23;19;18;1;0;1;0;
111160803: Cerdal;258;252;119;85;48;7;3;4;0;
111160805: Fontoura;129;120;58;30;32;9;4;4;0;
111160806: Friestas;53;50;25;14;11;3;0;3;0;
111160808: Ganfei;99;87;40;30;18;12;6;6;0;
111160812: São Pedro da Torre;82;58;30;23;5;24;17;7;0;
111160817: União das freguesias de Gandra e Taião;177;147;73;52;21;30;25;5;0;
111160818: União das freguesias de Gondomil e Sanfins;154;153;70;51;32;1;0;1;0;
111160819: União das freguesias de São Julião e Silva;144;138;70;44;24;6;2;4;0;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;88;83;41;28;14;6;4;2;0;
111160816: Verdoejo;70;63;32;23;9;7;2;5;0;
1111609: Viana do Castelo;4014;3727;1771;988;968;287;130;143;15;
111160901: Afife;52;41;21;11;9;11;10;1;0;
111160902: Alvarães;114;102;53;32;17;12;5;7;0;
111160903: Amonde;89;86;32;19;35;3;0;3;0;
111160904: Anha;95;85;46;31;8;10;6;4;0;
111160905: Areosa;65;52;24;13;15;14;12;2;0;
111160908: Carreço;91;82;31;21;30;9;8;1;0;
111160910: Castelo do Neiva;184;183;79;56;48;1;0;0;1;
111160940: Chafé;95;90;50;26;14;5;0;5;0;
111160911: Darque;17;14;6;4;4;3;3;0;0;
111160914: Freixieiro de Soutelo;106;100;42;19;40;5;1;4;0;
111160915: Lanheses;190;181;80;36;65;9;1;7;1;
111160920: Montaria;145;144;67;29;48;1;1;0;0;
111160922: Mujães;43;36;20;10;6;8;2;5;0;
111160925: Outeiro;197;196;80;54;62;1;0;1;0;
111160926: Perre;203;186;86;42;57;17;2;14;1;
111160928: Santa Marta de Portuzelo;200;186;89;51;46;14;7;6;1;
111160923: São Romão de Neiva;70;65;33;19;13;5;4;0;0;
111160941: União das freguesias de Barroselas e Carvoeiro;273;237;116;66;55;36;21;14;1;
111160942: União das freguesias de Cardielos e Serreleis;113;102;53;24;25;11;6;4;1;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;421;390;211;109;71;31;9;19;2;
111160944: União das freguesias de Mazarefes e Vila Fria;152;144;63;46;35;8;2;5;0;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;294;278;121;67;90;16;6;10;1;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;380;370;182;109;79;11;2;8;1;
111160947: União das freguesias de Torre e Vila Mou;178;160;78;36;47;18;9;7;1;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;67;62;28;17;17;5;0;5;0;
111160938: Vila de Punhe;53;43;22;15;6;11;5;5;0;
111160935: Vila Franca;125;113;56;29;27;13;8;4;0;
1111610: Vila Nova de Cerveira;626;581;295;178;108;45;32;11;2;
111161003: Cornes;57;56;26;17;13;1;1;0;0;
111161004: Covas;75;66;41;13;12;9;8;1;0;
111161006: Gondarém;44;37;20;10;7;7;5;1;0;
111161007: Loivo;21;14;7;4;3;7;4;3;0;
111161009: Mentrestido;59;59;27;22;9;1;0;1;0;
111161012: Sapardos;43;42;19;18;6;2;0;1;0;
111161013: Sopo;72;70;30;17;22;2;2;0;0;
111161016: União das freguesias de Campos e Vila Meã;90;87;41;29;16;3;2;1;0;
111161017: União das freguesias de Candemil e Gondar;62;61;35;20;6;1;1;0;0;
111161018: União das freguesias de Reboreda e Nogueira;80;75;41;22;12;5;3;1;0;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;24;16;9;6;1;7;7;0;0;
112: Cávado;22074;19772;8396;5910;5467;2302;1288;907;106;
1120301: Amares;2148;1718;752;526;440;430;283;134;14;
112030102: Barreiros;102;91;42;25;24;12;9;3;0;
112030104: Bico;56;46;19;11;16;11;7;4;0;
112030119: Bouro (Santa Maria);188;167;74;55;38;21;7;14;0;
112030120: Bouro (Santa Marta);122;110;49;36;25;12;2;9;0;
112030105: Caires;109;86;41;27;19;22;15;7;0;
112030107: Carrazedo;207;82;31;28;23;125;112;12;1;
112030108: Dornelas;107;95;38;30;28;12;3;8;0;
112030111: Fiscal;133;109;50;35;24;23;16;7;0;
112030112: Goães;110;104;42;28;34;6;3;2;1;
112030113: Lago;79;62;24;18;19;17;11;6;0;
112030118: Rendufe;131;94;41;27;27;37;21;8;8;
112030125: União das freguesias de Amares e Figueiredo;93;77;39;26;12;17;9;8;0;
112030126: União das freguesias de Caldelas, Sequeiros e Paranhos;186;166;75;48;43;19;9;10;1;
112030127: União das freguesias de Ferreiros, Prozelo e Besteiros;201;139;59;49;31;63;49;13;0;
112030128: União das freguesias de Torre e Portela;107;95;43;28;24;12;6;6;0;
112030129: União das freguesias de Vilela, Seramil e Paredes Secas;217;196;86;57;53;21;5;16;1;
1120302: Barcelos;7313;6596;2790;1959;1848;717;423;252;41;
112030201: Abade de Neiva;139;117;48;29;40;22;17;5;1;
112030202: Aborim;51;51;20;17;14;1;0;0;0;
112030203: Adães;58;49;19;15;15;10;5;4;0;
112030205: Airó;78;72;28;28;16;6;1;5;1;
112030206: Aldreu;65;62;28;20;15;2;1;1;0;
112030208: Alvelos;78;71;31;22;19;7;3;4;0;
112030209: Arcozelo;34;27;13;6;9;7;4;3;0;
112030210: Areias;21;20;10;5;4;1;0;1;0;
112030212: Balugães;50;46;21;9;16;4;2;2;0;
112030213: Barcelinhos;35;16;8;3;5;19;17;2;0;
112030215: Barqueiros;178;170;75;46;49;8;4;3;1;
112030216: Cambeses;89;79;35;26;18;10;8;2;0;
112030218: Carapeços;105;99;42;33;25;5;3;2;1;
112030220: Carvalhal;70;61;18;15;28;9;9;0;0;
112030221: Carvalhas;53;40;15;12;13;13;7;5;1;
112030224: Cossourado;89;86;38;25;24;3;2;0;1;
112030228: Cristelo;252;249;92;91;67;3;1;1;1;
112030234: Fornelos;90;87;34;26;27;3;0;2;0;
112030235: Fragoso;176;161;72;51;39;15;10;4;1;
112030268: Galegos (Santa Maria);81;79;34;27;18;2;1;1;0;
112030272: Galegos (São Martinho);25;21;10;6;5;4;2;2;0;
112030237: Gilmonde;68;66;26;18;22;2;1;1;0;
112030242: Lama;48;42;17;12;13;6;5;1;0;
112030243: Lijó;144;138;56;37;45;6;4;1;1;
112030244: Macieira de Rates;221;214;80;64;70;7;3;3;1;
112030245: Manhente;70;51;18;12;21;19;14;5;0;
112030247: Martim;131;128;51;41;37;3;1;2;0;
112030252: Moure;52;40;17;11;12;12;2;9;0;
112030254: Oliveira;98;93;42;27;24;6;4;2;1;
112030255: Palme;139;126;52;41;33;13;9;3;1;
112030256: Panque;138;135;54;52;29;3;0;2;1;
112030257: Paradela;154;144;64;40;40;10;7;2;1;
112030259: Pereira;47;44;18;13;13;3;2;1;0;
112030260: Perelhal;88;75;34;24;17;13;5;7;1;
112030261: Pousa;131;127;55;44;29;4;3;0;1;
112030263: Remelhe;118;86;36;23;28;31;17;14;1;
112030265: Rio Covo (Santa Eugénia);42;31;16;9;5;11;7;4;0;
112030264: Roriz;163;152;66;34;51;11;6;4;1;
112030279: Silva;53;46;19;19;8;7;5;2;0;
112030277: Tamel (São Veríssimo);29;24;13;5;6;5;4;1;0;
112030282: Ucha;105;94;50;27;18;10;8;3;0;
112030290: União das freguesias de Alheira e Igreja Nova;161;156;74;49;34;5;2;2;1;
112030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;157;141;56;47;38;16;12;3;1;
112030292: União das freguesias de Areias de Vilar e Encourados;148;106;51;27;27;43;37;5;1;
112030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);124;98;40;32;27;26;18;7;1;
112030294: União das freguesias de Campo e Tamel (São Pedro Fins);125;118;50;35;33;7;3;4;0;
112030295: União das freguesias de Carreira e Fonte Coberta;140;126;67;31;28;14;10;4;1;
112030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;414;351;150;90;111;63;41;18;3;
112030297: União das freguesias de Creixomil e Mariz;117;103;53;29;20;15;10;4;1;
112030298: União das freguesias de Durrães e Tregosa;58;53;25;17;11;5;3;2;0;
112030299: União das freguesias de Gamil e Midões;71;57;29;18;10;15;3;10;1;
1120302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;222;203;79;59;64;19;9;8;2;
1120302FB: União das freguesias de Negreiros e Chavão;218;199;73;65;62;18;6;10;2;
1120302FC: União das freguesias de Quintiães e Aguiar;130;127;54;39;33;3;1;2;1;
1120302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);157;149;78;46;25;8;3;5;1;
1120302FE: União das freguesias de Silveiros e Rio Covo (Santa Eulália);150;98;48;27;23;52;33;19;1;
1120302FF: União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;103;97;43;37;17;7;3;3;1;
1120302FG: União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;256;224;97;62;66;32;23;7;2;
1120302FH: União das freguesias de Vila Cova e Feitos;448;426;142;113;171;22;5;15;2;
112030283: Várzea;53;48;23;15;10;5;1;4;1;
112030287: Vila Seca;203;198;82;60;56;5;0;4;1;
1120303: Braga;3501;2946;1226;936;785;555;371;170;14;
112030301: Adaúfe;219;173;72;48;53;46;29;17;0;
112030349: Braga (São Vicente);10;10;4;3;3;0;0;0;0;
112030351: Braga (São Vítor);16;9;4;3;2;7;7;0;0;
112030312: Espinho;117;79;30;24;24;38;37;1;0;
112030313: Esporões;72;64;27;26;11;8;7;1;0;
112030315: Figueiredo;40;35;20;12;3;5;2;3;0;
112030319: Gualtar;30;16;8;6;2;14;12;2;0;
112030322: Lamas;33;32;16;14;2;0;0;0;0;
112030325: Mire de Tibães;104;92;37;33;21;12;6;6;0;
112030330: Padim da Graça;63;61;27;20;15;2;1;1;0;
112030331: Palmeira;95;72;32;18;22;23;11;11;1;
112030334: Pedralva;110;101;41;25;35;8;8;0;0;
112030336: Priscos;113;103;41;27;35;9;0;9;0;
112030338: Ruilhe;73;59;26;19;14;14;8;6;0;
112030354: Sequeira;126;103;38;29;36;23;15;8;0;
112030355: Sobreposta;87;85;34;21;29;3;2;1;0;
112030356: Tadim;34;28;13;9;6;7;4;2;0;
112030357: Tebosa;53;47;20;13;13;7;5;2;0;
112030363: União das freguesias de Arentim e Cunha;141;125;59;40;27;15;10;5;0;
112030364: União das freguesias de Braga (Maximinos, Sé e Cividade);48;40;15;15;9;8;7;1;0;
112030365: União das freguesias de Braga (São José de São Lázaro e São João do Souto);- -;- -;- -;- -;- -;- -;- -;- -;- -;
112030366: União das freguesias de Cabreiros e Passos (São Julião);136;121;53;38;30;15;4;10;1;
112030367: União das freguesias de Celeirós, Aveleda e Vimieiro;159;148;67;48;33;12;5;6;1;
112030368: União das freguesias de Crespos e Pousada;197;150;56;58;36;48;25;22;1;
112030369: União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);133;97;44;30;23;35;27;7;1;
112030370: União das freguesias de Este (São Pedro e São Mamede);103;94;39;32;23;9;6;3;0;
112030371: União das freguesias de Ferreiros e Gondizalves;117;105;37;34;35;12;4;8;0;
112030372: União das freguesias de Guisande e Oliveira (São Pedro);61;55;26;12;18;6;4;1;0;
112030373: União das freguesias de Lomar e Arcos;73;60;27;22;12;13;11;1;1;
112030374: União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;143;137;52;43;42;6;4;2;1;
112030375: União das freguesias de Merelim (São Pedro) e Frossos;134;103;40;33;30;30;28;2;1;
112030376: União das freguesias de Morreira e Trandeiras;93;77;37;33;8;16;5;11;0;
112030377: União das freguesias de Nogueira, Fraião e Lamaçães;98;80;33;26;22;17;16;1;0;
112030378: União das freguesias de Nogueiró e Tenões;71;34;14;12;9;37;36;1;0;
112030379: União das freguesias de Real, Dume e Semelhe;204;186;74;56;57;18;13;4;1;
112030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra;85;66;25;23;18;19;14;5;0;
112030381: União das freguesias de Vilaça e Fradelos;109;99;39;33;27;11;1;9;0;
1120306: Esposende;2890;2768;1031;797;940;122;51;62;9;
112030601: Antas;207;191;76;56;59;16;8;7;1;
112030608: Forjães;207;184;70;58;56;23;10;13;1;
112030610: Gemeses;170;166;64;55;48;4;3;0;1;
112030616: União das freguesias de Apúlia e Fão;522;511;202;158;151;11;4;7;1;
112030617: União das freguesias de Belinho e Mar;338;328;134;91;103;10;3;6;1;
112030618: União das freguesias de Esposende, Marinhas e Gandra;711;697;225;180;293;13;0;11;3;
112030619: União das freguesias de Fonte Boa e Rio Tinto;341;328;114;99;115;13;11;2;1;
112030620: União das freguesias de Palmeira de Faro e Curvos;285;267;99;76;92;18;5;12;2;
112030615: Vila Chã;110;97;47;25;25;13;8;5;1;
1120310: Terras de Bouro;1347;1271;518;376;378;76;19;49;8;
112031001: Balança;84;74;32;22;20;10;3;7;0;
112031003: Campo do Gerês;14;14;6;4;3;0;0;0;0;
112031004: Carvalheira;97;93;39;28;26;4;1;3;0;
112031008: Covide;92;90;37;21;32;2;0;2;1;
112031009: Gondoriz;72;67;31;22;14;5;2;3;1;
112031010: Moimenta;52;48;20;18;10;4;2;2;0;
112031012: Ribeira;69;65;26;16;22;4;1;3;0;
112031013: Rio Caldo;79;74;30;20;23;5;1;4;0;
112031014: Souto;126;119;50;37;33;6;0;6;0;
112031018: União das freguesias de Chamoim e Vilar;138;131;53;40;39;7;0;6;1;
112031019: União das freguesias de Chorense e Monte;201;192;71;58;63;9;4;4;1;
112031020: União das freguesias de Cibões e Brufe;154;145;61;39;45;9;1;6;2;
112031015: Valdosende;88;85;29;28;28;3;1;2;0;
112031017: Vilar da Veiga;82;76;35;22;20;6;2;3;0;
1120313: Vila Verde;4875;4473;2080;1316;1077;402;142;240;21;
112031359: Aboim da Nóbrega e Gondomar;318;293;144;78;72;25;2;21;2;
112031304: Atiães;98;81;41;19;21;17;8;9;1;
112031308: Cabanelas;106;85;41;30;14;21;19;2;0;
112031309: Cervães;176;167;76;54;37;9;6;3;0;
112031311: Coucieiro;89;70;36;17;17;19;10;9;0;
112031313: Dossãos;118;114;52;38;25;4;0;4;0;
112031316: Freiriz;105;100;46;32;23;5;0;4;1;
112031317: Gême;43;38;19;11;8;4;1;3;0;
112031323: Lage;110;100;45;33;22;10;2;8;1;
112031324: Lanhas;48;42;21;12;9;5;2;3;0;
112031325: Loureira;54;50;26;16;9;4;1;3;0;
112031328: Moure;87;80;35;30;15;7;1;6;0;
112031330: Oleiros;47;38;17;10;12;9;3;6;0;
112031331: Parada de Gatim;103;100;47;32;22;2;0;2;0;
112031335: Pico;94;88;43;21;25;6;1;4;0;
112031337: Ponte;46;41;22;12;7;5;1;3;0;
112031350: Prado (São Miguel);109;101;48;34;20;7;1;5;1;
112031340: Sabariz;31;21;11;6;4;10;9;1;0;
112031352: Soutelo;97;84;40;30;15;13;9;3;0;
112031354: Turiz;72;66;32;16;19;6;1;4;1;
112031360: União das freguesias da Ribeira do Neiva;774;749;362;216;171;25;2;21;2;
112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);142;134;64;38;32;8;0;7;0;
112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);137;119;53;44;23;18;10;7;0;
112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;129;117;54;27;36;13;3;9;0;
112031364: União das freguesias de Marrancos e Arcozelo;86;70;34;22;15;15;8;7;1;
112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);161;150;63;45;42;11;3;7;0;
